id,공고번호,공고제목,발주처(수요기관),지역제한,기초금액,예정가격,예가범위,A값,투찰률(%),참여업체수,공고구분표시,정답사정률(%),010_001,010_002,010_003,010_004,010_005,010_006,010_007,010_008,010_009,010_010,020_001,020_002,020_003,020_004,020_005,020_006,020_007,020_008,020_009,020_010,020_011,020_012,020_013,020_014,020_015,020_016,020_017,020_018,020_019,020_020,050_001,050_002,050_003,050_004,050_005,050_006,050_007,050_008,050_009,050_010,050_011,050_012,050_013,050_014,050_015,050_016,050_017,050_018,050_019,050_020,050_021,050_022,050_023,050_024,050_025,050_026,050_027,050_028,050_029,050_030,050_031,050_032,050_033,050_034,050_035,050_036,050_037,050_038,050_039,050_040,050_041,050_042,050_043,050_044,050_045,050_046,050_047,050_048,050_049,050_050,100_001,100_002,100_003,100_004,100_005,100_006,100_007,100_008,100_009,100_010,100_011,100_012,100_013,100_014,100_015,100_016,100_017,100_018,100_019,100_020,100_021,100_022,100_023,100_024,100_025,100_026,100_027,100_028,100_029,100_030,100_031,100_032,100_033,100_034,100_035,100_036,100_037,100_038,100_039,100_040,100_041,100_042,100_043,100_044,100_045,100_046,100_047,100_048,100_049,100_050,100_051,100_052,100_053,100_054,100_055,100_056,100_057,100_058,100_059,100_060,100_061,100_062,100_063,100_064,100_065,100_066,100_067,100_068,100_069,100_070,100_071,100_072,100_073,100_074,100_075,100_076,100_077,100_078,100_079,100_080,100_081,100_082,100_083,100_084,100_085,100_086,100_087,100_088,100_089,100_090,100_091,100_092,100_093,100_094,100_095,100_096,100_097,100_098,100_099,100_100
3,20171234224-00,2018년 음향설비 유지관리 용역 (긴급공고),서울특별시/서울특별시,서울,125247000,126722450.0,+3% ~ -3%,0,87.745,112,기,1.17803,0,0,2,15,33,41,14,7,0,0,0,0,0,0,1,1,6,9,19,14,24,17,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,2,7,2,6,7,10,6,4,11,7,9,6,8,3,4,0,5,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,2,0,3,4,2,0,3,3,2,5,6,4,4,2,2,2,6,5,4,3,6,3,6,0,4,4,1,2,2,2,0,0,4,1,1,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,20171234019-00,2017년 구파발역 운전취급실 이전에 따른 정보통신공사,서울교통공사,서울,79713630,79538325.0,+3% ~ -3%,0,87.745,1044,기,-0.21992,0,3,47,179,330,320,127,35,1,0,0,0,1,2,11,36,68,111,152,178,177,143,77,50,30,5,1,0,0,0,0,0,0,0,0,0,0,1,1,1,3,5,9,9,21,26,26,31,50,46,40,64,85,77,64,59,72,79,56,54,34,24,25,22,22,11,16,4,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2,3,2,3,6,3,6,12,9,13,13,12,14,16,15,20,30,21,25,16,24,30,34,48,37,29,48,26,38,33,26,36,36,46,33,30,26,29,25,13,21,18,6,19,6,11,11,8,14,6,5,11,5,3,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,20171234635-02,경복초등학교 2학년 교실 및 복도 환경개선 통신공사 (긴급공고) (공고),서울특별시성동교육청,서울,14520000,14400000.0,+3% ~ -3%,0,87.745,625,정,-0.82645,0,0,15,92,176,220,80,28,2,0,0,0,0,0,3,12,41,51,69,107,119,101,42,38,25,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,7,15,17,17,18,25,15,34,47,46,34,39,63,45,25,48,16,16,18,12,18,18,4,3,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,3,4,8,7,9,8,9,8,10,8,10,15,6,9,19,15,20,27,26,20,14,20,22,17,37,26,17,28,15,10,20,28,9,7,7,9,10,8,7,5,8,10,10,8,1,3,3,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,20171221985-00,문정 동남로 가로조성 정보통신공사,서울주택도시공사,서울,263505000,263700025.0,+3% ~ -3%,0,87.745,959,기/정/연기,0.07401,0,1,39,142,339,294,109,30,4,1,0,0,0,1,8,31,67,75,156,183,191,103,67,42,26,4,2,2,1,0,0,0,0,0,0,0,0,0,0,1,3,3,7,12,14,13,36,28,26,39,70,55,64,81,69,65,86,63,44,36,23,34,22,14,16,13,12,2,1,2,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,3,2,5,5,7,8,6,7,6,18,18,18,10,8,18,17,22,44,26,24,31,31,33,36,45,32,37,34,31,40,46,40,23,23,21,16,20,15,8,18,16,10,12,6,8,9,7,8,5,7,5,1,1,1,0,0,2,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
9,20171229242-00,2017학년도 구암고 CCTV 설비 개선공사 소액수의 전자견적 제출 공고,서울특별시교육청,서울,25333555,25253725.0,+3% ~ -3%,0,87.745,107,기,-0.31512,0,0,2,13,28,41,21,2,0,0,0,0,0,0,0,2,4,9,13,15,23,18,16,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,3,4,3,6,6,3,9,4,8,8,11,12,2,4,8,4,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,1,2,1,3,1,2,2,4,4,2,1,2,4,5,1,3,4,4,5,3,7,4,6,6,2,0,2,2,4,4,4,0,1,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,20171228219-00,서울중계초 통신선로 개선공사 (긴급공고),서울특별시교육청,서울,196330000,194608250.0,+3% ~ -3%,0,87.745,963,,-0.87697,0,2,45,168,306,307,103,26,4,1,0,0,0,2,8,37,81,87,134,172,168,139,79,24,21,5,1,3,1,0,0,0,0,0,0,0,0,0,0,2,2,3,7,15,18,27,36,30,36,39,42,62,59,72,71,60,62,92,50,43,28,36,21,7,11,9,11,2,2,2,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,3,3,4,5,10,9,9,13,14,17,19,18,12,17,19,21,18,17,25,34,28,30,29,33,39,35,36,29,31,35,27,46,46,30,20,24,19,16,12,21,15,15,6,2,5,5,6,4,5,8,3,1,1,2,0,0,2,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
12,20171227754-01,온조대왕문화체육관 리모델링 통신공사 (정정공고),서울특별시,서울,57000000,56317450.0,+3% ~ -3%,0,87.745,1011,기/정,-1.19746,1,2,45,177,321,327,100,30,2,0,1,0,0,2,7,38,68,109,154,167,177,150,58,42,22,8,2,0,0,0,0,0,1,0,0,0,0,0,0,2,4,2,9,16,14,22,28,33,39,55,54,70,60,59,78,56,69,103,58,41,27,24,20,17,12,11,11,1,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,2,1,8,8,8,5,9,9,13,12,16,18,15,14,25,24,31,27,27,45,25,30,30,29,30,34,44,21,35,35,34,52,51,29,29,22,19,18,9,12,12,7,13,10,7,6,6,4,7,8,3,0,1,2,0,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,20171227716-01,암사동 도시재생 앵커시설 리모델링 통신공사 (정정공고),서울특별시,서울,43341000,43799050.0,+3% ~ -3%,0,87.745,955,기/정,1.05685,0,3,44,164,295,303,105,31,2,0,0,0,1,2,10,34,65,99,135,160,153,150,64,41,20,11,2,0,0,0,0,0,0,0,0,0,1,0,0,2,5,3,9,16,11,19,29,35,28,53,39,59,63,62,72,47,59,98,57,42,28,27,19,16,15,12,8,1,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,3,0,3,2,7,7,9,4,7,8,11,14,15,17,18,8,20,24,29,18,21,36,23,37,26,31,31,32,40,27,20,29,30,47,51,29,28,22,20,16,12,14,13,9,10,9,7,7,8,5,7,5,3,0,1,3,3,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,20171221893-00,2018년 한강공원 승강기 CCTV 및 인터폰 유지관리 용역,서울특별시,서울,87000000,87081825.0,+3% ~ -3%,0,87.745,144,,0.09405,0,0,4,17,44,55,13,8,1,0,0,0,0,0,0,4,6,11,16,28,31,24,10,3,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,5,3,4,6,14,7,13,11,11,16,6,11,6,2,3,1,1,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,3,2,3,2,3,1,2,1,3,5,1,6,8,3,4,6,7,5,6,8,3,9,7,3,3,5,6,3,3,1,1,2,1,1,0,0,1,1,3,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,20171215519-00,용산동2가 5-28번지 앵커시설 정보통신공사,서울주택도시공사,서울,67474000,67864700.0,+3% ~ -3%,0,87.745,966,,0.57903,0,1,33,122,309,322,140,32,4,0,0,0,0,1,9,24,59,63,144,165,190,132,87,53,26,6,2,2,0,0,0,0,0,0,0,0,0,0,0,1,3,2,7,11,10,29,22,15,24,32,42,75,62,63,67,69,90,66,49,48,49,28,19,23,21,8,14,5,4,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,4,3,4,7,6,4,10,19,12,10,8,7,11,13,12,20,12,30,43,32,27,35,33,30,34,33,30,39,52,38,31,35,28,21,24,24,25,24,20,8,10,9,11,12,12,9,4,4,6,8,4,1,2,2,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
