공고번호,기초금액,log_기초금액,log_기초금액_norm,기초금액_norm,A값,A값/기초금액_norm,투찰률(%),투찰률_norm,참여업체수,log_참여업체수,log_참여업체수_norm,예가범위,공고구분표시,공고제목,발주처(수요기관),지역제한
20141222110-01,34571000.0,17.35852576722057,-0.8942589865052033,-0.42327020875659077,0.0,-0.024791695263956078,87.745,0.11333942152265358,845.0,6.741700694652055,-0.239667084554479,+2% ~ -2%,기/정,서울시흥동우체국 건립공사(정보통신공사) (정정공고),과학기술정보통신부,서울
20141124845-00,1695212000.0,21.251073644293964,2.0181880429225862,2.418871801687511,0.0,-0.024791695263956078,86.745,-0.34258916408631507,787.0,6.670766320845874,-0.3690827913236275,+2% ~ -2%,기/의무,마포세무서 청사신축공사 통신공사,서울지방조달청/국세청,전국/서울
20141123909-00,910576000.0,20.629587925367204,1.5531856092772707,1.075988578578592,0.0,-0.024791695263956078,86.745,-0.34258916408631507,908.0,6.813444599510896,-0.10877443469399066,+2% ~ -2%,기/의무,반포세무서 청사신축공사 통신공사,서울지방조달청/국세청,전국/서울
20141218010-00,69552560.0,18.057593298085703,-0.37120898996454765,-0.3634002180320025,0.0,-0.024791695263956078,87.745,0.11333942152265358,923.0,6.829793737512425,-0.0789463677639082,+2% ~ -2%,,벨로드롬 시설개선 통신공사,서울올림픽기념국민체육진흥공단,서울
20141211823-00,203585000.0,19.131594170968206,0.4323702467232902,-0.13400733390693967,0.0,-0.024791695263956078,87.745,0.11333942152265358,850.0,6.747586526829315,-0.22892872048255425,+2% ~ -2%,기/협정,(긴급)국립중앙극장 전속단체 공연연습장 건립 정보통신공사,서울지방조달청/문화체육관광부,서울
20141213376-00,85580000.0,18.26496218063792,-0.2160533168533299,-0.3359696893723631,0.0,-0.024791695263956078,87.745,0.11333942152265358,1705.0,7.442492722794441,1.038887877642554,+2% ~ -2%,,장외지점(12개지점) CCTV 설치 관련 통신공사 (긴급공고),서울올림픽기념국민체육진흥공단,서울/경기
20141213236-00,121077000.0,18.611937273063106,0.04355725419992693,-0.2752175370741034,0.0,-0.024791695263956078,87.745,0.11333942152265358,1656.0,7.4133673356952405,0.985750275178238,+2% ~ -2%,,광명스피돔 지정좌석실 환경개선 통신공사 (긴급공고),서울올림픽기념국민체육진흥공단,서울/경기
20141121704-00,814734000.0,20.518372238790768,1.4699728123575202,0.9119575962260044,0.0,-0.024791695263956078,86.745,-0.34258916408631507,928.0,6.835184586147301,-0.06911107284646391,+2% ~ -2%,기/의무,강서세무서 청사신축 통신공사,서울지방조달청/국세청,전국/서울
20141118981-00,419875000.0,19.855467608278392,0.9739802946286772,0.23616713212091026,0.0,-0.024791695263956078,86.745,-0.34258916408631507,830.0,6.723832440821209,-0.2722666914047195,+2% ~ -2%,기/협정,검찰특수기록관 신축 통신공사,서울지방조달청/법무부,서울
20141211237-00,138244000.0,18.744530805020176,0.1427651895844111,-0.2458366823961243,0.0,-0.024791695263956078,87.745,0.11333942152265358,1615.0,7.388327859577107,0.9400671835390313,+2% ~ -2%,,방범 및 교통관리를 위한 CCTV 설치 공사 (긴급공고),서울대학교,서울/경기
20141114191-00,1306171000.0,20.990365794145195,1.8231235690373826,1.75303868671252,0.0,-0.024791695263956078,86.745,-0.34258916408631507,801.0,6.688354713946762,-0.33699377436402944,+2% ~ -2%,기/의무,서울강남경찰서 신축공사(통신),서울지방조달청/경찰청,전국/서울
20141124779-00,120568000.0,18.607724475375726,0.040405192748748306,-0.2760886767625225,0.0,-0.024791695263956078,87.745,0.11333942152265358,881.0,6.78332520060396,-0.16372555483291806,+2% ~ -2%,기/협정,논현파출소 신축공사 (통신),서울지방조달청/경찰청,서울
20141201793-00,74217000.0,18.122503805881934,-0.3226422358538909,-0.35541715554035264,0.0,-0.024791695263956078,87.745,0.11333942152265358,903.0,6.807934943699926,-0.1188264865071173,+2% ~ -2%,기,GKL 직장어린이집 설치공사(통신),그랜드코리아레저(주),서울
20141126974-00,18700000.0,16.74403413530075,-1.3540283675150202,-0.4504329946011883,0.0,-0.024791695263956078,87.745,0.11333942152265358,766.0,6.643789733147672,-0.4183000322162011,+2% ~ -2%,,미래관 공간변경에 따른 통신보수 및 기타공사,서울과학기술대학교,서울
20141126767-00,28413000.0,17.162357380071505,-1.0410343260674975,-0.4338094586608836,0.0,-0.024791695263956078,87.745,0.11333942152265358,817.0,6.70808408385307,-0.30099866771078154,+2% ~ -2%,기,정부서울청사 본관 통제식 회전문 설치 통신공사 (긴급공고),행정자치부,서울
20141106575-00,1391886000.0,21.05392549967166,1.8706796380692265,1.8997375833585837,0.0,-0.024791695263956078,86.745,-0.34258916408631507,764.0,6.641182169740591,-0.4230573824706046,+2% ~ -2%,기/의무,광진경찰서 청사 신축공사-통신,서울지방조달청/경찰청,전국/서울
20141123591-00,8600000.0,15.967272877502799,-1.9352096629777567,-0.46771887054035,0.0,-0.024791695263956078,88.0,0.22960121085293853,126.0,4.852030263919617,-3.6872626751240025,+2% ~ -2%,기,유무선 측정시설 챔버 및 차폐실 철거 용역,과학기술정보통신부,서울/경기
20141104067-00,580645000.0,20.179650114301836,1.2165372024631171,0.5113206246693287,0.0,-0.024791695263956078,86.745,-0.34258916408631507,830.0,6.723832440821209,-0.2722666914047195,+2% ~ -2%,기/협정,서울금천우체국 건립 정보통신공사,서울지방조달청/미래창조과학부,서울
20141116743-00,107286000.0,18.491008733106277,-0.0469228061853817,-0.2988204593589528,0.0,-0.024791695263956078,87.745,0.11333942152265358,923.0,6.829793737512425,-0.0789463677639082,+2% ~ -2%,기,선덕중학교 방송시설 통신공사 (긴급공고),서울특별시북부교육청,서울
20141119009-00,62550000.0,17.951476810864403,-0.45060650997998597,-0.3753849094593823,0.0,-0.024791695263956078,87.745,0.11333942152265358,874.0,6.775366090936392,-0.1782464950712277,+2% ~ -2%,기,정부서울청사 CCTV 설비 개선공사 (긴급공고),행정자치부,서울
20141112184-02,120769000.0,18.60939019629551,0.04165150341669356,-0.2757446707166046,0.0,-0.024791695263956078,87.745,0.11333942152265358,1662.0,7.416979621381154,0.9923406837490096,+2% ~ -2%,정,이화미디어고 방송시설개선 공사 (공고),서울특별시교육청,서울/경기
20141019715-00,402178000.0,19.812405337138586,0.9417606308962846,0.2058791968243415,0.0,-0.024791695263956078,86.745,-0.34258916408631507,836.0,6.731018100482083,-0.25915686645362424,+2% ~ -2%,기/협정,서울서부광역등기소청사 신축 통신공사 (긴급공고),서울지방조달청/대법원,서울
