공고번호,010_001,010_002,010_003,010_004,010_005,010_006,010_007,010_008,010_009,010_010,020_001,020_002,020_003,020_004,020_005,020_006,020_007,020_008,020_009,020_010,020_011,020_012,020_013,020_014,020_015,020_016,020_017,020_018,020_019,020_020,050_001,050_002,050_003,050_004,050_005,050_006,050_007,050_008,050_009,050_010,050_011,050_012,050_013,050_014,050_015,050_016,050_017,050_018,050_019,050_020,050_021,050_022,050_023,050_024,050_025,050_026,050_027,050_028,050_029,050_030,050_031,050_032,050_033,050_034,050_035,050_036,050_037,050_038,050_039,050_040,050_041,050_042,050_043,050_044,050_045,050_046,050_047,050_048,050_049,050_050,100_001,100_002,100_003,100_004,100_005,100_006,100_007,100_008,100_009,100_010,100_011,100_012,100_013,100_014,100_015,100_016,100_017,100_018,100_019,100_020,100_021,100_022,100_023,100_024,100_025,100_026,100_027,100_028,100_029,100_030,100_031,100_032,100_033,100_034,100_035,100_036,100_037,100_038,100_039,100_040,100_041,100_042,100_043,100_044,100_045,100_046,100_047,100_048,100_049,100_050,100_051,100_052,100_053,100_054,100_055,100_056,100_057,100_058,100_059,100_060,100_061,100_062,100_063,100_064,100_065,100_066,100_067,100_068,100_069,100_070,100_071,100_072,100_073,100_074,100_075,100_076,100_077,100_078,100_079,100_080,100_081,100_082,100_083,100_084,100_085,100_086,100_087,100_088,100_089,100_090,100_091,100_092,100_093,100_094,100_095,100_096,100_097,100_098,100_099,100_100
20241210833-00,17,14,53,162,263,250,227,64,11,1,3,14,5,9,20,33,53,109,112,151,131,119,156,71,47,17,6,5,0,1,1,1,1,5,9,1,3,1,3,6,10,8,5,14,16,13,22,40,53,34,41,43,64,63,52,47,55,46,49,53,73,59,45,30,20,26,16,11,5,6,4,2,3,0,2,0,0,0,1,0,1,0,1,0,1,0,2,3,4,5,0,1,2,1,1,0,2,1,4,2,1,9,4,4,2,3,9,5,4,12,3,10,12,10,18,22,32,21,18,16,20,21,18,25,28,36,36,27,31,21,20,27,24,31,29,17,25,24,29,24,38,35,30,29,24,21,20,10,7,13,8,18,10,6,5,6,2,3,2,4,2,2,1,1,0,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0
20241209755-00,0,11,120,452,917,1172,831,226,34,9,0,0,3,8,30,90,211,241,376,541,529,643,515,316,171,55,25,9,8,1,0,0,0,0,0,0,2,2,2,5,10,14,20,25,51,76,83,89,87,117,133,156,186,215,227,159,250,243,285,235,215,218,166,127,105,84,61,44,26,11,13,8,6,5,2,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,4,1,4,6,6,8,6,14,14,11,25,26,34,42,38,45,52,37,44,43,65,52,61,72,72,84,87,99,121,94,121,106,77,82,114,136,120,123,135,150,117,118,107,108,100,118,82,84,76,51,60,45,40,44,35,26,26,18,13,13,5,6,8,5,5,3,4,2,2,3,0,2,2,4,1,0,1,0,0,1,0,0
2024-25877,2,5,23,124,259,271,169,43,12,1,1,1,1,4,11,12,47,77,146,113,118,153,109,60,32,11,11,1,1,0,1,0,0,0,1,0,1,0,2,2,3,5,4,4,7,15,21,26,33,29,71,48,53,49,38,47,40,59,48,77,49,45,24,23,28,17,14,5,3,4,5,6,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,2,0,3,2,3,3,1,1,3,3,4,5,10,13,8,11,15,20,13,13,16,32,39,21,27,27,26,26,23,19,19,21,26,18,22,31,28,25,23,40,37,24,25,25,20,15,9,12,11,12,16,11,6,13,1,1,4,1,2,2,2,3,2,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
20241135055-00,3,5,59,156,267,312,185,39,11,1,1,2,0,5,17,42,62,94,148,119,151,161,110,75,30,9,9,2,1,0,0,1,0,1,1,0,0,0,3,2,5,8,11,17,18,22,26,28,27,53,53,63,54,47,50,51,60,78,69,54,51,44,44,29,17,16,12,4,4,3,6,3,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,1,1,4,1,4,4,4,7,9,8,11,7,12,10,10,16,14,14,17,10,24,29,29,24,29,34,32,22,19,28,23,27,22,29,30,30,40,38,38,31,23,31,29,22,21,23,15,29,18,11,9,8,5,11,6,6,2,2,0,4,2,1,4,2,1,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
20241142908-00,3,9,41,180,310,303,212,38,5,0,0,3,2,7,12,29,55,125,156,154,166,137,138,74,26,12,5,0,0,0,0,0,1,0,2,1,1,0,1,6,2,7,10,13,9,16,25,38,49,52,58,67,64,62,59,63,71,60,51,58,52,56,50,26,28,9,14,4,8,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,1,0,5,1,2,0,4,3,3,7,6,7,5,4,9,7,15,10,14,24,25,24,23,29,27,31,31,36,31,33,31,31,36,23,33,30,32,39,32,28,27,24,26,32,23,29,32,24,30,20,15,11,14,14,6,3,7,7,3,1,4,4,1,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20241135561-00,2,4,50,169,304,366,213,43,12,3,1,1,2,2,17,33,65,104,141,163,159,207,147,66,26,17,8,4,1,2,1,0,0,1,0,0,0,2,1,1,3,8,8,14,17,26,25,28,38,52,62,56,56,57,73,60,79,63,80,84,55,68,45,28,17,10,10,11,6,6,5,2,1,3,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,1,2,3,5,6,2,5,9,5,12,10,16,6,19,14,14,13,25,25,27,21,41,23,33,23,33,33,24,34,39,29,31,29,50,20,43,46,34,45,39,26,29,30,38,24,21,16,12,10,7,5,5,6,4,6,5,4,2,3,3,3,2,1,1,1,0,2,1,1,0,0,0,1,0,0,0,1,0,0,1
20241140336-00,1,5,101,359,751,767,501,143,20,3,1,0,0,5,16,85,126,233,353,398,379,388,288,213,105,38,16,4,1,2,1,0,0,0,0,0,0,2,0,3,4,8,17,30,42,35,65,72,88,99,143,146,130,162,170,137,160,165,146,159,129,117,100,88,67,63,32,20,15,13,6,7,4,3,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,3,1,6,2,4,13,16,14,18,24,18,17,31,34,26,46,42,46,53,46,70,73,69,77,64,66,88,74,86,84,65,72,64,96,82,83,83,63,84,75,66,63,50,67,42,58,51,37,37,30,24,39,16,16,10,10,8,7,7,6,4,2,2,5,3,1,2,1,0,0,0,1,0,0,0,1,0,1,0,0
E012410414,0,3,26,112,225,247,129,33,7,2,0,0,0,3,7,19,47,65,133,92,122,125,89,40,22,11,3,4,0,2,0,0,0,0,0,0,0,1,2,0,3,2,5,7,9,11,17,28,22,34,45,57,54,36,33,41,49,54,47,56,43,33,18,19,16,14,7,4,3,5,1,2,0,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,0,2,2,3,4,3,4,5,5,6,8,9,19,9,13,9,17,17,21,24,23,34,31,23,20,16,23,10,20,21,28,21,32,22,18,29,23,33,28,15,17,16,13,5,8,11,8,8,7,7,5,2,1,3,2,1,3,2,1,0,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,1
2024-24251,0,1,14,66,110,162,113,40,12,0,0,0,0,1,8,6,23,43,38,72,78,84,67,46,28,12,10,2,0,0,0,0,0,0,0,0,0,0,1,0,6,1,1,2,4,9,10,8,20,19,13,12,31,37,17,36,28,33,38,27,27,26,25,19,16,15,7,11,5,2,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,1,0,1,0,1,1,1,3,5,4,1,9,4,4,6,14,9,10,5,8,6,6,13,18,26,11,10,7,18,18,12,16,14,19,25,13,10,17,8,19,14,12,14,11,14,5,8,8,6,9,6,1,6,5,5,0,0,2,1,3,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20241106920-00,1,9,61,172,335,391,196,67,14,1,0,1,1,8,24,37,73,99,170,165,194,197,120,76,46,21,11,3,1,0,0,0,1,0,0,0,1,1,1,6,9,10,11,13,18,25,28,40,36,43,47,78,81,61,68,78,75,81,95,62,62,37,40,29,28,26,15,13,9,4,9,0,2,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,4,2,4,5,7,3,5,6,4,9,10,8,9,16,14,14,20,20,18,18,18,25,21,26,30,48,45,36,38,23,34,34,36,42,37,38,41,40,52,43,33,29,26,36,20,17,21,19,18,11,15,13,16,10,12,3,5,8,6,3,3,1,3,6,0,0,2,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0
