id,공고번호,공고제목,발주처(수요기관),지역제한,기초금액,예정가격,예가범위,A값,투찰률(%),참여업체수,공고구분표시,정답사정률(%),010_001,010_002,010_003,010_004,010_005,010_006,010_007,010_008,010_009,010_010,020_001,020_002,020_003,020_004,020_005,020_006,020_007,020_008,020_009,020_010,020_011,020_012,020_013,020_014,020_015,020_016,020_017,020_018,020_019,020_020,050_001,050_002,050_003,050_004,050_005,050_006,050_007,050_008,050_009,050_010,050_011,050_012,050_013,050_014,050_015,050_016,050_017,050_018,050_019,050_020,050_021,050_022,050_023,050_024,050_025,050_026,050_027,050_028,050_029,050_030,050_031,050_032,050_033,050_034,050_035,050_036,050_037,050_038,050_039,050_040,050_041,050_042,050_043,050_044,050_045,050_046,050_047,050_048,050_049,050_050,100_001,100_002,100_003,100_004,100_005,100_006,100_007,100_008,100_009,100_010,100_011,100_012,100_013,100_014,100_015,100_016,100_017,100_018,100_019,100_020,100_021,100_022,100_023,100_024,100_025,100_026,100_027,100_028,100_029,100_030,100_031,100_032,100_033,100_034,100_035,100_036,100_037,100_038,100_039,100_040,100_041,100_042,100_043,100_044,100_045,100_046,100_047,100_048,100_049,100_050,100_051,100_052,100_053,100_054,100_055,100_056,100_057,100_058,100_059,100_060,100_061,100_062,100_063,100_064,100_065,100_066,100_067,100_068,100_069,100_070,100_071,100_072,100_073,100_074,100_075,100_076,100_077,100_078,100_079,100_080,100_081,100_082,100_083,100_084,100_085,100_086,100_087,100_088,100_089,100_090,100_091,100_092,100_093,100_094,100_095,100_096,100_097,100_098,100_099,100_100
28,20241211533-00,고객안전실 근무환경 개선에 따른 전자공사(을지로입구역 등 9역),서울교통공사,서울,43006890,42998025,+3% ~ -3%,2730083,87.745,971,기/A값/수의,-0.02062,0,4,48,171,267,301,141,34,5,0,0,0,0,4,6,42,73,98,128,139,140,161,104,37,28,6,2,3,0,0,0,0,0,0,0,0,0,0,2,2,2,1,9,18,18,20,37,34,48,32,55,51,47,63,51,49,53,62,74,63,56,35,19,15,16,10,15,3,4,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,1,0,3,6,4,14,8,10,9,11,19,18,16,18,23,25,18,14,22,33,27,24,22,25,31,32,31,20,28,21,26,27,38,24,37,37,25,38,31,25,22,13,13,6,11,4,9,7,5,5,6,9,3,0,4,0,0,2,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
30,20241208445-00,천연동 복합센터 건립사업 신축공사(통신) (긴급공고),서울특별시,서울,450726000,447104475,+3% ~ -3%,30198513,87.745,1073,기/A값/순,-0.80349,0,4,71,211,389,263,105,23,5,0,0,0,1,3,22,49,110,101,195,194,155,108,56,49,15,8,4,1,0,0,0,0,0,0,0,0,0,1,1,2,5,11,10,25,20,44,43,44,36,44,79,83,76,84,67,57,60,60,46,40,22,22,24,19,18,9,4,5,2,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,3,2,4,7,6,4,8,17,14,6,19,25,22,21,23,21,14,22,22,22,46,33,54,29,33,43,41,43,32,35,29,28,32,28,38,22,21,25,25,15,11,11,13,9,12,12,10,9,11,7,4,5,1,3,2,3,2,0,3,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,20241210319-00,2024년 관악구 주거·상업지역 지능형 CCTV 설치 공사 (긴급공고),서울특별시,서울,713620000,716965150,+3% ~ -3%,48854539,87.745,973,기/A값/순,0.46875,1,5,52,187,239,283,156,37,4,1,1,0,0,5,21,31,84,103,124,115,150,133,100,56,25,12,2,2,1,0,0,1,0,0,0,0,0,1,0,4,5,12,7,13,15,29,34,44,38,42,49,45,52,57,36,54,66,61,61,41,40,34,44,25,13,15,7,5,6,4,0,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,3,2,4,8,4,3,5,8,7,8,13,16,17,17,21,23,16,22,24,18,25,24,21,24,30,22,27,30,19,17,25,29,35,31,30,31,29,32,19,22,22,18,15,19,26,18,15,10,7,6,11,4,3,4,3,2,3,3,3,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
34,20241206508-00,노원구민의전당 사무동 리모델링 통신공사 (긴급공고),서울특별시,서울,512446000,507494550,+3% ~ -3%,33929965,87.745,1066,A값/순,-0.96624,1,4,71,240,305,268,133,35,5,1,0,1,0,4,21,50,104,136,163,142,156,112,69,64,21,14,4,1,1,0,0,0,0,1,0,0,0,1,0,3,2,12,16,18,23,33,45,48,58,56,57,77,53,57,61,67,54,62,50,35,30,27,23,31,22,11,7,7,6,4,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,4,8,7,9,9,9,12,11,15,18,20,25,26,22,26,32,23,33,27,30,28,49,29,24,26,31,30,31,34,33,28,26,35,27,21,29,23,12,16,14,19,8,12,11,15,16,13,9,4,7,5,2,3,4,1,5,2,2,1,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
35,20241207575-00,신계초 급식실 증축 및 기타 통신공사,서울특별시교육청,서울,81980000,81381200,+3% ~ -3%,2999567,87.745,1146,기/A값/수의,-0.73043,0,3,50,219,333,324,165,44,3,2,0,0,2,1,15,35,102,117,146,187,189,135,111,54,32,12,3,0,0,2,0,0,0,0,0,0,1,1,1,0,2,5,12,14,17,34,42,45,41,57,40,69,75,74,75,68,75,83,49,49,50,42,29,20,24,17,11,7,4,5,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,2,3,8,4,6,8,9,8,14,20,22,20,26,19,21,20,30,27,22,18,40,29,37,38,42,32,38,37,28,40,36,39,46,37,26,23,29,20,28,22,26,16,19,10,10,10,16,8,7,10,5,6,4,3,2,2,1,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
36,20241207521-00,3호선 녹번역 등 2역 승강편의시설 설치 정보통신공사(62공구),서울교통공사,서울,47636700,47560175,+3% ~ -3%,3202312,87.745,1012,기/A값/수의,-0.16065,0,2,48,187,292,306,134,37,3,1,0,0,1,1,15,33,79,108,137,155,139,167,82,52,31,6,1,2,1,0,0,0,0,0,0,0,0,1,1,0,2,8,9,9,20,28,34,40,44,41,52,60,46,82,52,59,49,61,93,44,37,31,24,22,20,18,8,6,2,3,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,4,4,5,4,4,5,9,11,14,14,14,20,17,23,28,16,23,18,27,25,27,33,25,21,45,37,27,25,31,28,22,27,31,30,45,48,26,18,17,20,15,16,14,10,12,10,13,7,7,11,5,3,5,1,1,1,1,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
43,20241135632-00,2~4호선 종합정보플랫폼 표출장치 설치 정보통신공사,서울교통공사,전국/서울/경기,4349644900,4356158550,+3% ~ -3%,320428749,86.745,363,기/A값/실적/순/의무,0.14975,2,0,12,57,102,122,50,12,4,1,1,1,0,0,3,9,21,36,54,48,49,73,35,15,7,5,1,3,1,0,1,0,0,0,1,0,0,0,0,0,1,2,1,3,5,4,10,9,16,18,19,24,25,16,18,10,26,30,32,24,13,12,14,7,4,4,3,1,2,2,0,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,3,2,3,1,3,3,7,7,2,8,8,10,8,7,12,15,9,11,14,8,8,10,8,1,9,16,10,13,17,13,19,17,7,5,8,7,5,10,4,4,3,3,1,3,1,3,0,0,1,1,1,2,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0
45,20241203726-00,[긴급]문백초 그린스마트 미래학교 리모델링 통신공사 (긴급공고),서울특별시교육청,서울,288233000,292346150,+3% ~ -3%,20080667,87.745,1067,기/A값/순,1.42702,1,4,60,221,329,281,137,22,6,1,0,1,1,3,11,49,86,135,148,181,153,128,83,54,15,7,4,2,1,0,0,0,0,1,0,0,0,1,1,2,3,5,12,19,21,38,30,38,51,64,53,57,71,78,70,49,76,56,61,39,38,23,40,21,15,8,4,5,2,3,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,1,2,2,3,3,9,9,10,10,11,14,24,14,16,18,20,28,23,31,33,28,25,26,31,38,33,50,28,29,41,22,27,41,35,28,28,29,32,22,17,19,19,11,12,22,18,10,11,9,6,6,2,2,2,3,2,2,0,2,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
48,20241134279-00,빈집활용사업(초행지붕-수유2) 정보통신공사,서울주택도시공사,서울,97230000,96301975,+3% ~ -3%,5457348,87.745,1010,기/A값/순/협정,-0.95447,0,2,55,177,327,267,139,35,4,0,0,0,1,1,6,49,82,95,160,167,155,112,74,65,23,12,1,3,0,0,0,0,0,0,0,0,0,1,0,1,1,4,7,19,24,24,31,46,42,34,50,72,62,80,63,52,68,56,53,38,44,25,22,24,24,11,7,9,6,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,3,1,6,4,15,10,14,10,14,13,18,27,19,19,23,12,22,28,22,29,43,38,24,39,41,31,32,26,26,41,27,35,21,31,22,17,21,26,18,14,11,5,17,15,9,12,12,7,4,1,6,5,4,3,3,0,2,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
49,20241139999-00,청년창업공간 조성공사(통신),서울특별시,서울,216260000,212566875,+3% ~ -3%,13960394,87.745,1120,기/A값/순,-1.70773,1,4,55,167,310,372,161,45,5,0,1,0,0,4,13,42,74,93,124,186,185,187,102,59,34,11,5,0,0,0,0,1,0,0,0,0,0,2,1,1,5,4,10,19,17,27,32,35,33,40,37,58,61,62,92,76,79,61,71,85,58,34,22,25,22,15,15,7,8,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,3,2,2,2,4,6,6,13,6,11,13,14,12,20,15,20,17,16,22,18,16,21,32,26,29,32,33,29,42,50,37,39,39,40,30,31,29,42,53,32,26,32,23,11,10,12,13,12,12,10,11,4,10,5,4,3,5,3,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
