오퍼레이션 번호,오퍼레이션명(국문),항목명(영문),항목명(국문),항목크기,항목구분,샘플데이터,항목설명
1,데이터셋 개방표준에 따른 입찰공고정보,resultCode,결과코드,2,1,00,결과코드
1,데이터셋 개방표준에 따른 입찰공고정보,resultMsg,결과메세지,50,1,정상,결과메세지
1,데이터셋 개방표준에 따른 입찰공고정보,numOfRows,한 페이지 결과 수,4,1,10,한 페이지 결과 수
1,데이터셋 개방표준에 따른 입찰공고정보,pageNo,페이지 번호,4,1,1,페이지 번호
1,데이터셋 개방표준에 따른 입찰공고정보,totalCount,전체 결과 수,4,1,1,전체 결과 수
1,데이터셋 개방표준에 따른 입찰공고정보,bidNtceNo,입찰공고번호,11,1,20160913266,입찰공고를 관리하기 위한 번호이며 조달청나라장터 공고건의 형식은    년도(4)+월(2)+순번(5)이며 나라장터 외 (자체)전자조달시스템(이하 이 표에서 “기타 전자조달시스템”이라 함) 보유기관은 각 기관별 형식 별도 사용
1,데이터셋 개방표준에 따른 입찰공고정보,bidNtceOrd,입찰공고차수,2,0,00,입찰공고차수는 해당 입찰공고에 대한 정정(변경)공고 및 재공고 등이 발생되었을 경우 증가되는 수
1,데이터셋 개방표준에 따른 입찰공고정보,refNtceNo,참조공고번호,40,0,160360100,조달청 입찰공고의 경우 참조공고번호는 기타 전자조달시스템에서 관리하는 공고번호를 의미하며 기타 전자조달시스템의 경우 참조공고번호는 나라장터(G2B) 입찰공고번호를 의미함
1,데이터셋 개방표준에 따른 입찰공고정보,refNtceOrd,참조공고차수,2,0,00,참조공고번호에 대한 공고 차수
1,데이터셋 개방표준에 따른 입찰공고정보,ppsNtceYn,나라장터공고여부,1,1,Y,조달청에서 관리하는 나라장터 (https://www.g2b.go.kr)를 통해서도 입찰공고를 하는지의 여부 
1,데이터셋 개방표준에 따른 입찰공고정보,bidNtceNm,입찰공고명,100,1,K-ICT 3D프린팅 대전센터 구축 공사(전기),공사명 또는 사업명이라고도 하며 입찰공고 내용을 요약한 이름
1,데이터셋 개방표준에 따른 입찰공고정보,bidNtceSttusNm,입찰공고상태명,100,1,일반공고,"해당 공고의 상태가 일반 또는 긴급공고, 정정(또는 연기)공고, 재공고입찰, 취소공고를 구분하기 위한 명"
