오퍼레이션 번호,오퍼레이션명(국문),항목명(영문),항목명(국문),항목크기,항목구분,샘플데이터,항목설명
1,낙찰된 목록 현황 물품조회,resultCode,결과코드,2,1,00,결과코드
1,낙찰된 목록 현황 물품조회,resultMsg,결과메세지,50,1,정상.,결과메세지
1,낙찰된 목록 현황 물품조회,numOfRows,한 페이지 결과 수,4,1,10,한 페이지 결과 수
1,낙찰된 목록 현황 물품조회,pageNo,페이지 번호,4,1,1,페이지 수
1,낙찰된 목록 현황 물품조회,totalCount,데이터 총 개수,4,1,17,데이터 총 개수
1,낙찰된 목록 현황 물품조회,bidNtceNo,입찰공고번호,40,1,20160439522,"입찰공고 관리번호이며 조달청나라장터 공고건의 형식은 년도(4)+월(2)+순번(5)이며 자체전자조달시스템 보유기관은 각 기관별 형식 별도 사용
*차세대나라장터 번호체계 개편 : 테스트여부(1)+년도(2)+번호구분(2)+순번(8) 총 13자리 구성
(테스트여부 : T(모의)/R(실제), 번호구분 : BK(입찰공고번호)/TA(계약번호) 예시 : R24TA00000001 ☞ `24년 실제 계약번호이며 순번은 00000001)"
1,낙찰된 목록 현황 물품조회,bidNtceOrd,입찰공고차수,3,1,000,입찰공고차수는 해당 입찰공고에 대한 재공고 및 재입찰 등이 발생되었을 경우 증가되는 수
1,낙찰된 목록 현황 물품조회,bidClsfcNo,입찰분류번호,5,1,1,동일한 입찰공고번호에 대한 집행일련번호
1,낙찰된 목록 현황 물품조회,rbidNo,재입찰번호,3,1,001,재입찰번호
1,낙찰된 목록 현황 물품조회,ntceDivCd,공고구분코드,9,1,통050002,"공고구분
통050002 : 조달청 또는 나라장터 자체 공고건 "
1,낙찰된 목록 현황 물품조회,bidNtceNm,입찰공고명,100,1,30톤급 감시정 조달구매(건조) 요청,공사명 또는 사업명이라고도 하며 입찰공고 내용을 요약한 이름
1,낙찰된 목록 현황 물품조회,prtcptCnum,참가업체수,6,0,1,참가업체수
1,낙찰된 목록 현황 물품조회,bidwinnrNm,최종낙찰업체명,100,1,광동에프.알.피산업,최종낙찰된 업체의 명으로 개찰완료된 건에 대하여 제공
1,낙찰된 목록 현황 물품조회,bidwinnrBizno,최종낙찰업체사업자등록번호,10,1,6014668311,협상이 완료 후 최종낙찰된 업체의 사업자등록번호임
1,낙찰된 목록 현황 물품조회,bidwinnrCeoNm,최종낙찰업체대표자명,35,0,한갑수,최종낙찰된 업체의 대표자명으로 개찰완료된 건에 대하여 제공
1,낙찰된 목록 현황 물품조회,bidwinnrAdrs,최종낙찰업체주소,200,0,부산광역시 강서구 녹산산단382로60번길 42-0 (송정동),협상이 완료 후 최종낙찰된 업체의 주소임
1,낙찰된 목록 현황 물품조회,bidwinnrTelNo,최종낙찰업체전화번호,25,0,051-831-2266,"협상이 완료 후 최종낙찰된 업체의 연락 전화번호임
핸드폰번호는 “*”로 표기"
1,낙찰된 목록 현황 물품조회,sucsfbidAmt,최종낙찰금액,21,0,2229500000,"최종낙찰은 개찰순위 순서대로 협상등을 통해 최종 낙찰된정보를 의미하며 최종낙찰금액은 최종낙찰된 금액 (원화,원)으로 개찰완료된건에 대하여 제공"
1,낙찰된 목록 현황 물품조회,sucsfbidRate,최종낙찰률,18,0,99.99,예정가격대비 최종낙찰금액으로 최종낙찰금액/예정가격 * 100 으로 계산되며 개찰완료된 건에 대하여 제공 (%)
1,낙찰된 목록 현황 물품조회,rlOpengDt,실개찰일시,19,0,2016-05-03 12:00:00,실제 개찰일시  “YYYY-MM-DD HH:MM:SS” 
1,낙찰된 목록 현황 물품조회,dminsttCd,수요기관코드,7,0,1220000,실제 수요기관의 코드로 행자부코드(행정자치부에서 부여한 기관코드)가 있는 경우 행자부코드가 행자부코드가 없는 경우 조달청에서 부여한 수요기관 코드가 표기됨
1,낙찰된 목록 현황 물품조회,dminsttNm,수요기관명,200,0,관세청,중앙조달인 경우 조달사업에 관한 법률 제2조(정의)에 따라 수요물자의 구매 공급 또는 시설공사 계약의 체결을 조달청장에게 요청할 수 있도록 조달청장이 인정하여 등록한 기관 또는 자체전자조달시스템을 이용하는 기관인 경우 계약을 의뢰한 기관의 명으로 공고기관과 수요기관이 동일할 수 있음
1,낙찰된 목록 현황 물품조회,rgstDt,등록일시,19,1,2016-05-12 10:24:42,"등록일시 ""YYYY-MM-DD HH:MM:SS"""
