오퍼레이션 번호,오퍼레이션명(국문),항목명(영문),항목명(국문),항목크기,항목구분,샘플데이터,항목설명
1,수요기관정보조회,resultCode,결과코드,2,1,00,결과코드
1,수요기관정보조회,resultMsg,결과메세지,50,1,정상.,결과메세지
1,수요기관정보조회,numOfRows,한 페이지 결과 수,4,1,10,한 페이지 결과 수
1,수요기관정보조회,pageNo,페이지 번호,4,1,1,페이지 번호
1,수요기관정보조회,totalCount,전체 결과 수,4,1,1,전체 결과 수
1,수요기관정보조회,dminsttCd,수요기관코드,7,1,9111117,수요기관코드 행자부코드(행정자치부에서 부여한 기관코드)가 있는 경우 행자부코드가 행자부코드가 없는 경우 조달청에서 부여한 수요기관 코드가 표기됨
1,수요기관정보조회,vldPrdBgnDt,유효기간시작일시,19,0,2012-03-15 12:00:00,유효기간시작일시 'YYYY-MM-DD HH:MM:SS'
1,수요기관정보조회,vldPrdEndDt,유효기간종료일시,19,0,2020-12-31 12:00:00,유효기간종료일시 'YYYY-MM-DD HH:MM:SS'
1,수요기관정보조회,dminsttNm,수요기관명,200,0,경상남도교육청 경상남도거제교육지원청 거제장평중학교,중앙조달인 경우 조달사업에 관한 법률 제2조(정의)에 따라 수요물자의 구매 공급 또는 시설공사 계약의 체결을 조달청장에게 요청할 수 있도록 조달청장이 인정하여 등록한 기관 또는 자체전자조달시스템을 이용하는 기관인 경우 계약을 의뢰한 기관의 명으로 공고기관과 수요기관이 동일할 수 있음
1,수요기관정보조회,dminsttAbrvtNm,수요기관약어명,100,0,거제장평중학교,수요기관약어명
1,수요기관정보조회,dminsttEngNm,수요기관영문명,400,0,Geoje Jangpyug Junior High School,수요기관영문명
1,수요기관정보조회,corprtRgstNo,법인등록번호,13,0,1101110375818,법인등록번호
1,수요기관정보조회,bizno,사업자등록번호,10,0,6128306057,사업자등록번호
1,수요기관정보조회,jrsdctnDivNm,소관구분명,200,0,국가기관,소관구분명
1,수요기관정보조회,insttTyCdLrgclsfcNm,기관유형코드대분류명,200,0,중학교,기관유형코드대분류명
1,수요기관정보조회,insttTyCdMidclsfcNm,기관유형코드중분류명,200,0,국가행정기관,기관유형코드중분류명
1,수요기관정보조회,insttTyCdSmlclsfcNm,기관유형코드소분류명,200,0,국가행정기관,기관유형코드소분류명
1,수요기관정보조회,bizcndtnNm,업태명,50,0,교육업,업태명
1,수요기관정보조회,indstrytyNm,업종명,50,0,교육,업종명
1,수요기관정보조회,ofclFaxNo,담당자팩스번호,25,0,055-636-9436,담당자팩스번호
1,수요기관정보조회,rgnCd,지역코드,50,0,50110,지역코드
1,수요기관정보조회,rgnNm,지역명,200,0,경상남도 거제시,지역구분명
1,수요기관정보조회,zip,우편번호,6,0,53270,우편번호
1,수요기관정보조회,adrs,주소,100,0,경상남도 거제시 장평4로,주소
1,수요기관정보조회,dtlAdrs,상세주소,100,0,40-0 (장평동),상세주소
1,수요기관정보조회,telNo,전화번호,25,0,055-636-9434,전화번호
1,수요기관정보조회,faxNo,팩스번호,25,0,055-636-9436,팩스번호
1,수요기관정보조회,hmpgAdrs,홈페이지주소,255,0,www.sawoman.or.kr,홈페이지주소
1,수요기관정보조회,dltYn,삭제여부,1,0,N,삭제여부
1,수요기관정보조회,toplvlInsttCd,최상위기관코드,7,0,9010000,최상위기관코드
1,수요기관정보조회,toplvlInsttNm,최상위기관명,200,0,대전광역시,최상위기관명
1,수요기관정보조회,rgstDt,등록일시,19,0,2001-08-10 12:00:00,"등록일시  ""YYYY-MM-DD HH:MM:SS”"
1,수요기관정보조회,chgDt,변경일시,19,0,2016-02-02 09:16:00,"변경일시  ""YYYY-MM-DD HH:MM:SS”"
2,조달업체 기본정보,resultCode,결과코드,2,1,00,결과코드
2,조달업체 기본정보,resultMsg,결과메세지,50,1,정상.,결과메세지
2,조달업체 기본정보,numOfRows,한 페이지 결과 수,4,1,10,한 페이지 결과 수
2,조달업체 기본정보,pageNo,페이지 번호,4,1,1,페이지 번호
2,조달업체 기본정보,totalCount,전체 결과 수,4,1,1,전체 결과 수
2,조달업체 기본정보,bizno,사업자등록번호,10,1,6168122531,조달업체의 사업자등록번호
2,조달업체 기본정보,corpNm,업체명,100,0,주식회사청마토건,입찰참가자격 등록한 업체명
2,조달업체 기본정보,engCorpNm,영문업체명,100,0,CHUNG MA CON.LTD,영문업체명
2,조달업체 기본정보,opbizDt,개업일시,19,0,1997-12-15 12:00:00,"개업일시 ""YYYY-MM-DD HH:MM:SS"""
2,조달업체 기본정보,rgnCd,지역코드,10,0,50110,조달업체의 지역코드
2,조달업체 기본정보,rgnNm,지역명,200,0,제주특별자치도 제주시,조달업체의 지역명
2,조달업체 기본정보,zip,우편번호,6,0,63210,조달업체의 우편번호
2,조달업체 기본정보,adrs,주소,100,0,제주특별자치도 제주시 고산동산1길,조달업체의 주소
2,조달업체 기본정보,dtlAdrs,상세주소,100,0,"6-0 ,203호(이도이동)",조달업체의 상세주소
2,조달업체 기본정보,telNo,전화번호,25,0,052-239-2379,조달업체의 전화번호
2,조달업체 기본정보,faxNo,팩스번호,25,0,052-239-2379,조달업체의 팩스번호
2,조달업체 기본정보,cntryNm,국가명,200,0,대한민국,조달업체의 국가명
2,조달업체 기본정보,hmpgAdrs,홈페이지주소,255,0,www.aaa.co.kr,조달업체의 홈페이지주소
2,조달업체 기본정보,mnfctDivCd,제조구분코드,7,0,제240002,"제조구분코드 제240001:제조, 제240002:공급"
2,조달업체 기본정보,mnfctDivNm,제조구분명,200,0,제조,제조구분명
2,조달업체 기본정보,emplyeNum,종업원수,10,0,15,조달업체의 종업원수
2,조달업체 기본정보,corpBsnsDivCd,업체업무구분코드,20,0,"01,07","업체업무구분코드
- 01: 물품
- 02,04 : 외자
- 03: 일반용역
- 05: 용역
- 07 : 공사"
