오퍼레이션 번호,오퍼레이션명(국문),항목명(영문),항목명(국문),항목크기,항목구분,샘플데이터,항목설명
1,계약현황에 대한 물품조회,resultCode,결과코드,2,1,00,결과코드
1,계약현황에 대한 물품조회,resultMsg,결과메세지,50,1,정상,결과메세지
1,계약현황에 대한 물품조회,numOfRows,한 페이지 결과 수,4,1,10,한 페이지 결과 수
1,계약현황에 대한 물품조회,pageNo,페이지 번호,4,1,1,페이지 번호
1,계약현황에 대한 물품조회,totalCount,전체 결과 수,4,1,1,전체 결과 수
1,계약현황에 대한 물품조회,untyCntrctNo,통합계약번호,13,1,2016050000077,연계 데이터 입력시 등록되는 계약번호로 계약현황 데이터의 식별자
1,계약현황에 대한 물품조회,bsnsDivNm,업무구분명,30,1,물품,"입찰업무를 구분하는 명으로 물품, 일반용역, 기술용역, 공사, 외자로 구분함 "
1,계약현황에 대한 물품조회,dcsnCntrctNo,확정계약번호,35,0,2016050001800,"(a) 공사, 기술용역, 외자
중앙 : 계약번호(8)+ 계약수정차수(2)
자체 : 계약번호(11)+ 계약수정차수
(b) 물품 , 일반용역
중앙 : 계약번호(9)+ 계약수정차수(2)
자체 : 계약번호(11)+ 계약수정차수(2)

차세대 나라장터 계약번호체계 개편
- 테스트여부(1)+년도(2)+번호구분(2)+순번(8) 총 13자리 구성
* 테스트여부 : T(모의)/R(실제), 번호구분 : BK(입찰공고번호)/TA(계약번호)
** 예시 : R24TA00000001 ☞ `24년 실제 계약번호이며 순번은 00000001 "
1,계약현황에 대한 물품조회,cntrctRefNo,계약참조번호,35,0,2016050001800,"(a) 공사, 기술용역
중앙 : 조달요청번호
자체 : 계약번호(11)+ 계약수정차수(2)
(b) 물품, 일반용역
중앙 : 계약번호(9)+ 계약수정차수(2)
자체 : 계약번호(11)+ 계약수정차수(2)
(c) 외자
중앙 : 계약번호(8)+ 계약수정차수(2)
자체 : 계약번호(11)+ 계약수정차수(2) 

차세대 나라장터 계약번호체계 개편
- 테스트여부(1)+년도(2)+번호구분(2)+순번(8) 총 13자리 구성
* 테스트여부 : T(모의)/R(실제), 번호구분 : BK(입찰공고번호)/TA(계약번호)
** 예시 : R24TA00000001 ☞ `24년 실제 계약번호이며 순번은 00000001 "
1,계약현황에 대한 물품조회,cntrctNm,계약명,100,0,종합경기장 제1종 육상트랙 보수용 관급 탄성포장재 구매설치,공사명 또는 사업명이라고도 하며 계약내용을 요약한 이름
1,계약현황에 대한 물품조회,cmmnCntrctYn,공동계약여부,1,0,N,공동계약의 경우 공사/제조 기타의 계약에 있어서 필요하다고 인정할 때 계약 상대자를 2인 이상과 체결하는 계약이며 단독계약은 계약상대자를 1인으로 하는 통상적인 계약을 미함.(Y/N)
1,계약현황에 대한 물품조회,lngtrmCtnuDivNm,장기계속구분명,30,0,신규,"계약이행에 수년을 요하는 계약을 장기계속계약이라 하며 해당 계약이 신규계약인지 장기계속계약,  계속비계약, 기타계약 인지를 구분하는 명 "
1,계약현황에 대한 물품조회,cntrctCnclsDate,계약체결일자,10,0,2016-05-02,계약이 성립된 체결일자 ”YYYY-MM-DD”
1,계약현황에 대한 물품조회,cntrctPrd,계약기간,70,0,2016.05.02 ~ 2016.06.03,계약의 효력이 있는 기간
1,계약현황에 대한 물품조회,baseLawNm,근거법률명,1200,0,지방계약법 (020조 01항 10호 0-목),계약의 근거법률명
1,계약현황에 대한 물품조회,totCntrctAmt,총계약금액,25,0,0,"장기계속계약의 경우에만 발생되며 장기계속계약 전체 계약금액(총부기금액) 을 의미함(원화,원)"
1,계약현황에 대한 물품조회,thtmCntrctAmt,금차계약금액,25,0,153977000,"계약의 금차계약금액(원화,원)"
1,계약현황에 대한 물품조회,grntymnyRate,보증금률,25,0,10,계약의 보증금율(%)
1,계약현황에 대한 물품조회,cntrctInfoUrl,계약정보URL,500,0,https://www.g2b.go.kr,계약정보가 등록 되어 있는 사이트URL
1,계약현황에 대한 물품조회,payDivNm,지급구분명,30,0,직불,"계약의 지급구분명 연구원, 한국조폐"
1,계약현황에 대한 물품조회,reqNo,요청번호,70,0,2102318588,계약의 요청번호
1,계약현황에 대한 물품조회,ntceNo,공고번호,40,0,2016042199600,입찰공고번호(11) + 입찰공고차수(2) (일부 데이터는 입찰공고 차수가 없음)
