테이블명,컬럼명,타입,범주형 여부,범주 갯수,NULL 갯수,길이,PK,NN,국문 설명
bid,bidntceno,text,N,702,0,,Y,Y,입찰공고번호
bid,bidntceord,text,N,5,0,,Y,Y,입찰공고차수
bid,presmptprce,bigint,N,1866,162635,64,,,예정가격
bid,rsrvtnprce,bigint,N,1844,7627266,64,,,예약가격
bid,bssamt,bigint,N,1748,2384292,64,,,기초금액
bid,sucsflwstlmtrt,numeric,Y,23,199252088,,,,낙찰하한율 (낙찰 최저 제한율)
bid,opengrank,integer,N,4160,235939538,32,,,개찰순위
bid,bidprccorpbizrno,text,N,667,0,,Y,Y,입찰업체사업자등록번호
bid,bidprcamt,bigint,N,96334,3053985,64,,,입찰금액
bid,bidprcrt,numeric,N,14462,1058535,,,,입찰률
bid,bidprcdate,date,N,542,1058535,,,,입찰일자
bid,bidprctm,time without time zone,N,1438,1058535,,,,입찰시간
bid,sucsfyn,text,N,2,0,,,,낙찰여부
bid,dqlfctnrsn,text,N,17,0,,,,탈락사유
bid,bid_rate,numeric,N,71639,201411790,,,,사정률 기준 투찰률 (후처리 계산)
bid,bid_rate_diff,numeric,N,73797,201411790,,,,사정률 기준 투찰률 차이 (bid_rate - 100)
bid,collected_at,timestamp with time zone,N,11675,12904829,,,,수집시각
bid,synced_at,timestamp with time zone,Y,10,0,,,,마지막 동기화 시점
company,bizno,text,N,100000,0,,Y,Y,사업자등록번호
company,corpnm,text,N,94050,0,,,Y,회사명(국문)
company,engcorpnm,text,N,47424,13,,,,회사명(영문)
company,opbizdt,timestamp without time zone,N,11819,13,,,,개업일자
company,rgncd,text,N,290,13,,,,행정구역코드(행자부)
company,rgnnm,text,N,2471,13,,,,행정구역명
company,zip,text,N,31080,13,,,,우편번호
company,adrs,text,N,50679,13,,,,도로명주소
company,dtladrs,text,N,77433,13,,,,상세주소
company,cntrynm,text,N,24,13,,,,국가명
company,telno,text,N,80160,13,,,,전화번호
company,faxno,text,N,74150,13,,,,팩스번호
company,hmpgadrs,text,N,20359,13,,,,홈페이지 주소
company,mnfctdivcd,text,N,3,13,,,,제조/공급 구분코드
company,mnfctdivnm,text,N,3,13,,,,제조/공급 구분명
company,emplyenum,integer,N,600,149,32,,,종업원 수
company,corpbsnsdivcd,text,N,22,13,,,,사업분야 코드(콤마 구분)
company,corpbsnsdivnm,text,N,22,13,,,,사업분야 명(콤마 구분)
company,hdoffcedivnm,text,N,2,13,,,,본사/지사 구분
company,rgstdt,timestamp without time zone,N,97526,13,,,,최초 등록일시
company,chgdt,timestamp without time zone,N,53849,15,,,,최근 변경일시
company,esntlnocertrgstyn,character(1),Y,2,13,1,,,필수번호 인증 등록 여부
company,ceonm,text,N,52635,13,,,,대표자명
company,collected_at,timestamp with time zone,N,39845,773302,,,,데이터 수집 시각
company,synced_at,timestamp with time zone,N,100000,13,,,,마지막 동기화 시점
company,has_bid,boolean,Y,2,0,,,,투찰 이력 여부 (후처리 계산)
company,bid_count,integer,N,6409,0,32,,,투찰 횟수 (후처리 계산)
company_industry_type,bizno,character varying(20),N,43013,0,20,Y,Y,사업자등록번호
company_industry_type,indstrytycd,character varying(10),N,1517,0,10,Y,Y,업종코드
company_industry_type,indstrytynm,character varying(200),N,742,0,200,,,업종명
company_industry_type,indstrytystatsnm,character varying(200),Y,3,0,200,,,업종통계명
company_industry_type,rprsntindstrytyyn,character(1),Y,2,0,1,,,대표업종여부 (Y/N)
company_industry_type,rgstdt,timestamp without time zone,N,9557,97719,,,,등록일시
company_industry_type,vldprdexprtdt,timestamp without time zone,N,5425,924132,,,,유효기간만료일시
company_industry_type,chgdt,timestamp without time zone,N,27253,693111,,,,변경일시
company_industry_type,systmrgstdt,timestamp without time zone,N,72150,0,,,,시스템등록일시
company_industry_type,systmchgdt,timestamp without time zone,N,67433,0,,,,시스템변경일시
company_industry_type,synced_at,timestamp with time zone,N,100000,0,,,,마지막 동기화 시점
institution,dminsttcd,text,N,100000,0,,Y,Y,수요기관코드 (PK)
institution,dminsttnm,text,N,95606,0,,,Y,수요기관명
institution,dminsttabrvtnm,text,N,45888,0,,,,수요기관약칭명
institution,dminsttengnm,text,N,73599,0,,,,수요기관영문명
institution,corprtrgstno,text,N,8920,0,,,,법인등록번호
institution,bizno,text,N,73550,0,,,,사업자등록번호
institution,vldprdbgndt,text,N,2548,0,,,,유효기간시작일자
institution,vldprdenddt,text,N,1306,0,,,,유효기간종료일자
institution,jrsdctndivnm,text,N,10,0,,,,"관할구분명 (국가기관, 지방자치단체, 기타기관)"
institution,instttycdlrgclsfcnm,text,N,21,0,,,,기관유형대분류명
institution,instttycdmidclsfcnm,text,N,119,0,,,,기관유형중분류명
institution,instttycdsmlclsfcnm,text,N,97,0,,,,기관유형소분류명
institution,bizcndtnnm,text,N,3210,0,,,,업태명
institution,indstrytynm,text,N,8149,0,,,,업종명
institution,rgncd,text,N,324,0,,,,행정구역코드
institution,rgnnm,text,N,2782,0,,,,행정구역명
institution,zip,text,N,34738,0,,,,우편번호
institution,adrs,text,N,52609,0,,,,주소
institution,dtladrs,text,N,61370,0,,,,상세주소
institution,telno,text,N,76997,0,,,,전화번호
institution,faxno,text,N,71396,0,,,,팩스번호
institution,ofclfaxno,text,N,66351,0,,,,대표팩스번호
institution,hmpgadrs,text,N,14331,0,,,,홈페이지주소
institution,toplvlinsttcd,text,N,23132,0,,,,최상위기관코드
institution,toplvlinsttnm,text,N,21446,0,,,,최상위기관명
institution,dltyn,character(1),Y,2,0,1,,,삭제여부 (Y/N)
institution,rgstdt,timestamp without time zone,N,54264,0,,,,등록일시
institution,chgdt,timestamp without time zone,N,49975,97,,,,변경일시
institution,collected_at,timestamp with time zone,N,18059,64838,,,,데이터 수집 시각
institution,synced_at,timestamp with time zone,N,100000,0,,,,마지막 동기화 시점
notice,bidntceno,character varying(20),N,88405,0,20,Y,Y,입찰공고번호
notice,bidntceord,character varying(5),Y,9,0,5,Y,Y,입찰공고차수
notice,bsns_div,character varying(10),Y,1,0,10,,,업종구분 (공사/물품/외자/용역)
notice,arsltappldocrcptmthdnm,text,N,4,0,,,,실적신청서접수방법명
notice,bfspecrgstno,text,N,31420,0,,,,사전규격등록번호
notice,bidbegindt,timestamp without time zone,N,34250,480709,,,,입찰개시일시
notice,bidclsedt,timestamp without time zone,N,15388,473457,,,,입찰마감일시
notice,bidgrntymnypaymntyn,text,N,3,0,,,,입찰보증금납부여부
notice,bidmethdnm,text,N,7,0,,,,입찰방식명
notice,bidntcedt,timestamp without time zone,N,97923,0,,,,입찰공고일시
notice,bidntcedtlurl,text,N,100000,0,,,,입찰공고상세URL
notice,bidntcenm,text,N,94087,0,,,,입찰공고명
notice,bidntceurl,text,N,810,0,,,,입찰공고URL
notice,bidprtcptfee,bigint,N,7661,6744639,64,,,입찰참가수수료
