필드명,대분류,필드명(국문),설명,샘플값
VAT,"공사,물품,용역",부가가치세,부가가치세,
aplBssCntnts,공사,적용기준내용,공고의 적용기준내용,행자부
arsltApplDocRcptDt,"공사,물품,외자",실적신청서접수일시,실적심사신청서 접수마감일시 “YYYY-MM-DD HH:MM:SS”,
arsltApplDocRcptMthdNm,공통,실적신청서접수방법명,공고의 실적신청서접수방법명,없음
arsltCmptYn,"공사,용역",실적경쟁여부,공고의 실적경쟁여부(Y/N),N
arsltReqstdocRcptDt,용역,실적신청서접수일시,실적심사신청서 접수마감일시 “YYYY-MM-DD HH:MM:SS”,
asignBdgtAmt,"물품,외자,용역",배정예산금액,"사업목적물을 달성하기 위하여 배정된 예산액 또는 설계금액(원화,원)",78328200
bdgtAmt,공사,예산금액,"공고의 예산금액(원화,원)",199022000
bfSpecRgstNo,공통,사전규격등록번호,사전규격등록번호,
bidBeginDt,공통,입찰개시일시,입찰서의 제출을 개시하는 일시 “YYYY-MM-DD HH:MM:SS”,2010-01-04 10:00:00
bidClseDt,공통,입찰마감일시,입찰서의 제출을 마감하는 일시 “YYYY-MM-DD HH:MM:SS”,2010-01-11 10:00:00
bidGrntymnyPaymntYn,공통,입찰보증금납부여부,입찰보증금을 나라장터에서 전자로 납부가능하게 할지 여부(Y/N),불허
bidMethdNm,공통,입찰방식명,"공고의 입찰방식명 직찰
 전자입찰,전자입찰/직찰,전자/직찰/우편/상시,직찰/우편/상시,우편/상시,전자시담,복수견적(역경매),직찰/우편,전자시담(다자간)",전자입찰
bidNtceDt,공통,입찰공고일시,입찰공고서를 공고한 일시 “YYYY-MM-DD HH:MM:SS”,2010-01-03 15:07:54
bidNtceDtlUrl,공통,입찰공고상세URL,나라장터시스템의 입찰공고 상세화면 링크,https://www.g2b.go.kr/link/PNPE027_01/single/?bidP
bidNtceNm,공통,입찰공고명,공사명 또는 사업명이라고도 하며 입찰공고 내용을 요약한 이름,양산천 구름다리 엘리베이터 외장재 설치공사
