bidNtceNo,bidNtceNm,opengDate,opengRank,bidprcCorpNm
20091220972,일산초 영어거점센터 리모델링 전기공사,2010-01-04,32,(주)럭스코
20091221520,2010년 상수도 포장공사(연간),2010-01-04,34,아이비토건(주)
20091216486,안산시 사3동 주민센터 건립공사(건축),2010-01-05,261,우신산업주식회사
20091220348,광주석산고 본관 천정텍스 시공에 따른 전기공사 견적공고,2010-01-04,165,태청이앤씨 주식회사
20091221026,경기과학고 교실증축 및 강당보수공사,2010-01-04,100,한국흥업토건(주)
20091220387,내정중 교과교실보수 공사,2010-01-04,192,대양건설
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,342,주식회사 서한지이씨
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1535,서해전설(주)
20091221209,제주여자고등학교 과학관 증축공사,2010-01-04,37,주식회사 이타스
20091221284,임성중학교 다목적강당 증축 전기 공사,2010-01-04,242,태안전력(주)
20091221025,포항예술고등학교 급식소 증축 소액수의 전기공사,2010-01-04,,(주)소스텍
20091221026,경기과학고 교실증축 및 강당보수공사,2010-01-04,,중앙건설 주식회사
20091220122,양평군 양평어린이집 리모델링공사(기계),2010-01-04,,주식회사 솔라플레이
20091220385,원산3리 마을안길 및 세천정비공사,2010-01-04,,주식회사 건일건설
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1279,태극IBA(주)
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,86,광진티이씨(주)
20091216486,안산시 사3동 주민센터 건립공사(건축),2010-01-05,5,(주)모든종합건설
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,598,태성전기통신(주)
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,767,현대전기소방건설공사
20091219381,인천생활과학고 교과교실 리모델링 공사 입찰 공고,2010-01-04,4,나산섬유
20091221162,길원여자고등학교 급식소 개축 기계설비공사(긴급),2010-01-04,6,(주)효성엔지니어링
20091220223,성주일반산업단지 석면폐기물 해체제거공사,2010-01-04,21,(주)신라환경
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1791,성진머티리얼즈 주식회사
20091221026,경기과학고 교실증축 및 강당보수공사,2010-01-04,356,삼중종건(주)
20091221284,임성중학교 다목적강당 증축 전기 공사,2010-01-04,,(주)영찬전기
20091221992,대동고등학교 급식소 증축 및 수선 공사,2010-01-04,,세창건설 주식회사
20091221026,경기과학고 교실증축 및 강당보수공사,2010-01-04,,해용종합건설(주)
20091220122,양평군 양평어린이집 리모델링공사(기계),2010-01-04,,미래와환경이엔지(주)
20091220348,광주석산고 본관 천정텍스 시공에 따른 전기공사 견적공고,2010-01-04,37,(주)오토콘
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1151,주식회사 두영
20091220382,오곡리 농로포장공사,2010-01-04,4,씨지디엔씨 주식회사
20091220387,내정중 교과교실보수 공사,2010-01-04,64,삼부이앤지(주)
20091220400,운문천 정비공사,2010-01-04,,세인종합건설(주)
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,639,주식회사 예성
20091220972,일산초 영어거점센터 리모델링 전기공사,2010-01-04,,(주)신안전력
20091220387,내정중 교과교실보수 공사,2010-01-04,,(주)이산산업개발
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,214,삼영이노텍주식회사
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1407,주식회사성우전력
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,470,승화이엔지 주식회사
20091216486,안산시 사3동 주민센터 건립공사(건축),2010-01-05,133,신우종합건설(주)
20091221265,진해시 청소년수련원 수해피해복구 공사,2010-01-04,3,성주산업주식회사
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,383,(주)삼흥기업
20091218864,상록초교실바닥교체공사(변경),2010-01-04,,초산건설주식회사
20091216486,안산시 사3동 주민센터 건립공사(건축),2010-01-05,,엠에스종합건설(주)
20091220871,태광고 교실증축공사,2010-01-04,24,대방종합건설(주)
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1663,유진전력(주)
20091221545,명신고등학교 교과교실 리모델링에 따른 전기공사,2010-01-04,22,(합)화신전기
20091221284,임성중학교 다목적강당 증축 전기 공사,2010-01-04,114,주식회사 그린산전
20091220791,신능중 급식실 현대화사업 공사,2010-01-04,57,주식회사 삼화종합건설
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,895,덕성전력(주)
20091221026,경기과학고 교실증축 및 강당보수공사,2010-01-04,228,해평건설주식회사
20091221284,임성중학교 다목적강당 증축 전기 공사,2010-01-04,,(주)형제전기
20091221026,경기과학고 교실증축 및 강당보수공사,2010-01-04,484,일신건설 주식회사
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,,(주)성지파워
20091221026,경기과학고 교실증축 및 강당보수공사,2010-01-04,,(유)럭키건설
20091221330,광주수피아여고 교과교실제 운영교실 리모델링 공사 입찰공고(긴급),2010-01-04,,(주)세실기업
20091221992,대동고등학교 급식소 증축 및 수선 공사,2010-01-04,228,주식회사 선재
20091221549,명신고등학교 교과교실 리모델링에 따른 통신공사,2010-01-04,,주식회사 동현건설
20091221550,인일여자고등학교 담장보수공사,2010-01-04,,대동토건(주)
20091221025,포항예술고등학교 급식소 증축 소액수의 전기공사,2010-01-04,,금성전기
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1087,백호전기
20091220771,일산초 영어제험센터 리모델링 통신공사(소액수의견적제출),2010-01-04,55,세기정보통신
20091220122,양평군 양평어린이집 리모델링공사(기계),2010-01-04,,(주)우영기술산업
20091220348,광주석산고 본관 천정텍스 시공에 따른 전기공사 견적공고,2010-01-04,101,(주)서일전기
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,575,파워하이텍
20091220348,광주석산고 본관 천정텍스 시공에 따른 전기공사 견적공고,2010-01-04,,주식회사 등화전설
20091220779,유동2리 세천석축설치공사,2010-01-04,,(주)반석건설
20091220382,오곡리 농로포장공사,2010-01-04,,(주)광개토
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1215,(주)국제전력
20091220391,칠봉천 정비공사,2010-01-04,9,주식회사 성안건설
20091220387,내정중 교과교실보수 공사,2010-01-04,128,무구이엔씨
20091220418,효령면 매곡1리 노인회관 신축공사,2010-01-04,1,대용건설 주식회사
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,319,대한건영 (주)
20091220972,일산초 영어거점센터 리모델링 전기공사,2010-01-04,,삼진이앤지 주식회사
20091220387,내정중 교과교실보수 공사,2010-01-04,256,금영건설(주)
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,22,(주)아성큐브스
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1343,보흥전기
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,150,승림이앤씨(주)
20091220726,순천금당고등학교 조리실 개&#8228;보수 및 증축 공사,2010-01-04,31,주식회사 우리종건
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,278,(주)재원피앤드티
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,703,주식회사 미래해병
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,406,경방전력 주식회사
20091216486,안산시 사3동 주민센터 건립공사(건축),2010-01-05,69,동우건설 주식회사
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,534,광명전력 주식회사
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1471,남양전기통신(주)
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,662,숭일전기주식회사
20091216486,안산시 사3동 주민센터 건립공사(건축),2010-01-05,197,도진종합건설(주)
20091221382,옥동중학교 바닥교체 통신공사,2010-01-04,,주식회사에스케이범통신
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,191,서일전력주식회사
20091218864,상록초교실바닥교체공사(변경),2010-01-04,46,(주)디킴스디자인
20091216486,안산시 사3동 주민센터 건립공사(건축),2010-01-05,325,중우건설주식회사
20091218864,상록초교실바닥교체공사(변경),2010-01-04,,간석목재산업 주식회사
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1599,(주)진한전기
20091219381,인천생활과학고 교과교실 리모델링 공사 입찰 공고,2010-01-04,,희정건설 주식회사
20091216486,안산시 사3동 주민센터 건립공사(건축),2010-01-05,,주식회사 시티
20091220871,태광고 교실증축공사,2010-01-04,,정웅종합건설주식회사
