id,공고번호,공고제목,발주처(수요기관),지역제한,기초금액,예정가격,예가범위,A값,투찰률(%),참여업체수,공고구분표시,정답사정률(%)
1,20161218299-00,"나라키움 역삼동A,B빌딩 개발사업 정보통신공사",한국자산관리공사,전국/서울,1485737000,1479147800,+2% ~ -2%,0,86.745,824,기/의무,-0.44350
2,20161231073-00,2017년 도서관 네트워크 유지보수 용역 (긴급공고),경기도,서울/경기,25329000,25448475,+3% ~ -3%,0,87.745,14,기,0.47169
3,20161227441-00,어린이 청소년 종합타운(본관 리모델링) 통신 공사,서울특별시,서울,294690000,291071225,+3% ~ -3%,0,87.745,970,,-1.22800
4,20161227442-00,경부선 구로~가산디지털단지역간 통신관로 보수 타공사,한국철도공사,서울,416083000,409301925,+0% ~ -4%,0,86.745,882,기,-1.62975
5,20161228789-00,연세대학교재활학교 전공과교실 및 직업훈련실 증축 통신공사,서울특별시교육청,서울,57750000,57603950,+2% ~ -2%,0,87.745,974,,-0.25291
6,20161230310-00,2017년 민방위경보시설 유지보수용역,경기도,서울/경기,31096440,31466925,+3% ~ -3%,0,87.745,11,기,1.19140
7,20161225731-00,분당선 구룡역 등 6역 승강장안전문 설치에 따른 정보통신설비 개량타공사,한국철도공사,서울/경기,255126000,251125025,+0% ~ -4%,0,87.745,1831,기,-1.56824
8,20161223372-00,구로자원순환센터 건립 정보통신공사,서울특별시,서울,207350000,205603650,+3% ~ -3%,0,87.745,980,기,-0.84223
9,20161225127-00,전쟁기념관 개방형 WI-FI 구매설치 공사 입찰공고(긴급),국방부,서울/인천/경기,94000000,94086975,+2% ~ -2%,0,87.745,60,,0.09252
10,20161224148-00,2017년 터널 라디오 재방송설비 유지보수 용역(연간단가),서울특별시,서울,23073600,23126675,+3% ~ -3%,0,87.745,196,기,0.23002
11,20161220158-00,3호선 금호~옥수 방음벽 교체에 따른 정보통신공사,서울교통공사,서울,232373200,234172400,+3% ~ -3%,0,87.745,937,기,0.77427
12,20161221836-01,구청사 지진가속도계측기 설치 공사 (긴급공고) (정정공고),서울특별시,서울,128084000,126858925,+3% ~ -3%,0,87.745,60,기/정,-0.95647
13,20161220781-01,동작서 상도3파출소 신축(통신) 공사 (긴급공고) (정정공고),경찰청,서울,26320000,26207625,+2% ~ -2%,0,87.745,834,기/정,-0.42696
14,20161218812-00,서울의료원 13층 음압병동구축 통신공사 입찰공고,서울특별시,서울,24495000,24601300,+3% ~ -3%,0,87.745,804,,0.43396
15,20161217982-00,2017년 CCTV시스템 유지관리용역(연간단가),서울특별시,서울,27714280,27712375,+3% ~ -3%,0,87.745,205,기,-0.00688
16,20161217434-00,2017년 운행제한 단속시스템 유지보수 용역,서울특별시,서울/인천/경기,83525000,84356750,+3% ~ -3%,0,87.745,53,기/협정,0.99580
17,20161215661-00,숙명여자고등학교 방송시설개선공사(긴급),서울특별시교육청,서울,148280000,148171800,+2% ~ -2%,0,87.745,924,기,-0.07298
18,20161220978-00,서울동작초등학교 본관 방송 및 통신선로공사 (긴급공고),서울특별시동작교육청,서울,85749000,84995950,+3% ~ -3%,0,87.745,1040,,-0.87821
19,20161219831-00,2017년도 국회 CCTV시스템 시설 유지보수용역,국회,서울,49370000,49109350,+2% ~ -2%,0,88,23,기,-0.52796
20,20161221645-00,은평고 특별교실 증축 통신 공사,서울특별시교육청,서울,35057000,34824475,+3% ~ -3%,0,87.745,936,,-0.66328
21,20161213693-00,2017년 성남문화재단 전산장비 통합유지관리 용역,재단법인,서울/경기,74407320,75124850,+3% ~ -3%,0,87.745,19,기,0.96432
22,20161212242-00,분당선 대모산입구역외 1역 승강장안전문 설치 영상설비 개량 타공사,한국철도공사,서울/경기,358025000,350873500,+0% ~ -4%,0,86.745,1723,기,-1.99749
23,20161212124-00,분당선 구룡역외 1역 승강장안전문 설치 영상설비 개량 타공사,한국철도공사,서울,412935000,403278575,+0% ~ -4%,0,86.745,876,기,-2.33849
24,20161212737-00,2017년 서울시 서소문청사 통신시스템 유지관리용역,서울특별시,서울,151537000,151843175,+3% ~ -3%,0,87.745,42,기/협정,0.20204
25,20161217637-00,신연중 급식실 및 학생식당 증축 통신 공사,서울특별시교육청,서울,38229000,38433575,+3% ~ -3%,0,87.745,958,,0.53513
26,20161217617-00,신수중 급식실 및 학생식당 증축 통신 공사,서울특별시교육청,서울,36504000,36534075,+3% ~ -3%,0,87.745,956,,0.08238
27,20161217603-00,서울안산초등학교 급식실 및 학생식당 증축 통신 공사,서울특별시교육청,서울,27720000,28013600,+3% ~ -3%,0,87.745,897,,1.05916
28,20161217435-00,길음역 신호계실 비상출입문 설치에 따른 PSD제어반(TIP) 이설공사,서울교통공사,서울,11342210,11149475,+3% ~ -3%,0,87.745,517,기,-1.69928
29,20161215855-00,올림픽공원 몽촌해자 CCTV 설치공사 견적제출(기업대상) 공고,서울올림픽기념국민체육진흥공단,서울,37122400,37242650,+2% ~ -2%,0,87.745,61,여성,0.32392
30,2016-18939,00부대 종교센터 통신공사(16-2074),국군재정관리단,서울,51149000,50061730,0.0% ~ -3.0%,0,87.745,728,,-2.12570
31,20161212342-00,2017년도 서울과학수사연구소 통신(전화)시설 유지보수 용역,행정안전부,서울/경기,3450000,3453150,+2% ~ -2%,0,88,22,,0.09130
32,20161213095-00,2017년 정보화시스템 유지보수 용역 (긴급공고),서울특별시,서울,98260000,97796025,+3% ~ -3%,0,87.745,11,기,-0.47220
33,20161212682-00,2017년 가로등 점소등제어시스템 유지보수 용역,서울특별시,서울/인천/경기,43200000,43224025,+3% ~ -3%,0,87.745,19,기,0.05561
