id,공고번호,공고제목,발주처(수요기관),지역제한,기초금액,예정가격,예가범위,A값,투찰률(%),참여업체수,공고구분표시,정답사정률(%)
1,20181233433-00,2019년 광명문화재단 정보통신시스템 유지보수 용역,재단법인,서울/경기,29113000,28871250,+3% ~ -3%,0,88,14,,-0.83039
2,20181223121-00,시청②역 내진보강 등에 따른 시설개량 정보통신공사,서울교통공사,전국/서울,2494291950,2522602225,+3% ~ -3%,0,86.745,865,기/의무,1.13500
3,20181220568-00,시청(2)역 내진보강 등 시설개량 PSD공사,서울교통공사,전국/서울,1034144160,1033722775,+3% ~ -3%,0,86.745,953,기/의무,-0.04075
4,20181231850-00,민원콜센터 상담프로그램 유지보수 용역,경기도,서울/경기,45015500,45077325,+3% ~ -3%,0,88,11,기,0.13734
5,20181232051-01,(긴급)2019년도 파주시도서관 도서보시스템 유지보수 용역 (긴급공고) (공고),경기도,서울/경기,98332300,97906825,+3% ~ -3%,0,87.745,20,정,-0.43270
6,20181228076-00,디지털 시민랩(상상공작소) 신규 조성 공사(통신) (긴급공고),재단법인서울디지털재단,서울,27500000,27598025,+3% ~ -3%,0,87.745,870,,0.35645
7,20181229793-00,2019년 tbs IPTV 방송시스템 및 네트워크 유지보수 용역 (긴급공고),서울특별시/서울특별시,서울,56224800,56947750,+3% ~ -3%,0,87.745,16,기,1.28582
8,KRA2018120600,용산 장학관 건립 2차 정보통신공사,한국마사회,서울,101808000,101480500,3% ~ -3%,0,87.745,786,기,-0.32169
9,20181229636-00,2019년 공영주차장 주차관제 및 CCTV시스템 유지보수(연간단가),서울특별시,서울,37380000,37487325,+3% ~ -3%,0,88,27,기,0.28711
10,20181227708-00,6호선 녹사평역 개집표 이전관련 통신공사,서울교통공사,서울,46783100,47101025,+3% ~ -3%,0,87.745,864,기,0.67957
11,1804009-00,"서울휘경, 서울잠실 행복주택 정보통신공사 1공구(행복240호)",한국토지주택공사,전국/서울,1271342000,1271223000,+2% ~ -2%,0,86.745,907,기/의무,-0.00937
12,20181226870-00,2019년 대기오염 옥외전광판 유지보수 용역,인천광역시,서울/인천/경기,29150000,28683250,+3% ~ -3%,0,88,11,,-1.60121
13,20181223968-00,[동작관악][긴급]관급자재(방송장비) 구매[남서울중학교 방송시설개선 통신공사],서울특별시교육청,서울/경기,75381900,75581150,+3% ~ -3%,0,87.995,98,물품,0.26432
14,20181217885-00,하수관로 수위 모니터링 시스템 제작구매-총액,서울지방조달청/서울특별시,서울,261670000,262556475,+3% ~ -3%,0,87.995,26,물품/기,0.33877
15,20181224428-00,★장애인업 대상★구로차량지 등 18개소 CCTV강관주 안전작업대 설치공사,한국철도공사,서울/인천/경기,51579000,51641200,+2% ~ -2%,0,87.745,36,기,0.12059
16,20181220517-00,"통합술센터(옥수,대림별관) 조성에 따른 정보통신공사",서울교통공사,서울,254021660,254501175,+3% ~ -3%,0,87.745,989,기,0.18876
17,20181223969-00,2019년 통신장비 유지보수 용역업체 선정 (긴급공고),성동구도시관리공단,서울/경기,51794000,51314050,+3% ~ -3%,0,87.745,30,,-0.92666
18,20181224741-00,전산 서버 통합 유지보수 용역 (긴급공고),수원도시공사,서울/경기,25538000,25756850,+3% ~ -3%,0,88,29,기,0.85695
19,20181223361-00,금하마을 주민공동이용시설 건립공사 (통신),서울특별시,서울,21958000,22032600,+3% ~ -3%,0,87.745,839,,0.33973
20,20181221069-00,2019년 한강공원 승강기 영상정보처리기기(CCTV) 유지관리 용역,서울특별시,서울,40000000,40286600,+3% ~ -3%,0,88,45,,0.71650
21,20181218267-00,답십리두산 인터폰설비 교체공사,서울주택도시공사,서울,52000000,51409700,+3% ~ -3%,0,87.745,986,기,-1.13520
22,20181220619-00,2019년 정보시스템 통합 유지보수 용역,서울특별시광진구시설관리공단,서울,99990030,99761875,+3% ~ -3%,0,87.745,19,기,-0.22818
23,20181222287-00,용역(수의)견적제출안내(2019년 시흥시 도서관 자동화장비 통합유지보수용역),경기도,서울/경기,43488880,42997400,+3% ~ -3%,0,88,12,기,-1.13013
24,20181219634-02,서울강일초 방송설비 개선 공사 입찰 변경공고(긴급) (긴급공고) (정정공고),서울특별시강동교육청,서울,79119000,80478725,+3% ~ -3%,0,87.745,955,기/정,1.71858
25,20181218615-00,시청(2)역 내진보강 전자공사,서울교통공사,전국/서울,518047900,519100875,+3% ~ -3%,0,86.745,1038,기/의무,0.20325
26,20181219890-00,"성내동 엔젤공방 허브센터 및 도서관 신축 통신공사 시행(긴급, 장계속) (긴급공고)",서울특별시,서울,88880000,89949250,+3% ~ -3%,0,87.745,934,기,1.20302
27,20181219784-00,난곡초 강당 겸 체육관 증축 통신공사,서울특별시교육청,서울,56070000,56320150,+3% ~ -3%,0,87.745,1017,,0.44613
28,20181216357-00,2018년 녹사평 등 5개역 전자설비 이설공사,서울교통공사,서울,237637390,239117925,+3% ~ -3%,0,87.745,953,기,0.62302
29,20181216039-00,군자역 스마트스테이션 구축공사(전자분야),서울교통공사,서울,289199680,286719825,+3% ~ -3%,0,87.745,942,기,-0.85749
30,20181215722-00,2019년 음향설비 유지관리 용역,서울특별시/서울특별시,서울,153054000,153037225,+3% ~ -3%,0,87.745,91,기,-0.01097
31,20181129768-00,장애인 건강검진센터 건립사업 통신공사,서울지방조달청/보건복지부,서울,199893000,200259350,+2% ~ -2%,0,87.745,923,기/협정,0.18327
32,20181216620-00,"(긴급)방산중학교 방송선로 교체공사(장계속, 총차) (긴급공고)",서울특별시교육청,서울,234726000,231825425,+3% ~ -3%,0,87.745,975,기,-1.23573
33,20181212885-00,선린인터넷고 실습실 증축 통신공사,서울특별시교육청,서울,88288000,88209675,+3% ~ -3%,0,87.745,981,기,-0.08872
34,E011812442,154kV 지축E/C 전력통신설비 시설공사,한국전력공사,서울/경기,131637000,132326094,2% ~ -2%,0,87.745,1735,,0.52348
35,20181218745-00,서울양명초등학교 체육관 및 급식시설 증측 통신공사,서울특별시교육청,서울,67625000,67607950,+3% ~ -3%,0,87.745,1053,기,-0.02522
36,20181218730-00,서울영도초등학교 급식시설 증축 및 통신공사,서울특별시교육청,서울,55239000,54905250,+3% ~ -3%,0,87.745,1050,기,-0.60420
37,20181217039-00,[긴급]용원초 학생식당 및 특별교실 증축 통신공사 (긴급공고),서울특별시교육청,서울,56479000,57033950,+3% ~ -3%,0,87.745,1045,,0.98257
38,20181213878-00,방원중학교 방송선로개선 통신공사,서울특별시교육청,서울,239690000,242284675,+3% ~ -3%,0,87.745,1004,기,1.08251
39,20181213219-00,SMART STATION 구축관련 군자역 능실 재배치 통신공사,서울교통공사,서울,162707800,162857525,+3% ~ -3%,0,87.745,987,기,0.09202
40,2018-18763,00부대 통신공사(18-2044),국군재정관리단,서울,548267668,537358231,0.1% ~ -3.0%,0,86.745,736,기,-1.98981
41,20181211906-00,2019년 정보시스템 통합유지보수 용역,서울특별시서대문구도시관리공단,서울,57801000,58644675,+3% ~ -3%,0,87.995,11,,1.45962
42,20181207363-00,CKL획센터(대학로) 원상복구 및 개보수 공사(통신),한국콘텐츠진흥원,서울,118110000,118396175,+2% ~ -2%,0,87.745,927,기,0.24229
43,20181216651-00,통합복지센터 신축 통신공사,서울특별시,서울,88000000,87378525,+3% ~ -3%,0,87.745,1091,,-0.70623
44,20181214967-00,숭실고등학교 급식실 및 체육관 증축공사 통신 (장기계속 총차) 입찰공고문(긴급) (긴급공고),서울특별시교육청,서울,90640000,90587475,+2% ~ -2%,0,87.745,940,,-0.05795
45,20181216599-00,(긴급)서울체육고등학교 수영장 리모델링 통신공사 (긴급공고),서울특별시교육청,서울,24058000,24469250,+3% ~ -3%,0,87.745,868,기,1.70941
46,20181216444-00,남서울중학교 방송시설개선 통신공사 (긴급공고),서울특별시교육청,서울,232650000,234387350,+3% ~ -3%,0,87.745,978,기,0.74676
47,20181216297-00,2018년 하반기 방범CCTV 구매설치,서울특별시,서울,134064000,133755700,+3% ~ -3%,0,87.995,103,물품/기,-0.22997
48,20181216059-00,★장애인업대상공사★경의선 수색역등 11개소 선로변 카메라 강관주 개량공사,한국철도공사,서울/경기,28224000,28100000,+2% ~ -2%,0,87.745,27,기,-0.43935
49,20181213202-00,화곡3동 어린이집 신축 통신공사,서울특별시,서울,60720000,61274100,+3% ~ -3%,0,87.745,1050,,0.91254
50,20181213119-00,화곡본동 어린이집 신축 통신공사,서울특별시,서울,65010000,64126225,+3% ~ -3%,0,87.745,1055,,-1.35945
51,2018-20586,수탁 민자노선(서울~춘천) 대수선 자가통신망 광케이블 설치공사,한국도로공사,전국/서울/경기/강원,1964160000,1968029396,3% ~ -3%,0,86.745,1911,기/의무,0.19700
52,20181208103-00,수원법원종합청사 전자법정 랜케이블 구축 1차 사업,대법원,서울/경기,134136610,133486075,+2% ~ -2%,0,87.745,2057,,-0.48498
53,20181214001-00,삼정중학교 다목적강당 및 급식시설 증축 통신공사,서울특별시교육청,서울,62906000,63944800,+3% ~ -3%,0,87.745,1035,기,1.65135
54,20181213982-00,서울송정초등학교 병설유치원 신설 통신공사,서울특별시교육청,서울,34947000,34653875,+3% ~ -3%,0,87.745,949,기,-0.83878
55,20181213951-00,신원중학교 급식실 및 학생식당 증축 통신공사,서울특별시교육청,서울,33431000,33448075,+3% ~ -3%,0,87.745,927,기,0.05107
56,20181207970-00,구립 응암노인복지관 증축 및 리모델링 통신공사,서울특별시,서울,41734000,41345925,+3% ~ -3%,0,87.745,985,,-0.92988
57,20181201586-00,나눔공유센터 신축 공사(정보통신),서울특별시,서울,129998000,129913250,+3% ~ -3%,0,87.745,1015,기,-0.06520
58,2018-18532,551포대 유도탄 저장고 보수공사(통신),공군,서울,41656310,41943056,3.0% ~ -3.0%,0,87.745,689,기,0.68836
59,20181208293-00,미림여자정보과학고등학교 관리동 소프트웨어프로젝트실 외 1실 리모델링 공사(통신) (긴급공고),서울특별시교육청,서울,7150000,7124825,+2% ~ -2%,0,87.745,343,기,-0.35210
60,20181205897-00,2019년 불법주정차 단속 고정식CCTV 유지보수 용역,서울특별시,서울,84800000,85320500,+3% ~ -3%,0,87.745,40,특허,0.61379
61,20181210740-00,(긴급)신암중 통신선로 교체공사 (긴급공고),서울특별시교육청,서울,193160000,195374150,+3% ~ -3%,0,87.745,983,기,1.14627
