id,공고번호,공고제목,발주처(수요기관),지역제한,기초금액,예정가격,예가범위,A값,투찰률(%),참여업체수,공고구분표시,정답사정률(%)
1,E012212121,연서로1차 지중화관련 배전계통 자가 광통신망 지중화 공사,한국전력공사,서울,106453600,106408871,+2% ~ -2%,6484463,87.745,738,기/A값/순,-0.04202
2,20221238224-00,2023년 유량계 원격감시반 유지보수 용역(연간단가),서울특별시/서울특별시,서울,289337000,290981925,+3% ~ -3%,0,86.745,13,기,0.56851
3,20221239827-01,연구관리동 전화 및 전산 개선공사 (정정공고),환경부,서울/인천,165000000,166566275,+2% ~ -2%,0,87.745,1251,기/정/수의,0.94925
4,20221236931-00,2023년 교통관리시스템 통신공사(연간단가),서울시설공단,서울/경기,600000000,595590000,+3% ~ -3%,23642529,87.745,2407,기/A값,-0.73500
5,20221237910-00,한세사이버보안고등학교 관리실 환경개선 공사(통신),서울특별시교육청,서울,15739000,15709525,+2% ~ -2%,0,87.745,745,수의,-0.18728
6,20221239027-00,서울창업허브 스케일업센터 조성 공사(통신) (긴급공고),(재)서울산업진흥원,서울,173625000,172509050,+3% ~ -3%,5481263,87.745,997,기/A값,-0.64274
7,2022-30125,(22-신-19) 3여본석면건축물개선(통신),공군,서울,23920588,23841441,+2% ~ -2%,0,87.745,691,기/수의,-0.33088
8,2022-01-000230-00,"검암, 한남역외 6개역사 개량에 따른 통신설비 신설공사",국가철도공단,전국/서울/인천/경기,1678255000,1665871030,+2.5% ~ -2.5%,96703253,86.335,362,기/A값/순/의무,-0.73791
9,62137,23-B-방송장비 유지보수 용역(도서지역),제9196부대,서울/인천/경기,39882530,39907142,+2% ~ -2%,0,88,60,기/수의,0.06171
10,61,23년 전산장비 통합 유지보수 용역,국군화생방방호사령부,서울,95697696,95718052,+2% ~ -2%,0,87.745,30,기,0.02127
11,20221234316-00,"2023년 터널 및 지하차도 라디오, DMB 재방송설비 유지관리 용역",서울특별시,서울,84174640,84711075,+3% ~ -3%,0,88,152,기/수의,0.63728
12,20221235751-00,"2023,2024년 터널 재방송설비(라디오, DMB) 유지관리용역",서울특별시,서울,49777200,49287225,+3% ~ -3%,0,88,108,기/수의,-0.98434
13,60889,23년 전산장비 유지보수 용역,제7016부대,서울,24306000,24334743,+2% ~ -2%,0,87.745,22,기,0.11825
14,20221236740-00,서울시립대학교 건설공학관 석면제거 통신공사,서울특별시,서울,140514000,137520050,+3% ~ -3%,0,87.745,1139,수의,-2.13072
15,20221235047-00,인생케어 평생학습관 조성 공사(통신),서울특별시,서울,34190000,33999950,+3% ~ -3%,0,87.745,953,수의,-0.55587
16,20221231532-00,고성능 GPU / CPU계산서버 구축,한국과학기술원,서울/경기,133000000,133441925,+2% ~ -2%,0,84.245,12,물품/기,0.33227
17,20221233687-00,23~24년 재방송설비 유지관리 용역,서울특별시,서울/경기,43000000,43614100,+3% ~ -3%,0,88,189,낙찰정정/수의,1.42813
18,2022-30023,OO부대 취사식당 신축 통신공사(22-220-3),수도방위사령부,서울/경기,51249000,51449271,+2% ~ -2%,0,87.745,2484,기/수의,0.39078
19,2022-30003,OO부대 취사식당 신축 통신공사(22-218-3),수도방위사령부,서울/경기,52907000,52569207,+2% ~ -2%,0,87.745,2475,기/수의,-0.63847
20,2022-29864,OO부대 경계시설 신축 통신공사(22-170-2),수도방위사령부,서울/경기,19828000,19976679,+2% ~ -2%,0,87.745,1852,기/수의,0.74984
21,20221226530-00,2023년도 국회 CCTV설비 유지보수 용역,국회,서울,95230000,94882000,+2% ~ -2%,0,84.245,97,기,-0.36544
22,20221230577-00,2023년 주행형 단속시스템 유지관리용역,경기도,서울/경기,64289000,63943500,+3% ~ -3%,0,88,19,수의,-0.53742
23,20221220649-00,2023년 IP전화및통신장비 유지보수용역 연간단가계약,서울특별시,서울,119988000,121027725,+3% ~ -3%,0,87.745,12,기,0.86652
24,20221227168-00,(긴급)신명중 본관동 및 별관동 방송선로개선 통신공사(장기계속) (긴급공고),서울특별시교육청,서울,254182000,256106200,+3% ~ -3%,13568878,87.745,1007,기/A값,0.75701
25,20221228874-00,경문고등학교 운화관 대수선공사 통신공사 전자입찰 공고,서울특별시교육청,서울,38154000,38106175,+2% ~ -2%,0,87.745,969,수의,-0.12535
26,20221226282-00,금옥중 외 1교(금옥여고) 기존 급식실 리모델링 및 기타 통신공사,서울특별시교육청,서울,48090000,48182025,+3% ~ -3%,0,87.745,1012,기/수의,0.19135
