순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
1,7038600379,주식회사 언주전기건설,강태호,분석,734354190,86.748,87.365,-0.25520 (99.7448),,2020/04/14 10:05:03,
2,1138154757,충무전기주식회사,박노원,분석,734427100,86.757,87.374,-0.24521 (99.75479),,2020/04/14 13:49:43,
3,2058126341,종합전기 주식회사,김유훈,분석,734439835,86.759,87.375,-0.24346 (99.75654),,2020/04/17 09:00:16,
4,2298119166,(주)삼영기업,금동흠,분석,734469400,86.762,87.379,-0.23940 (99.7606),,2020/04/13 09:08:18,
5,1108175433,승림이앤씨(주),서영식,분석,734478650,86.764,87.38,-0.23814 (99.76186),,2020/04/14 16:09:49,
6,2098111933,건양전기(주),홍순문,분석,734491269,86.765,87.382,-0.23640 (99.7636),,2020/04/17 09:55:34,
7,6988700230,주식회사 스마트이엔씨,이종환,분석,734494100,86.766,87.382,-0.23602 (99.76398),,2020/04/16 12:33:32,
8,1088171147,경원산전주식회사,배종근,분석,734500020,86.766,87.383,-0.23520 (99.7648),,2020/04/16 15:22:37,
9,1138165967,(주)다솔이앤씨,김광순,분석,734500750,86.766,87.383,-0.23510 (99.7649),,2020/04/15 23:59:34,
10,1058687494,(주)이웰파워테크,김영준,분석,734558348,86.774,87.39,-0.22720 (99.7728),,2020/04/16 14:47:14,
11,2028158261,주식회사 남두,김승균,분석,734564182,86.775,87.39,-0.22640 (99.7736),,2020/04/16 09:29:51,
12,6218602134,(주)플러스전력,이하일,분석,734570743,86.775,87.391,-0.22551 (99.77449),,2020/04/17 09:46:59,
13,2068606585,(주)상지일렉스,정원상,분석,734574910,86.776,87.392,-0.22493 (99.77507),,2020/04/15 22:05:43,
14,1068684748,주식회사고도기술,고동현,분석,734579640,86.776,87.392,-0.22428 (99.77572),,2020/04/16 11:23:12,
15,1101116047,에코,이덕순,분석,734619596,86.782,87.397,-0.21880 (99.7812),,2020/04/16 16:08:29,
16,7258800112,동서전기건설공사 주식회사,박진규,분석,734621780,86.782,87.397,-0.21851 (99.78149),,2020/04/17 10:24:52,
17,2128174900,대승일렉트릭(주),한윤근,분석,734645840,86.785,87.4,-0.21521 (99.78479),,2020/04/14 15:16:49,
18,1138111990,한경기전(주),박태용,분석,734671370,86.788,87.403,-0.21170 (99.7883),,2020/04/14 13:55:47,
19,1398115682,백상건설 주식회사,정홍훈,분석,734683700,86.79,87.404,-0.21001 (99.78999),,2020/04/17 08:36:02,
20,1068182600,창림엔지니어링(주),김사승,분석,734688135,86.79,87.405,-0.20940 (99.7906),,2020/04/16 08:57:32,
21,2048620126,(주)상부사종합건설,이상만,분석,734689592,86.791,87.405,-0.20921 (99.79079),,2020/04/17 08:48:55,
22,8358600526,주식회사두성인프라,김상현,분석,734716570,86.794,87.408,-0.20551 (99.79449),,2020/04/17 06:53:46,
23,2308108408,주식회사 엠큐이엔씨,염진용,분석,734723008,86.795,87.409,-0.20462 (99.79538),,2020/04/16 15:43:48,
24,1148137386,(주)유일엔지니어링,신영호,분석,734727600,86.795,87.41,-0.20399 (99.79601),,2020/04/14 15:38:24,
25,3778100141,주식회사 신성전력,이형기,분석,734749381,86.798,87.412,-0.20101 (99.79899),,2020/04/17 07:03:52,
26,2068656936,(주)한양이엔아이,안원준,분석,734784000,86.803,87.416,-0.19626 (99.80374),,2020/04/14 10:59:39,
27,1058133654,백상기업(주),김풍원,분석,734835000,86.809,87.422,-0.18926 (99.81074),,2020/04/16 17:38:52,
28,2208869047,양지전기 주식회사,박승연,분석,734863120,86.813,87.426,-0.18541 (99.81459),,2020/04/09 10:59:51,
29,1058173369,(주)신한개발,이종순,분석,734888640,86.816,87.429,-0.18191 (99.81809),,2020/04/16 15:57:14,
30,2158674281,주식회사 태경씨앤씨,남기봉,분석,734906880,86.818,87.431,-0.17940 (99.8206),,2020/04/16 13:46:09,
31,2170389905,금화전력공사,이계성,분석,734949890,86.824,87.436,-0.17351 (99.82649),,2020/04/16 13:17:48,
32,2178114305,주식회사 케이엠씨앤아이,서정만,분석,734957300,86.825,87.437,-0.17249 (99.82751),,2020/04/15 09:55:57,
33,1408169475,주식회사 제이앤제이파워스,박재옥,분석,734959900,86.825,87.437,-0.17213 (99.82787),,2020/04/16 09:20:54,
34,1068136902,대일전기산업(주),임태원,분석,734966100,86.826,87.438,-0.17128 (99.82872),,2020/04/17 08:47:23,
35,1108172440,주식회사 다보파워코리아,강희철,분석,734979789,86.827,87.44,-0.16940 (99.8306),,2020/04/16 14:01:47,
