순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
1,1098167078,(주)에스씨네트  [최종낙찰],,분석,2754456190,88.643,88.792,-0.5650 (99.435),9 14,2023/05/02 08:39:02,심사중
2,1278145956,선테크 주식회사,,분석,2754461520,88.643,88.792,-0.5648 (99.4352),14 11,2023/04/28 11:03:33,미심사
3,2148188924,우민전기(주),,분석,2754478500,88.644,88.792,-0.5641 (99.4359),13 2,2023/05/02 13:08:44,미심사
4,2068120414,(주)일광기업,,분석,2754494560,88.644,88.793,-0.5636 (99.4364),5 11,2023/05/02 13:02:23,미심사
5,8568800361,주식회사 우선기술,,분석,2754495453,88.645,88.793,-0.5635 (99.4365),13 1,2023/04/28 11:19:31,미심사
6,2268102180,정화통신(주),,분석,2754541890,88.646,88.795,-0.5619 (99.4381),13 14,2023/05/02 14:34:19,미심사
7,1228199613,주식회사 대건시스템즈,,분석,2754657970,88.65,88.798,-0.5577 (99.4423),4 3,2023/05/03 06:49:09,미심사
8,6078158942,이호기술단(주),,분석,2754675900,88.651,88.799,-0.5570 (99.443),10 4,2023/05/02 10:20:15,미심사
9,1098150316,(주)건우통신,,분석,2754736554,88.653,88.801,-0.5548 (99.4452),4 7,2023/05/02 11:16:57,미심사
10,2128140491,(주)벧엘정보통신,,분석,2754760000,88.654,88.802,-0.5540 (99.446),8 9,2023/05/02 14:08:15,미심사
11,2118119938,주식회사 디비아이엔씨,,분석,2754863355,88.657,88.805,-0.5503 (99.4497),3 8,2023/05/02 09:56:57,미심사
12,1358178502,주식회사 디알네트웍스,,분석,2755018731,88.663,88.81,-0.5446 (99.4554),7 11,2023/05/02 09:57:45,미심사
13,1358140632,(주)우진일렉트,,분석,2755030340,88.663,88.81,-0.5442 (99.4558),2 5,2023/05/02 14:56:06,미심사
14,1068641638,(주)매트릭스미디어,,분석,2755127330,88.666,88.813,-0.5407 (99.4593),11 8,2023/05/02 16:38:11,미심사
15,1188111452,동화전자산업(주),,분석,2755166730,88.668,88.815,-0.5393 (99.4607),5 13,2023/05/02 11:27:56,미심사
16,1078193207,주식회사 주광전기,,분석,2755206930,88.669,88.816,-0.5378 (99.4622),7 5,2023/04/30 22:45:26,미심사
17,4488100569,주식회사 엔에스테크,,분석,2755331540,88.673,88.82,-0.5334 (99.4666),6 11,2023/04/28 13:58:12,미심사
18,2208110402,정안전기(주),,분석,2755358952,88.674,88.821,-0.5324 (99.4676),3 10,2023/05/02 17:54:42,미심사
19,2018147460,태성전기통신(주),,분석,2755408065,88.676,88.822,-0.5306 (99.4694),8 11,2023/05/02 11:10:39,미심사
20,2048124559,(주)대용와트스,,분석,2755470573,88.678,88.824,-0.5283 (99.4717),3 9,2023/05/02 09:07:07,미심사
21,2158615337,(주)아이링크시스템,,분석,2755490788,88.679,88.825,-0.5276 (99.4724),2 4,2023/04/28 09:31:17,미심사
22,1328199639,주식회사 펌프킨,,분석,2755520579,88.68,88.826,-0.5265 (99.4735),14 13,2023/05/02 10:01:38,미심사
23,2208727579,주식회사 벡트,,분석,2755523258,88.68,88.826,-0.5264 (99.4736),13 12,2023/05/03 09:10:09,미심사
24,1198118405,우광기전(주),,분석,2755555500,88.681,88.827,-0.5253 (99.4747),15 13,2023/05/02 09:22:41,미심사
25,2158171649,(주)삼삼통신기술,,분석,2755589200,88.682,88.828,-0.5240 (99.476),1 9,2023/04/28 14:42:16,미심사
26,2148180640,(주)남인정보통신,,분석,2755630722,88.684,88.83,-0.5225 (99.4775),11 10,2023/05/02 14:03:54,미심사
27,1428131387,유영이앤씨 주식회사,,분석,2755632000,88.684,88.83,-0.5225 (99.4775),4 8,2023/05/02 17:35:05,미심사
28,1312760008,다한정보통신,,분석,2755636665,88.684,88.83,-0.5223 (99.4777),4 3,2023/05/02 09:13:25,미심사
29,3058197845,주식회사 에스디새롬,,분석,2755699980,88.686,88.832,-0.5200 (99.48),12 1,2023/05/03 08:42:07,미심사
30,4188129435,주식회사 서진아이티씨,,분석,2755788610,88.689,88.835,-0.5169 (99.4831),6 1,2023/04/28 14:54:09,미심사
31,2158159534,하이텍앤솔 주식회사,,분석,2755803650,88.69,88.835,-0.5163 (99.4837),6 10,2023/05/02 11:05:08,미심사
32,1358144225,주식회사 우경하이텍,,분석,2755819723,88.69,88.836,-0.5157 (99.4843),3 9,2023/05/02 17:01:45,미심사
33,6108118378,주식회사 웅진통신,,분석,2755884017,88.692,88.838,-0.5134 (99.4866),13 12,2023/05/02 15:17:51,미심사
34,5138100034,주식회사 엠젠솔루션,,분석,2755915271,88.693,88.839,-0.5123 (99.4877),14 7,2023/05/03 09:21:57,미심사
35,1298104500,주식회사 상지카일룸,,분석,2756040690,88.698,88.843,-0.5078 (99.4922),13 15,2023/05/02 13:30:05,미심사
36,2298121250,(주)동곡기정,,분석,2756158143,88.702,88.847,-0.5035 (99.4965),7 12,2023/05/02 16:46:35,미심사
37,1318160941,주식회사 오로라인,,분석,2756165301,88.702,88.847,-0.5033 (99.4967),7 14,2023/05/02 10:45:28,미심사
38,1148137654,(주)미동이엔씨,,분석,2756190304,88.703,88.848,-0.5023 (99.4977),4 3,2023/05/03 09:41:19,미심사
39,2068157319,주식회사 에스엘정보통신,,분석,2756315419,88.707,88.852,-0.4978 (99.5022),6 15,2023/05/01 17:31:56,미심사
40,4108144714,(주)성원이앤지,,분석,2756362647,88.709,88.853,-0.4961 (99.5039),6 3,2023/05/02 09:25:21,미심사
41,2068164028,주식회사 이지비앤티,,분석,2756399500,88.71,88.854,-0.4948 (99.5052),11 4,2023/05/02 14:13:56,미심사
42,1138183136,링크맥스(주),,분석,2756401938,88.71,88.854,-0.4947 (99.5053),1 3,2023/04/28 15:56:58,미심사
43,2158199031,한소리이앤씨주식회사,,분석,2756667900,88.719,88.863,-0.4851 (99.5149),1 13,2023/04/28 09:51:03,미심사
44,1288607270,청운이엔에스주식회사,,분석,2756669511,88.719,88.863,-0.4850 (99.515),8 3,2023/04/28 10:22:50,미심사
45,5028152906,(주)우주씨앤티,,분석,2756677860,88.72,88.863,-0.4847 (99.5153),2 12,2023/05/02 11:43:15,미심사
46,1078163703,아이티에스엔지니어링 주식회사,,분석,2756719372,88.721,88.865,-0.4832 (99.5168),7 3,2023/04/28 09:46:39,미심사
47,1198158412,애드넷정보통신(주),,분석,2756749302,88.722,88.866,-0.4822 (99.5178),6 10,2023/05/02 15:57:17,미심사
48,2118836479,(주)에스피엔이,,분석,2756755391,88.722,88.866,-0.4819 (99.5181),6 4,2023/05/03 09:37:04,미심사
49,3018613815,(주)에스엔케이미디어,,분석,2756801000,88.724,88.867,-0.4803 (99.5197),3 15,2023/05/02 11:09:48,미심사
50,1098156682,한국이엠에스(주),,분석,2756813550,88.724,88.868,-0.4799 (99.5201),4 7,2023/04/28 13:49:37,미심사
51,1018126108,(주)일능,,분석,2756849567,88.726,88.869,-0.4785 (99.5215),10 15,2023/04/28 10:31:52,미심사
