,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
0,1,1078763383,주식회사 아이티블럭,배경원,분석,84538994,87.753,87.444,-0.91440 (99.0856),15 1,2024/04/22 15:53:26,낙찰
1,2,1358145603,한라인포넷(주),장경민,분석,84542471,87.757,87.448,-0.91031 (99.08969),9 5,2024/04/24 00:34:50,
2,3,2108138572,주식회사 디와이엔텍,임형두,분석,84550107,87.765,87.456,-0.90130 (99.0987),3 1,2024/04/24 09:13:06,
3,4,2068601047,왕건전기 주식회사,한미라,분석,84556384,87.772,87.462,-0.89390 (99.1061),2 9,2024/04/24 08:35:37,
4,5,1078143707,(주)신창전기,홍성수,분석,84561219,87.777,87.467,-0.88820 (99.1118),12 3,2024/04/23 15:26:31,
5,6,2037683508,우리통신네트워크,김만수,분석,84567496,87.784,87.474,-0.88080 (99.1192),5 8,2024/04/22 19:55:26,
6,7,2188109765,(주)웨이브컴,채인석,분석,84570460,87.787,87.477,-0.87731 (99.12269),4 5,2024/04/22 15:02:45,
7,8,2138198870,주식회사 근우,김재진,분석,84584879,87.803,87.492,-0.86031 (99.13969),12 2,2024/04/22 09:51:27,
8,9,1138141456,(주)나우아이앤씨,안남훈,분석,84589212,87.808,87.496,-0.85521 (99.14479),8 6,2024/04/22 11:59:58,
9,10,1058740405,(주)화성이엔지,김택환,분석,84596848,87.816,87.504,-0.84620 (99.1538),2 10,2024/04/22 14:10:07,
10,11,2068706603,주식회사 온품,김유혁,분석,84601390,87.821,87.509,-0.84085 (99.15915),12 10,2024/04/22 09:18:00,
11,12,2208895263,주식회사 필립이엔씨,임혜란,분석,84607790,87.828,87.515,-0.83330 (99.1667),4 10,2024/04/22 16:17:12,
12,13,1138148411,(주)풍천정보네트웍,김학봉,분석,84614240,87.835,87.522,-0.82570 (99.1743),5 12,2024/04/23 09:29:08,
13,14,1068648117,주식회사 티원엘에스,김영규,분석,84628743,87.851,87.537,-0.80860 (99.1914),11 14,2024/04/19 19:32:18,
14,15,1428168147,주식회사 다옴건설,이창석,분석,84638800,87.862,87.548,-0.79675 (99.20325),13 3,2024/04/22 10:48:40,
15,16,2298139274,(주)영풍전력설비,심문수,분석,84642880,87.866,87.552,-0.79194 (99.20806),5 12,2024/04/22 09:17:03,
16,17,2138800230,주식회사 성민전기통신,홍종애,분석,84647491,87.871,87.557,-0.78650 (99.2135),1 8,2024/04/22 07:48:18,
17,18,2178601498,주식회사 엔키텍,원영춘,분석,84652750,87.877,87.562,-0.78030 (99.2197),7 6,2024/04/23 07:39:04,
18,19,1138135425,(주)뉴넷팝,이경택,분석,84654446,87.879,87.564,-0.77830 (99.2217),11 5,2024/04/22 10:49:44,
19,20,2148805112,주식회사 지큐이앤씨,구자옥,분석,84663610,87.889,87.573,-0.76750 (99.2325),13 7,2024/04/22 08:33:07,
20,21,2068164028,주식회사 이지비앤티,김한복,분석,84667500,87.893,87.577,-0.76292 (99.23708),5 15,2024/04/22 13:57:40,
21,22,2028136990,(주)무궁화전자,이효형,분석,84680300,87.907,87.59,-0.74783 (99.25217),10 5,2024/04/23 08:08:17,
22,23,2158669639,(주)한정원,이수환,분석,84686860,87.914,87.597,-0.74009 (99.25991),14 5,2024/04/23 11:26:39,
23,24,3238801633,동부엔텍 주식회사,홍문기,분석,84687530,87.915,87.598,-0.73930 (99.2607),12 3,2024/04/24 09:01:33,
24,25,1238175875,주식회사 휴톤,김영상,분석,84689905,87.917,87.6,-0.73650 (99.2635),6 4,2024/04/22 08:47:31,
25,26,1058162163,주식회사대한종합산전,이섭,분석,84690000,87.918,87.6,-0.73639 (99.26361),3 1,2024/04/19 16:06:09,
26,27,1048209629,(사)한국장애인이워크협회일자리사업장,조무호,분석,84690400,87.918,87.601,-0.73592 (99.26408),9 1,2024/04/23 07:46:37,
27,28,4208700205,주식회사 가은씨앤에스,양미영,분석,84701860,87.931,87.613,-0.72241 (99.27759),15 2,2024/04/24 08:23:36,
28,29,2208131391,호진산업기연(주),안형근,분석,84703902,87.933,87.615,-0.72000 (99.28),1 3,2024/04/23 14:48:00,
29,30,1018151140,(주)사운드솔루션,이홍,분석,84707190,87.936,87.618,-0.71613 (99.28387),13 15,2024/04/22 16:23:49,
30,31,5878600398,주식회사 엑사엔시스,나정환,분석,84714420,87.944,87.626,-0.70761 (99.29239),5 11,2024/04/22 07:49:02,
31,32,1170233690,화진정보통신,김병철,분석,84721123,87.951,87.633,-0.69970 (99.3003),15 7,2024/04/24 08:53:38,
32,33,1088193869,(주)동명텔레콤,김경은,분석,84734270,87.966,87.646,-0.68421 (99.31579),12 14,2024/04/19 09:38:20,
33,34,2048639509,주식회사 대한유비텍,이우영,분석,84734630,87.966,87.647,-0.68378 (99.31622),12 9,2024/04/24 09:19:15,
