,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
0,1,1048157783,(주)서울정보컴,고응준,분석,46115240.0,87.745,87.683,-0.07040 (99.9296),13 6,2024/05/21 12:40:14,
1,2,2118774990,(주)제이에프텍,김중규,분석,46116100.0,87.747,87.684,-0.06854 (99.93146),3 1,2024/05/22 15:10:05,
2,3,2148736980,(주)인타임정보,노영두,분석,46116440.0,87.747,87.685,-0.06780 (99.9322),14 10,2024/05/23 09:14:37,
3,4,1198192370,(주)신관산업,이철재,분석,46117186.0,87.749,87.686,-0.06619 (99.93381),13 5,2024/05/22 08:52:30,
4,5,2078141917,합자회사 대성전업상사,권기원,분석,46117540.0,87.749,87.687,-0.06542 (99.93458),2 14,2024/05/21 14:49:43,
5,6,1198687872,주식회사 스타버킷,김영섭,분석,46117550.0,87.749,87.687,-0.06540 (99.9346),1 11,2024/05/21 13:01:15,
6,7,2118771649,주식회사 월드멀티넷,박영희,분석,46117590.0,87.749,87.687,-0.06531 (99.93469),10 7,2024/05/21 15:06:13,
7,8,4878800409,주식회사 백산전기,이강호,분석,46117670.0,87.75,87.687,-0.06514 (99.93486),10 6,2024/05/22 15:16:02,
8,9,2108156959,두레에스텍 주식회사,유의근,분석,46118420.0,87.751,87.689,-0.06351 (99.93649),13 1,2024/05/21 15:45:48,
9,10,2148675138,(주)대호아이티에스,임진덕,분석,46118471.0,87.751,87.689,-0.06340 (99.9366),11 1,2024/05/21 13:20:24,
10,11,1088127729,주식회사 대원네시스,이연호,분석,46118560.0,87.751,87.689,-0.06321 (99.93679),7 11,2024/05/21 11:23:15,
11,12,1058601287,(주)성산정보시스템,김기주,분석,46119850.0,87.754,87.691,-0.06042 (99.93958),15 7,2024/05/22 14:47:26,
12,13,1068606683,로버무트 주식회사,송태하,분석,46120156.0,87.754,87.692,-0.05975 (99.94025),11 4,2024/05/21 13:07:04,
13,14,5568600996,주영전자통신 주식회사,임채열,분석,46121101.0,87.756,87.694,-0.05770 (99.9423),5 6,2024/05/22 08:14:08,
14,15,1078723926,한빛디엔에스(주),이현화,분석,46121650.0,87.757,87.695,-0.05651 (99.94349),8 13,2024/05/21 13:47:30,
15,16,4028141375,주식회사 이레유비크,박임철,분석,46122160.0,87.758,87.696,-0.05541 (99.94459),14 11,2024/05/22 09:14:26,
16,17,1138169250,코리아이지텔주식회사,임규학,분석,46123000.0,87.76,87.697,-0.05359 (99.94641),11 12,2024/05/21 16:38:00,
17,18,1068641638,(주)매트릭스미디어,김진성,분석,46123850.0,87.761,87.699,-0.05175 (99.94825),1 7,2024/05/22 09:28:45,
18,19,5088137937,(주)벨류데이터,정영두,분석,46125346.0,87.764,87.702,-0.04851 (99.95149),15 1,2024/05/21 15:24:30,
