,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
0,1,1138137229,두복산전(주)  [최종낙찰],이영두,분석,256382990.0,86.0,88.203,88.129,-0.3595 (99.6405),11 10,2024/05/28 09:37:55,
1,2,1098169853,(주)구남텍,김진용,분석,256907500.0,85.0,88.389,88.309,-0.1556 (99.8444),7 14,2024/05/28 09:22:18,
2,-1,6058632937,주식회사 타키온정보기술,이건조,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
3,-2,2068601178,주식회사 해인이티에프,오재근,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
4,-3,1138184945,에스엠티정보기술(주),이묵희,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
5,-4,2048639509,주식회사 대한유비텍,이우영,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
6,-5,1188120780,(주)웅비정보통신,강영종,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
7,-6,1058191993,링크정보통신주식회사,이재호,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
8,-7,1068616518,(주)애니씨앤에스,이일규,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
9,-8,1198611222,(주)제이에이티,이세창,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
10,-9,1138677788,(주)제이에스지테크,박혜경,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
11,-10,1388150425,주식회사 유니와이드,김창환,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
12,-11,1078154150,주식회사 케이원,송관섭,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
13,-12,1198646212,주식회사 에프에스네트웍스,이화수,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
14,-13,1198617662,주식회사 엠토스솔루션스,김관종,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
15,-14,1062873386,이행정보통신공사,오흥식,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
16,-15,2098161262,주식회사 아이에스인텍,황관홍,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
17,-16,1068180183,보람정보통신서비스(주),정승원,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
18,-17,4108607408,주식회사 천운정보통신,김복중,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
19,-18,2128142956,(주)한빛파워,선봉수,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
20,-19,2148768992,주식회사 앤샵,장진화,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
21,-20,5298100062,주식회사 알에프코리아,신현성,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
22,-21,1078726452,벽산파워 주식회사,송한승,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
23,-22,1171187825,신원전자,안희덕,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
24,-23,1078674016,주식회사가나이엔지,강재선,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
25,-24,1098603593,주식회사 완일이씨에스,김경창,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
26,-25,3058138619,(주)사이버텔브릿지,남백산,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
27,-26,1058199938,삼호전자통신(주),이경희,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
28,-27,1178128886,(주)미라클산업,김영철,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
29,-28,1198123174,주식회사 도래정보시스템,이은숙,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
30,-29,2048159043,이앤씨텔레콤(주),김진갑,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
31,-30,1138195613,(주)고려다이나믹스,변희만,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
32,-31,1138175034,(주)윈플러스정보기술,정재원,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
33,-32,1148615000,셔블테크놀러지(주),이상욱,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
34,-33,1198656229,주식회사 경진네트워크,김응환,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
35,-34,1068710898,(주)다온에스디,이수진,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
36,-35,2148734283,(주)뉴넷정보기술,김종원,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
37,-36,1068687634,(주)엠폴시스템,송승찬,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
38,-37,2208132347,(주)태양기술개발,안규철,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
39,-38,2028159713,거산음향통신(주),김기만,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
40,-39,1978600685,주식회사 에스에이텍,남기출,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
41,-40,2078149729,주식회사 지앤에스기술,문창수,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
42,-41,2048651425,주식회사 메이사운드,심문섭,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
43,-42,2098153286,미르네트웍스 주식회사,백태종,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
44,-43,2068663169,(주)지엠케이정보통신,최경숙,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
45,-44,2048620126,(주)상부사종합건설,이상만,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
46,-45,8128800740,주식회사 대일시스템,이승일,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
47,-46,1078662029,주식회사 아이티트레인,주영일,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
48,-47,1888601171,에이케이에스정보주식회사,안기수,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
49,-48,1138148861,선진인포텍(주),김인구,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
0,-49,1088153848,(주)신지전설,황경옥,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
1,-50,1118126196,(주)광성통신,김성철,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
2,-51,1198616173,(주)와이드큐브,최원근,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
3,-52,2118668579,(주)아이정보기술,이훈희,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
4,-53,1068674084,주식회사월드아이,신영구,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
5,-54,1138640864,주식회사 지앤씨씨,정연진,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
6,-55,5068118803,뉴아이텍(주),오경식,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
7,-56,2118620935,주식회사 한양티이씨,조형국,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
8,-57,1138185890,(주)두손씨에스티,최수경,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
9,-58,1198169165,(주)기창인포텍,김석진,분석,,-1715.8,,,,,0000/00/00 00:00:00,서류미제출
