,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
0,1,2018182230,주식회사 본네트시큐  [최종낙찰],최수기,분석,38327048.0,87.748,88.513,-0.05889 (99.94111),4 8,2024/10/11 10:22:53,
1,2,1078161011,(주)장수커뮤니케이션즈,김현수,분석,38328180.0,87.751,88.516,-0.05591 (99.94409),10 6,2024/10/15 09:48:40,
2,3,2208180951,엘지정보기술(주),엄태원,분석,38329150.0,87.753,88.518,-0.05336 (99.94664),1 2,2024/10/15 10:15:28,
3,4,2118612681,(주)해우정보시스템,김병헌,분석,38329470.0,87.754,88.519,-0.05251 (99.94749),6 11,2024/10/15 09:07:50,
4,5,2208604531,주식회사 월드린시스템즈,류준열,분석,38330850.0,87.757,88.522,-0.04888 (99.95112),1 11,2024/10/14 09:36:03,
5,6,1078658471,비케이앤파워컴 주식회사,김정훈,분석,38331100.0,87.758,88.522,-0.04822 (99.95178),10 12,2024/10/14 16:18:10,
6,7,6528601099,(주)하이퍼월,안희석,분석,38331868.0,87.76,88.524,-0.04620 (99.9538),2 13,2024/10/11 14:58:34,
7,8,6118700363,주식회사 서경산업,이대규,분석,38331981.0,87.76,88.524,-0.04590 (99.9541),10 3,2024/10/16 09:51:04,
8,9,1078151890,주식회사유진솔루션,이훈희,분석,38332323.0,87.761,88.525,-0.04500 (99.955),15 14,2024/10/15 10:08:29,
9,10,2298109203,(주)테스콤엔지니어링,박영복,분석,38332800.0,87.762,88.526,-0.04375 (99.95625),11 10,2024/10/11 15:57:40,
10,11,1088167041,(주)가디엘,최혜심,분석,38333890.0,87.765,88.529,-0.04088 (99.95912),9 10,2024/10/15 16:26:40,
11,12,2158691790,에이브이에스텍(주),박주영,분석,38334900.0,87.767,88.531,-0.03822 (99.96178),5 2,2024/10/11 15:22:18,
12,13,3138602835,(주)테이아인포,장인혁,분석,38337035.0,87.773,88.536,-0.03260 (99.9674),11 4,2024/10/16 09:20:58,
13,14,2298125412,스크린정보통신(주),조승제,분석,38338210.0,87.775,88.539,-0.02951 (99.97049),15 4,2024/10/14 09:14:09,
14,15,1018139321,(주)세웅정보통신,장우진,분석,38339500.0,87.779,88.542,-0.02612 (99.97388),6 3,2024/10/14 09:57:43,
15,16,6078616291,케이시스 주식회사,김중섭,분석,38340830.0,87.782,88.545,-0.02261 (99.97739),5 8,2024/10/15 10:07:27,
16,17,1108175113,이에스콘트롤스 (주),김영준,분석,38341250.0,87.783,88.546,-0.02151 (99.97849),12 6,2024/10/11 16:03:59,
17,18,4028141375,주식회사 이레유비크,박임철,분석,38341973.0,87.785,88.547,-0.01961 (99.98039),7 9,2024/10/15 17:47:25,
18,19,1098143872,보은전자방송통신(주),우영섭,분석,38342540.0,87.786,88.549,-0.01811 (99.98189),1 5,2024/10/11 13:51:43,
19,20,2100412872,유광미디어,김유성,분석,38343075.0,87.787,88.55,-0.01671 (99.98329),12 6,2024/10/15 09:20:15,
20,21,1081154276,영우정보통신,이영우,분석,38343300.0,87.788,88.551,-0.01611 (99.98389),9 12,2024/10/14 17:48:11,
21,22,1048120291,청음통신 주식회사,임광희,분석,38344300.0,87.79,88.553,-0.01348 (99.98652),11 2,2024/10/16 09:14:15,
22,23,2338109463,주식회사 아이티에스서비스,지영일,분석,38344519.0,87.791,88.553,-0.01291 (99.98709),1 12,2024/10/15 16:44:45,
23,24,1388113508,(주)이엔티파워,장정수,분석,38345550.0,87.794,88.556,-0.01019 (99.98981),14 13,2024/10/14 23:20:02,
24,25,2108122823,우영정보통신(주),황태하,분석,38346610.0,87.796,88.558,-0.00740 (99.9926),12 15,2024/10/15 11:07:24,
25,26,2208673912,(주)에스제이이에프씨,오긍환,분석,38346647.0,87.796,88.558,-0.00730 (99.9927),13 4,2024/10/14 16:06:14,
26,27,2108124739,(주)한성기술개발,서창식,분석,38347065.0,87.797,88.559,-0.00620 (99.9938),14 5,2024/10/11 18:00:28,
27,28,2048197877,주식회사 그린주의,김현미,분석,38347297.0,87.798,88.56,-0.00559 (99.99441),6 3,2024/10/15 15:45:29,
28,29,2128169519,세진시스콤주식회사,박수환,분석,38348210.0,87.8,88.562,-0.00319 (99.99681),8 7,2024/10/15 08:43:49,
29,30,4948800839,해빛들에너지 주식회사,이영이,분석,38350440.0,87.806,88.567,0.00268 (100.00268),15 5,2024/10/14 08:34:45,
30,31,4818802660,이지씨엔티 주식회사,이종기,분석,38350484.0,87.806,88.567,0.00279 (100.00279),15 6,2024/10/14 14:52:00,
31,32,1138183325,주식회사금강전력,오영선,분석,38351700.0,87.809,88.57,0.00600 (100.006),12 5,2024/10/11 15:44:34,
32,33,6758102266,주식회사 정현이엔지,김종현,분석,38351840.0,87.809,88.57,0.00636 (100.00636),10 13,2024/10/14 21:43:22,
33,34,8348600218,주식회사 코리아통신,박정현,분석,38353296.0,87.813,88.574,0.01020 (100.0102),10 9,2024/10/15 16:14:07,
