
,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
0,1,1138636870,주식회사 나우시스템,이종한,분석,220120300.0,85.2,87.758,88.395,-0.04070 (99.9593),14 9,2024/10/30 09:20:28,
1,2,2068617141,(주)텔코아,황민석,분석,220191310.0,85.8,87.788,88.423,-0.00820 (99.9918),6 1,2024/10/31 11:18:04,
2,3,2048620126,(주)상부사종합건설,이상만,분석,220224313.0,86.0,87.803,88.437,0.00690 (100.0069),6 7,2024/10/31 05:09:31,
3,4,2068172829,한사랑엔지니어링 주식회사,권갑순,분석,220246092.0,86.2,87.812,88.445,0.01687 (100.01687),5 7,2024/10/30 14:57:28,
4,5,1128126393,주식회사 승도이엔씨,신종성,분석,220253590.0,86.4,87.815,88.448,0.02030 (100.0203),1 2,2024/10/31 09:00:10,
5,6,1068146133,(주)케이씨이,조정휘,분석,220268441.0,86.4,87.821,88.454,0.02710 (100.0271),6 13,2024/10/30 11:27:32,
6,7,2058139910,우현전기(주),채광식,분석,220298160.0,86.6,87.834,88.466,0.04070 (100.0407),3 15,2024/10/31 11:28:21,
7,8,2128169519,세진시스콤주식회사,박수환,분석,220381380.0,87.4,87.869,88.5,0.07878 (100.07878),10 8,2024/10/30 14:42:45,
8,9,2048124559,(주)대용와트스,남상태,분석,220383373.0,87.4,87.87,88.5,0.07970 (100.0797),13 8,2024/10/30 09:15:47,
9,10,1048610901,이룸유비쿼터스주식회사,김승규,분석,220389490.0,87.4,87.873,88.503,0.08250 (100.0825),15 6,2024/10/30 10:33:28,
10,11,2208100563,경창계전 주식회사,이성욱,분석,220427570.0,87.8,87.889,88.518,0.09992 (100.09992),11 5,2024/10/29 15:38:34,
11,12,2098121862,거우전설주식회사,김영훈,분석,220432392.0,87.8,87.891,88.52,0.10213 (100.10213),9 8,2024/10/29 14:45:33,
12,13,1058714080,(주) 한일이앤에스,박완교,분석,220468621.0,88.2,87.907,88.535,0.11871 (100.11871),9 14,2024/10/30 14:58:15,
13,14,2068165221,유니슨전기(주),유창진,분석,220494808.0,88.4,87.918,88.545,0.13070 (100.1307),9 10,2024/10/29 14:26:24,
14,15,2068196840,주식회사 혜성이티에스,이상영,분석,220505078.0,88.4,87.922,88.549,0.13540 (100.1354),15 9,2024/10/29 14:32:52,
15,16,1018675701,주식회사 두이정보통신,정영희,분석,220540515.0,88.8,87.937,88.564,0.15161 (100.15161),8 3,2024/10/29 15:05:08,
16,17,2178114305,주식회사 광문정보통신,서정만,분석,220574860.0,89.0,87.952,88.577,0.16733 (100.16733),6 2,2024/10/30 11:43:23,
17,18,1208147588,서현정보통신(주),배상만,분석,220588980.0,89.2,87.958,88.583,0.17379 (100.17379),13 8,2024/10/30 17:49:54,
18,19,2118606665,주식회사 아라랏,황지홍,분석,220590584.0,89.2,87.958,88.584,0.17453 (100.17453),6 9,2024/10/30 21:13:06,
19,20,1018183448,(주)에이치애비뉴앤컴퍼니,정현이,분석,220621100.0,89.4,87.971,88.596,0.18849 (100.18849),12 13,2024/10/30 08:30:40,
20,21,1108172440,주식회사 다보파워코리아,강희철,분석,220623723.0,89.4,87.973,88.597,0.18970 (100.1897),11 10,2024/10/30 16:52:19,
21,22,1058641085,(주)에스엠전력,김동율,분석,220638756.0,89.6,87.979,88.603,0.19658 (100.19658),10 3,2024/10/30 10:07:09,
22,23,2128107793,호곡종합건설(주),박성환,분석,220642733.0,89.6,87.981,88.605,0.19840 (100.1984),7 6,2024/10/31 09:40:56,
23,24,1058169109,대조전설 주식회사,장철호,분석,220654970.0,89.8,87.986,88.61,0.20400 (100.204),4 15,2024/10/29 17:27:23,
24,25,1138131356,중원기전(주),김창중,분석,220656700.0,89.8,87.987,88.61,0.20479 (100.20479),6 2,2024/10/30 09:22:22,
25,26,2048129194,위성이앤씨(주),이양숙,분석,220656990.0,89.8,87.987,88.61,0.20492 (100.20492),14 4,2024/10/29 16:16:48,
26,27,2068179706,(주)씨엠유니버샬,전재용,분석,220665239.0,89.8,87.99,88.614,0.20870 (100.2087),4 13,2024/10/30 10:14:11,
27,28,2038149028,대륭중공건설(주),박임우,분석,220671645.0,89.8,87.993,88.616,0.21163 (100.21163),13 8,2024/10/30 18:21:39,
28,29,1098651964,셀코정보기술 주식회사,임윤정,분석,220743100.0,89.6,88.023,88.645,0.24433 (100.24433),10 14,2024/10/31 06:49:05,
29,30,1088154468,(주)이젠정보통신,이동필,분석,220763780.0,89.4,88.032,88.653,0.25379 (100.25379),5 12,2024/10/30 17:00:47,
