공고번호,입찰년도,공고제목,발주처(수요기관),지역제한,기초금액,예정가격,예가범위,A값,투찰률(%),참여업체수,공고구분표시,정답사정률(%),Unnamed: 0
20141227418-00,2014,신수중학교 선진형 교과교실제 구축 리모델링 통신 공사,서울특별시서부교육청,서울,15094000.0,15229125.0,+3% ~ -3%,0.0,87.745,635.0,,0.89522,
20141226652-00,2014,노원자원회수시설 옥외전광판 개선공사 (긴급공고),한불에너지관리(주),서울,149083000.0,149077475.0,+3% ~ -3%,0.0,87.745,94.0,기,-0.00371,
20141222438-00,2014,도심권 및 주요도로 도로전광표지 정비공사(연간단가),서울시설공단,서울,150000000.0,150213000.0,+3% ~ -3%,0.0,87.745,778.0,,0.14200,
20141222632-01,2014,고정형 불법 주.정차 무인단속 CCTV 이전 설치 공사 (정정공고),서울특별시,서울,37300000.0,37026175.0,+3% ~ -3%,0.0,87.745,425.0,기/정,-0.73412,
20141224237-00,2014,2015년도 민방위 경보시설 유지관리 용역,경기도,서울/경기,29120000.0,29172125.0,+3% ~ -3%,0.0,87.745,11.0,,0.17900,
20141221359-00,2014,9호선 930역사-2호선 종합운동장역 연락회선 광케이블 공사,서울교통공사,서울,19000000.0,18969125.0,+3% ~ -3%,0.0,90,701.0,,-0.16250,
20141218308-00,2014,2015년 도시고속도로 교통관리시스템 통신공사(연간단가),서울시설공단,서울,229966000.0,226125600.0,+3% ~ -3%,0.0,87.745,825.0,,-1.66999,
20141219034-00,2014,2015년도 국회구내전자교환기 유지보수용역,국회,서울,44000000.0,44002700.0,+2% ~ -2%,0.0,88,21.0,,0.00613,
E01-14-07382,2014,"내곡, 천왕2 배전자동화용 광통신망 시설공사",한국전력공사,서울,73610460.0,73730365.0,+2.5% ~ -2.5%,0.0,87.745,676.0,,0.16289,
20141222110-01,2014,서울시흥동우체국 건립공사(정보통신공사) (정정공고),과학기술정보통신부,서울,34571000.0,34560925.0,+2% ~ -2%,0.0,87.745,845.0,기/정,-0.02915,
20141221115-00,2014,경부선 신도림역 시각장애인용 음성유도 신설공사,한국철도공사,서울,33100000.0,32407450.0,+0% ~ -4%,0.0,87.745,807.0,기,-2.09230,
20141220441-00,2014,경부선 안영역외 4개소 관제지국 보수공사,한국철도공사,서울/경기,36050000.0,35240925.0,+0% ~ -4%,0.0,87.745,1518.0,기,-2.24432,
20141201368-00,2014,서울지하철 9호선연장건설(3단계) 2구간 정보통신공사 (긴급공고),서울지방조달청/서울특별시,전국/서울,6594367000.0,6560867675.0,+3% ~ -3%,0.0,85.495,397.0,기/의무,-0.50800,
20141201348-00,2014,서울 지하철 9호선연장건설(3단계) 1구간 정보통신공사 (긴급공고),서울지방조달청/서울특별시,전국/서울,6729021000.0,6768015725.0,+3% ~ -3%,0.0,85.495,396.0,기/의무,0.57950,
20141124845-00,2014,마포세무서 청사신축공사 통신공사,서울지방조달청/국세청,전국/서울,1695212000.0,1687291150.0,+2% ~ -2%,0.0,86.745,787.0,기/의무,-0.46725,
20141123909-00,2014,반포세무서 청사신축공사 통신공사,서울지방조달청/국세청,전국/서울,910576000.0,904420575.0,+2% ~ -2%,0.0,86.745,908.0,기/의무,-0.67600,
20141218010-00,2014,벨로드롬 시설개선 통신공사,서울올림픽기념국민체육진흥공단,서울,69552560.0,69669600.0,+2% ~ -2%,0.0,87.745,923.0,,0.16827,
20141211823-00,2014,(긴급)국립중앙극장 전속단체 공연연습장 건립 정보통신공사,서울지방조달청/문화체육관광부,서울,203585000.0,204997925.0,+2% ~ -2%,0.0,87.745,850.0,기/협정,0.69402,
20141213376-00,2014,장외지점(12개지점) CCTV 설치 관련 통신공사 (긴급공고),서울올림픽기념국민체육진흥공단,서울/경기,85580000.0,85507725.0,+2% ~ -2%,0.0,87.745,1705.0,,-0.08446,
20141213236-00,2014,광명스피돔 지정좌석실 환경개선 통신공사 (긴급공고),서울올림픽기념국민체육진흥공단,서울/경기,121077000.0,121907050.0,+2% ~ -2%,0.0,87.745,1656.0,,0.68555,
20141212422-00,2014,창덕여자중학교 미래학교 구축 통신공사 (긴급공고),서울특별시교육청,서울,133416000.0,132583200.0,+3% ~ -3%,0.0,87.745,899.0,기,-0.62422,
20141212174-00,2014,2014년 보신각 방범시설 [CCTV] 설치사업 (긴급공고),서울특별시,서울,154830000.0,154779725.0,+3% ~ -3%,0.0,87.745,868.0,기,-0.03248,
20141213138-01,2014,2015년 생활방범용 CCTV 유지보수 용역 (정정공고),경기도,서울/경기,33315000.0,33592925.0,+3% ~ -3%,0.0,87.745,41.0,기/정,0.83423,
20141214967-00,2014,서울우장초등학교 본관동 노후시설개선 통신공사 및 기타공사,서울특별시교육청,서울,23873000.0,23529750.0,+3% ~ -3%,0.0,87.745,157.0,협정,-1.43782,
20141121704-00,2014,강서세무서 청사신축 통신공사,서울지방조달청/국세청,전국/서울,814734000.0,812092300.0,+2% ~ -2%,0.0,86.745,928.0,기/의무,-0.32425,
2014-16481,2014,00지역 유류저장시설 보수 통신공사,제7789부대,서울/인천/경기,259755000.0,259315500.0,+3% ~ -3%,0.0,87.745,1729.0,정/연기,-0.16920,
20141213178-00,2014,서울당곡초 연결통로 증축 및 기타 통신공사,서울특별시교육청,서울,18787000.0,18687400.0,+3% ~ -3%,0.0,87.745,741.0,,-0.53016,
20141214051-00,2014,경부선 용산역 등 89개소 여객안내설비 국부역장치 보수공사,한국철도공사,서울/경기,28900000.0,28106950.0,+0% ~ -4%,0.0,87.745,1258.0,기,-2.74412,
20141210668-00,2014,"2015 강서교육지원청 PC 및 주변,네트워크 유지보수",서울특별시교육청,서울,23912760.0,23982825.0,+3% ~ -3%,0.0,87.745,11.0,기,0.29300,
20141120373-00,2014,서울장원초등학교 교사신축 통신공사 (긴급공고),서울지방조달청/서울특별시교육청,전국/서울,649023000.0,648477875.0,+3% ~ -3%,0.0,86.745,949.0,기/의무,-0.08400,
20141118981-00,2014,검찰특수기록관 신축 통신공사,서울지방조달청/법무부,서울,419875000.0,418600725.0,+2% ~ -2%,0.0,86.745,830.0,기/협정,-0.30349,
2014-16825,2014,00지역 통신공사,국방부근무지원단,서울,16560000.0,16604442.0,+3% ~ -3%,0.0,87.745,473.0,정/연기,0.26836,
20141211933-00,2014,잠원동 청사 증축공사 - 통신,서울특별시,서울,35900000.0,35686825.0,+3% ~ -3%,0.0,87.745,917.0,기,-0.59381,
20141213514-00,2014,가상체험실 구축 및 콘텐츠 제작설치 공사,서울특별시,서울/경기,24603950.0,24875600.0,+3% ~ -3%,0.0,87.745,231.0,,1.10409,
20141211726-00,2014,2014년 근현대사념관 신축 공사(통신) (긴급공고),서울특별시,서울,35486000.0,35561625.0,+3% ~ -3%,0.0,87.745,900.0,기,0.21311,
