id,공고번호,공고제목,발주처(수요기관),지역제한,기초금액,예정가격,예가범위,A값,투찰률(%),참여업체수,공고구분표시,정답사정률(%)
1,20201235780-00,2021년도 국회 CCTV설비 유지보수용역,국회,서울,76600000,77163250,+2% ~ -2%,0,84.245,98,기/협정,0.73531
2,20201235181-00,서울창업허브 창동 실내인테리어공사에 따른 통신공사,(재)서울산업진흥원,서울,88536000,87694500,+3% ~ -3%,0,87.745,1145,수의,-0.95047
3,20201229357-00,2021년 교통관리시스템 통신공사(연간단가),서울시설공단,전국/서울/경기,573000000,571445750,+3% ~ -3%,24701733,86.745,2525,기/A값/의무,-0.27125
4,20201235634-00,2021년 서울시설공단 행정통신망 유지보수 용역 (재공고),서울시설공단,서울,23262000,23042975,+3% ~ -3%,0,88,13,수의,-0.94156
5,20201130779-00,가락시장 현대화사업 채소2동 건립공사(정보통신),서울지방조달청/서울특별시농수산식품공사,전국/서울,2495371000,2485470675,+3% ~ -3%,162688524,86.745,944,기/A값/의무,-0.39675
6,20201235475-00,2021년 도서자동화장비 통합 유지관리 용역 (긴급공고),경기도,서울/경기,228303000,229244800,+3% ~ -3%,0,86.745,31,기,0.41252
7,20201233348-00,대회의실 LED 스크린 제작 설치,한국수출입은행,서울/인천/경기,118778000,119729475,+2% ~ -2%,0,87.745,281,기/수의,0.80105
8,2020-26422,조직개편에 따른 사무실 정보통신망 이전,방위사업청,서울/경기,50352302,49679919,0.0% ~ -2.0%,0,87.745,1749,기/수의,-1.33536
9,2020-26410,방위사업교육원 네트워크 통신공사,방위사업청,서울/경기,44245432,43550257,0.0% ~ -2.0%,0,87.745,1756,기/수의,-1.57118
10,20201228511-00,2020년 혁신지원사업 산업맞춤형 역량강화 강의실 및 컴퓨터실습실 구축 통신공사,대림대학교,서울/인천/경기,21946120,21815600,+2% ~ -2%,411584,87.745,2048,기/A값/순,-0.59473
11,20201227141-00,2021년 개인정보보호시스템 유지보수 용역 입찰 공고,경기도의료원,서울/경기,171702080,169582925,+3% ~ -3%,0,87.745,15,,-1.23421
12,20201225940-00,청년복합센터 신축공사(통신),서울특별시,서울,109073000,108600750,+3% ~ -3%,0,87.745,1204,기/수의,-0.43297
13,20201225912-00,빨래골 문화청소년활동지원센터 신축 통신공사,서울특별시,서울,133955000,131460125,+3% ~ -3%,0,87.745,1233,기/수의,-1.86248
14,20201220187-00,서초유스센터 리모델링공사(통신),서울특별시,서울,301347000,300085150,+3% ~ -3%,19617387,87.745,1075,기/A값,-0.41874
15,20201227481-00,(긴급)청파유치원 증축 리모델링 통신공사(장기계속) (긴급공고),서울특별시교육청,서울,134067000,134312050,+3% ~ -3%,0,87.745,1189,기/수의,0.18278
16,20201226661-00,2021년 주차검지시스템 유지보수 용역 (재공고),서울시설공단,서울/경기,24805000,24975825,+3% ~ -3%,0,88,18,기/수의,0.68867
17,20201227463-00,(긴급)중경고 연결통로 증축 통신공사 (긴급공고),서울특별시교육청,서울,19262000,19524300,+3% ~ -3%,0,87.745,827,기/수의,1.36174
18,20201228797-00,2021년 남양주시 도서관정보화시스템 유지보수 용역,경기도,서울/경기,52557000,52058675,+3% ~ -3%,0,88,17,수의,-0.94817
19,20201224314-00,관광경찰대 신축공사(통신),경찰청,서울,114554000,114644250,+2% ~ -2%,7581361,87.745,1037,기/A값/순,0.07878
20,20201227246-01,서남물재생센터 슬러지건조시설 2단계 영상감시장치 설치공사 (정정공고),주식회사,서울,41327000,41076525,+3% ~ -3%,0,87.745,987,기/정/수의,-0.60609
21,20201226203-01,숭실중학교 재구조화사업 협력종합예술실 정보통신공사[긴급] 전자입찰 공고 (정정공고),서울특별시서부교육청,서울,66440000,66700175,+2% ~ -2%,1493510,87.745,1054,기/정/A값/순,0.39159
22,20201225597-00,노원지역 자활센터 신축 통신공사 (긴급공고),서울특별시,서울,89274000,89220025,+3% ~ -3%,0,87.745,1153,수의,-0.06046
23,20201221559-00,2020년 학교가는길(군자초교) 스마트횡단보도(정지차선 위반 및 과속경보 계도시스템) 구축 공사,서울특별시,서울,181400000,181659900,+3% ~ -3%,4155455,87.745,1005,기/A값,0.14327
24,20201225607-00,(대행)(긴급)중부 특수교육지원센터 이전 구축 및 장애인편의시설 설치 통신공사 (긴급공고),서울특별시교육청,서울,53567000,53242300,+3% ~ -3%,0,87.745,1105,기/수의,-0.60616
25,20201224663-00,(긴급)중경고 정보센터 꿈을담은교실 리모델링 통신공사 (긴급공고),서울특별시교육청,서울,19220000,18949950,+3% ~ -3%,0,87.745,844,기/수의,-1.40505
26,20201224635-00,(긴급)서울금양초 꿈담도서실 리모델링 통신공사 (긴급공고),서울특별시교육청,서울,17881000,17893900,+3% ~ -3%,0,87.745,842,기/수의,0.07214
