순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
1,1138163917,백두전기통신(주),장철,분석,390125084,86.348,86.412,-0.76020 (99.2398),6 9,2021/12/14 19:34:45,
2,1048157783,(주)서울정보컴,고응준,분석,390132878,86.349,86.413,-0.75821 (99.24179),13 7,2021/12/15 16:49:48,
3,2148705513,주식회사 케이이에스 전기공사,강성진,분석,390142233,86.352,86.415,-0.75580 (99.2442),1 15,2021/12/15 09:52:47,
4,8418600934,주식회사 디토시스,이민용,분석,390145741,86.352,86.416,-0.75490 (99.2451),2 6,2021/12/15 14:26:11,
5,1198656476,주식회사 엠스텍,황경석,분석,390158500,86.355,86.419,-0.75163 (99.24837),13 2,2021/12/16 09:19:11,
6,2128144255,경방전기통신(주),장기인,분석,390166880,86.357,86.421,-0.74948 (99.25052),6 7,2021/12/16 08:56:12,
7,2148619081,주식회사 유신테크,김용근,분석,390184720,86.362,86.425,-0.74490 (99.2551),15 4,2021/12/15 17:41:26,
8,1138175669,(주)용상전기통신,권혁기,분석,390197580,86.365,86.428,-0.74161 (99.25839),12 2,2021/12/15 10:04:58,
9,1138635212,(주)아이제이일렉트론,김도형,분석,390213170,86.368,86.431,-0.73761 (99.26239),2 3,2021/12/15 16:07:10,
10,2188117964,(주)투윈스컴,박성하,분석,390215512,86.369,86.432,-0.73700 (99.263),1 11,2021/12/14 07:34:12,
11,2068124123,(주)세양텔레콤,김한섭,분석,390234221,86.373,86.436,-0.73220 (99.2678),15 2,2021/12/15 13:56:02,
12,2158706984,도드람정보기술 주식회사,이명석,분석,390262285,86.38,86.442,-0.72500 (99.275),11 13,2021/12/16 09:25:28,
13,8568800361,주식회사 우선기술,정우영,분석,390298143,86.388,86.45,-0.71581 (99.28419),1 11,2021/12/14 10:02:29,
14,4178600013,블랙썬 주식회사,이희부,분석,390311400,86.392,86.453,-0.71240 (99.2876),12 14,2021/12/16 09:51:01,
15,1138640864,주식회사 지앤씨씨,정연진,분석,390314120,86.392,86.454,-0.71171 (99.28829),1 8,2021/12/14 14:20:47,
16,1088178984,(주)포소드,마명철,분석,390349200,86.4,86.461,-0.70271 (99.29729),11 13,2021/12/15 09:33:48,
17,1198175027,(주)케이웍스,김영주,분석,390349984,86.401,86.461,-0.70250 (99.2975),12 3,2021/12/16 09:04:41,
18,3738701418,주식회사 에스비넷,전막동,분석,390377260,86.407,86.468,-0.69551 (99.30449),13 14,2021/12/13 10:06:05,
19,1048635974,주식회사 성원통신,송준형,분석,390385885,86.409,86.469,-0.69329 (99.30671),11 2,2021/12/16 07:56:07,
20,2018147460,태성전기통신(주),이덕우,분석,390386467,86.409,86.47,-0.69314 (99.30686),10 5,2021/12/15 13:10:26,
21,2208180951,엘지정보기술(주),엄태원,분석,390393638,86.411,86.471,-0.69131 (99.30869),12 6,2021/12/14 09:32:54,
22,2140562973,대산정보통신공사,오도균,분석,390399097,86.412,86.472,-0.68990 (99.3101),1 12,2021/12/14 21:38:43,
23,1108139892,(주)이화텔레콤,윤영배,분석,390420456,86.417,86.477,-0.68442 (99.31558),14 7,2021/12/14 14:04:47,
24,2098111724,(주)석주기업,유영만,분석,390431447,86.42,86.48,-0.68161 (99.31839),12 7,2021/12/13 10:25:17,
25,1108143208,한국통신인터넷기술(주),이민수,분석,390443540,86.423,86.482,-0.67850 (99.3215),12 5,2021/12/15 14:20:08,
26,1058162163,주식회사대한종합산전,이섭,분석,390449400,86.424,86.484,-0.67700 (99.323),1 7,2021/12/14 17:03:13,
27,1088155278,금하개발(주),김채모,분석,390453275,86.425,86.484,-0.67600 (99.324),13 3,2021/12/15 17:28:01,
28,1138618964,주식회사 에스엠플러스정보통신,왕성모,분석,390471780,86.429,86.488,-0.67126 (99.32874),10 12,2021/12/15 10:06:43,
29,1208635791,주식회사 피엔에이링크,박윤철,분석,390478709,86.431,86.49,-0.66948 (99.33052),15 3,2021/12/15 10:54:23,
30,2148770450,주식회사 아리시스,이대섭,분석,390481338,86.432,86.491,-0.66881 (99.33119),13 6,2021/12/15 18:52:37,
31,1238135136,(주)청남통신,최재언,분석,390484750,86.432,86.491,-0.66793 (99.33207),11 3,2021/12/14 09:58:11,
32,1208742187,주식회사 미소아이티,김재욱,분석,390525930,86.442,86.5,-0.65736 (99.34264),11 9,2021/12/14 09:13:53,
33,2148711728,에이에이씨케이(주),주수양,분석,390549939,86.448,86.506,-0.65121 (99.34879),3 9,2021/12/15 11:17:49,
34,4048131290,(주)아이앤씨코리아,박규성,분석,390559489,86.45,86.508,-0.64875 (99.35125),15 4,2021/12/16 00:49:01,
35,1078805018,주식회사 지엔아이테크,박우정,분석,390564950,86.451,86.509,-0.64735 (99.35265),12 9,2021/12/13 16:42:04,
36,1098197140,(주)코맥스시큐리티,김종정,분석,390585409,86.456,86.514,-0.64210 (99.3579),1 7,2021/12/16 09:41:13,
37,2208657396,(주)가온네트,오장환,분석,390595155,86.458,86.516,-0.63960 (99.3604),12 5,2021/12/14 10:23:57,
38,1068638093,(주)엘케이시스코,이기일,분석,390603960,86.461,86.518,-0.63735 (99.36265),1 15,2021/12/15 17:55:07,
39,1168144224,제일정보건설 주식회사,김진철,분석,390616201,86.463,86.52,-0.63421 (99.36579),14 5,2021/12/16 09:00:13,
40,2108170441,주식회사 에이원아이티,문계숙,분석,390623218,86.465,86.522,-0.63240 (99.3676),13 9,2021/12/15 13:56:51,
41,1138157962,(주)하이눈정보통신,박종우,분석,390652670,86.472,86.529,-0.62485 (99.37515),14 3,2021/12/15 09:49:27,
42,1358145603,한라인포넷(주),장경민,분석,390653231,86.472,86.529,-0.62470 (99.3753),12 5,2021/12/15 23:02:58,
43,1088122724,영진정보통신주식회사,김영식,분석,390675447,86.477,86.534,-0.61901 (99.38099),12 8,2021/12/13 18:59:03,
44,2308103607,주식회사 디케이앤트,양동국,분석,390681960,86.479,86.535,-0.61733 (99.38267),3 4,2021/12/14 10:43:17,
45,1138611108,(주)도원디에스,이정우,분석,390683630,86.479,86.535,-0.61691 (99.38309),13 2,2021/12/14 08:58:16,
46,2140550031,새론정보통신,이용주,분석,390720119,86.488,86.543,-0.60754 (99.39246),10 11,2021/12/14 10:48:09,
47,1138679165,주식회사 드림아이시스템,유원준,분석,390720940,86.488,86.544,-0.60733 (99.39267),13 9,2021/12/14 09:37:33,
48,1288138083,(주)유앤후레쉬,우재명,분석,390726620,86.49,86.545,-0.60588 (99.39412),5 7,2021/12/15 18:58:55,
49,1058191993,링크정보통신주식회사,이재호,분석,390728915,86.49,86.545,-0.60529 (99.39471),2 7,2021/12/15 10:42:51,
50,1068188579,(주)키월드정보통신,김영범,분석,390733500,86.491,86.546,-0.60411 (99.39589),14 5,2021/12/15 10:19:10,
51,2178125840,(주)에이디엠,정채옥,분석,390745680,86.494,86.549,-0.60099 (99.39901),10 12,2021/12/14 13:40:02,
52,2048639509,주식회사 대한유비텍,이우영,분석,390762800,86.498,86.553,-0.59659 (99.40341),12 7,2021/12/15 10:02:09,
53,1198616251,주식회사 누리인프라,정성우,분석,390774400,86.501,86.556,-0.59362 (99.40638),5 9,2021/12/14 16:46:52,
54,1148714240,주식회사 유진21,박영숙,분석,390782250,86.503,86.557,-0.59160 (99.4084),12 13,2021/12/16 09:42:50,
55,1058684745,(주)대곤아이엔씨,이체범,분석,390812662,86.51,86.564,-0.58380 (99.4162),11 15,2021/12/15 17:13:30,
56,1068143494,합자회사 화인에스앤컴퍼니,장주용,분석,390815760,86.511,86.565,-0.58301 (99.41699),12 2,2021/12/13 13:14:01,
57,1138158414,(주)신우종합정보,김찬종,분석,390816938,86.511,86.565,-0.58270 (99.4173),1 13,2021/12/15 21:02:17,
