순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
1,2548800191,신용전기통신 주식회사  [최종낙찰],정지택,분석,65067830,87.751,89.323,0.94051 (100.94051),2 3,2023/11/17 11:34:08,
2,1058619564,주식회사 다상테크,김춘기,분석,65071500,87.756,89.328,0.94625 (100.94625),5 14,2023/11/18 11:38:39,
3,2148107988,(주)서울정보시스템,이문현,분석,65073660,87.759,89.331,0.94963 (100.94963),11 14,2023/11/16 09:49:46,
4,8228700717,주식회사 해나정보통신,이창현,분석,65078050,87.766,89.337,0.95650 (100.9565),1 5,2023/11/15 14:59:06,
5,1198173261,주식회사 현대네트웍기술,조성익,분석,65084060,87.774,89.345,0.96590 (100.9659),2 10,2023/11/17 09:03:40,
6,1078688354,(주)혜인에스앤에스,유순희,분석,65085523,87.776,89.347,0.96819 (100.96819),1 2,2023/11/16 09:49:32,
7,1198153402,고현건설(주),이화선,분석,65088000,87.78,89.351,0.97206 (100.97206),15 3,2023/11/20 09:29:18,
8,3218602097,(주)태연정보,김영태,분석,65099900,87.797,89.367,0.99068 (100.99068),6 15,2023/11/15 15:53:09,
9,2118640396,주식회사 선진콘트롤 엔 엑세스,이철희,분석,65104512,87.804,89.374,0.99790 (100.9979),9 7,2023/11/20 09:15:07,
10,1078688280,콘텐츠스퀘어주식회사,함규식,분석,65104955,87.804,89.374,0.99859 (100.99859),12 9,2023/11/20 08:55:39,
11,2108131394,(주)안나시스템,문병조,분석,65112757,87.816,89.385,1.01080 (101.0108),10 12,2023/11/17 08:46:16,
12,1068615367,대성아이넷(주),이충은,분석,65113013,87.816,89.385,1.01120 (101.0112),9 11,2023/11/16 12:17:06,
13,1018138303,주식회사 비엘에스,안홍서,분석,65113200,87.816,89.385,1.01149 (101.01149),8 6,2023/11/20 09:09:03,
14,1098162433,광명정보통신 주식회사,김형준,분석,65121769,87.829,89.397,1.02489 (101.02489),11 8,2023/11/16 14:03:35,
15,1048610901,이룸유비쿼터스주식회사,김승규,분석,65131613,87.843,89.411,1.04030 (101.0403),11 2,2023/11/17 14:37:30,
16,1108132389,백강정보통신(주),강희식,분석,65132189,87.844,89.412,1.04120 (101.0412),14 2,2023/11/20 10:24:36,
17,5208801248,주식회사 해주정보통신,임나영,분석,65137686,87.852,89.419,1.04980 (101.0498),11 9,2023/11/17 08:49:00,
18,2068663169,(주)지엠케이정보통신,최경숙,분석,65138620,87.853,89.42,1.05126 (101.05126),1 10,2023/11/20 09:50:51,
19,2158602337,지엔네텔(주),고시영,분석,65143568,87.86,89.427,1.05900 (101.059),4 10,2023/11/20 12:38:06,
20,3828700771,주식회사 우진지앤에스,정안수,분석,65145163,87.863,89.429,1.06149 (101.06149),4 2,2023/11/15 15:55:56,
21,1098655451,주식회사 투비,차인성,분석,65145500,87.863,89.43,1.06202 (101.06202),15 10,2023/11/20 09:23:52,
22,2108145170,주식회사 시울에너지,민애숙,분석,65155790,87.878,89.444,1.07812 (101.07812),11 15,2023/11/17 09:46:16,
23,2178145434,주식회사 한양전자피에이,여동도,분석,65156450,87.879,89.445,1.07915 (101.07915),6 1,2023/11/17 15:46:54,
24,1188117437,탑인더스트리(주),이정임,분석,65176611,87.908,89.473,1.11070 (101.1107),3 8,2023/11/16 10:17:16,
25,1198125041,옥성정보통신(주),황석,분석,65189300,87.927,89.49,1.13055 (101.13055),3 6,2023/11/17 09:28:20,
26,2118145912,영남스퀘어 주식회사,장한원,분석,65197470,87.938,89.501,1.14333 (101.14333),13 2,2023/11/16 10:29:36,
27,1198618088,주식회사 하이넷 네트웍스,김동순,분석,65208400,87.954,89.516,1.16043 (101.16043),9 14,2023/11/16 09:24:09,
28,2148854189,(주)태원전기,김응식,분석,65209081,87.955,89.517,1.16149 (101.16149),11 14,2023/11/17 14:49:18,
29,2178141893,주식회사대웅텔레콤,전진숙,분석,65213359,87.961,89.523,1.16819 (101.16819),8 4,2023/11/16 10:05:02,
30,1178185645,무원이엔씨 주식회사,염규주,분석,65214800,87.964,89.525,1.17044 (101.17044),10 5,2023/11/17 09:41:31,
31,8418600934,주식회사 디토시스,이민용,분석,65218030,87.968,89.529,1.17550 (101.1755),3 2,2023/11/15 14:43:51,
32,1068606683,로버무트 주식회사,송태하,분석,65218670,87.969,89.53,1.17650 (101.1765),2 4,2023/11/16 11:16:57,
33,6033137009,엔제이정보통신,강연관,분석,65219244,87.97,89.531,1.17739 (101.17739),7 14,2023/11/20 09:30:23,
34,6918100014,에스큐앤티 주식회사(SQ&T Inc.),민병국,분석,65222440,87.975,89.535,1.18240 (101.1824),10 3,2023/11/17 13:34:06,
35,1978600685,주식회사 에스에이텍,남기출,분석,65233690,87.991,89.551,1.20000 (101.2),2 9,2023/11/20 08:42:31,
36,3578702230,(주)신화시큐리티,이규종,분석,65241040,88.002,89.561,1.21149 (101.21149),15 2,2023/11/15 16:55:19,
37,1208147588,서현정보통신(주),배상만,분석,65241440,88.002,89.562,1.21212 (101.21212),7 5,2023/11/20 09:02:12,
