,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
0,1,1058740405,(주)화성이엔지,김택환,분석,31112264,88.002,88.541,0.61512 (100.61512),,2024/05/02 16:18:32,1순위
1,2,2408800057,주식회사 동부아이씨티,정진욱,분석,31118420,88.019,88.558,0.63502 (100.63502),,2024/05/03 06:49:58,2순위
2,3,1218183253,주식회사 대은이엔에프,김동길,분석,31118535,88.019,88.559,0.63540 (100.6354),,2024/05/07 09:14:13,3순위
3,4,5958702768,와이티 파트너스(주),윤태원,분석,31140922,88.083,88.622,0.70779 (100.70779),,2024/05/03 15:49:47,4순위
4,5,1098603593,주식회사 완일이씨에스,김경창,분석,31160712,88.139,88.679,0.77179 (100.77179),,2024/05/07 08:39:29,5순위
5,6,1018197466,주식회사콤위즈,정윤권,분석,31171690,88.17,88.71,0.80730 (100.8073),,2024/05/03 15:29:25,6순위
6,7,1218146073,주식회사 영진씨엔씨,김미경,분석,31172153,88.171,88.711,0.80879 (100.80879),,2024/05/03 20:50:53,7순위
7,8,2438102002,(주)지테크,박은자,분석,31176390,88.183,88.723,0.82250 (100.8225),,2024/05/07 07:59:26,8순위
8,9,1228642172,주식회사 선경기전,양부석,분석,31183773,88.204,88.744,0.84637 (100.84637),,2024/05/07 09:23:05,9순위
9,10,1228632747,주식회사 월드미디어,윤숙희,분석,31190164,88.222,88.762,0.86704 (100.86704),,2024/05/07 07:35:28,10순위
10,11,3198801949,주식회사 세운정보기술,홍세희,분석,31215000,88.292,88.833,0.94736 (100.94736),,2024/05/04 16:06:18,11순위
11,12,2018603701,소성정보기술 주식회사,김금남,분석,31216166,88.296,88.836,0.95113 (100.95113),,2024/05/07 08:54:03,12순위
12,13,1288183458,주식회사 파워텔레콤,김성배,분석,31224340,88.319,88.86,0.97756 (100.97756),,2024/05/01 08:44:48,13순위
13,14,1058649262,주식회사 노하우전기통신,임창배,분석,31243580,88.373,88.915,1.03978 (101.03978),,2024/05/03 10:21:31,14순위
14,15,1218171359,주식회사 남부 이.엔.지,김아연,분석,31263200,88.429,88.97,1.10323 (101.10323),,2024/05/07 08:46:36,15순위
15,16,6518800368,주식회사 태승전설,김주권,분석,31326486,88.608,89.15,1.30790 (101.3079),,2024/05/02 12:44:36,16순위
16,17,7288600795,주식회사 나래넷츠,이용수,분석,32034988,90.612,91.167,3.59915 (103.59915),,2024/05/02 10:24:07,17순위
17,18,1058729735,원테크전기통신 주식회사,정원섭,분석,32100000,90.796,91.352,3.80939 (103.80939),,2024/05/02 10:40:32,18순위
18,19,1348712509,신우정보통신 주식회사,심원용,분석,33330000,94.275,94.852,7.78714 (107.78714),,2024/05/02 14:34:57,19순위
19,-1,8318101324,(주)두굿이엔지,전미연,분석,31107710,87.989,88.528,0.60039 (100.60039),,2024/05/02 09:07:24,낙찰하한가미만
20,-2,1238164816,주식회사 제이에스 이엔지,조성제,분석,31103754,87.978,88.517,0.58759 (100.58759),,2024/05/03 11:24:42,낙찰하한가미만
21,-3,5238101404,주식회사 에스에이치정보기술,홍성호,분석,31099800,87.967,88.505,0.57481 (100.57481),,2024/05/02 10:57:15,낙찰하한가미만
22,-4,2038601617,스마트아이티 주식회사,김대산,분석,31094610,87.952,88.491,0.55802 (100.55802),,2024/05/07 08:50:10,낙찰하한가미만
23,-5,3248100486,주식회사 케이제이이엔씨,최종명,분석,31094570,87.952,88.49,0.55789 (100.55789),,2024/05/07 08:41:09,낙찰하한가미만
24,-6,1168194291,주식회사 제트로정보통신,김명희,분석,31092221,87.945,88.484,0.55030 (100.5503),,2024/05/07 08:33:08,낙찰하한가미만
25,-7,6078179758,주식회사 대덕전력,신민제,분석,31090395,87.94,88.479,0.54439 (100.54439),,2024/05/07 00:01:55,낙찰하한가미만
26,-8,5128114665,(주)성운이엔씨,신승훈,분석,31090180,87.939,88.478,0.54370 (100.5437),,2024/05/06 05:10:06,낙찰하한가미만
27,-9,3138101753,주식회사 파워이엔씨,유준우,분석,31085850,87.927,88.466,0.52969 (100.52969),,2024/05/03 09:12:12,낙찰하한가미만
28,-10,1228643550,주식회사 썬플라워즈,김종석,분석,31085318,87.926,88.464,0.52797 (100.52797),,2024/05/07 09:31:38,낙찰하한가미만
29,-11,3378600599,주식회사 젠프로,전상엽,분석,31084700,87.924,88.462,0.52598 (100.52598),,2024/05/07 08:32:56,낙찰하한가미만
30,-12,1228172079,주식회사 포브텍,김경희,분석,31078072,87.905,88.444,0.50454 (100.50454),,2024/05/07 07:27:51,낙찰하한가미만
31,-13,1318628422,주식회사 유라이프솔루션즈,천세길,분석,31074500,87.895,88.433,0.49299 (100.49299),,2024/05/02 07:36:15,낙찰하한가미만
32,-14,2728602908,주식회사 베율,임영삼,분석,31072425,87.889,88.427,0.48628 (100.48628),,2024/05/03 09:50:28,낙찰하한가미만
33,-15,1268150363,주식회사 진엔지니어링,정진석,분석,31065188,87.869,88.407,0.46287 (100.46287),,2024/05/03 11:40:45,낙찰하한가미만
34,-16,1138634061,엔케이전기 주식회사,양남규,분석,31053011,87.834,88.372,0.42350 (100.4235),,2024/05/02 11:27:19,낙찰하한가미만
35,-17,2048629466,주식회사 비즈앤컴,정재웅,분석,31051867,87.831,88.369,0.41980 (100.4198),,2024/05/02 11:23:12,낙찰하한가미만
36,-18,3908600227,신진아이앤씨주식회사,김보성,분석,31050940,87.828,88.366,0.41680 (100.4168),,2024/05/06 22:24:26,낙찰하한가미만
37,-19,1228633052,주식회사 하픽스,곽호식,분석,31050043,87.826,88.364,0.41390 (100.4139),,2024/05/03 11:05:01,낙찰하한가미만
38,-20,2888100521,(주)대성이엔씨,한선아,분석,31042525,87.804,88.342,0.38958 (100.38958),,2024/05/03 16:49:23,낙찰하한가미만
39,-21,5258602705,(주)세화 텔링크,이옥임,분석,31041536,87.802,88.34,0.38639 (100.38639),,2024/05/06 22:04:15,낙찰하한가미만
40,-22,1358626858,씨엔씨엔지니어링(주),박애자,분석,31038660,87.794,88.331,0.37709 (100.37709),,2024/05/02 13:03:10,낙찰하한가미만
41,-23,5118104107,주식회사 해오름건설,박성훈,분석,31038500,87.793,88.331,0.37657 (100.37657),,2024/05/03 18:01:46,낙찰하한가미만
42,-24,1268150951,주식회사 오아이티,이필웅,분석,31034640,87.782,88.32,0.36408 (100.36408),,2024/05/04 02:09:51,낙찰하한가미만
43,-25,2178127829,(주)유투에스알,윤사빈,분석,31029497,87.768,88.305,0.34745 (100.34745),,2024/05/02 13:17:45,낙찰하한가미만
44,-26,1318160413,주식회사 세븐전자코리아,김규근,분석,31027010,87.761,88.298,0.33941 (100.33941),,2024/05/03 14:55:05,낙찰하한가미만
45,-27,1078636235,(주)대교이앤에스,이찬수,분석,31026600,87.759,88.297,0.33808 (100.33808),,2024/05/02 11:10:06,낙찰하한가미만
46,-28,1198703753,구루멘토링 주식회사,최동양,분석,31022580,87.748,88.286,0.32508 (100.32508),,2024/05/06 22:50:51,낙찰하한가미만
47,-29,3958800527,주식회사 에스에이치아이티,정태순,분석,31018560,87.737,88.274,0.31208 (100.31208),,2024/05/07 09:44:20,낙찰하한가미만
48,-30,3458701320,주식회사 산호,임성숙,분석,31011974,87.718,88.255,0.29078 (100.29078),,2024/05/07 07:35:46,낙찰하한가미만
49,-31,1388600046,주식회사 인프라원,이지영,분석,31006500,87.703,88.24,0.27308 (100.27308),,2024/05/03 09:58:28,낙찰하한가미만
0,-32,1378607099,주식회사 세원테크넷,박치종,분석,31004480,87.697,88.234,0.26655 (100.26655),,2024/05/07 09:49:24,낙찰하한가미만
1,-33,1418137675,주식회사 네오글로벌시스템,김현진,분석,31003227,87.693,88.231,0.26250 (100.2625),,2024/05/02 08:48:41,낙찰하한가미만
2,-34,2328102583,서진정보통신 주식회사,안병학,분석,30998270,87.679,88.216,0.24647 (100.24647),,2024/05/02 10:37:09,낙찰하한가미만
3,-35,1228181544,주식회사 윌테크,박동환,분석,30997720,87.678,88.215,0.24469 (100.24469),,2024/05/07 08:54:43,낙찰하한가미만
4,-36,1418122639,주식회사 에펠,유성호,분석,30995800,87.672,88.209,0.23848 (100.23848),,2024/05/02 15:28:54,낙찰하한가미만
5,-37,6068665713,주식회사 디비알,김왕섭,분석,30991722,87.661,88.198,0.22529 (100.22529),,2024/05/02 13:56:00,낙찰하한가미만
6,-38,1138649133,빅썬시스템즈 주식회사,권태일,분석,30990420,87.657,88.194,0.22108 (100.22108),,2024/05/03 10:32:28,낙찰하한가미만
7,-39,1118129252,광원전설(주),김영선,분석,30984032,87.639,88.176,0.20042 (100.20042),,2024/05/07 09:51:20,낙찰하한가미만
8,-40,7280702634,에이아이솔루션(AI Solution),김현우,분석,30980738,87.63,88.167,0.18977 (100.18977),,2024/05/07 09:10:07,낙찰하한가미만
9,-41,1408116911,주식회사 엑스컴정보통신,장일훈,분석,30980090,87.628,88.165,0.18767 (100.18767),,2024/05/07 09:07:42,낙찰하한가미만
10,-42,6148102219,톱텔레콤(주),김기용,분석,30978120,87.622,88.159,0.18130 (100.1813),,2024/05/03 12:06:57,낙찰하한가미만
11,-43,1198174315,주식회사 다솜이엔씨,송인주,분석,30976912,87.619,88.156,0.17740 (100.1774),,2024/05/03 10:19:35,낙찰하한가미만
12,-44,1098630066,주식회사 태양전기,홍석봉,분석,30976108,87.617,88.153,0.17480 (100.1748),,2024/05/07 09:09:42,낙찰하한가미만
13,-45,3668600919,주식회사 인프라아이씨티,이배현,분석,30970728,87.601,88.138,0.15740 (100.1574),,2024/05/02 13:39:31,낙찰하한가미만
14,-46,1388122614,주식회사 맥시오,남태양,분석,30968600,87.595,88.132,0.15052 (100.15052),,2024/05/02 16:56:43,낙찰하한가미만
15,-47,2848603045,주식회사 유림전기통신,김효성,분석,30967800,87.593,88.13,0.14793 (100.14793),,2024/05/03 09:57:45,낙찰하한가미만
16,-48,3338103089,주식회사 알앤에이시스템,황동성,분석,30964069,87.583,88.119,0.13586 (100.13586),,2024/05/03 11:15:19,낙찰하한가미만
17,-49,8858100619,주식회사 엔트론,이정호,분석,30963333,87.581,88.117,0.13348 (100.13348),,2024/05/03 15:05:03,낙찰하한가미만
18,-50,5758701673,주식회사 가온정보통신,최종화,분석,30957117,87.563,88.099,0.11338 (100.11338),,2024/05/03 17:34:40,낙찰하한가미만
19,-51,1068644033,(주)코맥스디에스씨,안병호,분석,30948216,87.538,88.074,0.08459 (100.08459),,2024/05/03 18:23:01,낙찰하한가미만
20,-52,1288708320,주식회사 도경,정길호,분석,30947700,87.536,88.072,0.08293 (100.08293),,2024/05/02 17:24:55,낙찰하한가미만
21,-53,1428157387,(주)엠알솔루텍,정명옥,분석,30946835,87.534,88.07,0.08013 (100.08013),,2024/05/07 07:00:22,낙찰하한가미만
22,-54,1848801998,주식회사 기어,강호왕,분석,30946238,87.532,88.068,0.07820 (100.0782),,2024/05/03 13:12:45,낙찰하한가미만
23,-55,1208637620,주원통신기술 주식회사,김준기,분석,30945186,87.529,88.065,0.07480 (100.0748),,2024/05/03 15:16:04,낙찰하한가미만
24,-56,1318603625,주식회사가인전력,장복남,분석,30943681,87.525,88.061,0.06993 (100.06993),,2024/05/07 09:53:56,낙찰하한가미만
25,-57,1278619749,(주)와이지글로벌,이영규,분석,30942000,87.52,88.056,0.06449 (100.06449),,2024/05/07 08:00:35,낙찰하한가미만
26,-58,1198664224,포스텍네트웍스 주식회사,김권일,분석,30940644,87.516,88.052,0.06011 (100.06011),,2024/05/02 15:34:09,낙찰하한가미만
27,-59,8348100343,주식회사 코리아베스트네트워크,이상화,분석,30939620,87.513,88.049,0.05680 (100.0568),,2024/05/02 08:25:00,낙찰하한가미만
28,-60,1278650172,주식회사 이노씨앤정보통신,윤수형,분석,30939409,87.513,88.049,0.05611 (100.05611),,2024/05/03 15:28:52,낙찰하한가미만
29,-61,1378607255,니브스코리아 주식회사,권종호,분석,30935847,87.503,88.039,0.04459 (100.04459),,2024/05/02 11:02:10,낙찰하한가미만
30,-62,4098173825,(주)에버비젼,조광종,분석,30933430,87.496,88.032,0.03678 (100.03678),,2024/05/02 16:06:26,낙찰하한가미만
31,-63,1328198775,주식회사 성운이엔지,김선영,분석,30932817,87.494,88.03,0.03480 (100.0348),,2024/05/03 10:51:08,낙찰하한가미만
32,-64,4678802117,주식회사 준서전력,김혜선,분석,30931590,87.491,88.027,0.03083 (100.03083),,2024/05/06 21:52:54,낙찰하한가미만
33,-65,2158188005,(주)다함정보통신,함일용,분석,30908790,87.426,87.962,-0.04291 (99.95709),,2024/05/07 07:51:36,낙찰하한가미만
34,-66,1288138083,주식회사 유앤후레쉬,우재명,분석,30901740,87.406,87.942,-0.06571 (99.93429),,2024/05/06 16:57:23,낙찰하한가미만
35,-67,6158700370,꿈동산장애인표준사업장 주식회사,권오현,분석,30897500,87.394,87.93,-0.07942 (99.92058),,2024/05/02 19:52:33,낙찰하한가미만
36,-68,8988601297,주식회사 큐네스,윤준호,분석,30886917,87.364,87.899,-0.11364 (99.88636),,2024/05/03 09:30:16,낙찰하한가미만
37,-69,2068184285,주식회사 진명파워택,이명규,분석,30886550,87.363,87.898,-0.11483 (99.88517),,2024/05/07 09:21:32,낙찰하한가미만
38,-70,4848101910,주식회사 에피테크,김희정,분석,30886430,87.363,87.898,-0.11522 (99.88478),,2024/05/03 10:19:04,낙찰하한가미만
39,-71,7248601453,주식회사 유진일렉트로닉스,황유진,분석,30885350,87.36,87.895,-0.11871 (99.88129),,2024/05/07 09:27:29,낙찰하한가미만
40,-72,1328166569,주식회사 디앤비엔지니어링,이호천,분석,30884325,87.357,87.892,-0.12202 (99.87798),,2024/05/02 16:00:05,낙찰하한가미만
41,-73,5718703188,주식회사 이스타엔텍,장은주,분석,30883312,87.354,87.889,-0.12530 (99.8747),,2024/05/02 23:13:39,낙찰하한가미만
42,-74,1821900624,태영산업,안영선,분석,30882600,87.352,87.887,-0.12760 (99.8724),,2024/05/03 08:07:47,낙찰하한가미만
43,-75,4288602025,주식회사 위드시스,박수완,분석,30879756,87.344,87.879,-0.13680 (99.8632),,2024/05/03 14:19:11,낙찰하한가미만
44,-76,1738100762,주식회사 인큐비젼,임가숙,분석,30871654,87.321,87.856,-0.16300 (99.837),,2024/05/03 15:03:11,낙찰하한가미만
45,-77,1348612180,주식회사 청화텔레콤,이훈규,분석,30867911,87.311,87.845,-0.17511 (99.82489),,2024/05/03 16:07:32,낙찰하한가미만
46,-78,1228643910,(주)유원아이씨티,신영미,분석,30854900,87.274,87.808,-0.21718 (99.78282),,2024/05/02 08:44:00,낙찰하한가미만
47,-79,1328615798,주식회사 에스앤케이,김두환,분석,30851650,87.265,87.799,-0.22769 (99.77231),,2024/05/02 17:47:32,낙찰하한가미만
48,-80,1298665050,주식회사 글로벌메타,김부원,분석,30850000,87.26,87.794,-0.23303 (99.76697),,2024/05/07 09:52:58,낙찰하한가미만
49,-81,6278801874,주식회사 포킨,김영민,분석,30847318,87.252,87.787,-0.24170 (99.7583),,2024/05/03 18:39:22,낙찰하한가미만
0,-82,3078140955,태현전력 주식회사,이정숙,분석,30838845,87.228,87.763,-0.26910 (99.7309),,2024/05/03 14:40:14,낙찰하한가미만
1,-83,1178161473,광일이엔씨 주식회사,김현실,분석,30811077,87.15,87.684,-0.35890 (99.6411),,2024/05/06 11:36:59,낙찰하한가미만
2,-84,1138193726,(주)성진에스에스,강신범,분석,30808795,87.143,87.677,-0.36628 (99.63372),,2024/05/07 08:28:13,낙찰하한가미만
3,-85,1378618091,우성기전 주식회사,임남윤,분석,30802350,87.125,87.659,-0.38713 (99.61287),,2024/05/07 08:26:34,낙찰하한가미만
4,-86,1288641996,해용정보통신주식회사,백다리아,분석,30791691,87.095,87.628,-0.42160 (99.5784),,2024/05/07 09:13:35,낙찰하한가미만
5,-87,1218605679,주식회사 시트론정보통신,권혁준,분석,30782000,87.068,87.601,-0.45294 (99.54706),,2024/05/03 11:30:18,낙찰하한가미만
6,-88,1278617116,(주)원광전기,오명숙,분석,30778893,87.059,87.592,-0.46299 (99.53701),,2024/05/06 20:08:43,낙찰하한가미만
7,-89,2158669639,(주)한정원,이수환,분석,30774430,87.046,87.579,-0.47742 (99.52258),,2024/05/02 17:19:16,낙찰하한가미만
8,-90,2098124011,(주)주암전기통신,정한석,분석,30762932,87.014,87.547,-0.51460 (99.4854),,2024/05/07 08:58:14,낙찰하한가미만
9,-91,1308620183,(주)태림네트웍스,나원상,분석,30759801,87.005,87.538,-0.52473 (99.47527),,2024/05/03 15:58:36,낙찰하한가미만
10,-92,2118647915,안세정보통신(주),방윤배,분석,30756296,86.995,87.528,-0.53606 (99.46394),,2024/05/03 19:07:20,낙찰하한가미만
