,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
0,1,5478601711,주식회사 에이치제이엠(HJM),문희정,분석,774181700,87.774,87.673,-0.95811 (99.04189),1 11,2024/01/19 12:44:13,낙찰
1,2,1298129419,지에스앤티(주),이득연,분석,774281092,87.786,87.685,-0.94528 (99.05472),1 2,2024/01/23 10:32:47,
2,3,3013054406,신우아이앤에스,최원기,분석,774438184,87.806,87.702,-0.92500 (99.075),10 15,2024/01/19 09:35:27,
3,4,3148800979,주식회사 멀티스퀘어,정승원,분석,774548980,87.819,87.715,-0.91071 (99.08929),11 13,2024/01/22 10:26:47,
4,5,5138121757,(주)비케이 이씨에프,이국상,분석,774755856,87.844,87.738,-0.88400 (99.116),6 7,2024/01/22 20:16:02,
5,6,1288135320,수호정보통신(주),김성수,분석,774979000,87.872,87.764,-0.85521 (99.14479),12 6,2024/01/22 17:21:23,
6,7,4088171222,주식회사 한광,김순미,분석,775076626,87.884,87.775,-0.84261 (99.15739),12 3,2024/01/23 08:58:59,
7,8,2208139700,(주)애플파워,김성국,분석,775145489,87.892,87.783,-0.83372 (99.16628),12 6,2024/01/18 09:57:27,
8,9,1338121231,한려정보통신 주식회사,고석필,분석,775159596,87.894,87.784,-0.83190 (99.1681),10 8,2024/01/18 10:28:54,
9,10,1248156963,진흥전기통신(주),백귀현,분석,775172400,87.895,87.786,-0.83024 (99.16976),10 4,2024/01/22 14:48:12,
10,11,1258181577,주식회사 디티,김윤헌,분석,775176900,87.896,87.786,-0.82966 (99.17034),3 9,2024/01/22 10:33:48,
11,12,4098118123,대호전기 주식회사,최윤채,분석,775209000,87.9,87.79,-0.82552 (99.17448),7 8,2024/01/22 17:30:52,
12,13,1348607315,주식회사 테크미컴,김영석,분석,775275752,87.908,87.797,-0.81691 (99.18309),8 9,2024/01/22 11:45:23,
13,14,1228181262,(주)유코리아,이병걸,분석,775353234,87.917,87.806,-0.80690 (99.1931),12 14,2024/01/22 17:42:13,
14,15,7218103160,(주)서전텔콤,양석진,분석,775388874,87.922,87.81,-0.80231 (99.19769),13 5,2024/01/19 11:27:03,
15,16,1138175669,(주)용상전기통신,권혁기,분석,775388874,87.922,87.81,-0.80231 (99.19769),5 9,2024/01/22 09:03:50,
16,17,2168701696,주식회사 투비콤,유수정,분석,775521428,87.938,87.825,-0.78520 (99.2148),3 9,2024/01/18 09:10:59,
17,18,3178114361,주식회사 해종,김명희,분석,775607371,87.948,87.835,-0.77410 (99.2259),10 15,2024/01/22 17:21:18,
18,19,4088118945,대신정보통신 주식회사,이재원,분석,775622402,87.95,87.837,-0.77216 (99.22784),3 6,2024/01/22 09:14:42,
19,20,4418702840,주식회사 다온이엔씨,정병운,분석,775667220,87.956,87.842,-0.76638 (99.23362),13 14,2024/01/23 12:29:06,
20,21,2368701351,주식회사 한빛티엔에스,이광열,분석,775828544,87.975,87.86,-0.74556 (99.25444),2 3,2024/01/18 09:55:03,
21,22,4168184276,대한정보통신(주),강철호,분석,775850670,87.978,87.862,-0.74270 (99.2573),1 6,2024/01/22 16:59:16,
22,23,1348629361,주식회사 삼은텔레콤,김순영,분석,775862070,87.98,87.864,-0.74123 (99.25877),14 4,2024/01/22 11:06:11,
23,24,5138120200,주식회사 한우기업,신동환,분석,775873910,87.981,87.865,-0.73970 (99.2603),1 8,2024/01/23 09:17:19,
24,25,8428700706,주식회사 퍼스트텍,양영선,분석,775880880,87.982,87.866,-0.73880 (99.2612),11 4,2024/01/22 11:49:11,
25,26,3168115431,(주)두원,이재성,분석,775889777,87.983,87.867,-0.73766 (99.26234),14 9,2024/01/19 16:03:31,
26,27,6038136311,(주)동아티엔씨,박봉근,분석,775979474,87.994,87.877,-0.72608 (99.27392),3 8,2024/01/19 10:37:36,
27,28,1308197047,드림네트웍스 주식회사,조정하,분석,776090000,88.007,87.89,-0.71181 (99.28819),2 3,2024/01/22 11:47:21,
28,29,2078149729,주식회사 지앤에스기술,문창수,분석,776098601,88.008,87.89,-0.71070 (99.2893),1 4,2024/01/23 09:11:02,
29,30,2148668087,주식회사 네오티스,이운학,분석,776115645,88.01,87.892,-0.70851 (99.29149),1 8,2024/01/19 09:49:49,
30,31,4010394153,세기E.N.G,박영일,분석,776234200,88.025,87.906,-0.69320 (99.3068),15 5,2024/01/19 17:51:11,
31,32,6158117317,주식회사 케이투,박성환,분석,776239610,88.026,87.906,-0.69251 (99.30749),11 4,2024/01/18 18:01:06,
32,33,4488100569,주식회사 엔에스테크,박현수,분석,776274480,88.03,87.91,-0.68801 (99.31199),10 6,2024/01/19 13:18:46,
33,34,3018194619,주식회사 에스웨이,윤태옥,분석,776277580,88.03,87.911,-0.68761 (99.31239),15 5,2024/01/22 14:01:15,
34,35,1298658845,주식회사 프라임테크넷,장길중,분석,776277580,88.03,87.911,-0.68761 (99.31239),10 15,2024/01/22 15:12:16,
35,36,3148193654,한일통신 주식회사,강창선,분석,776280680,88.031,87.911,-0.68720 (99.3128),11 2,2024/01/22 14:04:47,
36,37,4098173432,주식회사 영대정보통신,최경수,분석,776322000,88.036,87.916,-0.68187 (99.31813),6 8,2024/01/22 10:37:22,
37,38,1348169825,주식회사 포스텍,이수영,분석,776345190,88.039,87.918,-0.67888 (99.32112),5 7,2024/01/22 09:36:21,
38,39,6058634352,주식회사 풍정정보통신,안의범,분석,776433318,88.049,87.928,-0.66750 (99.3325),2 9,2024/01/23 10:32:46,
39,40,5028173314,(주)월드정보기술,최동열,분석,776485220,88.056,87.934,-0.66081 (99.33919),10 4,2024/01/19 09:21:16,
40,41,5158108411,동일통신 주식회사,황보유,분석,776515880,88.059,87.938,-0.65685 (99.34315),10 5,2024/01/18 15:05:08,
41,42,6028800594,삼연정보통신(주),이수진,분석,776543225,88.063,87.941,-0.65332 (99.34668),12 2,2024/01/18 13:01:31,
42,43,3148161661,(주)이오정보통신,이관우,분석,776685130,88.08,87.957,-0.63501 (99.36499),1 3,2024/01/19 07:31:39,
43,44,1418128934,에스유앤텔레콤주식회사,안경자,분석,776720714,88.084,87.961,-0.63041 (99.36959),5 8,2024/01/18 10:24:18,
44,45,1348143368,주식회사 디피엔,유선영,분석,776845880,88.1,87.975,-0.61426 (99.38574),14 7,2024/01/18 10:48:32,
45,46,1148190678,주식회사 에드원,김춘걸,분석,776872000,88.103,87.978,-0.61089 (99.38911),15 5,2024/01/18 16:27:28,
46,47,3148180203,주식회사 우성테크,이윤정,분석,776886659,88.105,87.98,-0.60899 (99.39101),2 8,2024/01/20 11:13:30,
47,48,1218623930,주식회사 도빈,정오성,분석,776916295,88.108,87.983,-0.60517 (99.39483),13 14,2024/01/19 17:19:59,
48,49,1268150951,주식회사 오아이티,이필웅,분석,776939260,88.111,87.986,-0.60221 (99.39779),5 8,2024/01/23 09:14:41,
49,50,4078600433,주식회사 강성티이씨,이기양,분석,776956315,88.113,87.988,-0.60000 (99.4),13 5,2024/01/21 18:15:11,
