,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
0,1,2098155983,주식회사 케이텍솔루션  [최종낙찰],임경택,분석,40442236,87.748,87.682,-0.78840 (99.2116),7 14,2024/04/01 17:39:37,
1,2,2138800230,주식회사 성민전기통신,홍종애,분석,40443005,87.749,87.684,-0.78650 (99.2135),9 3,2024/03/28 23:26:47,
2,3,6988700230,주식회사 스마트이엔씨,전유선,분석,40443100,87.75,87.684,-0.78627 (99.21373),5 9,2024/03/30 15:08:40,
3,4,2728602835,(주)주야플랜트,김대완,분석,40443770,87.751,87.685,-0.78461 (99.21539),12 5,2024/03/29 17:41:48,
4,5,1068638093,(주)엘케이시스코,이기일,분석,40448160,87.761,87.695,-0.77377 (99.22623),11 8,2024/03/29 10:24:44,
5,6,1058795818,주식회사 티엠미디어,박용호,분석,40452636,87.772,87.705,-0.76271 (99.23729),15 5,2024/04/01 09:07:12,
6,7,1108140593,(주)대건이엔씨,이황희,분석,40454590,87.776,87.709,-0.75788 (99.24212),10 7,2024/03/29 16:40:32,
7,8,1868701018,주식회사 소담정보통신,주옥,분석,40456240,87.78,87.712,-0.75380 (99.2462),3 10,2024/04/01 09:47:15,
8,9,2148679551,(주)에스엠인포메이션,이철환,분석,40456684,87.781,87.713,-0.75270 (99.2473),7 2,2024/04/01 09:44:26,
9,10,5198102535,주식회사 이음유앤아이,박영재,분석,40457950,87.784,87.716,-0.74958 (99.25042),1 11,2024/03/28 15:29:17,
10,11,2218120693,주식회사 일동에너텍,김종삼,분석,40459963,87.788,87.72,-0.74460 (99.2554),7 11,2024/04/01 18:03:32,
11,12,1098145720,주식회사 영원텔레콤,김재성,분석,40460280,87.789,87.721,-0.74382 (99.25618),2 5,2024/03/29 09:18:51,
12,13,6558701528,(주)스마트정보기술,박성애,분석,40460366,87.789,87.721,-0.74361 (99.25639),7 4,2024/04/02 09:11:26,
13,14,1248179286,케이에스엔시(주),송상헌,분석,40462000,87.793,87.725,-0.73957 (99.26043),6 13,2024/04/01 09:16:19,
14,15,7968702264,주식회사 케이티엔에스티,정관숙,분석,40463119,87.796,87.727,-0.73680 (99.2632),5 9,2024/04/01 19:02:42,
15,16,2298121250,(주)동곡기정,이주언,분석,40465223,87.801,87.732,-0.73160 (99.2684),6 1,2024/04/02 09:28:18,
16,17,2148824685,육일정보통신 주식회사,김지곤,분석,40465390,87.801,87.732,-0.73119 (99.26881),5 6,2024/04/01 17:20:01,
17,18,1088107572,세빈테크(주),박재영,분석,40466147,87.803,87.734,-0.72932 (99.27068),7 11,2024/04/01 18:59:26,
18,19,1128118909,(주)한일종합산업,박응석,분석,40471620,87.815,87.746,-0.71580 (99.2842),11 15,2024/03/29 10:17:17,
19,20,1058110006,삼성전기산업 주식회사,박소연,분석,40475600,87.824,87.754,-0.70596 (99.29404),9 6,2024/04/02 09:06:57,
20,21,1170233690,화진정보통신,김병철,분석,40478053,87.83,87.76,-0.69990 (99.3001),9 11,2024/04/01 15:32:37,
21,22,1088127729,주식회사 대원네시스,이연호,분석,40480157,87.835,87.764,-0.69470 (99.3053),14 15,2024/03/28 14:44:52,
22,23,2158607273,(주)미주전통,장원식,분석,40482380,87.84,87.769,-0.68921 (99.31079),9 15,2024/03/31 14:47:42,
23,24,1078212123,사단법인 장애인인권센터,서인환,분석,40484200,87.844,87.773,-0.68471 (99.31529),6 4,2024/03/29 11:42:36,
24,25,6508100027,다온정보시스템 주식회사,김연정,분석,40486300,87.849,87.778,-0.67953 (99.32047),3 4,2024/04/01 13:23:04,
25,26,1148182595,주식회사 싸인텔레콤,박영기,분석,40488050,87.853,87.781,-0.67520 (99.3248),9 3,2024/04/02 09:13:43,
26,27,1098603593,주식회사 완일이씨에스,김경창,분석,40490073,87.858,87.786,-0.67020 (99.3298),15 1,2024/03/28 08:11:52,
27,28,2158690656,금성통신건설(주),윤영신,분석,40490230,87.858,87.786,-0.66982 (99.33018),7 9,2024/04/01 16:46:31,
28,29,1198664224,포스텍네트웍스 주식회사,김권일,분석,40494286,87.868,87.795,-0.65979 (99.34021),6 7,2024/03/28 17:35:23,
29,30,1088607693,(주)가온데이터,이태재,분석,40494322,87.868,87.795,-0.65970 (99.3403),14 3,2024/03/29 08:45:26,
30,31,1188108054,대한신호(주),안지수,분석,40495495,87.87,87.797,-0.65681 (99.34319),14 7,2024/04/01 14:43:12,
31,32,5568600846,주식회사 아이콘정보통신,박종일,분석,40496540,87.873,87.8,-0.65422 (99.34578),14 10,2024/04/01 15:52:05,
32,33,1208742606,주식회사 테눅스,전석순,분석,40498005,87.876,87.803,-0.65060 (99.3494),10 3,2024/04/01 16:32:52,
33,34,2208104161,대신정보기술 주식회사,이광호,분석,40498700,87.878,87.804,-0.64889 (99.35111),8 14,2024/04/01 14:13:15,
34,35,2068164028,주식회사 이지비앤티,김한복,분석,40499500,87.88,87.806,-0.64691 (99.35309),2 6,2024/04/01 17:48:06,
35,36,2128107793,호곡종합건설(주),박성환,분석,40500069,87.881,87.807,-0.64550 (99.3545),13 15,2024/04/02 09:30:36,
36,37,5798700152,위더스컴퓨터 주식회사,박승갑,분석,40500237,87.881,87.808,-0.64509 (99.35491),11 6,2024/04/02 09:50:23,
37,38,4208600611,주식회사 클라모스,김용택,분석,40500600,87.882,87.809,-0.64419 (99.35581),6 7,2024/04/01 14:10:00,
38,39,2108118504,보성전기산업(주),강명구,분석,40501000,87.883,87.809,-0.64320 (99.3568),9 2,2024/03/28 09:54:07,
39,40,1078649711,주식회사 백선통신,황선호,분석,40501160,87.883,87.81,-0.64281 (99.35719),10 9,2024/03/29 15:14:08,
40,41,1018151776,(주)지디시,김승환,분석,40502450,87.886,87.813,-0.63962 (99.36038),5 4,2024/04/01 15:49:58,
41,42,1068660843,세중물산 주식회사,김용욱,분석,40502620,87.887,87.813,-0.63920 (99.3608),8 15,2024/03/29 07:23:11,
42,43,2188109765,(주)웨이브컴,채인석,분석,40503020,87.888,87.814,-0.63821 (99.36179),9 1,2024/03/29 13:28:10,
43,44,6158139437,이수이 주식회사,권득윤,분석,40506000,87.895,87.82,-0.63085 (99.36915),11 8,2024/04/01 13:32:44,
44,45,1058628520,유테크(주),최윤영,분석,40506504,87.896,87.821,-0.62960 (99.3704),3 2,2024/03/28 17:19:15,
45,46,1858100770,(주)에이치엔와이,한정목,분석,40506660,87.896,87.822,-0.62922 (99.37078),14 13,2024/04/01 10:03:26,
46,47,2068606891,수미디어통신 주식회사,하학수,분석,40506990,87.897,87.822,-0.62840 (99.3716),14 11,2024/04/01 13:52:49,
47,48,1208711248,(주)리얼아이씨티,변성암,분석,40507070,87.897,87.823,-0.62821 (99.37179),3 8,2024/04/02 09:05:44,
48,49,2048642168,(주)비케이정보시스템,이용섭,분석,40508041,87.899,87.825,-0.62581 (99.37419),14 4,2024/03/28 14:27:40,
49,50,1148131820,(주)대한전광,김재을,분석,40508160,87.899,87.825,-0.62551 (99.37449),1 10,2024/04/01 11:50:19,
0,51,1058221062,사단법인 대한장애인복지협회,박재환,분석,40508410,87.9,87.825,-0.62489 (99.37511),3 8,2024/04/02 08:59:41,
1,52,1108139892,(주)이화텔레콤,윤영배,분석,40509100,87.902,87.827,-0.62319 (99.37681),1 3,2024/03/29 10:20:56,
2,53,1098166803,(주)아이앤씨파트너스,곽준철,분석,40510065,87.904,87.829,-0.62080 (99.3792),4 10,2024/04/02 09:40:29,
3,54,1078662029,주식회사 아이티트레인,주영일,분석,40511160,87.906,87.831,-0.61810 (99.3819),8 2,2024/03/29 15:02:55,
4,55,1288196628,코마정보통신(주),이경수,분석,40512490,87.909,87.834,-0.61481 (99.38519),3 5,2024/03/30 16:50:03,
5,56,2108168358,주식회사 영호전기통신,조소연,분석,40513344,87.911,87.836,-0.61270 (99.3873),13 9,2024/04/01 17:40:36,
6,57,1138658592,위너시스텍 주식회사,조용걸,분석,40514100,87.913,87.838,-0.61083 (99.38917),4 9,2024/04/01 10:13:49,
7,58,1068651233,(주)나사씨엔에스,신희태,분석,40515043,87.915,87.84,-0.60850 (99.3915),10 9,2024/04/01 22:15:42,
8,59,1298627304,주식회사 진네트웍스,이호진,분석,40516864,87.92,87.844,-0.60401 (99.39599),14 2,2024/04/01 12:32:36,
9,60,1078211162,사회복지법인한국노인생활지원재단,이주희,분석,40519818,87.926,87.85,-0.59671 (99.40329),7 12,2024/04/02 08:57:56,
10,61,1208149780,장학건설(주),정세학,분석,40520144,87.927,87.851,-0.59590 (99.4041),10 3,2024/04/01 13:21:09,
11,62,7218601565,주식회사 라인전기,이호동,분석,40520380,87.928,87.851,-0.59532 (99.40468),13 9,2024/04/01 17:04:57,
12,63,2208727337,주식회사주니파워네트웍스,노병준,분석,40521230,87.93,87.853,-0.59322 (99.40678),8 4,2024/03/29 09:16:29,
13,64,8268102035,주식회사 더블유엔에스,박현준,분석,40522100,87.932,87.855,-0.59107 (99.40893),3 9,2024/03/29 21:29:02,
14,65,1168166913,주식회사케이엠데이타,이강섭,분석,40524432,87.937,87.86,-0.58531 (99.41469),9 5,2024/04/01 09:02:23,
15,66,2068165615,(주)아이커머,조상현,분석,40526496,87.942,87.865,-0.58021 (99.41979),14 2,2024/04/01 09:37:03,
16,67,2108150348,승호시스템(주),이계승,분석,40527340,87.944,87.867,-0.57812 (99.42188),5 13,2024/04/01 19:38:24,
17,68,2198106704,유복전기(주),유정식,분석,40528110,87.945,87.868,-0.57622 (99.42378),12 8,2024/03/29 09:22:35,
18,69,5028131745,(주)에즈웰플러스,이기호,분석,40528350,87.946,87.869,-0.57562 (99.42438),5 12,2024/03/29 13:56:19,
19,70,1188109975,(주)부광네트워크,박경진,분석,40528521,87.946,87.869,-0.57520 (99.4248),2 8,2024/04/01 13:26:19,
20,71,1078606385,대선아이넷(주),신일자,분석,40529120,87.948,87.87,-0.57372 (99.42628),8 12,2024/04/01 16:36:44,
21,72,2128155922,(주)티에스엠이앤씨,박원택,분석,40530314,87.951,87.873,-0.57077 (99.42923),7 13,2024/04/01 11:37:14,
22,73,1138123972,(주)일광테크,임기철,분석,40530576,87.951,87.874,-0.57012 (99.42988),7 14,2024/03/29 14:38:51,
23,74,2338109463,주식회사 아이티에스서비스,지영일,분석,40530623,87.951,87.874,-0.57001 (99.42999),2 9,2024/03/28 12:35:08,
24,75,1018178116,(주)오경컴텍,김종근,분석,40531110,87.952,87.875,-0.56880 (99.4312),12 13,2024/03/28 10:53:15,
25,76,2088115241,한애전자(주),최용경,분석,40531300,87.953,87.875,-0.56834 (99.43166),3 7,2024/03/29 09:21:14,
26,77,2628802128,주식회사 성우일렉콤,최종국,분석,40532080,87.955,87.877,-0.56641 (99.43359),11 12,2024/03/28 08:45:03,
27,78,2120549052,태성통신,최재석,분석,40532402,87.955,87.877,-0.56561 (99.43439),11 1,2024/04/02 06:43:28,
28,79,2058140076,(주)제일첨단테크,김성수,분석,40532527,87.956,87.878,-0.56530 (99.4347),2 15,2024/04/01 09:59:58,
29,80,2148724941,한빛시스템주식회사,윤명호,분석,40535278,87.962,87.884,-0.55851 (99.44149),14 1,2024/03/29 14:00:04,
