,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
0,1,1228642172,주식회사 선경기전  [최종낙찰],양부석,분석,186010902,,0,,,2024/05/28 09:56:34,
1,2,2798701192,주식회사 유니원,김민수,분석,188400000,,0,,,2024/05/27 15:38:58,
2,3,1138670451,주식회사 코스모티어,김명동,분석,208484000,,0,,,2024/05/28 00:44:53,
3,4,1338700922,주식회사 대신네트워크,신종교,분석,210870000,,0,,,2024/05/28 09:24:23,
4,5,2748800123,중앙씨앤티 주식회사,윤영진,분석,217140000,,0,,,2024/05/28 09:26:44,
5,6,1138137229,두복산전(주),이영두,분석,265650000,,0,,,2024/05/27 09:16:27,예가초과
6,7,1288644620,주식회사 피엠피테크,남영욱,분석,328000000,,0,,,2024/05/27 19:13:37,예가초과
7,8,1068610926,주식회사 인테크,이상국,분석,339489700,,0,,,2024/05/24 13:36:52,예가초과
8,9,1098626994,주식회사 에이치엔엠,조요환,분석,339988075,,0,,,2024/05/27 20:47:53,예가초과
9,10,2048626080,주식회사 엘제이이엔지,임성희,분석,372959690,,0,,,2024/05/22 13:31:35,예가초과
10,11,1058740405,(주)화성이엔지,김택환,분석,385000000,,0,,,2024/05/28 09:52:04,예가초과
11,12,8348100343,주식회사 코리아베스트네트워크,이상화,분석,395256970,,0,,,2024/05/27 14:10:26,예가초과
