,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
0,1,1178167894,(주)동우이에프씨,이동술,분석,284734408,85.0,94.949,95.443,0.0742 (100.0742),6 4,2024/07/22 15:48:51,
1,2,2048137258,대신엔에스(주)  [최종낙찰],정동진,분석,284761010,85.0,94.959,95.452,0.0835 (100.0835),15 13,2024/07/19 10:08:10,
2,3,2208895263,주식회사 필립이엔씨,임혜란,분석,284767414,85.0,94.961,95.454,0.0858 (100.0858),2 5,2024/07/19 13:11:29,
3,4,2208719934,주식회사 지제이전기통신,김진수,분석,284770126,85.0,94.962,95.455,0.0867 (100.0867),7 13,2024/07/22 08:27:42,
4,5,5568600996,주영전자통신 주식회사,임채열,분석,284775664,85.0,94.964,95.457,0.0887 (100.0887),4 7,2024/07/19 07:18:27,
5,6,1198172336,정보와기술 주식회사,이충근,분석,284799280,85.0,94.973,95.465,0.0970 (100.097),7 10,2024/07/16 13:51:20,
6,7,1208635791,주식회사 피엔에이링크,연제성,분석,284808100,85.0,94.976,95.468,0.1001 (100.1001),11 7,2024/07/22 11:17:53,
7,8,1198668254,대신인포시스 주식회사,최혜경,분석,284820911,85.0,94.981,95.472,0.1046 (100.1046),6 7,2024/07/22 10:51:02,
8,9,4028141375,주식회사 이레유비크,박임철,분석,284823526,85.0,94.982,95.473,0.1055 (100.1055),3 5,2024/07/22 17:46:28,
9,10,2140875125,삼화전기정보통신공사,석동욱,분석,284831150,85.0,94.984,95.475,0.1082 (100.1082),15 5,2024/07/16 18:15:48,
10,11,2158191475,(주)디앤씨코퍼레이션,엄삼섭,분석,284832853,85.0,94.985,95.476,0.1088 (100.1088),14 2,2024/07/22 17:10:59,
11,12,1078162422,프라미스유 주식회사,박정은,분석,284838820,85.0,94.987,95.478,0.1108 (100.1108),8 3,2024/07/22 08:20:00,
12,13,1088167041,(주)가디엘,최혜심,분석,284844527,85.0,94.989,95.48,0.1129 (100.1129),5 14,2024/07/22 16:03:59,
13,14,1068632013,하나씨앤아이 주식회사,김용주,분석,284855330,85.0,94.993,95.483,0.1167 (100.1167),8 5,2024/07/19 16:27:58,
14,15,1088107572,세빈테크(주),박재영,분석,284864606,85.0,94.997,95.487,0.1199 (100.1199),5 7,2024/07/22 21:53:16,
15,16,2208869047,양지전기 주식회사,박승연,분석,284868130,85.0,94.998,95.488,0.1211 (100.1211),6 15,2024/07/17 15:41:47,
16,17,2068179706,(주)씨엠유니버샬,전재용,분석,284880767,85.0,95.003,95.492,0.1256 (100.1256),7 5,2024/07/22 09:21:40,
17,18,1088178984,(주)포소드,마명철,분석,284882354,85.0,95.003,95.492,0.1261 (100.1261),4 2,2024/07/23 09:15:23,
18,19,1108190583,주식회사 키코,조근도,분석,284897080,85.0,95.008,95.497,0.1313 (100.1313),8 15,2024/07/22 14:46:28,
19,20,1238164140,주식회사 테크빌,황성기,분석,284901028,85.0,95.01,95.499,0.1327 (100.1327),6 14,2024/07/18 09:20:34,
20,21,2158138510,신신이앤씨주식회사,하상청,분석,284901567,85.0,95.01,95.499,0.1329 (100.1329),5 11,2024/07/22 10:39:42,
21,22,2068617141,(주)텔코아,황민석,분석,284911960,85.0,95.014,95.502,0.1366 (100.1366),15 5,2024/07/19 16:20:26,
22,22,3548802349,(주)템피스트정보통신,강신원,분석,284911960,85.0,95.014,95.502,0.1366 (100.1366),7 10,2024/07/22 17:00:58,
23,24,1188114949,이주씨스템(주),이복균,분석,284916360,85.0,95.016,95.504,0.1381 (100.1381),3 2,2024/07/22 15:36:59,
24,25,1108170025,(주)원비즈시스템,박의영,분석,284917926,85.0,95.016,95.504,0.1387 (100.1387),5 10,2024/07/22 10:26:07,
25,26,1208194567,아산정보통신(주),홍수길,분석,284921732,85.0,95.018,95.506,0.1400 (100.14),1 14,2024/07/19 10:33:14,
26,27,1138610768,주식회사 디지윌,홍석환,분석,284934134,85.0,95.022,95.51,0.1443 (100.1443),11 10,2024/07/19 11:27:10,
27,28,1138195817,(주)베스트일렉트로닉스,최경원,분석,284936704,85.0,95.023,95.511,0.1453 (100.1453),2 8,2024/07/22 11:21:54,
28,29,1198682431,(주)대경시스텍,반기수,분석,284941470,85.0,95.025,95.512,0.1469 (100.1469),2 13,2024/07/17 13:41:17,
