,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
0,1,1298170451,주식회사 정안디엔씨  [최종낙찰],이학용,분석,144779280,86.4,88.182,89.928,1.68320 (101.6832),13 1,2024/10/14 09:21:45,
1,2,2068650742,한선씨앤씨 주식회사,장홍식,분석,144972000,85.0,88.307,90.048,1.81962 (101.81962),13 4,2024/10/08 11:52:54,
2,3,2158768879,주식회사 에이치씨인포,김경운,분석,145651200,85.0,88.749,90.47,2.30043 (102.30043),8 6,2024/10/15 09:37:15,
3,4,1078688354,(주)혜인에스앤에스,유순희,분석,156934419,85.0,96.093,97.479,10.28779 (110.28779),2 15,2024/10/08 11:18:31,
4,5,1168169996,세리정보기술 주식회사,이금모,분석,157927720,85.0,96.739,98.096,10.99095 (110.99095),1 9,2024/10/08 10:54:55,
5,6,2158133077,오티씨 주식회사,김희언,분석,158067703,85.0,96.83,98.182,11.09004 (111.09004),9 4,2024/10/10 15:01:27,
6,7,1078140904,대월기전(주),김승연,분석,158234840,85.0,96.939,98.286,11.20836 (111.20836),6 10,2024/10/11 11:01:19,
7,8,1358188617,주식회사 지에프씨코리아,안병모,분석,159078580,85.0,97.488,98.81,11.80564 (111.80564),4 6,2024/10/15 09:33:25,
8,-1,2128144463,동양비엠에스(주),김태수,분석,144100226,84.8,87.74,89.507,1.20249 (101.20249),10 3,2024/10/14 23:35:30,낙찰하한선 미달
9,-2,1138628119,주식회사 아이티로그,김인희,분석,144056858,84.2,87.712,89.48,1.17179 (101.17179),5 14,2024/10/14 22:12:13,낙찰하한선 미달
10,-3,1060268388,현대통신기술,김성환,분석,144046240,84.2,87.705,89.473,1.16428 (101.16428),1 10,2024/10/09 14:33:46,낙찰하한선 미달
11,-4,1198611222,(주)제이에이티,이세창,분석,144023650,83.8,87.69,89.459,1.14829 (101.14829),10 7,2024/10/11 16:20:25,낙찰하한선 미달
12,-5,1098626994,주식회사 에이치엔엠,조요환,분석,143979447,83.2,87.661,89.432,1.11700 (101.117),4 8,2024/10/10 08:48:34,낙찰하한선 미달
13,-6,2218120693,주식회사 일동에너텍,김종삼,분석,143971678,83.2,87.656,89.427,1.11150 (101.1115),3 15,2024/10/11 18:32:14,낙찰하한선 미달
14,-7,1148671792,주식회사 아이티리그,이동준,분석,143905965,82.2,87.613,89.386,1.06498 (101.06498),8 4,2024/10/11 14:24:49,낙찰하한선 미달
15,-8,2188113522,(주)한세스,김선경,분석,143885500,82.0,87.6,89.373,1.05049 (101.05049),13 7,2024/10/10 14:23:58,낙찰하한선 미달
16,-9,1058694239,(주)진성전력,김용일,분석,143870390,81.8,87.59,89.364,1.03979 (101.03979),1 8,2024/10/10 13:45:49,낙찰하한선 미달
17,-10,1068143494,합자회사 화인에스앤컴퍼니,장주용,분석,143859790,81.6,87.583,89.357,1.03229 (101.03229),4 14,2024/10/14 15:39:59,낙찰하한선 미달
18,-11,2128196942,동진이앤씨(주),민진식,분석,143849962,81.6,87.577,89.351,1.02533 (101.02533),12 11,2024/10/11 10:53:08,낙찰하한선 미달
19,-12,1148683959,제이엔에스텍주식회사,안종기,분석,143839314,81.4,87.57,89.345,1.01780 (101.0178),4 2,2024/10/14 09:21:55,낙찰하한선 미달
20,-13,1298126260,현대아이티에스전자(주),정영자,분석,143830132,81.2,87.564,89.339,1.01130 (101.0113),11 9,2024/10/15 07:39:21,낙찰하한선 미달
21,-14,1078636517,주식회사 국일이앤씨,서남석,분석,143814124,81.0,87.554,89.329,0.99996 (100.99996),7 5,2024/10/13 17:38:38,낙찰하한선 미달
22,-15,2048131439,중앙텔콤(주),오충석,분석,143806258,81.0,87.549,89.324,0.99440 (100.9944),5 4,2024/10/08 16:59:45,낙찰하한선 미달
23,-16,1068601621,주식회사 동양타브,이세근,분석,143804562,81.0,87.547,89.323,0.99319 (100.99319),4 10,2024/10/15 09:12:22,낙찰하한선 미달
24,-17,2098133747,(주)한국에스알테크,이재호,분석,143786900,80.8,87.536,89.312,0.98069 (100.98069),9 4,2024/10/14 09:52:07,낙찰하한선 미달
25,-18,2038143228,백영전자 주식회사(白榮電子 株式會社),임대순,분석,143775660,80.6,87.529,89.305,0.97274 (100.97274),7 14,2024/10/11 09:48:41,낙찰하한선 미달
26,-19,2648146574,주식회사 넷츠플러스,송주흔,분석,143774000,80.6,87.528,89.304,0.97156 (100.97156),10 2,2024/10/11 10:52:34,낙찰하한선 미달
27,-20,1358145603,한라인포넷(주),장경민,분석,143754272,80.4,87.515,89.292,0.95759 (100.95759),10 3,2024/10/15 00:08:46,낙찰하한선 미달
28,-21,1068178635,(주)지아이테크놀러지,홍영우,분석,143744800,80.2,87.509,89.286,0.95089 (100.95089),11 14,2024/10/11 10:50:35,낙찰하한선 미달
29,-22,2068601047,왕건전기 주식회사,한미라,분석,143738330,80.0,87.504,89.282,0.94631 (100.94631),10 6,2024/10/15 08:38:12,낙찰하한선 미달
30,-23,2298125412,스크린정보통신(주),조승제,분석,143730500,80.0,87.499,89.277,0.94077 (100.94077),11 6,2024/10/11 09:12:43,낙찰하한선 미달
31,-24,1198682431,(주)대경시스텍,반기수,분석,143730120,80.0,87.499,89.277,0.94050 (100.9405),1 9,2024/10/14 14:59:34,낙찰하한선 미달
32,-25,2048161869,(주)근영이엔씨,이성영,분석,143711064,79.8,87.487,89.265,0.92701 (100.92701),11 1,2024/10/11 12:10:32,낙찰하한선 미달
33,-26,1138151895,주식회사 온리정보통신,김서규,분석,143706103,79.6,87.483,89.262,0.92350 (100.9235),3 10,2024/10/14 14:11:50,낙찰하한선 미달
34,-27,2058140076,(주)제일첨단테크,김성수,분석,143699179,79.6,87.479,89.258,0.91859 (100.91859),2 15,2024/10/15 09:50:21,낙찰하한선 미달
35,-28,1191119997,대흥전기통신공사,고미영,분석,143683358,79.4,87.469,89.248,0.90739 (100.90739),13 7,2024/10/14 08:03:17,낙찰하한선 미달
36,-29,1208799720,주식회사 틴들코리아,백성주,분석,143673890,79.2,87.462,89.242,0.90069 (100.90069),3 13,2024/10/13 19:34:50,낙찰하한선 미달
37,-30,8388701176,주식회사 다구현,서현구,분석,143653830,79.0,87.449,89.229,0.88649 (100.88649),15 1,2024/10/11 15:55:05,낙찰하한선 미달
38,-31,1328627576,(주)알트온,최정근,분석,143646771,79.0,87.445,89.225,0.88150 (100.8815),7 14,2024/10/11 15:11:54,낙찰하한선 미달
39,-32,2200459632,하나정보통신,현광섭,분석,143646488,79.0,87.445,89.225,0.88129 (100.88129),12 13,2024/10/11 11:47:34,낙찰하한선 미달
40,-33,1138622681,(주)대건일렉트릭,최미령,분석,143628689,78.6,87.433,89.214,0.86869 (100.86869),10 5,2024/10/14 09:19:08,낙찰하한선 미달
41,-34,2298134599,(주)시에나텔레콤,임종태,분석,143613009,78.4,87.423,89.204,0.85760 (100.8576),10 1,2024/10/15 09:09:44,낙찰하한선 미달
42,-35,6048111797,주식회사글로벌엔씨,임채익,분석,143612021,78.4,87.422,89.203,0.85690 (100.8569),7 15,2024/10/15 09:37:03,낙찰하한선 미달
43,-36,2708702044,(주)넷원시스템,김두한,분석,143595210,78.2,87.411,89.193,0.84500 (100.845),7 3,2024/10/14 09:22:28,낙찰하한선 미달
44,-37,1868701018,주식회사 소담정보통신,주옥,분석,143594928,78.2,87.411,89.193,0.84480 (100.8448),6 3,2024/10/14 09:22:21,낙찰하한선 미달
45,-38,1078735096,주식회사 등대씨엔씨,서철승,분석,143582780,78.0,87.403,89.185,0.83620 (100.8362),8 2,2024/10/11 16:54:51,낙찰하한선 미달
46,-39,1018178116,(주)오경컴텍,김종근,분석,143580943,78.0,87.402,89.184,0.83490 (100.8349),5 11,2024/10/14 09:13:44,낙찰하한선 미달
47,-40,1058130768,세원전설 주식회사,최영래,분석,143578540,78.0,87.4,89.183,0.83319 (100.83319),9 3,2024/10/14 16:20:05,낙찰하한선 미달
48,-41,1198703753,구루멘토링 주식회사,최동양,분석,143563700,77.8,87.391,89.173,0.82269 (100.82269),3 7,2024/10/14 23:00:19,낙찰하한선 미달
49,-42,1888601171,에이케이에스정보주식회사,안기수,분석,143547323,77.6,87.38,89.163,0.81110 (100.8111),5 4,2024/10/14 16:24:29,낙찰하한선 미달
0,-43,7298600518,주식회사 킴스앤,김동선,분석,143530089,77.4,87.369,89.152,0.79890 (100.7989),9 12,2024/10/14 00:12:28,낙찰하한선 미달
1,-44,1238154375,주식회사 씨케이테크피아,이동수,분석,143509463,77.2,87.355,89.14,0.78430 (100.7843),11 3,2024/10/14 09:41:55,낙찰하한선 미달
2,-45,2098147159,(주)동방에스앤에스,정재훈,분석,143499646,77.0,87.349,89.134,0.77735 (100.77735),14 3,2024/10/14 17:05:57,낙찰하한선 미달
3,-46,4178600013,블랙썬 주식회사,이희부,분석,143498170,77.0,87.348,89.133,0.77630 (100.7763),15 7,2024/10/15 09:31:24,낙찰하한선 미달
4,-47,1088165140,샘코씨앤디 주식회사,김용훈,분석,143497598,77.0,87.348,89.132,0.77590 (100.7759),13 7,2024/10/11 14:05:29,낙찰하한선 미달
5,-48,1128118909,(주)한일종합산업,박응석,분석,143495340,77.0,87.346,89.131,0.77430 (100.7743),8 15,2024/10/11 09:50:37,낙찰하한선 미달
6,-49,1088107572,세빈테크(주),박재영,분석,143494405,77.0,87.346,89.13,0.77364 (100.77364),8 14,2024/10/15 09:19:47,낙찰하한선 미달
7,-50,1578700724,주식회사 자비스넷,박주영,분석,143488140,76.8,87.342,89.126,0.76920 (100.7692),10 15,2024/10/11 09:56:19,낙찰하한선 미달
8,-51,1138148366,주식회사 레이어스,조인선,분석,143487568,76.8,87.341,89.126,0.76880 (100.7688),5 11,2024/10/14 11:19:30,낙찰하한선 미달
9,-52,4468801407,(주)큐엔큐,장나미,분석,143477530,76.8,87.335,89.12,0.76169 (100.76169),3 5,2024/10/10 11:46:15,낙찰하한선 미달
10,-53,5878600398,주식회사 엑사엔시스,나정환,분석,143471181,76.6,87.33,89.116,0.75720 (100.7572),6 5,2024/10/14 07:33:40,낙찰하한선 미달
11,-54,2118640396,주식회사 선진콘트롤 엔 엑세스,이철희,분석,143463976,76.6,87.326,89.111,0.75209 (100.75209),11 14,2024/10/15 09:01:10,낙찰하한선 미달
12,-55,2148854189,(주)태원전기,김응식,분석,143463129,76.6,87.325,89.111,0.75150 (100.7515),11 14,2024/10/14 14:28:00,낙찰하한선 미달
13,-56,2208709343,유텔레콤주식회사,한상미,분석,143449459,76.4,87.316,89.102,0.74182 (100.74182),4 15,2024/10/14 13:33:07,낙찰하한선 미달
14,-57,1198169165,(주)기창인포텍,김석진,분석,143439830,76.2,87.31,89.096,0.73500 (100.735),9 8,2024/10/07 17:57:50,낙찰하한선 미달
15,-58,8758100854,주식회사피앤에스네트웍솔루션,정용선,분석,143437701,76.2,87.309,89.095,0.73349 (100.73349),1 15,2024/10/14 09:39:24,낙찰하한선 미달
16,-59,2068165615,(주)아이커머,조상현,분석,143434876,76.2,87.307,89.093,0.73150 (100.7315),1 2,2024/10/14 08:57:17,낙찰하한선 미달
17,-60,2068629138,(주)하나윈정보기술,도수현,분석,143434453,76.2,87.307,89.093,0.73120 (100.7312),6 12,2024/10/15 09:18:44,낙찰하한선 미달
18,-61,1178124861,케이이피엔지니어링(주),박성진,분석,143425882,76.0,87.301,89.088,0.72513 (100.72513),10 8,2024/10/11 14:16:45,낙찰하한선 미달
19,-62,6558701528,(주)스마트정보기술,박성애,분석,143424564,76.0,87.3,89.087,0.72420 (100.7242),1 10,2024/10/14 09:46:33,낙찰하한선 미달
