,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
0,1,1148135087,장한전산(주),이상철,분석,186857344,87.745,88.351,-0.23171 (99.76829),,2024/03/06 12:59:44,
1,2,1058663420,(주)엠비에스엔지니어링,강형주,분석,186863300,87.748,88.354,-0.22851 (99.77149),,2024/03/04 17:05:42,
2,3,1180673427,한마음정보시스템,정인숙,분석,186865561,87.749,88.355,-0.22729 (99.77271),,2024/03/06 14:46:21,
3,4,2048170015,(주)하남통신,김종화,분석,186865824,87.749,88.355,-0.22715 (99.77285),,2024/03/06 18:42:41,
4,5,1138613391,주식회사 지에스씨앤씨,석덕림,분석,186869600,87.751,88.357,-0.22511 (99.77489),,2024/03/06 10:37:29,
5,6,1018138303,주식회사 비엘에스,안홍서,분석,186874250,87.753,88.359,-0.22260 (99.7774),,2024/03/07 08:57:39,
6,7,2158749469,(주)더블유에프텍,이영길,분석,186874251,87.753,88.359,-0.22260 (99.7774),,2024/03/06 11:07:16,
7,8,1198629800,주식회사 메카넷,천수연,분석,186877960,87.755,88.361,-0.22061 (99.77939),,2024/02/29 17:08:41,
8,9,1058601287,(주)성산정보시스템,김기주,분석,186882415,87.757,88.363,-0.21820 (99.7818),,2024/03/05 14:00:40,
9,10,1138195817,(주)베스트일렉트로닉스,최경원,분석,186888530,87.761,88.366,-0.21491 (99.78509),,2024/03/05 10:02:56,
10,11,1198611746,(주)지트인,김재환,분석,186894664,87.764,88.368,-0.21160 (99.7884),,2024/03/05 16:49:37,
11,12,1138633645,주식회사 와이넷,석지윤,분석,186895460,87.764,88.369,-0.21118 (99.78882),,2024/02/29 16:29:35,
12,13,1068648117,주식회사 티원엘에스,김영규,분석,186898740,87.766,88.37,-0.20941 (99.79059),,2024/03/04 19:49:46,
13,14,1148726111,티비엠테크주식회사,김치연,분석,186898900,87.766,88.37,-0.20932 (99.79068),,2024/03/04 17:58:55,
14,15,2148854189,(주)태원전기,김응식,분석,186901900,87.767,88.372,-0.20771 (99.79229),,2024/03/06 16:09:51,
15,16,1138143793,(주)오라시스템,김동화,분석,186908580,87.771,88.375,-0.20411 (99.79589),,2024/03/06 11:14:18,
16,17,2048635411,주식회사 화산에스티아이,이명재,분석,186909138,87.771,88.375,-0.20380 (99.7962),,2024/02/29 12:05:36,
17,18,1058619564,주식회사 다상테크,김춘기,분석,186909138,87.771,88.375,-0.20380 (99.7962),,2024/03/04 17:14:45,
18,19,4108633207,(유)대원엔지니어링,박윤규,분석,186912900,87.773,88.377,-0.20178 (99.79822),,2024/02/29 10:28:15,
19,20,1068682075,주식회사 세이프원,이명근,분석,186913970,87.773,88.378,-0.20120 (99.7988),,2024/03/05 10:15:09,
20,21,2208143387,(주)글로벌텔레콤,서승현,분석,186916700,87.775,88.379,-0.19973 (99.80027),,2024/03/06 16:15:45,
21,22,2018603701,소성정보기술 주식회사,김금남,분석,186917972,87.775,88.379,-0.19904 (99.80096),,2024/03/05 09:23:53,
22,23,2068125404,(주)대경인트라넷,이강열,분석,186918330,87.776,88.38,-0.19885 (99.80115),,2024/03/06 17:59:06,
23,24,2068685955,주식회사 스마트웍스,정훈,분석,186919160,87.776,88.38,-0.19840 (99.8016),,2024/03/04 17:04:29,
24,25,1078155407,(주)윤익계전,안용준,분석,186921572,87.777,88.381,-0.19710 (99.8029),,2024/02/29 09:56:38,
25,26,1188111020,주식회사 한영씨앤이,박대서,분석,186922500,87.778,88.382,-0.19660 (99.8034),,2024/03/05 14:05:03,
26,27,1218700268,주식회사 우신,김명진,분석,186922871,87.778,88.382,-0.19640 (99.8036),,2024/03/04 11:55:12,
27,28,1138611108,(주)도원디에스,이정우,분석,186923610,87.778,88.382,-0.19601 (99.80399),,2024/02/29 14:59:51,
28,29,1168173694,(주)지엠에스인터내셔날,김형준,분석,186925729,87.779,88.383,-0.19486 (99.80514),,2024/03/04 17:32:37,
29,30,2118645407,흥일정보통신(주),정본영,분석,186928994,87.781,88.385,-0.19311 (99.80689),,2024/03/06 10:24:36,
30,31,1058680303,주식회사 제이엔디케이,이재식,분석,186934900,87.784,88.387,-0.18992 (99.81008),,2024/03/05 22:02:12,
31,32,2158623647,시공전설(주),황호진,분석,186938483,87.786,88.389,-0.18799 (99.81201),,2024/03/06 09:59:09,
32,33,2298109203,(주)테스콤엔지니어링,박영복,분석,186938800,87.786,88.389,-0.18782 (99.81218),,2024/03/04 17:29:27,
33,34,2048131967,(주)용백전설,곽의영,분석,186939293,87.786,88.39,-0.18756 (99.81244),,2024/03/05 13:52:49,
34,35,1018642326,한우이앤에스(주),변준석,분석,186946625,87.79,88.393,-0.18360 (99.8164),,2024/03/06 16:36:04,
35,36,1200295066,비젼텔레콤,임의석,분석,186949200,87.791,88.394,-0.18222 (99.81778),,2024/03/06 13:39:28,
36,37,1138629821,동문이엔티 주식회사,송요일,분석,186950150,87.792,88.395,-0.18170 (99.8183),,2024/03/06 15:18:38,
37,38,1418147931,주식회사 이리야시스템,허재혁,분석,186956088,87.795,88.397,-0.17851 (99.82149),,2024/03/06 09:34:45,
38,39,1078165206,앤아이에스(주),정성호,분석,186956831,87.795,88.398,-0.17810 (99.8219),,2024/03/05 15:24:42,
39,40,3238600741,주식회사 극동이에프씨,심정보,분석,186958910,87.796,88.399,-0.17698 (99.82302),,2024/03/06 23:45:38,
40,41,1138663095,아이투케이코리아 주식회사,인여훈,분석,186959800,87.797,88.399,-0.17650 (99.8235),,2024/03/05 11:33:38,
41,42,2068682619,주식회사 엠플러스통신,신동수,분석,186960360,87.797,88.399,-0.17620 (99.8238),,2024/03/04 13:40:53,
42,43,1068194620,(주)합동전자산업,정호원,분석,186968520,87.801,88.403,-0.17181 (99.82819),,2024/02/29 16:05:56,
43,44,5198102535,주식회사 이음유앤아이,박영재,분석,186968550,87.801,88.403,-0.17179 (99.82821),,2024/03/06 10:03:38,
