,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
0,1,2158168275,천마정보통신(주)  [최종낙찰],황범만,분석,73384325,87.745,88.665,0.61041 (100.61041),2 14,2024/05/24 00:49:18,
1,2,1138677788,(주)제이에스지테크,박혜경,분석,73387150,87.749,88.669,0.61430 (100.6143),5 8,2024/05/22 14:53:31,
2,3,2158704216,아임스통신주식회사,김종길,분석,73388170,87.75,88.67,0.61570 (100.6157),14 3,2024/05/23 09:48:29,
3,4,2148888151,주식회사 씨앤피테크,제해동,분석,73388460,87.75,88.67,0.61610 (100.6161),13 1,2024/05/21 16:19:57,
4,5,1138151895,주식회사 온리정보통신,김서규,분석,73388820,87.751,88.671,0.61660 (100.6166),2 5,2024/05/23 10:01:58,
5,6,1378143275,한창이웨이 주식회사,이옥희,분석,73389540,87.751,88.672,0.61759 (100.61759),12 10,2024/05/22 13:03:47,
6,7,2148645634,한국전자금융주식회사,이현석,분석,73389720,87.752,88.672,0.61784 (100.61784),7 4,2024/05/22 16:02:23,
7,8,2148722924,주식회사 다음정보기술,김은선,분석,73392400,87.755,88.675,0.62153 (100.62153),13 1,2024/05/21 10:09:55,
8,9,5028131745,(주)에즈웰플러스,이기호,분석,73395283,87.759,88.679,0.62550 (100.6255),6 12,2024/05/23 07:57:35,
9,10,2178145434,주식회사 한양전자피에이,여동도,분석,73395360,87.759,88.679,0.62560 (100.6256),2 5,2024/05/23 16:03:06,
10,11,7968700330,주식회사 진성씨지테크,서송원,분석,73395430,87.759,88.679,0.62570 (100.6257),1 3,2024/05/24 09:45:10,
11,12,1888601171,에이케이에스정보주식회사,안기수,분석,73395646,87.759,88.679,0.62600 (100.626),8 5,2024/05/24 11:31:55,
12,13,1068638093,(주)엘케이시스코,이기일,분석,73395920,87.759,88.679,0.62637 (100.62637),7 9,2024/05/24 09:54:22,
13,14,1078740041,주식회사 더기가,이기홍,분석,73397030,87.761,88.681,0.62790 (100.6279),2 9,2024/05/21 12:53:52,
14,15,2148768177,(주)프라임엔시스템,윤재중,분석,73397898,87.762,88.682,0.62910 (100.6291),11 5,2024/05/24 09:28:25,
15,16,2378700035,주식회사 사운드플레이스,도상우,분석,73399858,87.764,88.684,0.63180 (100.6318),5 2,2024/05/23 16:20:28,
16,17,2068613975,세인에스앤씨(주),손은숙,분석,73401965,87.767,88.687,0.63470 (100.6347),8 10,2024/05/24 06:41:38,
17,18,1098161598,(주)삼우씨앤에스,이기만,분석,73402690,87.768,88.688,0.63570 (100.6357),9 14,2024/05/23 08:55:57,
18,19,1068642694,우림정보시스템(주),조원희,분석,73407630,87.774,88.694,0.64250 (100.6425),7 1,2024/05/24 09:08:28,
19,20,2708702044,(주)넷원시스템,김두한,분석,73407846,87.774,88.694,0.64279 (100.64279),7 10,2024/05/22 18:27:46,
20,21,2118716350,(주)비엔인더스트리,이재혁,분석,73409950,87.777,88.696,0.64569 (100.64569),7 4,2024/05/22 15:43:44,
21,22,1208753234,디스플레이허브 주식회사,김동협,분석,73410460,87.777,88.697,0.64639 (100.64639),5 10,2024/05/21 21:32:59,
22,23,2078149656,코리아데이타코퍼레이션(주),이기철,분석,73414200,87.782,88.701,0.65154 (100.65154),14 13,2024/05/20 16:22:02,
23,24,1088165228,(주)콤텍피엔씨,송기영,분석,73417210,87.786,88.705,0.65569 (100.65569),1 12,2024/05/24 09:52:56,
24,25,1198611746,(주)지트인,김재환,분석,73417216,87.786,88.705,0.65570 (100.6557),3 15,2024/05/22 16:49:56,
25,26,1098613335,주식회사 스마트씨앤아이,임요웅,분석,73420050,87.789,88.709,0.65960 (100.6596),10 5,2024/05/20 16:15:30,
26,27,4648600493,(주)알티에스정보기술,강치구,분석,73420900,87.79,88.71,0.66077 (100.66077),15 12,2024/05/23 14:54:45,
27,28,2048105154,우일정보기술 주식회사,이오,분석,73423098,87.793,88.712,0.66380 (100.6638),10 2,2024/05/23 15:09:44,
28,29,2208106252,주식회사 중선아이티씨,김학선,분석,73424330,87.795,88.714,0.66549 (100.66549),7 8,2024/05/23 13:45:47,
29,30,1068656091,주식회사 케이에스메이트,박이근,분석,73428471,87.8,88.719,0.67120 (100.6712),6 10,2024/05/24 07:44:57,
30,31,1068180183,보람정보통신서비스(주),정승원,분석,73431300,87.803,88.722,0.67509 (100.67509),15 7,2024/05/17 23:01:56,
31,32,1198637085,(주) 하이네트워크,이준수,분석,73431740,87.804,88.723,0.67570 (100.6757),10 15,2024/05/23 11:09:06,
32,33,2048190516,주식회사동훈전설,정준모,분석,73432321,87.805,88.723,0.67650 (100.6765),12 9,2024/05/23 12:59:37,
33,34,2148824685,육일정보통신 주식회사,김지곤,분석,73433950,87.807,88.725,0.67874 (100.67874),13 8,2024/05/24 13:37:35,
34,35,1198658528,진솔이앤에스 주식회사,김정현,분석,73433991,87.807,88.725,0.67880 (100.6788),11 3,2024/05/23 10:47:44,
35,36,3148701175,주식회사 윈스타비투비,강가현,분석,73436420,87.81,88.728,0.68214 (100.68214),8 9,2024/05/21 09:34:13,
36,37,1128143733,공간미디어(주),김명숙,분석,73436979,87.81,88.729,0.68291 (100.68291),3 14,2024/05/24 07:02:50,
37,38,2188201775,사단법인 장애인동반성장협회 우리사업장,정영석,분석,73437700,87.811,88.73,0.68390 (100.6839),2 7,2024/05/22 09:23:07,
38,39,1058660665,(주)일신전업,김한경,분석,73439000,87.813,88.731,0.68569 (100.68569),7 10,2024/05/23 20:13:06,
39,40,2048133679,(주)뉴콤,배상열,분석,73443114,87.818,88.736,0.69136 (100.69136),12 6,2024/05/20 10:02:39,
40,41,1018663767,비케이전기통신 주식회사,유봉근,분석,73444520,87.82,88.738,0.69329 (100.69329),13 11,2024/05/22 16:00:50,
41,42,2128144463,동양비엠에스(주),김태수,분석,73446045,87.822,88.74,0.69539 (100.69539),11 15,2024/05/22 09:58:16,
42,43,2108170441,주식회사 에이원아이티,문계숙,분석,73450000,87.826,88.745,0.70084 (100.70084),6 4,2024/05/22 09:48:53,
