,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
0,1,2218131749,주식회사 범산,변동희,분석,18583342,88.069,87.397,-0.68460 (99.3154),,2024/09/12 17:02:49,1순위
1,2,1298606070,(주)아이필넷,김명선,분석,18589320,88.098,87.425,-0.65265 (99.34735),,2024/09/10 10:24:19,2순위
2,3,2018603701,소성정보기술 주식회사,김금남,분석,18595982,88.129,87.457,-0.61705 (99.38295),,2024/09/11 09:00:50,3순위
3,4,1078651497,모바일파킹 유한회사,김중근,분석,18607593,88.184,87.511,-0.55500 (99.445),,2024/09/12 09:16:18,4순위
4,5,1278645062,주식회사 삼양소방,백승준,분석,18617408,88.231,87.557,-0.50254 (99.49746),,2024/09/10 15:25:25,5순위
5,6,6218197204,주식회사 아이씨티전기통신,고종훈,분석,18619770,88.242,87.568,-0.48992 (99.51008),,2024/09/13 00:54:11,6순위
6,7,1238190158,주식회사두성미디어,정재득,분석,18620800,88.247,87.573,-0.48441 (99.51559),,2024/09/11 07:31:47,7순위
7,8,5130276918,세원정보통신,박태수,분석,18629340,88.287,87.613,-0.43877 (99.56123),,2024/09/12 14:42:14,8순위
8,9,8178602884,주식회사 에스엠정보기술,황상애,분석,18629600,88.288,87.615,-0.43738 (99.56262),,2024/09/12 09:15:22,9순위
9,10,2208849212,주식회사 디에이치시스,이현욱,분석,18630935,88.295,87.621,-0.43025 (99.56975),,2024/09/11 17:11:41,10순위
10,11,6042996444,세일,이종보,분석,18635000,88.314,87.64,-0.40853 (99.59147),,2024/09/12 16:34:11,11순위
11,12,1048610901,이룸유비쿼터스주식회사,김승규,분석,18636960,88.323,87.649,-0.39805 (99.60195),,2024/09/11 15:40:47,12순위
12,13,1238180378,(주)주영일렉트로닉,박창식,분석,18638934,88.333,87.659,-0.38750 (99.6125),,2024/09/12 09:46:30,13순위
13,14,1298652609,주식회사 루테크,장보영,분석,18642733,88.351,87.676,-0.36720 (99.6328),,2024/09/12 08:39:05,14순위
14,15,1268634086,주식회사 화신,유수경,분석,18648500,88.378,87.703,-0.33638 (99.66362),,2024/09/13 09:40:29,15순위
15,16,2188601661,주식회사 동호이엔씨,김현진,분석,18661671,88.44,87.765,-0.26599 (99.73401),,2024/09/11 22:01:07,16순위
16,17,4388100029,주식회사 아이티에이스,한성구,분석,18663250,88.448,87.773,-0.25755 (99.74245),,2024/09/11 16:08:48,17순위
17,18,3678101672,주식회사 테라시스,임미영,분석,18664101,88.452,87.777,-0.25300 (99.747),,2024/09/12 08:25:49,18순위
18,19,1068616518,(주)애니씨앤에스,이일규,분석,18667060,88.466,87.791,-0.23719 (99.76281),,2024/09/12 10:01:50,19순위
19,20,1348168919,엠에스텔레콤(주),이형순,분석,18670574,88.483,87.807,-0.21841 (99.78159),,2024/09/11 08:16:14,20순위
20,21,1348690167,이맥시스템 주식회사,유해국,분석,18671210,88.486,87.81,-0.21501 (99.78499),,2024/09/11 09:36:07,21순위
21,22,1328182574,다산정보통신(주),구성철,분석,18675940,88.508,87.833,-0.18973 (99.81027),,2024/09/11 16:44:56,22순위
22,23,1278622735,주식회사 담소리,이동건,분석,18676380,88.51,87.835,-0.18738 (99.81262),,2024/09/10 09:31:13,23순위
23,24,3358200353,사)한국장애인미래정책포럼 아이티사업단,배영환,분석,18679000,88.523,87.847,-0.17337 (99.82663),,2024/09/12 10:25:56,24순위
24,25,1288708320,주식회사 도경,정길호,분석,18684260,88.547,87.872,-0.14526 (99.85474),,2024/09/10 14:48:20,25순위
25,26,7538802022,주식회사 에스앤브이테크,김용석,분석,18685805,88.555,87.879,-0.13701 (99.86299),,2024/09/12 10:25:45,26순위
26,27,1358190388,주식회사 창일,김종수,분석,18700438,88.624,87.948,-0.05880 (99.9412),,2024/09/12 18:07:46,27순위
27,28,1058740405,(주)화성이엔지,김택환,분석,18702795,88.635,87.959,-0.04621 (99.95379),,2024/09/11 16:10:35,28순위
28,29,1078218559,(사)장애인인권센터ICT사업단,박호상,분석,18707440,88.657,87.981,-0.02138 (99.97862),,2024/09/12 15:52:23,29순위
29,30,1345900621,맹가노니시스템,김경화,분석,18709943,88.669,87.992,-0.00801 (99.99199),,2024/09/12 08:23:12,30순위
30,31,7288600795,주식회사 나래넷츠,이용수,분석,18715800,88.697,88.02,0.02330 (100.0233),,2024/09/11 14:34:31,31순위
31,32,2118668579,(주)아이정보기술,이훈희,분석,18717652,88.706,88.029,0.03319 (100.03319),,2024/09/12 09:19:46,32순위
32,33,2098211809,사단법인 해오름장애인협회,노영주,분석,18721050,88.722,88.045,0.05135 (100.05135),,2024/09/13 08:59:36,33순위
33,34,3938701431,주식회사 더블유에스네트워크,유하나,분석,18723510,88.733,88.056,0.06450 (100.0645),,2024/09/12 18:05:51,34순위
34,35,8708802614,닛시시스템 주식회사,서수진,분석,18724370,88.738,88.06,0.06910 (100.0691),,2024/09/13 08:50:46,35순위
35,36,1308177809,(주)디알에스,엄주태,분석,18731280,88.77,88.093,0.10603 (100.10603),,2024/09/12 09:15:20,36순위
36,37,1278181893,오푸스(주),허도영,분석,18734440,88.785,88.108,0.12291 (100.12291),,2024/09/12 06:52:34,37순위
37,38,2158687767,(주)에스앤디비즈,정성호,분석,18736000,88.793,88.115,0.13125 (100.13125),,2024/09/10 09:18:56,38순위
38,39,7280702634,에이아이솔루션(AI Solution),김현우,분석,18738869,88.806,88.128,0.14658 (100.14658),,2024/09/11 09:39:31,39순위
39,40,4178154488,(주)도연테크,박희연,분석,18739560,88.81,88.132,0.15028 (100.15028),,2024/09/11 00:44:07,40순위
40,41,1108609224,주식회사 두루스코,김옥연,분석,18742222,88.822,88.144,0.16450 (100.1645),,2024/09/13 09:56:48,41순위
41,42,1338700922,주식회사 대신네트워크,신종교,분석,18743400,88.828,88.15,0.17080 (100.1708),,2024/09/12 10:59:15,42순위
42,43,2188114856,서교정보통신(주),김기설,분석,18745630,88.838,88.16,0.18272 (100.18272),,2024/09/12 19:25:19,43순위
43,44,1198123174,주식회사 도래정보시스템,이은숙,분석,18751110,88.864,88.186,0.21200 (100.212),,2024/09/12 09:42:53,44순위
44,45,1238197898,주식회사비컴,김득환,분석,18751131,88.864,88.186,0.21212 (100.21212),,2024/09/10 17:19:43,45순위
45,46,1058729128,주식회사 디에이치미디어테크,신용인,분석,18752190,88.869,88.191,0.21778 (100.21778),,2024/09/10 19:16:36,46순위
46,47,1288179309,주식회사 천일,이민자,분석,18754618,88.881,88.203,0.23075 (100.23075),,2024/09/10 18:06:34,47순위
47,48,1138640850,주식회사 우솔네트웍스,유상열,분석,18756010,88.887,88.209,0.23819 (100.23819),,2024/09/12 09:42:08,48순위
48,49,2878802786,주식회사 나이스음향정보통신,승인수,분석,18757640,88.895,88.217,0.24690 (100.2469),,2024/09/10 08:10:24,49순위
49,50,1308124466,삼형전자 주식회사,박영원,분석,18761568,88.914,88.235,0.26790 (100.2679),,2024/09/12 08:40:05,50순위
0,51,2098153286,미르네트웍스 주식회사,백태종,분석,18764360,88.927,88.248,0.28282 (100.28282),,2024/09/12 08:45:18,51순위
1,52,3268101462,디비이앤씨 주식회사,김미령,분석,18765420,88.932,88.253,0.28848 (100.28848),,2024/09/10 11:16:15,52순위
2,53,8428700706,주식회사 퍼스트텍,양영선,분석,18767910,88.944,88.265,0.30179 (100.30179),,2024/09/12 09:28:05,53순위
3,54,1198664224,포스텍네트웍스 주식회사,김권일,분석,18770286,88.955,88.276,0.31449 (100.31449),,2024/09/10 14:40:38,54순위
4,55,3458701320,주식회사 산호,임성숙,분석,18770690,88.957,88.278,0.31665 (100.31665),,2024/09/12 16:28:46,55순위
5,56,8318100359,주식회사 태영이엔지,곽경민,분석,18773490,88.97,88.291,0.33161 (100.33161),,2024/09/13 08:22:50,56순위
6,57,1048159651,(주)성우음향정보통신,송민자,분석,18774536,88.975,88.296,0.33720 (100.3372),,2024/09/13 08:23:34,57순위
7,58,2066762193,보성통신,문용권,분석,18778460,88.994,88.315,0.35817 (100.35817),,2024/09/12 08:00:41,58순위
8,59,4658702093,주식회사 신영통신,장세옥,분석,18780300,89.003,88.323,0.36801 (100.36801),,2024/09/11 17:21:00,59순위
9,60,1288694964,주식회사 디지팍스,정병국,분석,18785108,89.025,88.346,0.39370 (100.3937),,2024/09/13 08:49:03,60순위
10,61,1268194167,(주)인포인네트웍스,전헌주,분석,18788135,89.04,88.36,0.40988 (100.40988),,2024/09/11 13:28:03,61순위
11,62,3078143613,주식회사 조양테크,송윤서,분석,18788200,89.04,88.361,0.41023 (100.41023),,2024/09/12 14:42:44,62순위
12,63,1298189469,주식회사 한산피엔씨,박민우,분석,18788960,89.044,88.364,0.41429 (100.41429),,2024/09/12 16:39:04,63순위
13,64,1058649262,주식회사 노하우전기통신,임창배,분석,18791110,89.054,88.374,0.42578 (100.42578),,2024/09/11 10:34:40,64순위
14,65,1068619820,주식회사유엔콘트롤,남성모,분석,18791610,89.056,88.377,0.42845 (100.42845),,2024/09/11 14:35:12,65순위
15,66,1278647828,주식회사 대륙미디어,김정창,분석,18792000,89.058,88.378,0.43053 (100.43053),,2024/09/11 09:05:57,66순위
16,67,2178125840,(주)에이디엠,정채옥,분석,18792290,89.059,88.38,0.43208 (100.43208),,2024/09/11 17:02:46,67순위
17,68,1198174315,주식회사 다솜이엔씨,송인주,분석,18792592,89.061,88.381,0.43370 (100.4337),,2024/09/12 13:30:32,68순위
18,69,1298183408,주식회사 뉴인테크,곽순임,분석,18792690,89.061,88.382,0.43422 (100.43422),,2024/09/12 14:19:39,69순위
19,70,1288676480,주식회사 지에스씨,이용철,분석,18792950,89.063,88.383,0.43561 (100.43561),,2024/09/10 09:29:37,70순위
20,71,7828702979,주식회사 알티에스,김영석,분석,18793260,89.064,88.384,0.43727 (100.43727),,2024/09/10 09:26:26,71순위
21,72,2328102583,서진정보통신 주식회사,안복현,분석,18793280,89.064,88.384,0.43737 (100.43737),,2024/09/11 13:19:55,72순위
22,73,1198619447,도원정보시스템 주식회사,김종호,분석,18797307,89.083,88.403,0.45890 (100.4589),,2024/09/13 04:35:07,73순위
23,74,2368702137,주식회사 디에스정보기술,전광수,분석,18798030,89.087,88.407,0.46276 (100.46276),,2024/09/11 18:50:08,74순위
24,75,8858100619,주식회사 엔트론,이정호,분석,18800000,89.096,88.416,0.47329 (100.47329),,2024/09/12 13:21:54,75순위
25,76,1108190166,(주)페타네트워크,강인희,분석,18803221,89.111,88.431,0.49050 (100.4905),,2024/09/13 09:36:01,76순위
26,77,1288710957,주식회사 유한테크,유종근,분석,18804054,89.115,88.435,0.49495 (100.49495),,2024/09/12 14:52:26,77순위
27,78,1068194620,(주)합동전자산업,정호원,분석,18804970,89.12,88.439,0.49985 (100.49985),,2024/09/12 10:16:37,78순위
28,79,8668600286,주식회사 필립정보통신,최성남,분석,18805000,89.12,88.44,0.50001 (100.50001),,2024/09/09 20:48:34,79순위
29,80,1088167041,(주)가디엘,최혜심,분석,18805500,89.122,88.442,0.50268 (100.50268),,2024/09/12 16:01:58,80순위
30,81,1171187825,신원전자,안희덕,분석,18807860,89.133,88.453,0.51529 (100.51529),,2024/09/12 10:18:32,81순위
31,82,5668100829,스마트한 주식회사,강호성,분석,18808160,89.135,88.454,0.51690 (100.5169),,2024/09/11 16:26:14,82순위
32,83,1098651964,셀코정보기술 주식회사,임윤정,분석,18809210,89.14,88.459,0.52251 (100.52251),,2024/09/13 09:43:54,83순위
33,84,1238164816,주식회사 제이에스 이엔지,조성제,분석,18809450,89.141,88.46,0.52379 (100.52379),,2024/09/12 13:10:26,84순위
34,85,2038150302,도남정보통신 주식회사,이경우,분석,18811850,89.152,88.472,0.53662 (100.53662),,2024/09/13 10:01:45,85순위
35,86,2308103607,주식회사 디케이앤트,양동국,분석,18812243,89.154,88.474,0.53872 (100.53872),,2024/09/12 17:24:11,86순위
