,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
0,1,5198102535,주식회사 이음유앤아이,박영재,분석,77184100,87.745,88.547,0.02269 (100.02269),,2024/10/17 15:37:12,
1,2,1068615367,대성아이넷(주),이충은,분석,77184330,87.745,88.547,0.02299 (100.02299),,2024/10/15 10:50:56,
2,3,2068165615,(주)아이커머,조상현,분석,77190067,87.752,88.553,0.03050 (100.0305),,2024/10/21 10:08:50,
3,4,2128196243,신광씨앤티 주식회사,박광선,분석,77194810,87.758,88.559,0.03670 (100.0367),,2024/10/14 10:48:25,
4,5,2208869047,양지전기 주식회사,박승연,분석,77195350,87.759,88.559,0.03740 (100.0374),,2024/10/16 08:51:04,
5,6,2100412872,유광미디어,김유성,분석,77197022,87.761,88.561,0.03959 (100.03959),,2024/10/18 16:24:27,
6,7,1138645971,주식회사 포딕스시스템,정재호,분석,77201307,87.766,88.566,0.04519 (100.04519),,2024/10/16 11:08:10,
7,8,2048105154,우일정보기술 주식회사,이오,분석,77205365,87.771,88.571,0.05050 (100.0505),,2024/10/18 09:57:18,
8,9,1138635212,(주)아이제이일렉트론,김도형,분석,77205976,87.772,88.572,0.05130 (100.0513),,2024/10/17 15:38:48,
9,10,1100668347,민성정보통신,김영익,분석,77209400,87.776,88.576,0.05577 (100.05577),,2024/10/17 09:59:09,
10,11,1098167078,(주)에스씨네트,이계영,분석,77210180,87.777,88.577,0.05679 (100.05679),,2024/10/17 08:17:22,
11,12,1058153999,현대계장공업(주),박종성,분석,77210710,87.777,88.577,0.05748 (100.05748),,2024/10/18 09:04:09,
12,13,1198195493,주식회사 인텍하우징,심인석,분석,77212096,87.779,88.579,0.05930 (100.0593),,2024/10/20 20:33:06,
13,14,2108124739,(주)한성기술개발,서창식,분석,77215537,87.783,88.583,0.06380 (100.0638),,2024/10/15 19:38:44,
14,15,1088107572,세빈테크(주),박재영,분석,77217854,87.786,88.585,0.06683 (100.06683),,2024/10/21 08:55:34,
15,16,1108157338,(주)메트로컴넷,최선민,분석,77218559,87.787,88.586,0.06775 (100.06775),,2024/10/18 08:57:20,
