,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
0,1,1078191887,(주)삼일아엔씨,채수걸,분석,50774089,87.746,87.331,-0.47110 (99.5289),,2024/11/25 14:27:48,
1,2,1188108054,대한신호(주),안지수,분석,50775312,87.749,87.333,-0.46870 (99.5313),,2024/11/26 18:07:01,
2,3,2088702355,주식회사 수운,김치래,분석,50775520,87.749,87.334,-0.46830 (99.5317),,2024/11/27 15:49:13,
3,4,4568800195,주식회사 동부코리아통신,윤미옥,분석,50775970,87.75,87.334,-0.46742 (99.53258),,2024/11/28 08:59:04,
4,5,2218120693,주식회사 일동에너텍,김종삼,분석,50781251,87.759,87.343,-0.45706 (99.54294),,2024/11/27 16:23:09,
5,6,1198174315,주식회사 다솜이엔씨,송인주,분석,50781730,87.76,87.344,-0.45612 (99.54388),,2024/11/27 08:09:53,
6,7,2098119463,(주)두레정보통신,김시영,분석,50782860,87.762,87.346,-0.45391 (99.54609),,2024/11/27 15:53:12,
7,8,1058163309,(주)한국에빅스,신지훈,분석,50784100,87.764,87.348,-0.45148 (99.54852),,2024/11/22 10:48:18,
8,9,1288196628,코마정보통신(주),이경수,분석,50786530,87.768,87.353,-0.44672 (99.55328),,2024/11/26 09:55:21,
9,10,2108157604,주식회사 유니원이엔지,장소영,분석,50786980,87.769,87.353,-0.44583 (99.55417),,2024/11/27 10:39:42,
10,11,1138649133,빅썬시스템즈 주식회사,권태일,분석,50787350,87.769,87.354,-0.44511 (99.55489),,2024/11/26 10:27:06,
11,12,2024700576,성온엘,이미경,분석,50788880,87.772,87.357,-0.44211 (99.55789),,2024/11/26 11:45:37,
12,13,2158769714,주식회사 누리엔에스,박봉기,분석,50792680,87.779,87.363,-0.43466 (99.56534),,2024/11/25 17:47:39,
13,14,2208727579,주식회사 벡트,유창수,분석,50793678,87.78,87.365,-0.43270 (99.5673),,2024/11/27 09:22:01,
14,15,6378801279,주식회사정암정보통신,조강수,분석,50793780,87.78,87.365,-0.43250 (99.5675),,2024/11/26 08:00:25,
15,16,1138131356,중원기전(주),김창중,분석,50793780,87.78,87.365,-0.43250 (99.5675),,2024/11/27 08:49:07,
16,17,2048610496,주식회사 김스애드,김진희,분석,50794790,87.782,87.367,-0.43052 (99.56948),,2024/11/27 17:56:13,
17,18,1648602515,주식회사 바른엔씨티,하성일,분석,50795200,87.783,87.367,-0.42972 (99.57028),,2024/11/26 15:14:57,
18,19,1108124633,주식회사 디앤에스테크놀로지,이원우,분석,50795769,87.784,87.368,-0.42860 (99.5714),,2024/11/27 13:22:23,
19,20,1138683636,주식회사 온택,허윤훈,분석,50795800,87.784,87.368,-0.42854 (99.57146),,2024/11/26 10:38:03,
20,21,2120549052,태성통신,최재석,분석,50795811,87.784,87.368,-0.42852 (99.57148),,2024/11/25 20:42:54,
21,22,2108124739,(주)한성기술개발,서창식,분석,50796790,87.786,87.37,-0.42660 (99.5734),,2024/11/26 02:52:26,
22,23,2128107793,호곡종합건설(주),박성환,분석,50798065,87.788,87.372,-0.42410 (99.5759),,2024/11/28 11:13:33,
23,24,2098160768,금호이엔지 주식회사,김승규,분석,50798120,87.788,87.372,-0.42400 (99.576),,2024/11/27 16:00:54,
24,25,1138188878,주식회사 신영이엔티,이찬세,분석,50802080,87.795,87.379,-0.41623 (99.58377),,2024/11/26 15:21:27,
25,26,2078152132,(주)홍남테크,김홍길,분석,50803170,87.797,87.381,-0.41410 (99.5859),,2024/11/27 17:49:29,
