순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
1,2128142640,팍스코이앤아이(주)  [최종낙찰],송기민,분석,59071290,87.749,88.718,0.81191 (100.81191),11 5,2021/09/29 14:40:21,
2,1068651233,(주)나사씨엔에스,신희태,분석,59074377,87.754,88.722,0.81719 (100.81719),6 12,2021/09/28 19:33:35,
3,2188114856,서교정보통신(주),김기설,분석,59074900,87.755,88.723,0.81809 (100.81809),7 11,2021/09/27 19:12:16,
4,1018154491,엘케이테크넷(주),이만형,분석,59075372,87.755,88.724,0.81890 (100.8189),9 15,2021/09/28 16:13:18,
5,2118640396,주식회사 선진콘트롤 엔 엑세스,이철희,분석,59077532,87.759,88.727,0.82259 (100.82259),10 2,2021/09/29 13:58:59,
6,4658702093,주식회사 나지정보통신,엄혜선,분석,59080278,87.763,88.731,0.82729 (100.82729),1 13,2021/09/24 11:37:59,
7,2148722924,주식회사 다음정보기술,김은선,분석,59089500,87.777,88.745,0.84308 (100.84308),1 10,2021/09/23 15:01:03,
8,1198125041,옥성정보통신(주),황석,분석,59091000,87.779,88.747,0.84565 (100.84565),15 13,2021/09/29 09:43:43,
9,2148673033,대일전기통신(주),김종엽,분석,59091799,87.78,88.749,0.84701 (100.84701),11 9,2021/09/30 07:40:57,
10,2198128106,우선이엔씨(주),김광수,분석,59092000,87.781,88.749,0.84736 (100.84736),15 4,2021/09/27 09:04:31,
11,1178161755,(주) 유강이엔씨,조천식,분석,59094213,87.784,88.752,0.85115 (100.85115),5 6,2021/09/29 19:47:52,
12,1098197140,(주)코맥스시큐리티,김종정,분석,59095410,87.786,88.754,0.85320 (100.8532),8 3,2021/09/30 09:47:15,
13,1078651497,모바일파킹 유한회사,김중근,분석,59096345,87.787,88.755,0.85480 (100.8548),8 12,2021/09/24 08:55:25,
14,1078746443,(주)라인테크놀로지,유현식,분석,59097570,87.789,88.757,0.85689 (100.85689),15 8,2021/09/29 17:17:51,
15,1318174028,"주식회사 에이치케이 (HK Co., Ltd.)",장해각,분석,59100538,87.794,88.762,0.86197 (100.86197),15 11,2021/09/29 15:30:47,
16,1138183325,주식회사금강전력,오영선,분석,59101630,87.795,88.763,0.86384 (100.86384),3 1,2021/09/23 16:25:44,
17,2068193673,지에스네트웍스(주),임동배,분석,59105983,87.802,88.77,0.87129 (100.87129),8 7,2021/09/30 08:49:09,
18,2208116823,주봉정보시스템(주),김봉기,분석,59106160,87.802,88.77,0.87160 (100.8716),10 13,2021/09/30 09:38:08,
19,2068153517,뉴텔레콤(주),김을선,분석,59106800,87.803,88.771,0.87269 (100.87269),8 9,2021/09/29 09:12:07,
20,2048620126,(주)상부사종합건설,이상만,분석,59109806,87.808,88.776,0.87784 (100.87784),14 12,2021/09/29 22:43:46,
21,1358131171,(주)금성전기통신공사,김윤환,분석,59110480,87.809,88.777,0.87899 (100.87899),10 2,2021/09/28 10:34:41,
22,2148705513,주식회사 케이이에스 전기공사,강성진,분석,59113112,87.813,88.781,0.88350 (100.8835),6 10,2021/09/29 08:56:07,
23,1171187825,신원전자,안희덕,분석,59115350,87.816,88.784,0.88733 (100.88733),1 12,2021/09/29 09:13:53,
24,1058611510,이노테크놀로지(주),장기배,분석,59119598,87.823,88.79,0.89460 (100.8946),13 14,2021/09/29 11:30:15,
25,1178119238,주식회사 동양네트워크,김종렬,분석,59131049,87.84,88.808,0.91420 (100.9142),6 9,2021/09/30 08:28:50,
26,2068184591,신명네트워크(주),임은수,분석,59131460,87.841,88.808,0.91490 (100.9149),11 7,2021/09/27 19:42:57,
27,2158690656,금성통신건설(주),윤영신,분석,59132090,87.842,88.809,0.91598 (100.91598),5 2,2021/09/29 14:07:11,
28,1078756640,주식회사 링크씨앤아이,김대훈,분석,59136072,87.848,88.815,0.92279 (100.92279),7 8,2021/09/29 15:01:07,
29,1108172440,주식회사 다보파워코리아,강희철,분석,59137416,87.85,88.817,0.92509 (100.92509),11 2,2021/09/29 15:10:35,
30,1058164176,(주)신보파워텍,공민우,분석,59138060,87.851,88.818,0.92620 (100.9262),3 8,2021/09/30 08:58:47,
31,2078124989,청보음향(주),고인우,분석,59138200,87.851,88.818,0.92644 (100.92644),11 2,2021/09/28 20:09:37,
32,1138157962,(주)하이눈정보통신,박종우,분석,59139450,87.853,88.82,0.92858 (100.92858),4 6,2021/09/27 19:20:30,
33,1058606899,이화티티씨(주),이선정,분석,59144192,87.86,88.827,0.93669 (100.93669),5 11,2021/09/29 17:20:11,
34,3188600619,주식회사 태정이앤아이,정태용,분석,59145999,87.863,88.83,0.93979 (100.93979),12 14,2021/09/29 19:15:38,
35,2128166939,주식회사 연일전력,최재규,분석,59150737,87.87,88.837,0.94790 (100.9479),8 14,2021/09/28 09:58:18,
36,1198164229,(주) 이준시스템,한상훈,분석,59156950,87.879,88.846,0.95853 (100.95853),5 1,2021/09/29 11:04:56,
37,1238135136,(주)청남통신,최재언,분석,59158770,87.882,88.849,0.96165 (100.96165),1 7,2021/09/23 15:03:32,
38,2148186794,주식회사 리트코,정종경,분석,59160090,87.884,88.851,0.96390 (100.9639),12 1,2021/09/28 09:25:44,
39,1058746506,(주)파워일렉,이정림,분석,59160620,87.885,88.852,0.96481 (100.96481),8 11,2021/09/29 12:21:07,
40,1058645500,태지종합건설(주),박명호,분석,59166750,87.894,88.861,0.97530 (100.9753),7 3,2021/09/30 09:44:57,
41,2338109798,구스텍 주식회사,고중구,분석,59169900,87.899,88.866,0.98070 (100.9807),5 7,2021/09/28 13:48:45,
42,1168105686,대덕전설(주),남궁성규,분석,59173460,87.905,88.871,0.98679 (100.98679),12 15,2021/09/28 15:42:41,
43,2148107988,(주)서울정보시스템,이문현,분석,59173510,87.905,88.871,0.98688 (100.98688),3 2,2021/09/24 07:55:43,
