순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
1,1098120807,(주)케이비에스비즈니스,,분석,501290275,87.291,88.696,0.7099 (100.7099),2 11,2021/04/30 09:21:48,미심사
2,2178121937,부광이앤씨 주식회사,,분석,501291271,87.291,88.696,0.7101 (100.7101),14 6,2021/04/30 11:31:22,미심사
3,1058111500,이화공영주식회사,,분석,501338000,87.3,88.704,0.7194 (100.7194),10 1,2021/04/30 09:22:39,미심사
4,2098119463,(주)두레정보통신,,분석,501376890,87.307,88.711,0.7273 (100.7273),13 6,2021/04/29 14:10:44,미심사
5,2108157604,주식회사 유니원이엔지,,분석,501397300,87.311,88.715,0.7314 (100.7314),3 14,2021/04/29 13:40:26,미심사
6,4088168391,금상디엔씨주식회사,,분석,501422369,87.316,88.719,0.7364 (100.7364),8 13,2021/04/29 08:08:33,미심사
7,1208817900,주식회사 에이앤티플러스,,분석,501447567,87.32,88.724,0.7415 (100.7415),9 15,2021/04/28 17:58:37,미심사
8,2138800230,주식회사 성민전기통신,,분석,501477432,87.326,88.729,0.7475 (100.7475),4 10,2021/04/28 09:24:02,미심사
9,2068164028,주식회사 이지비앤티,,분석,501517500,87.333,88.736,0.7555 (100.7555),5 10,2021/04/28 10:36:13,미심사
10,2048614338,(주)오성에이브이시스템,,분석,501518260,87.334,88.736,0.7557 (100.7557),2 9,2021/04/29 09:25:34,미심사
11,1108139892,(주)이화텔레콤,,분석,501572818,87.344,88.746,0.7666 (100.7666),5 4,2021/04/29 09:24:11,미심사
12,2208128542,주식회사 삼일기업공사,,분석,501605500,87.35,88.752,0.7732 (100.7732),10 11,2021/04/30 08:12:02,미심사
13,1098610416,(주)네시비스,,분석,501629750,87.354,88.756,0.7781 (100.7781),1 5,2021/04/29 16:46:03,미심사
14,2018176136,(주)휴넷시스템,,분석,501708392,87.369,88.77,0.7939 (100.7939),4 3,2021/04/29 09:30:33,미심사
15,1120180788,대성미디어,,분석,501711624,87.37,88.77,0.7945 (100.7945),5 11,2021/04/29 07:59:00,미심사
16,2208719934,주식회사 지제이전기통신,,분석,501820952,87.39,88.79,0.8165 (100.8165),8 1,2021/04/28 13:18:09,미심사
17,1058608183,코위버(주),,분석,501833315,87.393,88.792,0.8189 (100.8189),11 9,2021/04/28 15:14:43,미심사
18,1081154276,영우정보통신,,분석,501884400,87.402,88.801,0.8292 (100.8292),4 15,2021/04/28 15:08:59,미심사
19,1050296111,중앙전자통신,,분석,502127856,87.448,88.844,0.8781 (100.8781),2 12,2021/04/28 10:28:58,미심사
20,1198632979,성민전기 주식회사,,분석,502266000,87.474,88.868,0.9059 (100.9059),2 14,2021/04/30 00:47:25,미심사
21,1138615856,(주)서원티에스,,분석,502269051,87.474,88.869,0.9065 (100.9065),5 11,2021/04/28 14:19:45,미심사
22,1088195004,(주)한양케이앤이,,분석,502275425,87.475,88.87,0.9078 (100.9078),4 5,2021/04/29 09:56:12,미심사
23,2148188924,우민전기(주),,분석,502323000,87.484,88.879,0.9173 (100.9173),8 4,2021/04/28 13:19:33,미심사
24,1208194567,아산정보통신(주),,분석,502326710,87.485,88.879,0.9181 (100.9181),11 8,2021/04/28 15:40:05,미심사
25,1198623733,주식회사 케이비티정보통신,,분석,502382792,87.495,88.889,0.9293 (100.9293),2 11,2021/04/30 08:38:54,미심사
26,1058192352,한아름정보통신(주),,분석,502774850,87.569,88.958,1.0081 (101.0081),8 14,2021/04/30 13:25:29,미심사
27,2068172829,한사랑엔지니어링 주식회사,,분석,502808900,87.575,88.965,1.0149 (101.0149),11 5,2021/04/28 12:16:19,미심사
28,1108155382,(주)굿채널시스템,,분석,502870000,87.587,88.975,1.0272 (101.0272),14 5,2021/04/30 09:34:05,미심사
29,2148107988,(주)서울정보시스템,,분석,503057908,87.622,89.009,1.0650 (101.065),6 2,2021/04/29 08:18:15,미심사
30,2048161869,(주)근영이엔씨,,분석,503273836,87.662,89.047,1.1084 (101.1084),14 13,2021/04/29 09:46:35,미심사
31,1298627304,(주)진네트웍스,,분석,503290267,87.665,89.05,1.1117 (101.1117),11 7,2021/04/29 08:40:00,미심사
