순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
1,1868800170,주식회사 세움정보기술,김정호,분석,8523365000,85.499,86.978,0.68219 (100.68219),3 4,2022/10/25 16:32:51,낙찰
2,5158108411,동일통신 주식회사,황보유,분석,8523586000,85.501,86.98,0.68483 (100.68483),14 15,2022/10/20 10:24:32,
3,1288692398,주식회사 올댓이엔티,이은애,분석,8523750480,85.503,86.981,0.68679 (100.68679),4 5,2022/10/26 08:19:34,
4,3118124099,사성정보통신주식회사,이대우,분석,8524635000,85.512,86.99,0.69735 (100.69735),1 6,2022/10/24 09:53:37,
5,2048105154,우일정보기술 주식회사,이오,분석,8525442853,85.521,86.999,0.70700 (100.707),10 15,2022/10/24 15:27:17,
6,1058737986,(주)테크미디어,엄정주,분석,8525755300,85.525,87.002,0.71072 (100.71072),1 7,2022/10/26 09:19:19,
7,6158138758,(주)퓨전아이티,정철모,분석,8526751260,85.535,87.012,0.72261 (100.72261),10 4,2022/10/24 17:29:46,
8,1308128593,주식회사 엔제이이앤씨,김미경,분석,8528358410,85.553,87.028,0.74180 (100.7418),13 15,2022/10/24 17:17:12,
9,3158105041,(주)화인시스템,연규일,분석,8528835890,85.558,87.033,0.74749 (100.74749),13 14,2022/10/24 12:22:17,
10,3068126116,마이크로닉시스템(주),김홍래,분석,8528894605,85.558,87.034,0.74820 (100.7482),10 2,2022/10/26 09:11:05,
11,4088156497,주식회사 영풍,양해용,분석,8529221500,85.562,87.037,0.75210 (100.7521),6 8,2022/10/26 08:55:56,
12,2148194561,주식회사 해오름이엔씨,김길수,분석,8529631872,85.566,87.041,0.75700 (100.757),8 9,2022/10/25 13:19:23,
13,5138142072,기남전기통신 주식회사,김중기,분석,8529693300,85.567,87.042,0.75773 (100.75773),13 4,2022/10/25 11:01:50,
14,8318101324,(주)두굿이엔지,전미연,분석,8529916720,85.57,87.044,0.76039 (100.76039),11 14,2022/10/19 10:28:48,
15,6218130159,네오콤 주식회사,김태환,분석,8530121750,85.572,87.046,0.76284 (100.76284),15 9,2022/10/21 11:18:04,
16,2148188924,우민전기(주),이학표,분석,8533108000,85.604,87.077,0.79849 (100.79849),10 14,2022/10/25 14:30:16,
17,1138151895,주식회사 온리정보통신,김서규,분석,8533443880,85.608,87.08,0.80250 (100.8025),15 4,2022/10/25 14:57:22,
18,1058640413,(주)지앤에스이엔지,박선영,분석,8534063855,85.614,87.087,0.80990 (100.8099),10 7,2022/10/26 08:24:24,
19,1278622185,(주)한올정보통신,임상규,분석,8534466000,85.619,87.091,0.81470 (100.8147),2 7,2022/10/24 09:43:19,
20,1288112477,벨코리아(주),함정기,분석,8535328940,85.628,87.1,0.82500 (100.825),1 4,2022/10/25 10:04:18,
21,1228630865,주식회사 금산,유기선,분석,8536317546,85.639,87.11,0.83680 (100.8368),13 14,2022/10/20 15:00:19,
22,8208801978,엘티정보통신(주),이선영,분석,8536579200,85.641,87.112,0.83992 (100.83992),12 14,2022/10/25 13:16:44,
23,4048130059,주식회사대유통신,이수곤,분석,8538571238,85.663,87.133,0.86369 (100.86369),1 4,2022/10/20 14:31:02,
24,4088176611,주식회사 에스티에스,서연림,분석,8539995500,85.678,87.147,0.88069 (100.88069),11 9,2022/10/24 09:05:16,
25,3128122702,웅진보안시스템 주식회사,노종호,분석,8540942224,85.689,87.157,0.89200 (100.892),5 8,2022/10/21 15:36:30,
26,1308113106,신양통신주식회사,박인규,분석,8541066848,85.69,87.158,0.89348 (100.89348),13 14,2022/10/24 14:56:46,
27,5018114869,남영통신(주),김영록,분석,8543287237,85.714,87.181,0.91999 (100.91999),13 15,2022/10/24 17:49:42,
28,6158168835,주식회사 세안정보통신전기,류해경,분석,8548139600,85.766,87.23,0.97790 (100.9779),7 9,2022/10/25 13:20:01,
29,4088128332,주식회사 로그인 서광,장지원,분석,8554782742,85.838,87.298,1.05720 (101.0572),2 9,2022/10/21 14:54:42,
30,5828602902,(주) 천지정보통신,김재현,분석,8557950000,85.872,87.33,1.09500 (101.095),13 6,2022/10/25 15:46:14,
31,1308634130,주식회사 유앤테크,지승현,분석,8558368543,85.877,87.335,1.10000 (101.1),10 3,2022/10/26 09:18:02,
32,1358193293,단일전력주식회사,차영호,분석,8561469000,85.91,87.366,1.13700 (101.137),2 6,2022/10/24 13:39:44,
33,1428150308,주식회사 대원,서동일,분석,8562875930,85.926,87.381,1.15380 (101.1538),1 6,2022/10/25 13:34:55,
34,1068180878,주식회사 신보,정재문,분석,8563727000,85.935,87.389,1.16395 (101.16395),13 8,2022/10/26 09:23:49,
35,3178123292,주식회사 에즈웰,김영천,분석,8563772376,85.935,87.39,1.16449 (101.16449),10 12,2022/10/25 13:27:25,
36,3108113681,에이엠테크주식회사,노병훈,분석,8566662801,85.966,87.419,1.19900 (101.199),11 4,2022/10/26 09:09:37,
37,3078127928,(주)케이엔비씨,김재춘,분석,8577721810,86.086,87.532,1.33099 (101.33099),6 9,2022/10/25 17:52:54,
38,1388114337,주식회사 신안정보통신,주을목,분석,8578360640,86.093,87.539,1.33862 (101.33862),14 3,2022/10/26 09:12:22,
39,1418128934,에스유앤텔레콤주식회사,안경자,분석,8595076700,86.273,87.709,1.53814 (101.53814),10 12,2022/10/19 09:47:33,
40,7188800491,주식회사 가나이엔씨,이다정,분석,8612825790,86.465,87.89,1.75000 (101.75),1 11,2022/10/24 19:46:55,
41,1058606899,이화티티씨(주),이선정,분석,8738532553,87.823,89.173,3.25043 (103.25043),2 7,2022/10/21 09:36:06,
-1,4188129435,주식회사 서진아이티씨,김홍기,분석,8522284332,85.487,86.966,0.66929 (100.66929),12 6,2022/10/20 16:27:26,
-2,3118149009,제이네트웍스(주),조영판,분석,8521991100,85.484,86.963,0.66579 (100.66579),10 14,2022/10/26 08:55:03,
-3,1298125510,정광(주),유정현,분석,8521915690,85.483,86.963,0.66489 (100.66489),15 3,2022/10/26 09:36:23,
-4,3168115431,(주)두원,이재성,분석,8521782489,85.482,86.961,0.66331 (100.66331),2 6,2022/10/23 18:23:25,
