,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
0,1,8708802614,닛시시스템 주식회사,서수진,분석,29533050,87.9,87.805,0.06911 (100.06911),,2024/05/07 08:51:10,1순위
1,2,1198688435,"주식회사 윈테크글로벌(Wintech Global Co.,Ltd)",한미순,분석,29535990,87.909,87.814,0.07907 (100.07907),,2024/05/03 14:50:13,2순위
2,3,4088602356,주식회사 한국방재기술단,정민규,분석,29543000,87.93,87.835,0.10282 (100.10282),,2024/05/05 23:09:37,3순위
3,4,8858100619,주식회사 엔트론,이정호,분석,29552055,87.957,87.862,0.13350 (100.1335),,2024/05/03 15:04:28,4순위
4,5,1298606070,(주)아이필넷,김명선,분석,29558060,87.975,87.879,0.15385 (100.15385),,2024/05/03 14:37:02,5순위
5,6,8318100359,주식회사 태영이엔지,곽경민,분석,29584487,88.054,87.958,0.24339 (100.24339),,2024/05/07 09:21:35,6순위
6,7,6838602199,주식회사 더시스,이남복,분석,29588420,88.065,87.97,0.25672 (100.25672),,2024/05/02 09:12:07,7순위
7,8,1358126192,주식회사 부림,배우상,분석,29588480,88.065,87.97,0.25692 (100.25692),,2024/05/07 09:08:25,8순위
8,9,1198141207,(주)텍센,권유찬,분석,29598421,88.095,87.999,0.29061 (100.29061),,2024/05/02 16:27:14,9순위
9,10,2178127829,(주)유투에스알,윤사빈,분석,29615424,88.146,88.05,0.34822 (100.34822),,2024/05/03 10:37:11,10순위
10,11,7280702634,에이아이솔루션(AI Solution),김현우,분석,29654928,88.263,88.168,0.48207 (100.48207),,2024/05/07 09:02:18,11순위
11,12,2148647194,투앤원정보통신주식회사,서승호,분석,29700000,88.397,88.302,0.63480 (100.6348),,2024/05/03 09:25:08,12순위
12,13,1058649262,주식회사 노하우전기통신,임창배,분석,29778200,88.63,88.534,0.89977 (100.89977),,2024/05/03 14:33:04,13순위
13,14,1298186268,(주)유비프라임,오세진,분석,29781160,88.639,88.543,0.90980 (100.9098),,2024/05/03 08:35:26,14순위
14,15,1638601702,아룸테크 주식회사,임주아,분석,29801810,88.7,88.604,0.97977 (100.97977),,2024/05/03 10:36:22,15순위
15,16,2018603701,소성정보기술 주식회사,김금남,분석,29842608,88.822,88.725,1.11801 (101.11801),,2024/05/07 08:52:36,16순위
16,17,1198703753,구루멘토링 주식회사,최동양,분석,29889700,88.962,88.866,1.27757 (101.27757),,2024/05/06 22:40:32,17순위
17,18,7288600999,주식회사 다경테크,박현승,분석,29933838,89.093,88.997,1.42713 (101.42713),,2024/05/03 12:27:28,18순위
18,-1,1098156682,한국이엠에스(주),이재덕,분석,29479330,87.741,87.645,-0.11292 (99.88708),,2024/05/06 09:46:27,낙찰하한가미만
19,-2,4848101910,주식회사 에피테크,김희정,분석,29478660,87.739,87.643,-0.11519 (99.88481),,2024/05/03 10:16:35,낙찰하한가미만
20,-3,1288610057,주식회사 청명씨앤아이,문현민,분석,29419379,87.562,87.467,-0.31605 (99.68395),,2024/05/07 07:11:47,낙찰하한가미만
21,-4,1288641996,해용정보통신주식회사,백다리아,분석,29415785,87.551,87.456,-0.32823 (99.67177),,2024/05/07 08:52:04,낙찰하한가미만
