,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
0,1,1368113502,계림통신건설 주식회사,문현상,분석,859046614,87.754,88.428,-0.09479 (99.90521),2 8,2024/01/19 10:35:43,낙찰
1,2,2588701079,동부아이시티주식회사,주은주,분석,859601000,87.815,88.485,-0.02975 (99.97025),3 4,2024/01/22 13:29:18,
2,3,3128114629,태양정보통신 주식회사,민장기,분석,859801430,87.837,88.505,-0.00624 (99.99376),12 13,2024/01/23 08:46:39,
3,4,4128108897,(주)조흥테크,박희용,분석,859861343,87.844,88.512,0.00079 (100.00079),10 12,2024/01/22 11:51:43,
4,5,1228605202,(주)에스엠티엔씨,이용래,분석,860099980,87.87,88.536,0.02878 (100.02878),10 5,2024/01/22 14:33:00,
5,6,2048626080,주식회사 엘제이이엔지,임성희,분석,860114550,87.871,88.538,0.03049 (100.03049),2 7,2024/01/18 10:40:17,
6,7,5028603415,주식회사 이원시스템,이광주,분석,860318355,87.894,88.559,0.05440 (100.0544),7 9,2024/01/22 11:09:38,
7,8,1408110372,(주)지성하이텍,송혜선,분석,860323000,87.894,88.559,0.05495 (100.05495),10 9,2024/01/21 18:28:35,
8,9,4168164789,누리씨앤아이 주식회사,성명찬,분석,860500240,87.914,88.577,0.07574 (100.07574),15 3,2024/01/23 08:47:53,
9,10,1168137494,대아티아이 주식회사,이일수,분석,860583000,87.923,88.586,0.08545 (100.08545),14 5,2024/01/22 11:45:49,
10,11,1138658592,위너시스텍 주식회사,조용걸,분석,860850100,87.952,88.613,0.11678 (100.11678),11 6,2024/01/22 10:38:12,
11,12,5028616259,주식회사 은창아이티,권경숙,분석,860896220,87.957,88.618,0.12220 (100.1222),10 8,2024/01/22 09:37:52,
12,13,1288160023,지앤티테크주식회사,박정수,분석,861127516,87.983,88.642,0.14933 (100.14933),14 5,2024/01/18 11:36:47,
13,14,3118122714,주식회사 예흥정보통신,박달서,분석,861223500,87.993,88.652,0.16059 (100.16059),1 12,2024/01/19 22:08:34,
14,15,1348171262,주식회사 신양,황규봉,분석,861322880,88.004,88.662,0.17225 (100.17225),10 12,2024/01/22 14:33:17,
15,16,1248625392,(주)파워텔레콤,조호연,분석,861606280,88.035,88.691,0.20550 (100.2055),11 12,2024/01/21 16:33:48,
16,17,1078616772,노드링크주식회사,장용철,분석,861706857,88.046,88.702,0.21729 (100.21729),1 2,2024/01/23 07:16:11,
17,18,6138141669,주식회사 청호전기,최경의,분석,861929900,88.071,88.725,0.24346 (100.24346),2 7,2024/01/22 16:28:44,
18,19,5028178115,주식회사 현진이앤씨,이미현,분석,861931700,88.071,88.725,0.24367 (100.24367),10 8,2024/01/22 16:32:09,
19,20,1178156325,주식회사 더나은산업,이예나,분석,861953000,88.074,88.727,0.24617 (100.24617),13 5,2024/01/22 10:06:02,
20,21,2208727337,주식회사주니파워네트웍스,노병준,분석,862202194,88.101,88.753,0.27541 (100.27541),3 4,2024/01/19 11:01:06,
21,22,5338800890,주식회사 구주전력,오현택,분석,862711200,88.157,88.805,0.33512 (100.33512),14 7,2024/01/23 09:27:12,
22,23,2248119477,우리네트웍스(주),이강용,분석,862766402,88.163,88.811,0.34160 (100.3416),13 9,2024/01/21 16:30:25,
23,24,4158139045,주식회사옥주전력,정낙원,분석,862864552,88.174,88.821,0.35311 (100.35311),10 4,2024/01/22 10:38:34,
24,25,3013054406,신우아이앤에스,최원기,분석,862943813,88.182,88.829,0.36241 (100.36241),11 12,2024/01/19 09:33:24,
25,26,1078757203,주식회사 비에스파워,정병섭,분석,862999810,88.189,88.835,0.36898 (100.36898),10 14,2024/01/19 00:42:26,
26,27,3148800979,주식회사 멀티스퀘어,정승원,분석,863068360,88.196,88.842,0.37702 (100.37702),5 9,2024/01/22 10:25:32,
27,28,1288121980,원일통신(주),이규명,분석,863135400,88.203,88.849,0.38488 (100.38488),15 4,2024/01/18 16:39:45,
28,29,1318612556,주식회사 현이엔지,김석구,분석,863196400,88.21,88.855,0.39204 (100.39204),13 9,2024/01/23 08:47:25,
29,30,6028800594,삼연정보통신(주),이수진,분석,863292258,88.221,88.865,0.40329 (100.40329),10 9,2024/01/18 12:57:00,
30,31,2208876247,주식회사 성원전기,윤정애,분석,863293840,88.221,88.865,0.40347 (100.40347),10 4,2024/01/23 08:56:28,
31,32,3018611438,(주)두원이엔지,이병순,분석,863453088,88.238,88.881,0.42215 (100.42215),11 14,2024/01/21 01:25:59,
32,33,1288135320,수호정보통신(주),김성수,분석,863552323,88.249,88.892,0.43379 (100.43379),3 8,2024/01/22 17:20:10,
33,34,1228192774,주식회사 나은엔지니어링,김철호,분석,863647850,88.26,88.901,0.44500 (100.445),15 6,2024/01/18 15:13:40,
34,35,1358167679,원일 정보통신 주식회사,김영석,분석,863745852,88.271,88.911,0.45650 (100.4565),11 9,2024/01/22 09:25:56,
35,36,4088171222,주식회사 한광,김순미,분석,863754714,88.272,88.912,0.45754 (100.45754),1 10,2024/01/23 08:57:18,
