,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
0,1,1068178635,(주)지아이테크놀러지  [최종낙찰],홍영우,분석,100827700.0,87.747,87.687,-0.89915 (99.10085),8 5,2024/08/16 14:04:17,
1,2,2018634956,주식회사 신성전자통신,전용한,분석,100828351.0,87.748,87.688,-0.89851 (99.10149),4 7,2024/08/19 11:01:43,
2,3,2128196942,동진이앤씨(주),민진식,분석,100841549.0,87.76,87.699,-0.88542 (99.11458),8 9,2024/08/19 17:06:27,
3,4,1171187825,신원전자,안희덕,분석,100847720.0,87.766,87.704,-0.87931 (99.12069),8 14,2024/08/19 09:27:56,
4,5,1178188899,주식회사 시큐렉스,최영희,분석,100848430.0,87.767,87.705,-0.87860 (99.1214),3 4,2024/08/20 09:12:41,
5,6,1138132447,태진정보통신(주),정태수,분석,100849539.0,87.768,87.706,-0.87750 (99.1225),7 3,2024/08/16 15:28:29,
6,7,1198611222,(주)제이에이티,이세창,분석,100850600.0,87.769,87.707,-0.87645 (99.12355),14 8,2024/08/19 08:34:49,
7,8,7998800243,주식회사 비티엘정보통신,최성진,분석,100854580.0,87.772,87.71,-0.87251 (99.12749),11 14,2024/08/16 14:15:10,
8,9,1098155422,창공정보통신 주식회사,김배명,분석,100855700.0,87.773,87.711,-0.87140 (99.1286),2 4,2024/08/19 05:53:17,
9,10,1170233690,화진정보통신,김병철,분석,100863665.0,87.781,87.718,-0.86350 (99.1365),2 6,2024/08/19 15:23:39,
10,11,1198172336,정보와기술 주식회사,이충근,분석,100864270.0,87.781,87.719,-0.86290 (99.1371),1 11,2024/08/19 14:31:52,
11,12,1188111020,주식회사 한영씨앤이,박대서,분석,100866390.0,87.783,87.721,-0.86080 (99.1392),12 11,2024/08/16 14:13:01,
12,13,2011497895,정우이앤씨,유동환,분석,100866410.0,87.783,87.721,-0.86078 (99.13922),5 3,2024/08/16 10:30:38,
13,14,1178155699,유림씨스템통신(주),권영성,분석,100870726.0,87.787,87.724,-0.85651 (99.14349),3 7,2024/08/19 09:37:02,
14,15,1198653921,미래네트웍스 주식회사,천기남,분석,100878081.0,87.794,87.731,-0.84922 (99.15078),6 9,2024/08/19 13:07:22,
15,16,1118124994,오리엔트주식회사,이경호,분석,100879300.0,87.795,87.732,-0.84801 (99.15199),8 6,2024/08/19 12:47:58,
16,17,1068641109,주식회사 피앤지텍,조홍길,분석,100885500.0,87.801,87.737,-0.84186 (99.15814),4 2,2024/08/19 02:19:25,
17,18,1138636870,주식회사 나우시스템,이종한,분석,100893130.0,87.808,87.744,-0.83430 (99.1657),1 11,2024/08/19 13:37:45,
18,19,1108155382,(주)굿채널시스템,백홍현,분석,100894940.0,87.81,87.746,-0.83251 (99.16749),13 5,2024/08/16 11:53:41,
