,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
0,1,2118664331,주식회사 테크윈시스템,김래진,분석,68505910,88.029,88.079,0.09080 (100.0908),2 4,2024/10/02 13:05:45,
1,2,2208165402,서전엔지니어링(주),유경하,분석,68590229,88.138,88.188,0.21399 (100.21399),7 13,2024/09/30 17:23:00,
2,3,2168701696,주식회사 투비콤,유수정,분석,68694836,88.272,88.322,0.36683 (100.36683),11 12,2024/10/04 09:27:53,
3,4,2098123540,"주식회사 에이치코비 (H-KORBI Co., Ltd.)",이환석,분석,68718760,88.303,88.353,0.40178 (100.40178),13 9,2024/10/02 09:42:11,
4,5,3028102316,(주)조양,조용상,분석,68730957,88.318,88.369,0.41961 (100.41961),11 9,2024/09/27 10:06:32,
5,6,1328138608,주식회사 서광기전,김광일,분석,68734830,88.323,88.374,0.42526 (100.42526),8 3,2024/10/02 17:41:43,
6,7,1078165583,주식회사동국일렉콘스,김교봉,분석,68741490,88.332,88.382,0.43499 (100.43499),9 13,2024/10/04 08:41:04,
7,8,1268660279,주식회사 국민이엠씨,박성순,분석,68824240,88.438,88.489,0.55590 (100.5559),3 5,2024/10/03 17:48:22,
8,9,1408131756,주식회사 엑스큐시스템,이기영,분석,68830530,88.446,88.497,0.56509 (100.56509),1 13,2024/09/30 11:48:58,
9,10,8278803206,주식회사 케이엠테크,서충원,분석,68852576,88.475,88.525,0.59730 (100.5973),7 15,2024/10/02 15:02:13,
10,11,1198170546,인프리콘 주식회사,김용곤,분석,68912340,88.551,88.602,0.68462 (100.68462),9 12,2024/10/02 15:01:13,
11,12,1378116138,신호시스템 주식회사,경원현,분석,68991996,88.654,88.704,0.80100 (100.801),8 15,2024/09/30 09:00:33,
12,13,1368108673,삼덕전기(주),이문수,분석,69012185,88.68,88.73,0.83049 (100.83049),8 7,2024/09/30 08:39:53,
13,14,1388174015,주식회사 수리이엔씨,정종구,분석,69396100,89.173,89.224,1.39141 (101.39141),5 14,2024/09/30 15:46:11,
14,15,1232861527,삼성계기공업,김진택,분석,73888000,94.945,94.999,7.95432 (107.95432),15 3,2024/10/02 16:14:42,
15,-1,2088602474,주식회사 네오비젼,홍혜영,분석,68443760,87.949,88.0,0.00000 (100),2 10,2024/09/27 19:07:42,낙찰하한선 미달
16,-2,6158700370,꿈동산장애인표준사업장 주식회사,권오현,분석,68389830,87.88,87.93,-0.07880 (99.9212),13 2,2024/10/02 14:05:49,낙찰하한선 미달
17,-3,1078151662,주식회사 한국스카다,이상옥,분석,68370180,87.855,87.905,-0.10751 (99.89249),2 11,2024/10/04 09:33:16,낙찰하한선 미달
18,-4,1078733822,엔에스하이텍 주식회사,김상준,분석,68344517,87.822,87.872,-0.14500 (99.855),6 8,2024/10/02 15:00:00,낙찰하한선 미달
19,-5,2188101953,주식회사 비츠로시스,이기재,분석,68181050,87.612,87.662,-0.38384 (99.61616),2 14,2024/10/02 10:06:50,낙찰하한선 미달
20,-6,8658801710,사회적협동조합 나라사랑,박향숙,분석,68082030,87.485,87.534,-0.52851 (99.47149),9 2,2024/09/30 15:58:54,낙찰하한선 미달
21,-7,2158629205,보은용사촌 주식회사,양운영,분석,68071600,87.471,87.521,-0.54375 (99.45625),15 6,2024/10/02 07:26:36,낙찰하한선 미달
22,-8,1345900621,맹가노니시스템,김경화,분석,67972867,87.344,87.394,-0.68800 (99.312),12 11,2024/10/02 17:05:18,낙찰하한선 미달
23,-9,1238615208,주식회사 맥스이엔씨,정태수,분석,67918455,87.274,87.324,-0.76750 (99.2325),3 4,2024/10/04 08:57:15,낙찰하한선 미달
24,-10,1198151253,경인계측시스템(주),전무송,분석,67887600,87.235,87.284,-0.81258 (99.18742),10 13,2024/09/30 15:30:50,낙찰하한선 미달
