순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
1,2068124123,(주)세양텔레콤,김한섭,분석,1843218511,86.335,86.407,-0.74220 (99.2578),5 7,2021/10/22 16:27:39,
2,1138635212,(주)아이제이일렉트론,김도형,분석,1843301300,86.339,86.411,-0.73771 (99.26229),14 3,2021/10/25 15:33:51,
3,1058625329,주식회사 윈미디텍,강명환,분석,1843345586,86.341,86.413,-0.73530 (99.2647),1 14,2021/10/25 13:46:10,
4,2118119938,주식회사 디비아이엔씨,강운식,분석,1843377355,86.343,86.415,-0.73358 (99.26642),1 8,2021/10/22 10:38:12,
5,1058645500,태지종합건설(주),박명호,분석,1843419260,86.345,86.417,-0.73130 (99.2687),15 7,2021/10/26 08:58:51,
6,1178119238,주식회사 동양네트워크,김종렬,분석,1843509495,86.35,86.421,-0.72640 (99.2736),13 7,2021/10/26 08:40:45,
7,2018147460,태성전기통신(주),이덕우,분석,1843515204,86.35,86.421,-0.72609 (99.27391),1 4,2021/10/25 12:58:57,
8,1198182149,유지텔레컴 주식회사,정우창,분석,1843525970,86.35,86.422,-0.72551 (99.27449),1 15,2021/10/25 14:53:47,
9,3988601370,주식회사 한통엔지니어링,장명수,분석,1843535278,86.351,86.422,-0.72500 (99.275),10 9,2021/10/19 15:31:51,
10,1018154491,엘케이테크넷(주),이만형,분석,1843544486,86.351,86.422,-0.72450 (99.2755),1 2,2021/10/22 13:24:00,
11,1208742187,주식회사 미소아이티,김재욱,분석,1843624970,86.355,86.426,-0.72013 (99.27987),11 8,2021/10/22 11:08:08,
12,1138175669,(주)용상전기통신,권혁기,분석,1843636570,86.356,86.427,-0.71950 (99.2805),12 3,2021/10/22 14:24:30,
13,1098166803,(주)아이앤씨파트너스,곽준철,분석,1843669720,86.358,86.428,-0.71770 (99.2823),15 6,2021/10/25 10:52:18,
14,2368701351,주식회사 한빛티엔에스,이광열,분석,1843779760,86.363,86.433,-0.71173 (99.28827),11 12,2021/10/21 15:50:19,
15,5568600996,주영전자통신 주식회사,임채열,분석,1843899927,86.369,86.439,-0.70521 (99.29479),2 7,2021/10/21 14:46:18,
16,1138148366,주식회사 레이어스,조인선,분석,1843942288,86.371,86.441,-0.70290 (99.2971),13 4,2021/10/25 09:48:01,
17,5088126648,주식회사 보명전설,황성수,분석,1843957020,86.372,86.442,-0.70210 (99.2979),2 7,2021/10/22 09:50:41,
18,1088179663,주식회사 시큐뱅크,심재춘,분석,1843995690,86.374,86.444,-0.70001 (99.29999),13 5,2021/10/22 11:35:47,
