순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
1,7298600518,주식회사 킴스앤,,분석,408053968,90.114,91.245,0.7703 (100.7703),1 15,2022/05/03 00:36:34,미심사
2,1088186937,(주)네오텔링크,,분석,408059011,90.115,91.246,0.7715 (100.7715),15 14,2022/05/02 15:00:09,미심사
3,1078724454,정일씨엔아이(주),,분석,408129930,90.132,91.262,0.7890 (100.789),15 1,2022/05/03 09:19:32,미심사
4,2028136990,(주)무궁화전자,,분석,408386870,90.191,91.32,0.8525 (100.8525),12 13,2022/05/02 07:51:03,미심사
5,2148823314,화인정보기술주식회사,,분석,408412013,90.197,91.325,0.8587 (100.8587),5 1,2022/05/02 18:06:48,미심사
6,2198106704,유복전기(주),,분석,408417075,90.198,91.326,0.8600 (100.86),15 6,2022/05/02 10:05:58,미심사
7,1198632979,성민전기 주식회사,,분석,408519000,90.222,91.349,0.8851 (100.8851),5 15,2022/05/02 15:39:00,미심사
8,1218140540,영현정보통신(주),,분석,408519698,90.222,91.349,0.8853 (100.8853),6 1,2022/05/03 08:59:05,미심사
9,2188117964,(주)투윈스컴,,분석,408570910,90.234,91.361,0.8980 (100.898),7 11,2022/05/02 06:52:41,미심사
10,2038143228,백영전자 주식회사(白榮電子 株式會社),,분석,408711990,90.267,91.392,0.9328 (100.9328),12 10,2022/04/29 20:29:31,미심사
11,1058153698,진우산전(주),,분석,408717695,90.268,91.394,0.9342 (100.9342),7 15,2022/05/02 17:39:53,미심사
12,1188111452,동화전자산업(주),,분석,408751100,90.276,91.401,0.9424 (100.9424),8 4,2022/05/02 08:24:51,미심사
13,2148188924,우민전기(주),,분석,408868910,90.303,91.427,0.9715 (100.9715),10 7,2022/05/02 13:58:39,미심사
14,2138633042,바른인포테크(주),,분석,409019500,90.338,91.461,1.0087 (101.0087),15 6,2022/05/02 09:51:59,미심사
15,2148107988,(주)서울정보시스템,,분석,409247149,90.391,91.512,1.0649 (101.0649),13 2,2022/04/30 05:35:08,미심사
16,5908102247,주식회사 넥스톤,,분석,409367200,90.419,91.539,1.0946 (101.0946),1 7,2022/05/02 09:50:41,미심사
17,1048800071,주식회사 대광사업단,,분석,410198342,90.612,91.725,1.2999 (101.2999),14 7,2022/05/02 20:57:53,미심사
18,2068172829,한사랑엔지니어링 주식회사,,분석,411275900,90.862,91.966,1.5660 (101.566),13 14,2022/04/29 11:30:57,미심사
19,1028132281,현대씨앤알 주식회사,,분석,413200500,91.309,92.396,2.0412 (102.0412),5 1,2022/05/02 16:56:57,미심사
20,2068213088,사단법인장애인동반성장협회,,분석,413232020,91.316,92.403,2.0490 (102.049),5 7,2022/05/03 09:07:16,미심사
21,1138611622,(주)이담에스티,,분석,413354460,91.344,92.43,2.0793 (102.0793),14 2,2022/05/02 08:13:17,미심사
