순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
1,2078127900,합동전자통신(주)  [최종낙찰],하명용,분석,114931670,87.753,89.049,0.81159 (100.81159),11 2,2023/09/27 13:47:52,
2,1058133654,백상코퍼레이션(주),김중권,분석,114936000,87.756,89.052,0.81542 (100.81542),2 14,2023/09/27 10:52:27,
3,1128601228,주식회사 성동아이앤티,홍성원,분석,114945941,87.764,89.06,0.82419 (100.82419),8 1,2023/10/02 15:06:16,
4,2041077930,라인월드정보,박선양,분석,114946281,87.765,89.06,0.82449 (100.82449),12 4,2023/10/04 09:44:58,
5,2108131394,(주)안나시스템,문병조,분석,114949600,87.767,89.063,0.82743 (100.82743),11 7,2023/09/30 11:16:36,
6,2208180951,엘지정보기술(주),엄태원,분석,114954775,87.771,89.067,0.83200 (100.832),4 13,2023/09/27 10:10:50,
7,2098139213,(주)뉴타운전력,박형우,분석,114961004,87.776,89.072,0.83750 (100.8375),2 3,2023/10/03 23:49:11,
8,1188111452,동화전자산업(주),김종화,분석,114962100,87.777,89.072,0.83846 (100.83846),5 6,2023/10/04 08:24:55,
9,2178121937,부광이앤씨 주식회사,정동국,분석,114967572,87.782,89.077,0.84330 (100.8433),11 5,2023/09/27 10:05:49,
10,1018663767,비케이전기통신 주식회사,유봉근,분석,114970520,87.784,89.079,0.84590 (100.8459),10 11,2023/10/04 08:58:42,
11,2117299696,성원전자통신,성기신,분석,114989200,87.799,89.093,0.86239 (100.86239),14 6,2023/10/03 18:27:49,
12,5298100062,주식회사 알에프코리아,신현성,분석,114989320,87.799,89.093,0.86250 (100.8625),2 4,2023/10/04 09:19:43,
13,1408138536,주)파인솔라,이태동,분석,114993166,87.802,89.096,0.86590 (100.8659),4 2,2023/09/27 16:07:17,
14,4318600057,주식회사 엘제이텍,임재우,분석,114996347,87.805,89.099,0.86870 (100.8687),15 3,2023/09/27 11:18:48,
15,1058641085,(주)에스엠전력,김동율,분석,115003914,87.811,89.105,0.87539 (100.87539),15 14,2023/09/27 11:07:36,
16,1108185057,(주)제이에스넷시스템,이상철,분석,115021025,87.825,89.118,0.89050 (100.8905),8 9,2023/10/04 09:23:16,
17,1248177371,디비비전(주),이영달,분석,115021539,87.825,89.118,0.89095 (100.89095),6 9,2023/09/27 11:22:04,
18,6558701528,(주)스마트정보기술,박성애,분석,115026574,87.829,89.122,0.89539 (100.89539),4 12,2023/09/27 14:47:44,
19,3628700817,씨큐리티 주식회사,공승길,분석,115034049,87.835,89.128,0.90200 (100.902),7 3,2023/09/27 10:05:55,
20,2188114856,서교정보통신(주),김기설,분석,115045100,87.844,89.137,0.91175 (100.91175),10 2,2023/09/27 20:42:59,
21,2158637350,(주)주은정보시스템,이명열,분석,115048205,87.847,89.139,0.91450 (100.9145),13 12,2023/10/04 09:04:46,
22,3128196859,주식회사 가델,김정민,분석,115063100,87.859,89.151,0.92765 (100.92765),4 3,2023/09/27 21:36:33,
23,1088179135,주왕전기통신(주),권이길,분석,115069150,87.864,89.155,0.93299 (100.93299),11 9,2023/09/27 10:06:16,
24,2028159713,거산음향통신(주),김기만,분석,115074300,87.868,89.159,0.93754 (100.93754),7 9,2023/09/27 10:55:38,
25,1198658528,진솔이앤에스 주식회사,김정현,분석,115088872,87.88,89.171,0.95041 (100.95041),9 3,2023/10/04 09:11:51,
26,1138163917,백두전기통신(주),장철,분석,115093051,87.883,89.174,0.95410 (100.9541),1 6,2023/10/03 22:12:09,
27,1058714080,(주) 한일이앤에스,박완교,분석,115101771,87.89,89.181,0.96180 (100.9618),3 10,2023/09/27 10:56:44,
28,1078636517,주식회사 국일이앤씨,서남석,분석,115113723,87.9,89.19,0.97235 (100.97235),14 12,2023/10/01 09:22:50,
29,2148104884,두원이에프씨 주식회사,황운천,분석,115181045,87.954,89.242,1.03180 (101.0318),2 5,2023/09/27 11:04:20,
30,1068143494,합자회사 화인에스앤컴퍼니,장주용,분석,115181380,87.954,89.242,1.03209 (101.03209),15 3,2023/10/04 09:39:45,
31,1100668347,민성정보통신,김영익,분석,115197580,87.967,89.255,1.04640 (101.0464),3 4,2023/10/04 09:21:29,
32,2108138572,주식회사 디와이엔텍,임형두,분석,115216499,87.983,89.269,1.06310 (101.0631),1 12,2023/10/04 09:22:45,
33,1068682075,주식회사 세이프원,이명근,분석,115218540,87.984,89.271,1.06490 (101.0649),9 4,2023/10/04 09:31:25,
34,1078784831,대성엔에스주식회사,전현순,분석,115238292,88.0,89.286,1.08235 (101.08235),4 15,2023/09/27 14:03:46,
35,1058199938,삼호전자통신(주),이경희,분석,115241520,88.003,89.289,1.08520 (101.0852),13 14,2023/10/04 09:49:41,
36,1708601068,주식회사 와이비정보시스템,정영배,분석,115246720,88.007,89.293,1.08979 (101.08979),11 10,2023/10/04 09:41:59,
37,2068172829,한사랑엔지니어링 주식회사,권갑순,분석,115291300,88.043,89.327,1.12915 (101.12915),9 7,2023/09/27 16:36:43,
38,2048188475,주식회사 오파스넷,장수현,분석,115321930,88.068,89.351,1.15620 (101.1562),10 12,2023/10/04 09:26:25,
39,1098651964,셀코정보기술 주식회사,권영용,분석,115344010,88.086,89.368,1.17570 (101.1757),14 12,2023/10/04 08:05:00,
40,2068184529,(주)네오티엔씨,조정현,분석,115355570,88.095,89.377,1.18590 (101.1859),4 9,2023/09/27 13:40:47,
41,1978600685,주식회사 에스에이텍,남기출,분석,115371530,88.108,89.39,1.20000 (101.2),4 5,2023/10/04 09:17:38,
42,2038143228,백영전자 주식회사(白榮電子 株式會社),임대순,분석,115470110,88.187,89.466,1.28704 (101.28704),12 5,2023/09/29 07:36:23,
43,1298104500,주식회사 상지카일룸,김영신,분석,115497350,88.209,89.487,1.31110 (101.3111),13 6,2023/09/27 10:55:54,
44,2068601047,왕건전기 주식회사,한미라,분석,115509799,88.22,89.497,1.32209 (101.32209),10 5,2023/10/04 07:48:05,
45,1078104441,진화전기(주),문충모,분석,115600404,88.293,89.567,1.40210 (101.4021),2 8,2023/09/27 15:54:48,
46,1148639981,(주)태영에스엔에스,박태건,분석,115623187,88.311,89.585,1.42221 (101.42221),11 1,2023/10/04 07:09:36,
47,1138194929,주식회사 위피아,김용연,분석,115765430,88.426,89.695,1.54782 (101.54782),13 5,2023/10/04 09:11:47,
48,2058126341,종합전기 주식회사,김유훈,분석,115807081,88.46,89.727,1.58459 (101.58459),11 14,2023/10/04 08:23:39,
49,1198151253,경인계측시스템(주),전무송,분석,123865000,94.965,95.97,8.69986 (108.69986),1 13,2023/09/27 12:46:14,
50,4188155516,아이피119정보통신 주식회사,김영수,분석,20230929632,16328.0822,15674.968,17763.55515 (17863.55515),1 8,2023/09/27 10:03:04,예가초과
-1,2158690656,금성통신건설(주),윤영신,분석,114919870,87.743,89.04,0.80117 (100.80117),1 12,2023/10/04 09:37:44,낙찰하한선 미달
-2,1318174028,"주식회사 에이치케이 (HK Co., Ltd.)",장해각,분석,114916229,87.74,89.037,0.79796 (100.79796),5 1,2023/09/27 10:03:46,낙찰하한선 미달
-3,2208895263,주식회사 필립이엔씨,임혜란,분석,114915704,87.74,89.036,0.79749 (100.79749),12 6,2023/10/04 08:58:00,낙찰하한선 미달
-4,1208802896,주식회사 라임에스엔씨,김종훈,분석,114901770,87.729,89.026,0.78519 (100.78519),7 9,2023/09/27 10:32:10,낙찰하한선 미달
-5,1198195493,주식회사 인텍하우징,심인석,분석,114898943,87.726,89.023,0.78269 (100.78269),10 14,2023/10/03 21:29:00,낙찰하한선 미달
-6,1068606683,로버무트 주식회사,송태하,분석,114895604,87.724,89.021,0.77975 (100.77975),8 9,2023/09/27 10:43:05,낙찰하한선 미달
-7,3238801633,동부엔텍 주식회사,류광성,분석,114881730,87.712,89.01,0.76750 (100.7675),7 8,2023/10/04 08:37:34,낙찰하한선 미달
-8,2148188924,우민전기(주),이학표,분석,114865876,87.7,88.998,0.75350 (100.7535),11 1,2023/09/27 10:01:08,낙찰하한선 미달
-9,1148714916,주식회사 알앤씨미디어,오창석,분석,114852100,87.689,88.987,0.74133 (100.74133),5 1,2023/10/02 10:26:46,낙찰하한선 미달
-10,2188117533,이피코리아(주),배문찬,분석,114850020,87.687,88.986,0.73949 (100.73949),9 10,2023/10/04 08:43:41,낙찰하한선 미달
-11,1018154598,씨엔에스코리아(주),유호태,분석,114846765,87.684,88.983,0.73662 (100.73662),6 8,2023/10/04 07:36:34,낙찰하한선 미달
-12,1068180878,주식회사 신보,정재문,분석,114845650,87.683,88.982,0.73564 (100.73564),15 8,2023/10/04 08:47:24,낙찰하한선 미달
-13,1108140593,(주)대건이엔씨,이황희,분석,114836690,87.676,88.975,0.72772 (100.72772),10 3,2023/09/27 10:14:01,낙찰하한선 미달
-14,1068619761,(주) 한걸음정보통신,정진원,분석,114833033,87.673,88.972,0.72450 (100.7245),6 2,2023/09/27 10:16:52,낙찰하한선 미달
-15,1118124994,오리엔트주식회사,이경호,분석,114826900,87.668,88.968,0.71908 (100.71908),11 6,2023/10/04 08:43:17,낙찰하한선 미달
-16,2011497895,정우이앤씨,유동환,분석,114813396,87.657,88.957,0.70716 (100.70716),12 5,2023/09/27 10:50:16,낙찰하한선 미달
-17,2148619102,유석산업(주),최현호,분석,114810304,87.655,88.955,0.70443 (100.70443),6 14,2023/10/04 08:56:05,낙찰하한선 미달
-18,1068681756,주식회사 융창,이재진,분석,114807500,87.653,88.953,0.70195 (100.70195),14 10,2023/09/27 11:22:36,낙찰하한선 미달
-19,1138618789,이노뎁(주),이성진,분석,114802600,87.649,88.949,0.69762 (100.69762),9 2,2023/09/27 15:41:23,낙찰하한선 미달
-20,2108124739,(주)한성기술개발,서창식,분석,114802230,87.648,88.949,0.69730 (100.6973),13 4,2023/09/27 22:33:27,낙찰하한선 미달
-21,3218602097,(주)태연정보,김영태,분석,114798000,87.645,88.945,0.69356 (100.69356),15 12,2023/10/03 18:34:35,낙찰하한선 미달
-22,1198178757,주식회사우신아이앤씨,이화세,분석,114797250,87.644,88.945,0.69290 (100.6929),9 1,2023/09/27 14:29:57,낙찰하한선 미달
-23,1148642486,주식회사 큐브정보통신,유봉수,분석,114794800,87.642,88.943,0.69073 (100.69073),7 2,2023/09/27 12:56:36,낙찰하한선 미달
-24,1408177811,주식회사 네오비젼,유정식,분석,114791300,87.639,88.94,0.68764 (100.68764),4 5,2023/09/27 10:03:53,낙찰하한선 미달
-25,1108175433,승림이앤씨(주),박기철,분석,114791130,87.639,88.94,0.68749 (100.68749),1 11,2023/10/04 08:58:44,낙찰하한선 미달
-26,1018651785,주식회사 청심아이티,김재균,분석,114783500,87.633,88.934,0.68076 (100.68076),4 10,2023/10/04 09:04:54,낙찰하한선 미달
-27,2200459632,하나정보통신,현광섭,분석,114780939,87.631,88.932,0.67850 (100.6785),3 9,2023/09/27 10:03:35,낙찰하한선 미달
-28,1198130210,(주)와이드넷엔지니어링,이맹훈,분석,114780712,87.631,88.932,0.67829 (100.67829),1 12,2023/09/27 14:57:39,낙찰하한선 미달
-29,1138645971,주식회사 포딕스시스템,정재호,분석,114780110,87.63,88.931,0.67776 (100.67776),9 5,2023/10/04 09:36:20,낙찰하한선 미달
-30,2148626132,(주)오버넷,신창호,분석,114780000,87.63,88.931,0.67767 (100.67767),7 15,2023/10/04 08:56:37,낙찰하한선 미달
-31,1128118909,(주)한일종합산업,박응석,분석,114776410,87.627,88.929,0.67450 (100.6745),3 13,2023/10/04 09:48:16,낙찰하한선 미달
-32,2098122745,새결정보통신(주),고성진,분석,114775300,87.627,88.928,0.67352 (100.67352),2 14,2023/09/27 13:42:12,낙찰하한선 미달
-33,1098610416,(주)네시비스,이은섭,분석,114772200,87.624,88.925,0.67078 (100.67078),3 2,2023/09/27 10:45:17,낙찰하한선 미달
-34,2148180640,(주)남인정보통신,김남호,분석,114770442,87.623,88.924,0.66923 (100.66923),3 2,2023/09/27 13:59:42,낙찰하한선 미달
-35,1188111020,주식회사 한영씨앤이,박대서,분석,114768700,87.621,88.923,0.66769 (100.66769),7 10,2023/09/27 10:35:50,낙찰하한선 미달
-36,1118101759,신원전설(주),심한섭,분석,114766330,87.619,88.921,0.66560 (100.6656),11 6,2023/10/04 09:14:09,낙찰하한선 미달
-37,2118774990,(주)제이에프텍,김중규,분석,114764000,87.617,88.919,0.66354 (100.66354),11 13,2023/09/27 11:41:30,낙찰하한선 미달
-38,1018197466,주식회사콤위즈,정윤권,분석,114762800,87.616,88.918,0.66248 (100.66248),3 4,2023/09/27 10:44:55,낙찰하한선 미달
-39,2148620797,(주)세인씨앤씨,조정화,분석,114760800,87.615,88.916,0.66071 (100.66071),13 4,2023/09/27 10:01:19,낙찰하한선 미달
-40,1058792785,주식회사 신석,김민경,분석,114758180,87.613,88.914,0.65840 (100.6584),5 10,2023/09/27 15:56:04,낙찰하한선 미달
-41,2078141917,합자회사 대성전업상사,권기원,분석,114756950,87.612,88.913,0.65731 (100.65731),10 12,2023/09/27 10:25:02,낙찰하한선 미달
-42,1078805018,주식회사 지엔아이테크,박우정,분석,114755160,87.61,88.912,0.65573 (100.65573),14 13,2023/09/27 14:05:05,낙찰하한선 미달
-43,2048161869,(주)근영이엔씨,이성영,분석,114754653,87.61,88.912,0.65528 (100.65528),10 11,2023/09/27 13:00:13,낙찰하한선 미달
-44,4178600013,블랙썬 주식회사,이희부,분석,114753760,87.609,88.911,0.65450 (100.6545),4 3,2023/10/04 09:05:36,낙찰하한선 미달
-45,1028135124,현대에이치디에스(주),이철규,분석,114752700,87.608,88.91,0.65356 (100.65356),11 4,2023/09/27 15:01:21,낙찰하한선 미달
-46,2108156959,두레에스텍 주식회사,유의근,분석,114752200,87.608,88.91,0.65312 (100.65312),7 10,2023/10/04 09:11:14,낙찰하한선 미달
-47,2208735083,주식회사 강남전기공사,나중안,분석,114746625,87.603,88.905,0.64820 (100.6482),14 1,2023/09/27 10:30:52,낙찰하한선 미달
-48,2208104161,대신정보기술 주식회사,이광호,분석,114746000,87.603,88.905,0.64764 (100.64764),11 8,2023/10/04 07:02:26,낙찰하한선 미달
-48,5598700333,주식회사 제이투디앤티,김세환,분석,114746000,87.603,88.905,0.64764 (100.64764),8 13,2023/09/27 12:26:25,낙찰하한선 미달
-50,1018126108,(주)일능,심금자,분석,114741400,87.599,88.901,0.64358 (100.64358),9 12,2023/10/04 09:00:56,낙찰하한선 미달
-51,2148107988,(주)서울정보시스템,이문현,분석,114739560,87.598,88.9,0.64196 (100.64196),14 1,2023/09/27 10:40:57,낙찰하한선 미달
-52,3388801483,주식회사 에버그린티앤씨,최재완,분석,114738200,87.597,88.899,0.64076 (100.64076),6 5,2023/10/04 09:22:35,낙찰하한선 미달
-53,2118716291,(주)유토닉스,박찬호,분석,114734700,87.594,88.896,0.63767 (100.63767),2 10,2023/09/27 19:39:51,낙찰하한선 미달
-54,1128152663,한국아이디정보(주),송찬호,분석,114731790,87.591,88.894,0.63510 (100.6351),9 15,2023/10/04 08:43:25,낙찰하한선 미달
-55,1138131356,중원기전(주),김창중,분석,114730630,87.59,88.893,0.63407 (100.63407),15 9,2023/09/27 10:30:43,낙찰하한선 미달
-56,1198618088,주식회사 하이넷 네트웍스,김동순,분석,114730000,87.59,88.893,0.63352 (100.63352),8 1,2023/10/04 09:15:31,낙찰하한선 미달
-57,1738100419,주식회사 아이즈온솔루션,김보현,분석,114726580,87.587,88.89,0.63050 (100.6305),13 10,2023/09/27 10:30:23,낙찰하한선 미달
-58,1018154491,엘케이테크넷(주),이만형,분석,114723749,87.585,88.888,0.62800 (100.628),8 4,2023/10/04 09:28:49,낙찰하한선 미달
-59,2298109203,(주)테스콤엔지니어링,박영복,분석,114723700,87.585,88.888,0.62795 (100.62795),10 14,2023/09/27 10:56:11,낙찰하한선 미달
-60,1058649262,주식회사 노하우전기통신,임창배,분석,114723400,87.585,88.887,0.62769 (100.62769),15 3,2023/09/27 10:43:50,낙찰하한선 미달
-61,1298137942,주식회사 자이온티앤에스,예용기,분석,114719785,87.582,88.885,0.62450 (100.6245),5 9,2023/09/27 10:17:35,낙찰하한선 미달
-62,1078724454,정일씨엔아이(주),유지봉,분석,114718700,87.581,88.884,0.62354 (100.62354),15 3,2023/09/27 11:13:42,낙찰하한선 미달
-63,2037683508,우리통신네트워크,김만수,분석,114714915,87.578,88.881,0.62020 (100.6202),15 9,2023/10/03 01:16:35,낙찰하한선 미달
-64,1178188899,주식회사 시큐렉스,최영희,분석,114712000,87.575,88.879,0.61762 (100.61762),14 2,2023/09/27 10:18:49,낙찰하한선 미달
-65,1068178635,(주)지아이테크놀러지,홍영우,분석,114707400,87.572,88.875,0.61356 (100.61356),10 5,2023/09/27 14:02:56,낙찰하한선 미달
-66,2018162836,(주)선전력시스템,임철학,분석,114704200,87.569,88.873,0.61073 (100.61073),10 5,2023/10/01 16:11:20,낙찰하한선 미달
-67,7128701175,주식회사 미미엔지니어링,김진희,분석,114700700,87.566,88.87,0.60764 (100.60764),10 8,2023/09/27 11:38:10,낙찰하한선 미달
-68,2158735193,주식회사 시너젠,윤금란,분석,114697140,87.563,88.867,0.60450 (100.6045),1 15,2023/09/27 15:13:31,낙찰하한선 미달
-69,2298125412,스크린정보통신(주),조승제,분석,114696100,87.563,88.866,0.60358 (100.60358),9 4,2023/09/27 14:23:48,낙찰하한선 미달
-70,1078651497,모바일파킹 유한회사,김중근,분석,114692900,87.56,88.864,0.60076 (100.60076),7 15,2023/09/27 10:01:09,낙찰하한선 미달
-71,2148105563,(주)인성이엔씨,김규만,분석,114684905,87.554,88.858,0.59370 (100.5937),4 14,2023/09/27 15:47:30,낙찰하한선 미달
-72,2158726791,(주)21세기정보기술,송채현,분석,114674825,87.545,88.85,0.58479 (100.58479),7 2,2023/09/27 18:24:37,낙찰하한선 미달
-73,1218140540,영현정보통신(주),김두식,분석,114668454,87.54,88.845,0.57917 (100.57917),11 2,2023/10/04 09:24:44,낙찰하한선 미달
-74,5258602705,(주)세화 텔링크,이옥임,분석,114665480,87.538,88.843,0.57654 (100.57654),11 10,2023/09/27 13:20:49,낙찰하한선 미달
-75,1198682431,(주)대경시스텍,반기수,분석,114663387,87.536,88.841,0.57470 (100.5747),11 15,2023/09/27 11:04:07,낙찰하한선 미달
-76,2298126804,주식회사엔엠엑스이엔씨,이동윤,분석,114660216,87.534,88.838,0.57190 (100.5719),11 13,2023/09/27 10:16:07,낙찰하한선 미달
-77,1138139080,(주)성강통신기술사사무소,안치영,분석,114659870,87.533,88.838,0.57159 (100.57159),8 12,2023/09/27 12:30:17,낙찰하한선 미달
-78,6378801279,주식회사정암정보통신,조강수,분석,114653760,87.528,88.833,0.56619 (100.56619),3 4,2023/10/04 08:21:28,낙찰하한선 미달
-79,2158197601,주식회사 알파시큐넷,진승화,분석,114648670,87.524,88.83,0.56170 (100.5617),15 2,2023/10/04 09:19:02,낙찰하한선 미달
-80,2120549052,태성통신,최재석,분석,114642697,87.519,88.825,0.55643 (100.55643),12 11,2023/10/03 18:52:45,낙찰하한선 미달
-81,1138132447,태진정보통신(주),정태수,분석,114642663,87.519,88.825,0.55640 (100.5564),10 8,2023/09/27 10:15:46,낙찰하한선 미달
-82,1138636870,주식회사 나우시스템,이종한,분석,114641920,87.519,88.824,0.55574 (100.55574),2 13,2023/10/04 08:38:41,낙찰하한선 미달
-83,2048119395,(주)신해전기건설,이세윤,분석,114639000,87.516,88.822,0.55316 (100.55316),5 7,2023/10/04 08:59:58,낙찰하한선 미달
-84,2208106252,주식회사 중선아이티씨,김학선,분석,114638400,87.516,88.822,0.55263 (100.55263),11 6,2023/09/27 11:47:33,낙찰하한선 미달
-85,2158164599,앤에스씨정보시스템(주),한만영,분석,114634509,87.513,88.819,0.54920 (100.5492),11 12,2023/10/04 09:21:11,낙찰하한선 미달
-86,1148190678,주식회사 에드원,김춘걸,분석,114629000,87.508,88.814,0.54433 (100.54433),15 10,2023/10/04 09:56:01,낙찰하한선 미달
-87,1058628520,주식회사 파크로,최윤영,분석,114628394,87.508,88.814,0.54380 (100.5438),7 13,2023/10/04 09:23:40,낙찰하한선 미달
-88,1068674463,주식회사 리번드,임성일,분석,114623140,87.504,88.81,0.53916 (100.53916),3 10,2023/09/27 10:24:28,낙찰하한선 미달
-89,1068180183,보람정보통신서비스(주),정승원,분석,114617300,87.499,88.805,0.53400 (100.534),15 10,2023/09/27 22:58:33,낙찰하한선 미달
-90,2068679088,(주)한맥아이티,최예니,분석,114615030,87.497,88.803,0.53200 (100.532),4 3,2023/09/27 11:55:32,낙찰하한선 미달
-91,2178143187,(주)미디어밸리렛,전필숙,분석,114614917,87.497,88.803,0.53190 (100.5319),12 14,2023/09/27 11:31:33,낙찰하한선 미달
-92,2068694508,주식회사 웰정보기술,강희춘,분석,114608300,87.492,88.798,0.52605 (100.52605),11 14,2023/10/04 08:57:35,낙찰하한선 미달
-93,2148631445,주식회사 우리엔아이에스,백창준,분석,114606876,87.491,88.797,0.52479 (100.52479),12 7,2023/09/27 11:23:55,낙찰하한선 미달
-94,1208163439,(주)아이엘에스씨,이병준,분석,114606536,87.49,88.797,0.52449 (100.52449),3 5,2023/10/04 08:15:05,낙찰하한선 미달
-95,1108155382,(주)굿채널시스템,백홍현,분석,114605744,87.49,88.796,0.52380 (100.5238),6 8,2023/09/27 11:23:01,낙찰하한선 미달
-96,1108190583,키오스크코리아 주식회사,송희석,분석,114605740,87.49,88.796,0.52379 (100.52379),1 2,2023/10/04 08:38:19,낙찰하한선 미달
-97,1098162433,광명정보통신 주식회사,김형준,분석,114604951,87.489,88.796,0.52310 (100.5231),2 3,2023/10/04 09:25:36,낙찰하한선 미달
-98,4538100144,주식회사 파란아이티,성기빈,분석,114604840,87.489,88.796,0.52300 (100.523),4 7,2023/10/04 09:25:39,낙찰하한선 미달
-99,1108130339,(주)기양상사,조효진,분석,114604385,87.489,88.795,0.52260 (100.5226),9 15,2023/09/27 10:03:36,낙찰하한선 미달
-100,2148670792,(주)토마토시스템,이상돈,분석,114600910,87.486,88.793,0.51953 (100.51953),10 5,2023/09/27 13:07:36,낙찰하한선 미달
-101,4098163161,(주)동우커뮤니케이션,송준성,분석,114600600,87.485,88.792,0.51925 (100.51925),14 10,2023/10/04 09:00:11,낙찰하한선 미달
-102,6078616291,케이시스 주식회사,김중섭,분석,114600000,87.485,88.792,0.51872 (100.51872),5 7,2023/09/27 16:38:07,낙찰하한선 미달
-103,4028141375,주식회사 이레유비크,박임철,분석,114597364,87.483,88.79,0.51640 (100.5164),12 7,2023/09/27 13:07:01,낙찰하한선 미달
-104,1208637260,에스피케이인크 주식회사,박성빈,분석,114594783,87.481,88.788,0.51412 (100.51412),3 2,2023/10/04 09:15:36,낙찰하한선 미달
-105,1108194750,주식회사 씨큐넷,하준균,분석,114588570,87.476,88.783,0.50863 (100.50863),5 2,2023/10/04 08:56:23,낙찰하한선 미달
-106,2148619081,주식회사 유신테크,김용근,분석,114578451,87.468,88.775,0.49970 (100.4997),3 1,2023/09/27 10:59:27,낙찰하한선 미달
-107,2148840477,주식회사 알비에스테크,김동헌,분석,114577430,87.467,88.774,0.49879 (100.49879),2 12,2023/10/04 08:03:06,낙찰하한선 미달
-108,1778800569,주식회사 유원이씨에스,유명종,분석,114575631,87.465,88.773,0.49721 (100.49721),5 1,2023/10/04 08:38:25,낙찰하한선 미달
-109,2158768879,주식회사 에이치씨인포,김경운,분석,114571230,87.462,88.77,0.49332 (100.49332),11 10,2023/10/04 09:32:21,낙찰하한선 미달
-110,1108609224,주식회사 두루스코,김옥연,분석,114570105,87.461,88.769,0.49233 (100.49233),15 11,2023/09/27 13:36:15,낙찰하한선 미달
-111,1198153493,(주)경성네트웍,편해용,분석,114570070,87.461,88.769,0.49229 (100.49229),5 14,2023/09/27 13:12:27,낙찰하한선 미달
-112,1058688514,(주)엠티에스정보기술,신현준,분석,114569600,87.46,88.768,0.49188 (100.49188),12 13,2023/09/27 14:10:04,낙찰하한선 미달
-113,4568800195,주식회사 동부코리아통신,윤미옥,분석,114567120,87.458,88.766,0.48969 (100.48969),13 8,2023/10/04 08:41:42,낙찰하한선 미달
-114,1068184554,(주)송화전기통신,고진홍,분석,114566900,87.458,88.766,0.48950 (100.4895),12 9,2023/10/04 09:31:45,낙찰하한선 미달
-115,1068611721,우리보안 주식회사,이명재,분석,114565768,87.457,88.765,0.48850 (100.4885),9 1,2023/10/04 08:56:35,낙찰하한선 미달
