,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
0,1,4898601318,주식회사 이건전기통신,김병선,분석,4712000000,85.496,85.598,-0.85951 (99.14049),13 3,2024/07/24 19:09:40,낙찰
1,2,1228181471,하나이티에프 주식회사,오승명,분석,4712108540,85.498,85.6,-0.85720 (99.1428),10 4,2024/07/23 17:13:47,
2,3,6088133473,아라정보통신 주식회사,김덕주,분석,4712565000,85.507,85.608,-0.84751 (99.15249),3 8,2024/07/23 17:16:42,
3,4,1358193293,단일전력주식회사,차영호,분석,4712847429,85.513,85.613,-0.84150 (99.1585),2 8,2024/07/24 09:00:10,
4,5,5028170641,세움전기 주식회사,김진태,분석,4712850723,85.513,85.613,-0.84144 (99.15856),14 2,2024/07/24 17:21:42,
5,6,2248130166,유비텔레콤 주식회사,이연점,분석,4713040388,85.517,85.617,-0.83740 (99.1626),6 7,2024/07/24 12:52:05,
6,7,1408112986,코넷 주식회사,이재주,분석,4713534550,85.526,85.626,-0.82690 (99.1731),12 2,2024/07/22 13:38:15,
7,8,1258181577,주식회사 디티,김윤헌,분석,4713800000,85.531,85.631,-0.82126 (99.17874),1 5,2024/07/23 17:54:39,
8,9,1068669669,(주)일광통신,이병일,분석,4715375800,85.562,85.659,-0.78778 (99.21222),11 6,2024/07/19 06:30:18,
9,10,1348169825,주식회사 포스텍,윤석원,분석,4716127960,85.577,85.673,-0.77180 (99.2282),13 9,2024/07/25 08:45:05,
10,11,4188107799,(유)광명통신,김정웅,분석,4716631200,85.586,85.682,-0.76111 (99.23889),13 8,2024/07/23 17:09:45,
11,12,3148165629,(주)충청넷,최종출,분석,4716639650,85.587,85.682,-0.76093 (99.23907),3 9,2024/07/23 13:56:03,
12,13,3148800979,주식회사 멀티스퀘어,정승원,분석,4716946610,85.593,85.688,-0.75441 (99.24559),10 14,2024/07/18 13:28:38,
13,14,5888801225,주식회사 파이더스,주은경,분석,4717157452,85.597,85.692,-0.74993 (99.25007),13 8,2024/07/22 09:57:20,
14,15,4088104214,(주)광영이엠씨,심판구,분석,4717170000,85.597,85.692,-0.74966 (99.25034),1 5,2024/07/24 15:32:17,
15,16,3013054406,신우아이앤에스,최원기,분석,4717271354,85.599,85.694,-0.74750 (99.2525),14 7,2024/07/23 09:37:14,
16,17,2208865207,주식회사 소나텍,최성욱,분석,4717430192,85.602,85.697,-0.74413 (99.25587),14 2,2024/07/23 17:27:12,
17,18,5828602902,(주) 천지정보통신,김재현,분석,4717469000,85.603,85.697,-0.74331 (99.25669),10 14,2024/07/23 18:13:46,
18,19,3848700549,주식회사 길네트웍스,박상길,분석,4717516080,85.604,85.698,-0.74231 (99.25769),10 3,2024/07/24 13:46:58,
19,20,1298600983,대주씨앤에스 주식회사,이종원,분석,4718005538,85.613,85.707,-0.73190 (99.2681),12 2,2024/07/18 16:30:31,
20,21,1078614153,알에스전기통신(주),장현순,분석,4718273800,85.618,85.712,-0.72620 (99.2738),15 5,2024/07/23 10:33:18,
21,22,3118117318,주식회사 시온,조영호,분석,4718294950,85.619,85.712,-0.72576 (99.27424),3 7,2024/07/24 15:21:17,
22,23,4158139045,주식회사옥주전력,정낙원,분석,4718471461,85.622,85.716,-0.72201 (99.27799),1 11,2024/07/24 14:44:14,
23,24,6218601891,(주)온누리텔레콤,이지혜,분석,4719386837,85.64,85.732,-0.70256 (99.29744),12 14,2024/07/24 13:54:28,
24,25,3058123509,중앙통신 주식회사,한의동,분석,4719412722,85.641,85.733,-0.70200 (99.298),11 12,2024/07/22 07:56:57,
25,26,5158108411,동일통신 주식회사,황보유,분석,4720314000,85.658,85.749,-0.68285 (99.31715),1 11,2024/07/23 13:14:34,
26,27,4098177796,(주)오성정보통신,이만선,분석,4720330000,85.658,85.749,-0.68251 (99.31749),11 8,2024/07/24 17:19:14,
27,28,5288600574,주식회사 씨디에프,홍성호,분석,4720547000,85.663,85.753,-0.67790 (99.3221),1 10,2024/07/23 13:50:56,
28,29,2141167760,세기정보통신,송재홍,분석,4720678720,85.665,85.756,-0.67510 (99.3249),12 5,2024/07/22 15:46:46,
29,30,6091953586,FT MARINE,강세호,분석,4720815200,85.668,85.758,-0.67221 (99.32779),12 2,2024/07/23 11:15:16,
30,31,6068607431,(주)광일정보시스템,박은주,분석,4721524910,85.682,85.771,-0.65713 (99.34287),13 4,2024/07/23 16:20:10,
31,32,3148193654,한일통신 주식회사,강창선,분석,4721563500,85.682,85.772,-0.65631 (99.34369),12 2,2024/07/24 13:48:07,
32,33,5038605245,주식회사 대륜통신,김병선,분석,4721619980,85.684,85.773,-0.65510 (99.3449),11 5,2024/07/24 00:17:13,
33,34,2158133077,오티씨 주식회사,김희언,분석,4721751755,85.686,85.775,-0.65230 (99.3477),3 5,2024/07/19 17:56:36,
34,35,3498801353,주식회사 삼신정보통신,안승현,분석,4721961775,85.69,85.779,-0.64784 (99.35216),10 9,2024/07/24 08:27:16,
35,36,1208100598,(주)삼지엔지니어링,김동명,분석,4722231800,85.695,85.784,-0.64210 (99.3579),14 2,2024/07/19 10:24:56,
36,37,2218126625,주식회사삼광전기,성광용,분석,4722358860,85.698,85.786,-0.63941 (99.36059),1 12,2024/07/24 12:34:59,
37,38,2168701696,주식회사 투비콤,유수정,분석,4722561240,85.702,85.79,-0.63510 (99.3649),10 7,2024/07/22 16:50:33,
38,39,4488100569,주식회사 엔에스테크,박현수,분석,4722660071,85.704,85.792,-0.63300 (99.367),13 5,2024/07/22 16:25:44,
39,40,7218103160,(주)서전텔콤,양석진,분석,4722721253,85.705,85.793,-0.63170 (99.3683),5 8,2024/07/22 10:32:38,
40,41,1308196960,일성미디어통신 주식회사,서정란,분석,4722735373,85.705,85.793,-0.63140 (99.3686),10 3,2024/07/24 20:06:36,
