,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
0,1,2048174554,주식회사 창흥텔레콤  [최종낙찰],진경미,분석,46335700,84.245,84.381,0.16230 (100.1623),7 4,2024/06/17 10:08:03,
1,2,2148647194,투앤원정보통신주식회사,서승호,분석,46365000,84.298,84.435,0.22564 (100.22564),3 7,2024/06/19 11:07:04,
2,3,2068663169,(주)지엠케이정보통신,최경숙,분석,46365620,84.299,84.436,0.22698 (100.22698),3 8,2024/06/20 09:41:16,
3,4,1068616518,(주)애니씨앤에스,이일규,분석,46384080,84.333,84.469,0.26689 (100.26689),3 6,2024/06/19 10:59:51,
4,5,2168701696,주식회사 투비콤,유수정,분석,46390069,84.344,84.48,0.27983 (100.27983),15 12,2024/06/14 15:47:02,
5,6,1068180219,(주)네트웍리더,권철영,분석,46393614,84.35,84.487,0.28750 (100.2875),8 6,2024/06/19 10:01:05,
6,7,2048610496,주식회사 김스애드,김진희,분석,46396159,84.355,84.491,0.29300 (100.293),10 3,2024/06/20 09:08:04,
7,8,1048159651,(주)성우음향정보통신,송민자,분석,46396247,84.355,84.491,0.29319 (100.29319),3 2,2024/06/20 09:36:39,
8,9,1068658764,주식회사 멜레아,곽희준,분석,46409209,84.379,84.515,0.32121 (100.32121),10 15,2024/06/14 09:28:30,
9,10,1088154468,(주)이젠정보통신,이동필,분석,46431500,84.419,84.556,0.36939 (100.36939),8 6,2024/06/20 03:19:49,
10,11,5728702483,주식회사 케이제이에스랩,나봉채,분석,46431700,84.419,84.556,0.36982 (100.36982),7 14,2024/06/13 10:52:21,
11,12,1068619820,주식회사유엔콘트롤,남성모,분석,46445470,84.444,84.581,0.39959 (100.39959),13 2,2024/06/13 12:03:01,
12,13,2158686415,(주)새빛엔에스,양채원,분석,46453000,84.458,84.595,0.41587 (100.41587),15 8,2024/06/19 14:57:59,
13,14,7148800617,주식회사 성진정보통신,문계철,분석,46454123,84.46,84.597,0.41830 (100.4183),12 2,2024/06/14 15:11:58,
