,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
0,1,1058153999,현대계장공업(주)  [최종낙찰],박종성,분석,28901080,87.76,87.579,-0.37552 (99.62448),15 14,2024/08/28 11:03:58,
1,2,1168111572,남성기전(주),최전남,분석,28908400,87.782,87.601,-0.35024 (99.64976),12 6,2024/08/27 15:47:45,
2,3,2108124739,(주)한성기술개발,서창식,분석,28913796,87.799,87.617,-0.33160 (99.6684),3 5,2024/08/29 23:37:27,
3,4,6348600656,주식회사비전제어시스템,정운숙,분석,28919000,87.815,87.633,-0.31363 (99.68637),2 15,2024/08/30 09:28:24,
4,5,1208128825,(주)이일엔지니어링,정찬면,분석,28941310,87.884,87.7,-0.23658 (99.76342),6 7,2024/08/28 17:12:35,
5,6,1138131356,중원기전(주),김창중,분석,28945090,87.895,87.712,-0.22353 (99.77647),2 6,2024/08/29 08:53:05,
6,7,1228192774,주식회사 나은엔지니어링,김철호,분석,28946545,87.9,87.716,-0.21850 (99.7815),13 4,2024/08/28 11:17:23,
7,8,7778801183,주식회사 더메이테크,한정향,분석,28956456,87.93,87.746,-0.18428 (99.81572),3 11,2024/08/29 11:32:38,
8,9,2198114499,(주)이레에너지테크,강래원,분석,28956700,87.931,87.747,-0.18343 (99.81657),14 15,2024/08/29 09:45:36,
9,10,1068147942,태양이엠씨(주),선오규,분석,28970920,87.975,87.79,-0.13432 (99.86568),15 9,2024/08/28 15:48:35,
10,11,2138176895,주식회사 코젠,윤영근,분석,28971200,87.976,87.791,-0.13336 (99.86664),3 2,2024/08/28 12:37:27,
11,12,1348197976,주식회사 동광씨앤에스,김경식,분석,28972830,87.981,87.796,-0.12773 (99.87227),8 7,2024/08/28 14:56:04,
12,13,1198115733,중양산업건설 주식회사,나양종,분석,28974760,87.987,87.802,-0.12106 (99.87894),12 13,2024/08/29 14:20:08,
