,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
0,1,1068616518,(주)애니씨앤에스  [최종낙찰],이일규,분석,433627690.0,75.0,87.746,88.862,0.21200 (100.212),15 9,2024/09/24 17:40:07,
1,2,1208753234,디스플레이허브 주식회사,김동협,분석,433633680.0,75.0,87.748,88.863,0.21340 (100.2134),10 13,2024/09/25 07:23:39,
2,3,5568600996,주영전자통신 주식회사,임채열,분석,433637963.0,75.0,87.749,88.864,0.21440 (100.2144),1 2,2024/09/24 09:15:01,
3,4,1018116968,(주)넥슨정보통신,신양인,분석,433638819.0,75.0,87.749,88.864,0.21460 (100.2146),12 9,2024/09/23 10:10:05,
4,5,2200459632,하나정보통신,현광섭,분석,433651663.0,75.0,87.752,88.867,0.21759 (100.21759),10 15,2024/09/23 15:49:55,
5,6,1138169250,코리아이지텔주식회사,임규학,분석,433665794.0,75.2,87.755,88.87,0.22090 (100.2209),8 14,2024/09/23 10:03:04,
6,7,1218140540,영현정보통신(주),김두식,분석,433675818.0,75.2,87.757,88.872,0.22324 (100.22324),12 11,2024/09/25 09:12:38,
7,8,2021680862,삼기정보통신,김수봉,분석,433711000.0,75.4,87.765,88.879,0.23145 (100.23145),7 5,2024/09/24 16:54:03,
8,9,3988602082,(주)티포스,표현곤,분석,433712590.0,75.4,87.765,88.88,0.23182 (100.23182),1 10,2024/09/23 11:28:13,
9,10,2011497895,정우이앤씨,유동환,분석,433725280.0,75.4,87.768,88.882,0.23479 (100.23479),4 12,2024/09/24 11:43:37,
10,11,2158191475,(주)디앤씨코퍼레이션,엄삼섭,분석,433728308.0,75.4,87.769,88.883,0.23550 (100.2355),8 7,2024/09/24 17:04:58,
11,12,2066762193,보성통신,문용권,분석,433728370.0,75.4,87.769,88.883,0.23551 (100.23551),6 5,2024/09/24 07:14:07,
12,13,1138148861,선진인포텍(주),김인구,분석,433741580.0,75.4,87.772,88.886,0.23860 (100.2386),9 13,2024/09/24 09:21:49,
13,14,1288141176,주식회사 와이씨스템,장영찬,분석,433754854.0,75.6,87.775,88.888,0.24170 (100.2417),7 12,2024/09/24 08:43:01,
14,15,2068694508,주식회사 웰정보기술,강희춘,분석,433787000.0,75.6,87.782,88.895,0.24920 (100.2492),3 8,2024/09/23 10:13:08,
15,16,2158171649,(주)삼삼통신기술,이성오,분석,433799000.0,75.6,87.784,88.897,0.25201 (100.25201),7 14,2024/09/24 11:53:39,
16,17,1388113508,(주)이엔티파워,장정수,분석,433801140.0,75.8,87.785,88.898,0.25251 (100.25251),7 4,2024/09/24 23:02:58,
17,18,1078619629,염광전기통신(주),최인재,분석,433812230.0,75.8,87.787,88.9,0.25510 (100.2551),13 10,2024/09/24 13:45:33,
18,19,1108185057,(주)제이에스넷시스템,이상철,분석,433817700.0,75.8,87.788,88.901,0.25637 (100.25637),10 3,2024/09/24 08:36:07,
19,20,1198658528,진솔이앤에스 주식회사,김정현,분석,433820364.0,75.8,87.789,88.902,0.25700 (100.257),15 7,2024/09/24 09:19:07,
20,21,1108179327,(주) 유엘네트웍스,정재순,분석,433829355.0,75.8,87.791,88.904,0.25909 (100.25909),11 15,2024/09/23 11:07:48,
21,22,2148693742,에이치디에스주식회사,조한봉,분석,433832782.0,75.8,87.792,88.904,0.25990 (100.2599),13 15,2024/09/23 20:01:17,
22,23,1168144224,제일정보건설 주식회사,김진철,분석,433848196.0,76.0,87.795,88.907,0.26350 (100.2635),12 7,2024/09/25 08:41:32,
