,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
0,1,6158133428,주식회사 세진정보통신,김선미,분석,30294653,88.06,88.23,0.26706 (100.26706),,2024/06/14 13:04:54,1순위
1,2,2018603701,소성정보기술 주식회사,김금남,분석,30331048,88.166,88.335,0.38751 (100.38751),,2024/06/18 09:09:09,2순위
2,3,6158119727,株式會社 錦湖이.티.시,김두현,분석,30335856,88.179,88.35,0.40343 (100.40343),,2024/06/17 10:05:17,3순위
3,4,6098181662,주식회사 제이엠텔레콤,고헌우,분석,30449680,88.51,88.681,0.78015 (100.78015),,2024/06/19 09:06:08,4순위
4,5,1058649262,주식회사 노하우전기통신,임창배,분석,30458030,88.535,88.705,0.80779 (100.80779),,2024/06/17 14:34:54,5순위
5,6,1138139080,(주)성강통신기술사사무소,안치영,분석,30481090,88.602,88.772,0.88411 (100.88411),,2024/06/19 09:20:34,6순위
6,7,1138163445,주식회사 삼도통신,이정경,분석,30647600,89.086,89.257,1.43521 (101.43521),,2024/06/17 10:20:14,7순위
7,8,6098161536,주식회사이현정보기술,손우형,분석,31930760,92.816,92.994,5.68213 (105.68213),,2024/06/18 08:45:00,8순위
8,-1,7948100026,주식회사 아성엠,전세희,분석,30267750,87.982,88.151,0.17801 (100.17801),,2024/06/18 05:57:57,낙찰하한가미만
9,-2,5518700019,주식회사 대륭시스템즈,김은경,분석,30212000,87.819,87.989,-0.00650 (99.9935),,2024/06/15 16:24:31,낙찰하한가미만
