,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
0,1,2048627361,에바다 일렉컴 주식회사,손형관,분석,646477700,87.773,88.004,-0.1972 (99.8028),,2024/01/24 16:08:27,
1,2,8370102066,이한이앤씨,주성은,분석,646491130,87.775,88.006,-0.1952 (99.8048),,2024/01/24 15:11:20,
2,3,2028104237,대선이엔씨(주),최승재,분석,646529762,87.78,88.011,-0.1892 (99.8108),,2024/01/24 14:57:12,
3,4,1078143707,(주)신창전기,홍성수,분석,646539872,87.782,88.012,-0.1876 (99.8124),,2024/01/25 09:57:55,
4,5,2318106024,성안전력 주식회사,이우현,분석,646545700,87.783,88.013,-0.1868 (99.8132),,2024/01/25 09:02:17,
5,6,2128118209,상명전기(주),정찬조,분석,646561580,87.785,88.015,-0.1843 (99.8157),,2024/01/24 13:04:59,
6,7,1018642326,한우이앤에스(주),변준석,분석,646565782,87.785,88.016,-0.1836 (99.8164),,2024/01/24 15:34:34,
7,8,1428168147,주식회사 다옴건설,이창석,분석,646567726,87.786,88.016,-0.1833 (99.8167),,2024/01/24 11:32:47,
8,9,2148614368,금성종합전기주식회사,김홍수,분석,646592589,87.789,88.02,-0.1795 (99.8205),,2024/01/25 09:12:51,
9,10,2148792435,주식회사케이이씨디바이스,이종수,분석,646613216,87.792,88.022,-0.1763 (99.8237),,2024/01/23 16:44:30,
10,11,1028137710,서광종합개발 주식회사,이정익,분석,646626024,87.794,88.024,-0.1743 (99.8257),,2024/01/25 09:03:04,
11,12,1198191309,용진하이테크에너지 주식회사,김진석,분석,646638935,87.796,88.026,-0.1724 (99.8276),,2024/01/25 09:36:04,
12,13,6668601138,주식회사 구일전기,김광일,분석,646644160,87.796,88.027,-0.1716 (99.8284),,2024/01/24 15:14:09,
13,14,2068126626,주식회사 동부전기,형남길,분석,646649926,87.797,88.027,-0.1707 (99.8293),,2024/01/25 09:40:15,
14,15,1058660665,(주)일신전업,김한경,분석,646653838,87.798,88.028,-0.1701 (99.8299),,2024/01/25 06:34:09,
15,16,2208100563,경창계전 주식회사,이성욱,분석,646661400,87.799,88.029,-0.1689 (99.8311),,2024/01/22 15:47:32,
16,17,6058801665,주식회사 혜다,장승종,분석,646662720,87.799,88.029,-0.1687 (99.8313),,2024/01/25 08:55:12,
17,18,1078122793,대한전기 주식회사,이동기,분석,646675011,87.801,88.031,-0.1668 (99.8332),,2024/01/25 09:14:06,
18,19,2038152237,정하기전주식회사,김정빈,분석,646678320,87.801,88.031,-0.1663 (99.8337),,2024/01/24 16:54:26,
19,20,1278630481,서화이엔지(주),노동해,분석,646694590,87.804,88.033,-0.1638 (99.8362),,2024/01/23 17:28:38,
20,21,1098186148,태신전력주식회사,김영길,분석,646713082,87.806,88.036,-0.1609 (99.8391),,2024/01/25 08:17:05,
21,22,1138161559,(주)정안전설,엄계용,분석,646717360,87.807,88.037,-0.1602 (99.8398),,2024/01/24 14:25:35,
22,23,1198178984,주식회사그린이피에스,지창근,분석,646764046,87.813,88.043,-0.1530 (99.847),,2024/01/19 13:33:33,
23,24,2150658649,현대전기건설공사,이건돈,분석,646773586,87.815,88.044,-0.1516 (99.8484),,2024/01/24 18:22:30,
24,25,2048190516,주식회사동훈전설,정준모,분석,646778894,87.816,88.045,-0.1507 (99.8493),,2024/01/24 15:15:45,
25,26,2148724941,한빛시스템주식회사,윤명호,분석,646792407,87.817,88.047,-0.1487 (99.8513),,2024/01/23 14:52:31,
26,27,2118850165,해음전기(주),김년봉,분석,646793728,87.818,88.047,-0.1485 (99.8515),,2024/01/25 08:11:11,
27,28,2098131166,신우파워(주),차상연,분석,646810586,87.82,88.049,-0.1459 (99.8541),,2024/01/24 09:19:04,
28,29,1198137042,(주)진명연합전설,엄재준,분석,646842763,87.825,88.054,-0.1409 (99.8591),,2024/01/24 09:36:23,
29,30,1138139080,(주)성강통신기술사사무소,안치영,분석,646857010,87.827,88.056,-0.1387 (99.8613),,2024/01/25 09:23:54,
30,31,4438101559,주식회사 윤리,최정호,분석,646879420,87.83,88.059,-0.1352 (99.8648),,2024/01/24 20:45:24,
31,32,1078155407,(주)윤익계전,안용준,분석,646895373,87.832,88.061,-0.1328 (99.8672),,2024/01/18 09:08:21,
32,33,1258180919,(주)경일전공,정요진,분석,646930991,87.837,88.066,-0.1273 (99.8727),,2024/01/23 16:20:40,
33,34,2038145298,장한전력(주),손정우,분석,646950400,87.84,88.068,-0.1243 (99.8757),,2024/01/24 16:08:35,
34,35,1848801417,주식회사 석현이엔씨,국석호,분석,646969980,87.842,88.071,-0.1213 (99.8787),,2024/01/24 09:52:15,
35,36,2101287117,부성전력,전문택,분석,647012086,87.848,88.077,-0.1147 (99.8853),,2024/01/24 13:57:02,
36,37,2208117292,(주)동아종합전력,민정기,분석,647027632,87.851,88.079,-0.1123 (99.8877),,2024/01/23 13:43:06,
37,38,1198644515,주식회사 타임엔지니어링,손용식,분석,647048360,87.854,88.082,-0.1091 (99.8909),,2024/01/22 21:55:11,
38,39,2058126341,종합전기 주식회사,김유훈,분석,647062934,87.856,88.084,-0.1069 (99.8931),,2024/01/25 08:28:35,
39,40,2040614637,길갈전기,전호필,분석,647077509,87.858,88.086,-0.1046 (99.8954),,2024/01/25 07:49:53,
40,41,1198165586,제이케이앤티텔레콤(주),전찬화,분석,647084942,87.859,88.087,-0.1035 (99.8965),,2024/01/23 15:55:29,
41,42,1208105711,주식회사 삼진일렉스,김성관,분석,647107000,87.862,88.09,-0.1001 (99.8999),,2024/01/24 16:05:11,
42,43,3488100411,진경파워콤 주식회사,표명숙,분석,647153450,87.868,88.096,-0.0929 (99.9071),,2024/01/24 17:58:47,
43,44,1168117751,(주)코스탈파워,김의선,분석,647164120,87.87,88.097,-0.0913 (99.9087),,2024/01/23 16:49:17,
44,45,2078129117,경우전기(주),김한정,분석,647189460,87.873,88.101,-0.0874 (99.9126),,2024/01/24 11:55:36,
45,46,2178119862,(주)우진전력,이강종,분석,647246573,87.882,88.109,-0.0785 (99.9215),,2024/01/24 17:14:34,
46,47,1108140593,(주)대건이엔씨,이황희,분석,647247790,87.882,88.109,-0.0784 (99.9216),,2024/01/23 17:16:55,
47,48,1108131570,(주)조은시스템,김창윤,분석,647271190,87.885,88.112,-0.0747 (99.9253),,2024/01/22 16:32:12,
48,49,1108175433,승림이앤씨(주),박기철,분석,647286090,87.887,88.114,-0.0724 (99.9276),,2024/01/23 15:07:00,
49,50,6348700594,주식회사 로터스전력,전우식,분석,647291920,87.888,88.115,-0.0715 (99.9285),,2024/01/24 10:03:29,
0,51,1108183893,이화소방이엔지(주),강선미,분석,647295370,87.888,88.115,-0.0710 (99.929),,2024/01/24 10:12:32,
1,52,1190440828,삼우이노베이션,노범섭,분석,647301630,87.889,88.116,-0.0701 (99.9299),,2024/01/24 16:45:51,
2,53,1198197598,주식회사 성진이피씨,임정숙,분석,647339300,87.895,88.121,-0.0642 (99.9358),,2024/01/24 20:48:45,
