,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
0,1,2218120693,주식회사 일동에너텍,김종삼,분석,189389996.0,87.747,88.823,0.34940 (100.3494),,2024/06/10 17:03:25,
1,2,1118128082,(주)디투엔지니어링,김낙경,분석,189405530.0,87.755,88.831,0.35770 (100.3577),,2024/06/11 09:15:24,
2,3,1138159301,삼인제어시스템 주식회사,최민성,분석,189405570.0,87.755,88.831,0.35772 (100.35772),,2024/06/10 10:49:30,
3,4,1298170451,주식회사 정안디엔씨,이학용,분석,189406740.0,87.755,88.831,0.35835 (100.35835),,2024/06/10 17:05:54,
4,5,4068164647,주식회사 명성인더스트리,김나윤,분석,189412446.0,87.758,88.834,0.36139 (100.36139),,2024/06/11 08:58:15,
5,6,2108108684,주식회사 대금이앤아이,김종우,분석,189418810.0,87.761,88.837,0.36480 (100.3648),,2024/06/04 14:29:47,
6,7,1268159398,주식회사 파이런텍,이병길,분석,189427230.0,87.766,88.841,0.36930 (100.3693),,2024/06/10 09:56:31,
7,8,1138169911,주식회사 신성지앤이,최호용,분석,189431630.0,87.768,88.843,0.37165 (100.37165),,2024/06/07 14:02:05,
8,9,2058139910,우현전기(주),채광식,분석,189442010.0,87.773,88.848,0.37720 (100.3772),,2024/06/10 22:18:25,
9,10,2148122316,금송전기(주),박종국,분석,189445190.0,87.775,88.849,0.37890 (100.3789),,2024/06/10 09:06:44,
10,11,1098186148,태신전력주식회사,김영길,분석,189449510.0,87.777,88.851,0.38121 (100.38121),,2024/06/11 07:38:37,
11,12,1078162397,신용통신 주식회사,김형종,분석,189450000.0,87.777,88.852,0.38147 (100.38147),,2024/06/06 19:35:13,
12,13,1198191309,용진하이테크에너지 주식회사,김진석,분석,189456430.0,87.78,88.855,0.38490 (100.3849),,2024/06/10 14:58:51,
13,14,1058639745,이천이전력주식회사,장윤호,분석,189463897.0,87.784,88.858,0.38890 (100.3889),,2024/06/11 08:31:40,
14,15,8368800241,주식회사 출원,김학선,분석,189467639.0,87.786,88.86,0.39090 (100.3909),,2024/06/10 09:23:02,
15,16,1198133411,주식회사 나경이엔씨,윤병유,분석,189474608.0,87.789,88.863,0.39462 (100.39462),,2024/06/11 09:37:37,
16,17,1328105709,(주)왕선전설,조정현,분석,189476500.0,87.79,88.864,0.39563 (100.39563),,2024/06/11 07:00:44,
17,18,1188111020,주식회사 한영씨앤이,박대서,분석,189476800.0,87.79,88.864,0.39579 (100.39579),,2024/06/07 11:11:18,
18,19,1058153698,진우에이티에스 주식회사,정진태,분석,189476993.0,87.791,88.864,0.39590 (100.3959),,2024/06/08 22:06:44,
19,20,2038101742,株式會社 革新電工社,오세화,분석,189482940.0,87.793,88.867,0.39907 (100.39907),,2024/06/10 09:23:07,
20,21,6068665713,주식회사 두배라,김왕섭,분석,189492333.0,87.798,88.871,0.40409 (100.40409),,2024/06/10 10:05:33,
21,22,2068625393,주식회사 성림전설,박상동,분석,189494017.0,87.799,88.872,0.40499 (100.40499),,2024/06/03 09:54:32,
22,23,2158749469,(주)더블유에프텍,이영길,분석,189499260.0,87.802,88.875,0.40780 (100.4078),,2024/06/07 17:21:45,
23,24,1128148285,(주)백제이앤씨,손흥도,분석,189499443.0,87.802,88.875,0.40790 (100.4079),,2024/06/06 08:51:27,
24,25,2038152237,정하기전주식회사,김정빈,분석,189504230.0,87.804,88.877,0.41045 (100.41045),,2024/06/11 00:16:42,
25,26,2148104884,두원이에프씨 주식회사,장병민,분석,189511642.0,87.808,88.88,0.41442 (100.41442),,2024/06/07 11:30:42,
26,27,2108130492,명신정보통신(주),서철,분석,189520052.0,87.812,88.884,0.41891 (100.41891),,2024/06/10 14:39:01,
27,28,2158769714,주식회사 누리엔에스,박봉기,분석,189529190.0,87.817,88.889,0.42380 (100.4238),,2024/06/10 12:40:40,
28,29,1108194385,주식회사 선이엔지,안상선,분석,189530500.0,87.817,88.889,0.42450 (100.4245),,2024/06/11 02:17:27,
29,30,3758702577,주식회사 더바른전력,이문희,분석,189532900.0,87.818,88.89,0.42578 (100.42578),,2024/06/11 10:05:10,
30,31,2038149028,대륭중공건설(주),박임우,분석,189534691.0,87.819,88.891,0.42674 (100.42674),,2024/06/10 17:31:57,
31,32,2158601172,(주)다산전기건설공사,백선자,분석,189535170.0,87.82,88.892,0.42699 (100.42699),,2024/06/08 10:15:37,
32,33,1058649262,주식회사 노하우전기통신,임창배,분석,189542100.0,87.823,88.895,0.43070 (100.4307),,2024/06/10 09:56:51,
33,34,2118691240,거성일렉콤(주),박성래,분석,189550107.0,87.827,88.899,0.43498 (100.43498),,2024/06/03 11:18:15,
34,35,2178120694,주식회사 성원이엘피,경혜경,분석,189555380.0,87.83,88.901,0.43779 (100.43779),,2024/06/10 10:37:38,
35,36,1138611108,(주)도원디에스,이정우,분석,189564730.0,87.834,88.905,0.44279 (100.44279),,2024/06/05 16:30:09,
36,37,1298684080,주식회사 건아,이승조,분석,189566047.0,87.835,88.906,0.44350 (100.4435),,2024/06/11 10:00:35,
37,38,1198153514,다린전력(주),오승한,분석,189567200.0,87.835,88.907,0.44411 (100.44411),,2024/06/10 10:12:59,
38,39,2158133077,오티씨 주식회사,김희언,분석,189570393.0,87.837,88.908,0.44582 (100.44582),,2024/06/07 17:06:26,
39,40,2948601665,누리종합전기 주식회사,천금진,분석,189580641.0,87.842,88.913,0.45130 (100.4513),,2024/06/08 23:52:25,
40,41,1168155492,주식회사 코콤텍,고성춘,분석,189592800.0,87.848,88.919,0.45779 (100.45779),,2024/06/07 15:19:16,
41,42,7108103006,주식회사 유진이엔에프,신명규,분석,189602700.0,87.853,88.923,0.46309 (100.46309),,2024/06/10 11:07:37,
42,43,2068126010,주식회사 충남전설,조창진,분석,189603460.0,87.854,88.924,0.46349 (100.46349),,2024/06/10 10:55:02,
43,44,1058660665,(주)일신전업,김한경,분석,189611510.0,87.858,88.927,0.46780 (100.4678),,2024/06/10 20:39:20,
44,45,1058627351,(주)극동파워테크,배철한,분석,189613193.0,87.858,88.928,0.46869 (100.46869),,2024/06/10 09:07:10,
45,46,1178158978,주식회사 화일이엔에프,박광섭,분석,189628490.0,87.866,88.935,0.47687 (100.47687),,2024/06/07 15:50:27,
46,47,1068801509,주식회사 기영이엔씨,조용리,분석,189628570.0,87.866,88.935,0.47691 (100.47691),,2024/06/11 10:05:30,
47,48,7038600379,주식회사 국민전력기업,강태호,분석,189630410.0,87.867,88.936,0.47790 (100.4779),,2024/06/07 13:13:09,
48,49,1198165586,제이케이앤티텔레콤(주),전찬화,분석,189642940.0,87.873,88.942,0.48459 (100.48459),,2024/06/10 09:35:42,
49,50,1328127945,부민통신 주식회사,박창욱,분석,189647544.0,87.876,88.944,0.48706 (100.48706),,2024/06/10 09:38:06,
0,51,4178600013,블랙썬 주식회사,이희부,분석,189648370.0,87.876,88.945,0.48750 (100.4875),,2024/06/07 15:25:51,
1,52,4108633207,(유)대원엔지니어링,박윤규,분석,189648370.0,87.876,88.945,0.48750 (100.4875),,2024/06/08 16:27:36,
2,53,2208197511,(주)다산지앤지,유철종,분석,189648930.0,87.876,88.945,0.48780 (100.4878),,2024/06/07 19:18:56,
3,54,2208727337,주식회사주니파워네트웍스,노병준,분석,189651010.0,87.877,88.946,0.48891 (100.48891),,2024/06/07 11:02:28,
4,55,2078129117,경우전기(주),김한정,분석,189673070.0,87.888,88.956,0.50070 (100.5007),,2024/06/10 09:18:53,
5,56,1378148528,(주)동원일렉콤,김영수,분석,189693640.0,87.899,88.966,0.51169 (100.51169),,2024/06/10 16:19:01,
6,57,1148182595,주식회사 싸인텔레콤,박영기,분석,189697950.0,87.901,88.968,0.51400 (100.514),,2024/06/11 09:41:59,
7,58,1198632979,성민전기 주식회사,김미영,분석,189709170.0,87.906,88.973,0.51999 (100.51999),,2024/06/03 15:20:31,
8,59,2128107793,호곡종합건설(주),박성환,분석,189709171.0,87.906,88.973,0.52000 (100.52),,2024/06/11 11:54:30,
9,60,1058746675,(주)양지이엔지,김동수,분석,189716570.0,87.91,88.977,0.52395 (100.52395),,2024/06/05 15:14:50,
10,61,1100561973,대광신호공사,최창배,분석,189725100.0,87.914,88.981,0.52851 (100.52851),,2024/06/08 15:51:10,
11,62,2158633067,서종이앤티(주),한영도,분석,189765400.0,87.934,88.999,0.55005 (100.55005),,2024/06/05 09:48:43,
12,63,4028614887,주식회사 한우리이앤씨,김춘걸,분석,189769000.0,87.936,89.001,0.55197 (100.55197),,2024/06/04 10:54:03,
13,64,2208658565,주식회사 주인정보시스템,김근호,분석,189770500.0,87.937,89.002,0.55278 (100.55278),,2024/06/10 17:30:17,
14,65,1098172945,(주)마커스코리아,이헌철,분석,189791000.0,87.947,89.011,0.56373 (100.56373),,2024/06/10 16:19:32,
15,66,1048142446,주식회사 디에스 이앤티,양종만,분석,189798770.0,87.951,89.015,0.56789 (100.56789),,2024/06/10 16:19:55,
16,67,3088802555,성공전력주식회사,서은솔,분석,189801088.0,87.952,89.016,0.56913 (100.56913),,2024/06/11 11:51:46,
17,68,2128101504,現代電設 株式會社,김겸수,분석,189809300.0,87.956,89.02,0.57351 (100.57351),,2024/06/10 10:14:52,
18,69,2128140491,(주)벧엘정보통신,이효진,분석,189817299.0,87.96,89.024,0.57779 (100.57779),,2024/06/11 06:35:56,
19,70,2208100563,경창계전 주식회사,이성욱,분석,189834370.0,87.969,89.032,0.58691 (100.58691),,2024/06/04 17:48:32,
20,71,2068674517,주식회사 임광기전,김건화,분석,189842000.0,87.973,89.035,0.59099 (100.59099),,2024/06/10 11:16:16,
21,72,2048168770,(주)대성파워텍,차의환,분석,189846680.0,87.975,89.038,0.59349 (100.59349),,2024/06/11 09:13:09,
22,73,1068180878,주식회사 신보,정재문,분석,189867250.0,87.985,89.047,0.60449 (100.60449),,2024/06/11 08:36:19,
23,74,1078606385,대선아이넷(주),신일자,분석,189877500.0,87.99,89.052,0.60997 (100.60997),,2024/06/10 17:29:58,
