id,공고번호,공고제목,발주처(수요기관),지역제한,기초금액,예정가격,예가범위,A값,투찰률(%),참여업체수,공고구분표시,정답사정률(%),010_001,010_002,010_003,010_004,010_005,010_006,010_007,010_008,010_009,010_010,020_001,020_002,020_003,020_004,020_005,020_006,020_007,020_008,020_009,020_010,020_011,020_012,020_013,020_014,020_015,020_016,020_017,020_018,020_019,020_020,050_001,050_002,050_003,050_004,050_005,050_006,050_007,050_008,050_009,050_010,050_011,050_012,050_013,050_014,050_015,050_016,050_017,050_018,050_019,050_020,050_021,050_022,050_023,050_024,050_025,050_026,050_027,050_028,050_029,050_030,050_031,050_032,050_033,050_034,050_035,050_036,050_037,050_038,050_039,050_040,050_041,050_042,050_043,050_044,050_045,050_046,050_047,050_048,050_049,050_050,100_001,100_002,100_003,100_004,100_005,100_006,100_007,100_008,100_009,100_010,100_011,100_012,100_013,100_014,100_015,100_016,100_017,100_018,100_019,100_020,100_021,100_022,100_023,100_024,100_025,100_026,100_027,100_028,100_029,100_030,100_031,100_032,100_033,100_034,100_035,100_036,100_037,100_038,100_039,100_040,100_041,100_042,100_043,100_044,100_045,100_046,100_047,100_048,100_049,100_050,100_051,100_052,100_053,100_054,100_055,100_056,100_057,100_058,100_059,100_060,100_061,100_062,100_063,100_064,100_065,100_066,100_067,100_068,100_069,100_070,100_071,100_072,100_073,100_074,100_075,100_076,100_077,100_078,100_079,100_080,100_081,100_082,100_083,100_084,100_085,100_086,100_087,100_088,100_089,100_090,100_091,100_092,100_093,100_094,100_095,100_096,100_097,100_098,100_099,100_100
62,20241123763-02,2025년 중랑물재생센터 슬러지 계면측정기 유지관리용역 (정정공고),서울특별시,서울,100000000,99419500,+3% ~ -3%,0,88,111,낙찰정정/기/정/수의,-0.58050,0,0,1,6,42,38,13,7,1,1,0,0,0,0,0,1,1,5,25,17,19,19,7,6,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,11,11,7,6,7,7,7,12,7,5,1,5,1,2,4,5,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,2,0,3,8,5,6,3,4,3,3,3,4,2,5,6,1,5,7,5,2,4,1,1,0,2,3,1,0,1,1,1,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
82,20241112762-00,2025년 한강공원 CCTV 유지관리 용역(하류),서울특별시/서울특별시,서울,163452300,163594125,+3% ~ -3%,0,87.745,275,기,0.08676,0,1,7,36,69,90,56,11,1,0,0,0,0,1,3,4,15,21,38,31,56,34,34,22,10,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,3,2,7,8,6,13,15,16,12,14,12,23,15,23,13,16,14,12,12,8,10,6,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,2,1,0,2,1,6,6,2,4,2,3,10,11,4,6,10,7,5,7,7,3,9,9,14,9,6,18,5,8,5,4,12,5,9,4,8,8,4,4,4,5,5,3,3,0,1,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,20241112707-00,2025년 한강공원 CCTV 유지관리 용역(상류),서울특별시/서울특별시,서울,163452300,164449025,+3% ~ -3%,0,87.745,270,기,0.60979,0,0,4,27,76,98,48,13,1,0,0,0,0,0,2,2,9,18,29,47,55,43,29,19,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,5,2,8,10,9,12,15,24,16,22,21,19,17,19,14,11,5,7,11,6,1,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,1,4,2,0,4,4,1,9,5,4,3,9,8,7,14,10,8,8,7,15,6,15,12,7,10,7,5,14,8,6,6,5,4,1,4,3,4,7,2,4,0,1,4,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,20241020109-00,이문빌딩 신축공사(통신) (긴급공고) (재공고),학교법인동원육영회,서울/인천/경기,495000000,492162425,+3% ~ -3%,0,87.745,248,기,-0.57325,0,0,6,28,88,67,45,9,1,1,0,0,0,0,3,3,6,22,30,58,35,32,29,16,8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,2,10,6,9,13,11,14,32,18,17,12,14,12,12,14,9,10,7,5,4,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,3,7,4,2,5,4,6,7,8,3,6,8,11,21,8,10,5,12,7,5,6,8,4,8,6,6,4,10,1,8,6,4,4,3,1,4,2,2,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
171,20240901570-00,교육용 무선 네트워크 구축,서울특별시교육청,서울/경기,144425000,143910550,+3% ~ -3%,0,87.745,143,,-0.35621,1,1,1,15,30,53,19,5,1,0,1,0,1,0,0,1,2,13,15,15,34,19,9,10,3,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2,9,2,7,5,3,10,5,14,14,9,6,10,4,4,2,6,3,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,3,6,1,1,3,4,1,4,3,0,4,6,2,3,5,9,8,6,6,3,4,2,6,4,2,2,1,3,1,1,5,1,1,2,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,20240632737-00,24/25년 재방송설비 유지관리 용역,서울특별시,서울,99704000,100620850,+3% ~ -3%,0,88,211,기/수의,0.91957,0,0,4,18,61,75,38,12,1,0,0,0,0,0,1,3,3,15,32,29,40,35,22,16,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,2,1,6,8,10,11,18,8,14,14,18,16,12,15,10,11,2,11,4,7,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,1,1,0,1,1,5,5,3,7,3,8,3,11,7,6,2,7,7,8,6,9,9,8,8,3,9,7,8,6,4,5,6,1,1,5,6,2,2,5,2,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
299,20240628458-00,24/25년 상반기 터널 및 지하차도 재난방송설비 유지관리 용역,서울특별시,서울,105712000,107654775,+3% ~ -3%,0,88,232,기/수의,1.83779,0,0,3,26,67,91,25,18,0,1,0,0,0,0,0,3,12,14,38,29,39,52,16,9,13,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,4,5,8,6,15,15,12,16,9,15,21,19,15,21,8,5,6,4,2,9,0,6,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,1,2,2,5,0,4,4,1,5,8,7,8,7,8,4,12,4,2,7,6,9,8,13,3,16,11,4,14,7,6,2,3,2,3,3,2,2,1,1,4,5,0,0,4,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
300,20240626192-00,24/25년 재방송설비 유지관리용역(연간단가)-장기계속계약,서울특별시,서울,35495460,35402625,+3% ~ -3%,0,88,167,기/수의,-0.26155,0,0,2,12,44,69,29,8,0,1,0,0,0,0,0,2,4,8,18,26,38,31,22,7,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,2,3,3,9,5,7,13,10,8,18,19,13,11,6,12,5,2,4,2,1,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,2,3,0,1,2,4,5,1,4,4,3,5,8,4,6,4,4,9,9,12,7,10,3,2,9,4,2,9,3,4,1,2,0,2,2,0,2,1,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
302,20240625598-00,2024.2025년 도로터널 재난방송설비 유지보수용역(장기계속),서울특별시,서울,102408000,102558575,+3% ~ -3%,0,88,199,기/수의,0.14703,0,0,2,21,52,71,37,13,2,0,0,0,0,0,0,2,6,15,23,29,39,32,30,7,9,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,3,9,12,5,12,11,12,19,15,12,12,13,17,11,3,4,2,5,3,1,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,1,1,3,1,2,1,8,8,4,3,2,6,6,5,6,6,6,7,12,4,11,5,7,7,5,6,7,12,5,3,8,2,1,2,2,0,2,2,3,2,1,1,0,1,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
351,20240515683-02,잔류염소 수질연속자동측정장치 구매설치 (정정공고),서울특별시,서울/경기,35904000,35726025,+3% ~ -3%,0,84.245,118,물품/기/정,-0.49570,0,0,1,15,27,39,24,7,1,0,0,0,0,0,0,1,11,4,14,13,22,17,19,5,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,3,0,3,4,4,8,7,4,12,8,8,8,3,6,8,8,1,1,3,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,5,2,1,0,0,2,1,3,1,2,2,6,2,1,6,3,1,5,7,6,2,2,6,6,2,1,2,3,3,3,5,5,3,1,0,0,1,2,1,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
