id,공고번호,공고제목,발주처(수요기관),지역제한,기초금액,예정가격,예가범위,A값,투찰률(%),참여업체수,공고구분표시,정답사정률(%),010_001,010_002,010_003,010_004,010_005,010_006,010_007,010_008,010_009,010_010,020_001,020_002,020_003,020_004,020_005,020_006,020_007,020_008,020_009,020_010,020_011,020_012,020_013,020_014,020_015,020_016,020_017,020_018,020_019,020_020,050_001,050_002,050_003,050_004,050_005,050_006,050_007,050_008,050_009,050_010,050_011,050_012,050_013,050_014,050_015,050_016,050_017,050_018,050_019,050_020,050_021,050_022,050_023,050_024,050_025,050_026,050_027,050_028,050_029,050_030,050_031,050_032,050_033,050_034,050_035,050_036,050_037,050_038,050_039,050_040,050_041,050_042,050_043,050_044,050_045,050_046,050_047,050_048,050_049,050_050,100_001,100_002,100_003,100_004,100_005,100_006,100_007,100_008,100_009,100_010,100_011,100_012,100_013,100_014,100_015,100_016,100_017,100_018,100_019,100_020,100_021,100_022,100_023,100_024,100_025,100_026,100_027,100_028,100_029,100_030,100_031,100_032,100_033,100_034,100_035,100_036,100_037,100_038,100_039,100_040,100_041,100_042,100_043,100_044,100_045,100_046,100_047,100_048,100_049,100_050,100_051,100_052,100_053,100_054,100_055,100_056,100_057,100_058,100_059,100_060,100_061,100_062,100_063,100_064,100_065,100_066,100_067,100_068,100_069,100_070,100_071,100_072,100_073,100_074,100_075,100_076,100_077,100_078,100_079,100_080,100_081,100_082,100_083,100_084,100_085,100_086,100_087,100_088,100_089,100_090,100_091,100_092,100_093,100_094,100_095,100_096,100_097,100_098,100_099,100_100
3,20161227441-00,어린이 청소년 종합타운(본관 리모델링) 통신 공사,서울특별시,서울,294690000,291071225,+3% ~ -3%,0,87.745,970,,-1.22800,0,3,38,159,352,293,100,20,3,1,0,0,0,3,12,26,57,102,172,180,151,142,62,38,14,6,0,3,0,1,0,0,0,0,0,0,0,0,1,2,3,5,6,8,16,17,24,26,33,59,63,71,71,84,63,53,64,74,62,40,24,26,18,15,17,10,4,1,2,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,2,3,4,2,4,4,5,11,8,9,11,13,16,10,18,15,24,35,29,34,35,36,38,33,36,48,32,31,33,20,31,33,34,40,39,23,22,18,11,13,16,10,12,6,6,9,8,9,7,3,3,1,0,1,1,1,2,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0
8,20161223372-00,구로자원순환센터 건립 정보통신공사,서울특별시,서울,207350000,205603650,+3% ~ -3%,0,87.745,980,기,-0.84223,0,4,37,178,297,301,131,21,5,2,0,0,1,3,11,26,51,127,147,150,148,153,84,47,13,8,3,2,2,0,0,0,0,0,0,0,0,1,3,0,3,6,5,8,15,15,16,51,37,59,57,61,66,54,59,46,72,66,65,52,31,34,29,20,17,8,4,3,4,2,1,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,2,1,4,2,2,3,3,5,5,10,9,6,10,6,20,31,22,15,31,28,34,23,34,27,29,37,22,32,29,30,18,28,43,29,30,36,26,39,21,31,16,15,20,14,19,10,8,12,11,6,3,5,3,1,1,2,3,1,1,1,1,0,0,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
10,20161224148-00,2017년 터널 라디오 재방송설비 유지보수 용역(연간단가),서울특별시,서울,23073600,23126675,+3% ~ -3%,0,87.745,196,기,0.23002,0,0,3,24,59,61,34,9,2,0,0,0,0,0,0,3,10,14,34,25,32,29,16,18,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,1,8,6,8,21,9,9,12,7,13,20,15,6,5,8,7,8,6,4,2,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,4,2,1,0,1,7,4,2,5,3,9,12,5,4,3,6,4,8,4,3,6,7,12,8,6,9,5,1,5,0,5,3,3,4,3,5,3,3,0,4,2,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,20161220158-00,3호선 금호~옥수 방음벽 교체에 따른 정보통신공사,서울교통공사,서울,232373200,234172400,+3% ~ -3%,0,87.745,937,기,0.77427,0,3,32,133,336,269,128,25,6,2,0,0,0,3,6,26,55,78,161,175,149,120,86,42,18,7,4,2,2,0,0,0,0,0,0,0,0,0,1,2,1,3,5,7,16,19,23,22,27,42,57,71,74,67,67,57,62,58,40,52,31,34,27,16,20,12,5,1,4,3,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,0,2,3,3,4,11,5,9,10,13,10,13,9,14,13,19,23,22,35,34,37,33,41,35,32,30,37,32,25,30,32,30,28,16,24,21,31,21,10,13,21,21,6,8,8,9,11,3,9,3,2,1,0,1,3,2,1,2,0,0,2,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0
14,20161218812-00,서울의료원 13층 음압병동구축 통신공사 입찰공고,서울특별시,서울,24495000,24601300,+3% ~ -3%,0,87.745,804,,0.43396,0,4,20,97,268,287,100,22,0,0,0,0,0,4,5,15,45,52,128,140,143,144,68,32,19,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,4,2,7,6,16,21,19,16,25,41,61,53,59,54,53,57,68,67,42,41,17,16,12,14,8,8,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,2,2,0,2,1,6,2,4,7,9,10,11,8,11,10,6,10,15,20,21,35,26,26,27,18,41,28,26,25,28,29,28,33,35,27,40,22,20,23,18,8,9,10,6,7,5,10,4,5,3,3,5,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,20161217982-00,2017년 CCTV시스템 유지관리용역(연간단가),서울특별시,서울,27714280,27712375,+3% ~ -3%,0,87.745,205,기,-0.00688,0,0,7,29,61,56,41,8,3,0,0,0,0,0,2,5,12,17,28,33,32,24,19,22,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,3,7,6,7,6,9,14,13,14,11,9,15,15,10,7,12,4,7,12,6,2,2,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,2,2,1,4,3,2,4,3,4,4,2,5,4,5,9,5,8,7,7,6,5,6,3,6,9,8,7,5,5,5,2,5,7,2,2,3,4,4,8,4,2,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,20161220978-00,서울동작초등학교 본관 방송 및 통신선로공사 (긴급공고),서울특별시동작교육청,서울,85749000,84995950,+3% ~ -3%,0,87.745,1040,,-0.87821,1,2,42,125,347,361,135,22,3,1,1,0,0,2,14,28,50,75,166,181,170,191,76,59,15,7,1,2,1,0,0,0,1,0,0,0,0,0,1,1,5,7,6,8,16,19,18,28,24,36,62,73,58,89,65,57,87,61,79,77,30,33,35,22,15,11,4,2,2,3,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,1,2,5,2,4,1,7,8,8,10,9,10,8,13,15,15,9,20,16,33,29,41,32,31,27,36,53,28,37,35,22,45,42,26,35,42,37,40,37,17,13,18,15,13,22,9,13,9,6,6,5,2,2,0,2,0,2,0,3,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
20,20161221645-00,은평고 특별교실 증축 통신 공사,서울특별시교육청,서울,35057000,34824475,+3% ~ -3%,0,87.745,936,,-0.66328,1,2,41,119,281,309,154,19,4,0,0,1,0,2,11,30,57,62,133,148,158,151,106,48,12,7,3,1,0,0,0,0,0,0,1,0,0,0,0,2,1,7,5,6,22,19,26,18,29,27,69,34,65,62,51,61,67,70,61,50,47,40,27,21,19,6,3,6,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,4,3,3,2,3,3,9,13,7,12,15,11,12,6,9,20,17,10,36,33,19,15,30,35,32,30,23,28,26,35,36,31,30,40,31,30,27,23,28,19,30,10,19,8,10,11,9,10,4,2,3,0,3,3,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,20161217637-00,신연중 급식실 및 학생식당 증축 통신 공사,서울특별시교육청,서울,38229000,38433575,+3% ~ -3%,0,87.745,958,,0.53513,0,5,36,105,281,323,169,28,1,1,0,0,0,5,7,29,39,66,155,126,185,138,104,65,20,8,1,0,0,1,0,0,0,0,0,0,0,0,3,2,0,4,7,11,14,13,16,18,25,33,73,48,56,57,47,56,87,68,63,49,43,48,25,26,27,12,5,5,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,4,3,4,4,7,4,10,9,4,9,7,10,8,14,11,16,17,38,35,20,28,34,22,20,37,22,25,30,26,36,51,42,26,30,33,28,21,19,24,30,18,13,12,16,10,12,15,8,4,3,2,3,2,1,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26,20161217617-00,신수중 급식실 및 학생식당 증축 통신 공사,서울특별시교육청,서울,36504000,36534075,+3% ~ -3%,0,87.745,956,,0.08238,0,5,40,114,289,315,160,28,2,0,0,0,0,5,8,32,41,73,145,144,162,153,99,61,23,5,1,1,0,0,0,0,0,0,0,0,0,1,1,3,0,5,5,10,20,12,19,19,28,36,70,49,53,59,58,48,82,57,72,56,42,44,25,25,24,12,8,4,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,1,4,3,2,6,4,9,11,7,5,9,10,10,9,10,18,20,16,37,33,26,23,26,27,19,40,28,30,25,23,35,47,32,25,30,42,30,26,22,20,26,18,13,12,17,8,10,14,9,3,5,3,3,1,0,1,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
