Unnamed: 0,id,공고번호,공고제목,발주처(수요기관),지역제한,기초금액,예정가격,예가범위,A값,투찰률(%),참여업체수,공고구분표시,정답사정률(%),010_001,010_002,010_003,010_004,010_005,010_006,010_007,010_008,010_009,010_010,020_001,020_002,020_003,020_004,020_005,020_006,020_007,020_008,020_009,020_010,020_011,020_012,020_013,020_014,020_015,020_016,020_017,020_018,020_019,020_020,050_001,050_002,050_003,050_004,050_005,050_006,050_007,050_008,050_009,050_010,050_011,050_012,050_013,050_014,050_015,050_016,050_017,050_018,050_019,050_020,050_021,050_022,050_023,050_024,050_025,050_026,050_027,050_028,050_029,050_030,050_031,050_032,050_033,050_034,050_035,050_036,050_037,050_038,050_039,050_040,050_041,050_042,050_043,050_044,050_045,050_046,050_047,050_048,050_049,050_050,100_001,100_002,100_003,100_004,100_005,100_006,100_007,100_008,100_009,100_010,100_011,100_012,100_013,100_014,100_015,100_016,100_017,100_018,100_019,100_020,100_021,100_022,100_023,100_024,100_025,100_026,100_027,100_028,100_029,100_030,100_031,100_032,100_033,100_034,100_035,100_036,100_037,100_038,100_039,100_040,100_041,100_042,100_043,100_044,100_045,100_046,100_047,100_048,100_049,100_050,100_051,100_052,100_053,100_054,100_055,100_056,100_057,100_058,100_059,100_060,100_061,100_062,100_063,100_064,100_065,100_066,100_067,100_068,100_069,100_070,100_071,100_072,100_073,100_074,100_075,100_076,100_077,100_078,100_079,100_080,100_081,100_082,100_083,100_084,100_085,100_086,100_087,100_088,100_089,100_090,100_091,100_092,100_093,100_094,100_095,100_096,100_097,100_098,100_099,100_100
,11.0,1804009-00,"서울휘경, 서울잠실 행복주택 정보통신공사 1공구(행복240호)",한국토지주택공사,전국/서울,1271342000.0,1271223000.0,+2% ~ -2%,0.0,86.745,907.0,기/의무,-0.00937,1,9,43,110,303,271,126,30,4,3,0,1,3,6,13,30,38,72,118,185,159,112,85,41,22,8,4,0,2,1,0,0,1,0,0,0,2,1,3,3,5,3,10,8,17,10,16,18,27,39,47,46,46,64,100,47,74,66,53,31,44,29,23,13,17,13,6,5,3,3,2,1,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,3,0,1,2,2,3,1,2,5,5,4,4,8,9,4,6,6,10,12,6,11,16,22,17,21,26,26,20,25,21,33,31,56,44,17,30,37,37,38,28,29,24,16,15,27,17,11,18,12,11,6,7,7,10,6,7,2,4,3,2,3,0,0,3,1,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
,31.0,20181129768-00,장애인 건강검진센터 건립사업 통신공사,서울지방조달청/보건복지부,서울,199893000.0,200259350.0,+2% ~ -2%,0.0,87.745,923.0,기/협정,0.18327,1,7,31,124,274,287,147,35,9,1,0,1,2,5,5,26,48,76,134,140,124,163,91,56,26,9,6,3,0,1,0,0,1,0,0,2,0,2,0,3,1,3,5,7,15,11,30,17,22,44,42,59,53,47,73,49,47,68,74,49,51,29,28,18,21,15,7,5,4,4,3,3,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,1,2,0,1,2,1,1,4,3,4,6,9,4,7,14,16,7,10,14,8,27,17,16,26,28,31,33,20,19,28,43,30,22,27,24,23,28,40,42,32,29,20,25,26,13,16,11,17,14,4,14,7,9,6,4,3,4,1,3,1,4,0,2,1,0,3,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
,42.0,20181207363-00,CKL획센터(대학로) 원상복구 및 개보수 공사(통신),한국콘텐츠진흥원,서울,118110000.0,118396175.0,+2% ~ -2%,0.0,87.745,927.0,기,0.24229,1,5,29,136,279,287,143,29,10,2,0,1,2,3,6,23,59,77,136,143,149,138,79,64,25,4,5,5,2,0,0,0,0,1,0,2,0,1,1,1,3,2,3,10,11,16,34,20,30,36,48,59,56,71,45,63,57,53,56,58,35,31,26,25,26,13,10,3,1,2,3,1,2,1,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,1,1,2,0,2,1,2,4,6,5,6,9,7,16,18,9,11,13,17,12,24,26,22,23,36,29,27,40,31,21,24,34,29,24,33,29,24,29,27,29,29,16,19,14,17,13,13,15,10,12,14,6,7,7,3,2,1,1,0,1,1,2,1,1,0,1,1,0,1,3,0,0,0,1,1,0,0,0,0,0,0
,44.0,20181214967-00,숭실고등학교 급식실 및 체육관 증축공사 통신 (장기계속 총차) 입찰공고문(긴급) (긴급공고),서울특별시교육청,서울,90640000.0,90587475.0,+2% ~ -2%,0.0,87.745,940.0,,-0.05795,2,8,43,159,263,282,124,40,9,0,0,2,2,6,8,35,68,91,141,122,115,167,82,42,32,8,4,5,0,0,0,0,0,2,0,1,0,3,2,2,1,5,5,16,16,28,26,28,32,45,39,63,62,50,49,46,51,56,65,64,36,34,22,14,18,15,12,7,3,3,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,2,2,0,1,1,1,0,1,4,2,3,6,10,9,7,14,14,12,14,14,14,21,11,18,27,15,24,21,42,39,23,25,25,26,23,17,29,24,27,18,38,36,29,36,28,23,13,18,16,12,10,10,4,10,8,8,7,5,7,5,2,0,3,1,2,2,1,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,52.0,20181208103-00,수원법원종합청사 전자법정 랜케이블 구축 1차 사업,대법원,서울/경기,134136610.0,133486075.0,+2% ~ -2%,0.0,87.745,2057.0,,-0.48498,3,8,68,275,568,652,377,86,13,3,1,2,4,4,17,51,104,171,254,314,334,318,226,151,67,19,7,6,2,1,1,0,1,0,1,1,3,1,1,2,6,8,12,19,23,27,54,49,63,82,83,105,116,123,141,151,116,141,129,115,93,88,74,71,51,36,23,12,6,9,2,5,1,4,1,2,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,2,1,0,1,1,0,0,2,3,3,5,3,3,9,12,7,9,14,14,13,27,27,23,26,35,28,40,42,38,45,48,57,66,50,70,53,74,67,71,80,65,51,67,74,72,57,66,49,43,50,42,46,45,29,35,36,34,17,18,18,11,12,8,4,4,2,6,3,0,2,3,2,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,1
,59.0,20181208293-00,미림여자정보과학고등학교 관리동 소프트웨어프로젝트실 외 1실 리모델링 공사(통신) (긴급공고),서울특별시교육청,서울,7150000.0,7124825.0,+2% ~ -2%,0.0,87.745,343.0,기,-0.3521,0,1,7,33,83,99,70,37,4,2,0,0,0,1,2,5,10,23,37,46,48,51,43,27,28,9,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1,2,1,3,4,5,4,7,13,12,20,16,18,17,22,19,15,19,24,23,15,11,11,10,15,8,7,4,3,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,2,0,4,2,3,1,3,3,4,6,7,6,6,11,9,5,11,11,7,7,10,11,11,10,9,7,8,9,10,9,15,12,11,7,8,5,6,4,7,5,5,9,6,5,3,5,2,0,4,1,2,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
,63.0,20181207260-00,해성여자고등학교 신관동 특별교실 증축 통신공사(긴급) (긴급공고),서울특별시교육청해성여자고등학교,서울,55430000.0,55053275.0,+2% ~ -2%,0.0,87.745,1006.0,기,-0.67965,0,8,37,162,280,281,169,56,6,2,0,0,5,3,14,23,59,103,128,152,123,158,103,66,46,10,1,5,2,0,0,0,0,0,0,3,2,1,1,1,3,5,8,12,9,22,18,35,35,52,40,63,40,54,83,52,44,52,64,69,31,47,37,27,27,21,17,10,4,4,1,0,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,1,0,0,1,1,2,2,3,6,2,4,8,7,2,11,11,11,7,19,16,20,15,24,28,17,23,26,37,25,15,28,26,42,41,18,34,21,23,27,25,30,34,31,38,16,15,18,29,25,12,15,12,17,10,16,5,8,9,8,2,1,3,3,1,0,1,0,0,0,2,1,1,1,0,0,1,0,0,1,0,0,0,0,0
,75.0,20181204110-00,도서관 실내 인테리어 통신공사 입찰 공고,서울과학기술대학교,서울,161600000.0,162912650.0,+2% ~ -2%,0.0,87.745,934.0,연기,0.81228,0,3,26,163,274,288,134,34,9,1,0,0,2,1,5,21,50,113,109,165,133,155,83,51,24,10,5,4,1,0,0,0,0,0,0,1,1,0,0,1,1,3,3,7,12,16,25,31,52,39,42,40,51,68,73,50,54,67,65,52,31,44,17,19,23,16,6,3,8,1,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,2,1,2,2,5,8,4,8,8,8,17,9,22,31,21,20,19,19,23,20,20,27,24,32,36,40,33,28,22,20,34,29,38,40,25,26,26,16,15,26,18,8,9,11,8,13,10,10,6,3,3,2,1,2,6,1,0,1,1,2,0,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0
,91.0,20181141099-00,본관 통신케이블 교체공사,국회,서울,295000000.0,293668825.0,+2% ~ -2%,0.0,87.745,957.0,기/협정,-0.45125,4,4,42,186,303,262,114,26,11,1,2,2,3,1,6,36,66,120,143,160,113,149,69,45,20,6,6,5,1,0,1,0,1,2,0,1,2,0,1,0,3,2,9,13,15,16,34,36,42,58,52,57,69,58,67,36,51,55,69,51,36,22,21,19,16,8,7,6,3,2,3,3,1,2,2,0,1,0,0,0,1,0,0,0,1,0,2,0,0,0,0,1,1,1,0,0,1,0,0,0,2,1,1,1,1,8,8,5,9,6,5,11,17,17,16,20,20,22,25,33,26,26,22,35,34,35,35,23,26,41,14,22,22,29,26,29,30,39,29,22,22,14,14,8,11,10,7,12,7,9,3,5,4,3,5,1,0,3,1,1,2,1,1,2,0,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0
,92.0,20181139591-01,[긴급] 세그루패션디자인고 다목적강당겸 체육관증축 [보통신]공사 입찰공고 (긴급공고) (공고),서울특별시교육청세그루패션디자인고등학교,서울,129656000.0,129692025.0,+2% ~ -2%,0.0,87.745,962.0,정,0.02778,6,8,50,142,287,266,154,24,13,1,2,4,4,4,13,37,53,89,152,135,134,132,100,54,21,3,7,6,1,0,0,0,3,2,1,2,2,0,2,2,3,7,5,14,21,24,20,24,35,39,55,70,49,51,62,55,56,49,47,59,38,39,34,20,23,10,7,5,1,1,4,3,2,1,3,1,0,0,0,0,0,0,0,0,2,1,1,1,0,1,1,1,2,0,0,0,2,0,1,1,1,2,1,6,3,2,9,5,11,10,11,13,9,11,9,15,14,21,20,19,25,30,32,38,27,22,29,22,35,27,31,24,30,26,23,26,20,27,31,28,24,14,15,24,23,11,12,8,13,10,5,5,3,4,4,1,0,1,0,1,3,1,1,2,0,2,1,0,1,2,1,0,0,0,0,0,0,0,0,0
,95.0,20181140322-00,배명고등학교 방송시설 개선공사 (긴급공고),서울특별시교육청,서울,250497000.0,251234150.0,+2% ~ -2%,0.0,87.745,944.0,기,0.29427,2,5,46,143,282,265,155,26,13,2,0,2,1,4,8,38,48,95,112,170,128,137,95,60,22,4,9,4,2,0,0,0,1,1,0,0,1,0,2,2,3,4,5,13,21,18,21,16,39,49,29,58,57,62,76,39,56,62,56,52,44,31,29,23,28,7,10,5,4,0,5,3,2,1,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0,1,1,2,1,2,2,1,4,7,6,9,12,6,12,9,12,9,7,21,18,23,26,13,16,25,33,25,32,32,30,45,31,22,17,23,33,33,29,32,24,29,23,25,19,14,17,20,9,12,11,16,12,2,5,3,7,5,0,2,2,0,0,3,2,0,3,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
