공고번호,기초금액,A값,투찰률(%),참여업체수,예가범위,공고구분표시,공고제목,발주처(수요기관),지역제한
20141222110-01,34571000.0,0.0,87.745,845.0,+2% ~ -2%,기/정,서울시흥동우체국 건립공사(정보통신공사) (정정공고),과학기술정보통신부,서울
20141124845-00,1695212000.0,0.0,86.745,787.0,+2% ~ -2%,기/의무,마포세무서 청사신축공사 통신공사,서울지방조달청/국세청,전국/서울
20141123909-00,910576000.0,0.0,86.745,908.0,+2% ~ -2%,기/의무,반포세무서 청사신축공사 통신공사,서울지방조달청/국세청,전국/서울
20141218010-00,69552560.0,0.0,87.745,923.0,+2% ~ -2%,,벨로드롬 시설개선 통신공사,서울올림픽기념국민체육진흥공단,서울
20141211823-00,203585000.0,0.0,87.745,850.0,+2% ~ -2%,기/협정,(긴급)국립중앙극장 전속단체 공연연습장 건립 정보통신공사,서울지방조달청/문화체육관광부,서울
20141213376-00,85580000.0,0.0,87.745,1705.0,+2% ~ -2%,,장외지점(12개지점) CCTV 설치 관련 통신공사 (긴급공고),서울올림픽기념국민체육진흥공단,서울/경기
20141213236-00,121077000.0,0.0,87.745,1656.0,+2% ~ -2%,,광명스피돔 지정좌석실 환경개선 통신공사 (긴급공고),서울올림픽기념국민체육진흥공단,서울/경기
20141121704-00,814734000.0,0.0,86.745,928.0,+2% ~ -2%,기/의무,강서세무서 청사신축 통신공사,서울지방조달청/국세청,전국/서울
20141118981-00,419875000.0,0.0,86.745,830.0,+2% ~ -2%,기/협정,검찰특수기록관 신축 통신공사,서울지방조달청/법무부,서울
20141211237-00,138244000.0,0.0,87.745,1615.0,+2% ~ -2%,,방범 및 교통관리를 위한 CCTV 설치 공사 (긴급공고),서울대학교,서울/경기
20141114191-00,1306171000.0,0.0,86.745,801.0,+2% ~ -2%,기/의무,서울강남경찰서 신축공사(통신),서울지방조달청/경찰청,전국/서울
20141124779-00,120568000.0,0.0,87.745,881.0,+2% ~ -2%,기/협정,논현파출소 신축공사 (통신),서울지방조달청/경찰청,서울
20141201793-00,74217000.0,0.0,87.745,903.0,+2% ~ -2%,기,GKL 직장어린이집 설치공사(통신),그랜드코리아레저(주),서울
20141126974-00,18700000.0,0.0,87.745,766.0,+2% ~ -2%,,미래관 공간변경에 따른 통신보수 및 기타공사,서울과학기술대학교,서울
20141126767-00,28413000.0,0.0,87.745,817.0,+2% ~ -2%,기,정부서울청사 본관 통제식 회전문 설치 통신공사 (긴급공고),행정자치부,서울
20141106575-00,1391886000.0,0.0,86.745,764.0,+2% ~ -2%,기/의무,광진경찰서 청사 신축공사-통신,서울지방조달청/경찰청,전국/서울
20141123591-00,8600000.0,0.0,88.0,126.0,+2% ~ -2%,기,유무선 측정시설 챔버 및 차폐실 철거 용역,과학기술정보통신부,서울/경기
20141104067-00,580645000.0,0.0,86.745,830.0,+2% ~ -2%,기/협정,서울금천우체국 건립 정보통신공사,서울지방조달청/미래창조과학부,서울
20141116743-00,107286000.0,0.0,87.745,923.0,+2% ~ -2%,기,선덕중학교 방송시설 통신공사 (긴급공고),서울특별시북부교육청,서울
20141119009-00,62550000.0,0.0,87.745,874.0,+2% ~ -2%,기,정부서울청사 CCTV 설비 개선공사 (긴급공고),행정자치부,서울
20141112184-02,120769000.0,0.0,87.745,1662.0,+2% ~ -2%,정,이화미디어고 방송시설개선 공사 (공고),서울특별시교육청,서울/경기
20141019715-00,402178000.0,0.0,86.745,836.0,+2% ~ -2%,기/협정,서울서부광역등기소청사 신축 통신공사 (긴급공고),서울지방조달청/대법원,서울
20141025256-00,20523470.0,0.0,87.745,789.0,+2% ~ -2%,,서울대학교 생명공학공동연구원 실험실 리노베이션 통신공사,서울대학교,서울
20141025021-00,38750000.0,0.0,87.745,1715.0,+2% ~ -2%,기,본관동 주차장 주차유도시스템 및 관제시스템 설치공사,한국방송통신대학교,서울/인천/경기
20141022182-00,127017000.0,0.0,87.745,857.0,+2% ~ -2%,기,김포공항 주차대행 전용 임시주차장 조성 정보통신공사,한국공항공사,서울
20141022045-00,34100000.0,0.0,87.745,1640.0,+2% ~ -2%,,동서울우편집중국 CCTV 증설 및 이설공사,과학기술정보통신부,서울/경기
20141015327-02,434500000.0,0.0,86.745,819.0,+2% ~ -2%,정,예술의전당 서예박물관 리모델링공사(보통신) (공고),예술의전당,서울
20141010194-00,29502000.0,0.0,87.745,867.0,+2% ~ -2%,,다산관 및 하이테크관 공간변경 통신보수공사,서울과학기술대학교,서울
20141010131-00,14520000.0,0.0,87.745,735.0,+2% ~ -2%,,이러닝 제작 공개 스튜디오 통신보수공사,서울과학기술대학교,서울
20140922963-00,471997000.0,0.0,86.745,831.0,+2% ~ -2%,기/협정,서울대학교 부설중학교 특별교실 증축 통신공사 (긴급공고),서울지방조달청/서울대학교,서울
20140913944-00,77550000.0,0.0,87.745,973.0,+2% ~ -2%,기,서울검찰청사 구치감 리모델링 통신공사 (긴급공고),대검찰청,서울
20140911660-00,21520000.0,0.0,87.745,661.0,+2% ~ -2%,,서울청사 별관 전관방송시스템 이전 설치공사,행정자치부,서울
20140908093-00,20270000.0,0.0,87.745,760.0,+2% ~ -2%,,중앙지검 CCTV 카메라(8대) 증설공사,대검찰청,서울
20140815133-00,135600000.0,0.0,87.745,108.0,+2% ~ -2%,,유치장 환경개선 통신공사 입찰공고,경찰청,서울
